MOPOS57,"G. Penn, M. Reinsch, J. Wurtele","Analytic Model of Harmonic Generation in the Low-Gain FEL Regime",
MOPOS59,"S. Reiche, Z. Huang","Coherent Radiation Effects in the LCLS Undulator",
MOPOS60,"S. Reiche","Spontaneous Radiation Background Calculation for LCLS",
MOPOS63,"Z. Huang, S. Reiche","Generation of GW-level, sub-Angstrom Radiation in the LCLS using a Second-Harmonic Radiator",
MOPOS64,"J.F. Schmerge, J.M. Castro, J.E. Clendenin, D.H. Dowell, S.M. Gierman, R.O. Hettel","Emittance and Quantum Efficiency Measurements from a 1.6 cell S-band Photocathode RF Gun with Mg Cathode",
MOPOS65,"R. L. Armstead, J. Blau, W. B. Colson","Short Rayleigh Length Free Electron Laser Simulations in Expanding Coordinates",
MOPOS66,"J. Blau, W. B. Colson, R. P. Mansfield, S. P. Niles, B. W. Williams","Optical Mode Distortion in a Short Rayleigh Length Free Electron Laser",
MOPOS67,"X.J. Wang, H. Loos, J.B. Murphy, G. Rakowsky, J. Rose, B. Sheehy, Y. Shen, J. Skaritka, Z. Wu, L.H. Yu","The Upgrade of the DUV-FEL Facility at the BNL",
MOPOS69,"B. Maraghechi, H. Aghahosseini, A. Kordbacheh","Wiggler Effects on the Growth Rate of a Raman Free-electron Laser with Axial Magnetic Field or Ion-Channel Guiding",
THBOC02,"F. Stephan, K. Abrahamyan, W. Ackermann, G. Asova, J. Baehr, I. Bohnet, J.-P. Carneiro, G. Dimitrov, K. Floettmann, U. Gensch, H.-J. Grabosch, J.H. Han, M.v. Hartrott, E. Jaeschke, D. Krämer, M. Krasilnikov, D. Lipka, P. Michelato, V.V. Miltchev, L. Monaco, W.F.O. Mueller, A. Oppelt, C. Pagani, B. Petrosyan, D. Pose, D. Richter, S. Riemann, J. Rossbach, W. Sandner, S. Schnepp, S. Schreiber, D. Sertore, S. Setzer, L. Staykov, I. Tsakov, T. Weiland, I. Will","Recent Results and Perspectives of the Low Emittance Photo Injector at PITZ",
THBOC03,"K. Togawa, H. Baba, T. Inagaki, H. Matsumoto, K. Onoe, T. Shintake, T. Tanaka","Emittance Measurement on the CeB6 Electron Gun for the SPring-8 Compact SASE Source",
THBOC04,"I. Ben-Zvi, H.P. Bluem, A. Burger, A. Burrill, R. Calaga, P. Cameron, X. Chang, M.D. Cole, J. Delayen, A. Favale, W. Funk, D. Gassner, H. Hahn, A. Hershcovitch, D. Holmes, H.C. Hseuh, P. Johnson, D. Kayran, J. Kewisch, R. Lambiase, V.N. Litvinenko, G. McIntyre, A. Nicoletti, L. Phillips, J. Preble, J. Rank, J. Rathke, T. Roser, J. Scaduto, T.J. Schultheiss, K.S. Smith, T. Srinivasan-Rao, A. Todd, K.-C. Wu, A. Zaltsman, Y. Zhao","Ampere Average Current Photoinjector and Energy Recovery Linac",
THBOC05,"D. Janssen, H. Buettig, P. Evtushenko, S. Kruchkov, U. Lehnert, P. Michel, O. Myskin, Ch. Schneider, J. Stephan, J. Teichert, V. Volkov","Status of the 3 1/2 Cell Rossendorf Superconducting RF Gun",
THBOS02,"E.J. Minehara, A. Nisimura, T. Tsukada","Preparation Femtosecond Laser Prevention for the Cold-Worked Stress Corrosion Crackings on Reactor Grade Low Carbon Stainless Steel",
THBOS03,"Y. U. Jeong, H. J. Cha, G. M. Kazakevitch, B. C. Lee, S. H. Park","THz Imaging by a Wide-band Compact FEL",
THBOS04,"L. M. Yang, J. E. Chen, Y. Su, M.K. Wang, J. Wu, Y. Xu, K. Zhao","The Present Applications of IR FEL at Peking University",
THCIS01,"M.M. Meyer","Proposals for Pump-Probe Experiments in the Gas Phase using the TTF2-FEL",
THCOS02,"J. Krzywinski, A.A. Andrejczuk, M"" Bittner, D.C. Chvostova, L.J. Juha, M.J. Jurek, A.K. Kauch, D.K. Klinger, V.L. Letal, J.P. Pelka, H.R. Reniewicz, E.L. Saldin, E.A. Schneidmiller, M.S. Sikora, R.S. Sobierajski, B.S. Steeg, R. Treusch, V"" Vorlicek, A.W. Wawro, M.V. Yurkov","Interaction of Intense Ultrashort XUV Pulses with Different Solids - Results from the Tesla Test Facility FEL Phase I",
THPOS01,"R.G. Ganter, A.C. Candel, M.D. Dehler, J.G. Gobrecht, C.G. Gough, G.I. Ingold, S.L. Leemann, K.L. Li, M.P. Paraliev, M.P. Pedrozzi, J.-Y.R. Raguin, R.L. Rivkin, V. Schlott, h"" Sehr, A.S. Streun, A.W. Wrulich, S"" Zelenika","Low Emittance Gun Project based on Field Emission",
THPOS02,"K.L. Li, M.D. Dehler, R.G. Ganter, J.G. Gobrecht, J.-Y.R. Raguin, R.L. Rivkin, A.W. Wrulich","Field Emitter Arrays for a Free Electron Laser Application",
THPOS03,"j.b. Bahrdt, W.F. Frentrup, A.G. Gaupp, B. Kuske, A.M. Meseck, M.S. Scheer","Undulators for the BESSY Soft-X-Ray FEL",
THPOS04,"S. Khan, K.H. Holldack, T.K. Kachel, R.M. Mitzner, T.Q. Quast, F.S. Senf","Characterization of Laser-Electron Interaction at the BESSY Femtoslicing Facility",
THPOS05,"W. Seidel, H. Foerstendorf, F. Glotin, J.M. Ortega, R. Prazeres","Exploring the Spatial Resolution of the Photothermal Beam Deflection Technique in the Infrared Region",
THPOS06,"R. Prazeres, F. Glotin, J.M. Ortega","Measurement and Calculation of the 'Electron Efficiency' on the `CLIO' Free-Electron Laser",
THPOS08,"M. Ferianis, G.E. Afifi, M. Coreno, M.B. Danailov, gdn. De Ninno, B. Diviacco, M.T. Trovò","Experiments on the Synchronization of an Ultrafast Cr:LiSAF Laser with the ELETTRA Storage Ring and FEL Pulses",
THPOS09,"M.T. Trovò, D. Bulfone, M.B. Danailov, gdn. De Ninno, B. Diviacco, V.F. Forchi`, L. Giannessi, M. Lonza","Electron-Beam Stabilization for the European Storage-Ring Free-Electron Laser at Elettra",
THPOS13,"D. Li, K. Imasaki","Proposal of Laser-Driven Acceleration with Bessel Beam",
THPOS14,"D. Li, S. Amano, K. Imasaki, S. Miyamoyo, T. Mochizuki","Laser Compton Scattering Gamma Ray Induced Photo-Trasmutation",
THPOS15,"T. Tanaka, K. Hayakawa, Y. Hayakawa, K. Ishiwata, K. Kanno, A. Mori, K. Nakao, K. Nogami, T. Sakai, I. Sato, K. Yokoyama","Tunability and Power Characteristics of the LEBRA Infrared FEL",
THPOS16,"M.R. Asakawa, K. Imasaki, H. Marusaki, N. Ohigashi, Y. Tsunawaki","Amplification of Short-Pulse Radiation from the Electron Undergoing Half-Cyclotron Rotation",
THPOS17,"H. Horiike, M.R. Asakawa, K"" Awazu, M. Heya, H"" Kondo, Y. Naito, S. Suzuki, N"" Tsubouchi","Status of Institute of Free Electron Laser, Osaka university",
THPOS18,"M. Heya, K"" Awazu, H. Horiike, K. Ishii, S. Suzuki","Development of a Pump-Probe System using a Non-Coated ZnSe Beam Splitter Cube for an MIR-FEL",
THPOS19,"S. Suzuki, K"" Awazu, K. Ishii","Medical Application of Free Electron Laser Trasmittance using Hollow Optical Fiber",
THPOS21,"R. Hajima, I. Iijima, N. Kikuzawa, E.J. Minehara, R. Nagai, N. Nishimori, T. Nishitani, M. Sawamura","Recent Results of the JAERI Energy-Recovery Linac FEL",
THPOS22,"R. Nagai, R. Hajima, N. Kikuzawa, E.J. Minehara, N. Nishimori, M. Sawamura","Misalingment Tolerance of a Hole-Coupling Optical Resonator for JAERI ERL-FEL",
