srf87d02,"B. Cauvin, M. Coret, J. P. Fouan, J. Girard, J. L. Girma, Ph. Leconte, Y. Lussignol, R. Moreau, J. P. Passérieux, G. Ramstein, L. Wartski, CEN, Gif-Sur-Yvette","Fabrication, Tests, and RF Control of the 50 Superconducting Resonators of the Saclay Heavy Ion Linac",
srf87d03,"U. Trinks, Technical University of Munich, Munich","Status Report on the Triton/Munich",
srf87d04,"G. Fortuna, R. Pengo, G. Bassato, A. Facco, P. Favaron, V. Palmieri, A. M. Porcellato, M. Rosa, B. Tiveron, INFN, Legnaro","The Alpi Project at Legnaro National Laboratory",
srf87d05,"E. G. Myers, J. D. Fox, A. D. Frawley, P. Allen, J. Faragasso, D. Smith, L. Wright, Florida State University, Tallahassee","The Florida State University Superconducting Linac",
srf87d06,"T. W. Aitken, Daresbury Laboratory, Warrington; G. Doucas, University of Oxford, Oxford","Daresbury Super Linac Status Report",
srf87d07,"J. Sikora, I. Ben-Zvi, J. M. Brennan, M. Cole, J. W. Noe, SUNY, Stony Brook","Lead/Tin Resonator Development at the Stony Brook Heavy-Ion Linac",
srf87d08,"D. C. Weisser, M. D. Malev, Australian National University, Canberra","ANU - Status Report",
srf87d09,"S. Takeuchi, Japan Atomic Energy Research Institute, Ibaraki","Status of Work on Superconducting Quarter Wave Resonators",
srf87d10,"P. M. Markovich, K. W. Shepard, G. P. Zinkann, ANL, Argonne","Status of RF Superconductivity at Argonne National Laboratory",
srf87e01,"C. Benvenuti, D. Bloess, E. Chiaveri, N. Hilleret, M. Minestrini, W. Weingarten, CERN, Geneva","Superconducting Cavities Produced by Magnetron Sputtering",
srf87e02,"J. R. Delayen, ANL, Argonne","RF Properties of Superconducting Pb Electroplated onto Cu",
srf87e03,"G. Arnolds-Mayer, E. Chiaveri, CERN, Geneva","On A 500 MHz Single Cell Cavity with Nb3Sn Surface",
srf87e04,"M. Peiniger, M. Hein, N. Klein, G. Müller, H. Piel, P. Thüns, University of Wuppertal, Wuppertal","Work on Nb3Sn Cavities at Wuppertal",
srf87e05,"J. L. Kirchgessner, Cornell University, Ithaca","Forming and Welding of Niobium for Superconducting Cavities",
srf87e06,"C. E. Reece, CEBAF, Newport News","Progress in Diagnostic Techniques for SC Cavities",
srf87e07,"G. Cavallari, E. Chiaveri, E. Haebel, Ph. Legendre, W. Weingarten, CERN, Geneva","Coupler Developments at CERN",
srf87e08,"J. C. Amato, Cornell University, Ithaca","Development of Higher Order Mode Couplers at Cornell",
srf87e09,"J. Sekutowicz, DESY, Hamburg","HOM Couplers at DESY",
srf87e10,"S. Noguchi, K. Akai, M. Arinaga, K. Asano, T. Furuya, K. Hara, K. Hosoyama, A. Kabe, Yuji Kojima, Yuzo Kojima, S. Mitsunobu, H. Nakai, T. Nakazato, T. Ogitsu, K. Saito, U. Sakamoto, T. Suzuki, T. Tajima, KEK, Ibaraki-ken","Status of Tristan Superconducting RF Program",
srf87e11,"G. Cavallari, E. Haebel, R. Stierlin, J. Tückmantel, W. Weingarten, CERN, Geneva","The Tuner System for the S. C. 352 MHz LEP 4 - cell cavities",
srf87e12,"R. Stierlin, CERN, Geneva","Development of a Cryostat for the 4-Cell 352 MHz SC Accelerating Cavities for LEP",
srf87f01,"V. Anashin, S. I. Bibko, E. I. Fadeyev, M. M. Karliner, K. S. Kovalev, B. Z. Persov, A. T. Popov, I. K. Sedlyarov, V. G. Veshtcherevich, V. N. Volkov, INP, Novosibirsk","Investigation of Superconducting Niobium 1170 MHz Cavities",
srf87f02,"A. A. Litvinov, I. K. Sedlyarov, A. G. Tribendis, INP, Novosibirsk","Set-up for Nb Surface Quality Checking Using HC3",
srf87f03,"M. Pham Tu, K. Mbaye, L. Wartski, University of Paris, Orsay; J. Halbritter, Kernforschungszentrum, Karlsrhue","Niobium Nitride Coated Superconducting Cavities",
srf87f04,"M. G. Oravecz, B. Y. Lu, K. Riney, L. W. Kessler, Sonoscan, Inc., Bensenville; H. Padamsee, Cornell University, Ithaca","High-Speed Automated NDT Device for Niobium Plate Using Scanning Laser Acoustic Microscopy",
