a101,"P.V. Livdahl, Fermilab, Batavia, Illinois, USA","The Livermore MTA Project and its Influence on Modern Linacs",5 11,
g204,"M.R. Shubaly, Atomic Energy of Canada, Chalk River, Ontario, Canada","Ion Source Development and Injector Design for ZEBRA",251 253,
h01,"B.B. Godfrey, R.J. Adler, M.M. Campbell, D.J. Sullivan, Mission Research Corporation, Albuquerque, New Mexico, USA; T.C. Genoni, Air Force Weapons Laboratory, Albuquerque, New Mexico, USA","The Image Displacement Instability in Radial Line Accelerators",257 259,
h02,"H. Herminghaus, K.-H. Kaiser, U. Ludwig-Mertin, IKP, Mainz, Germany","The Design of Double Sided Microtrons",260 262,
h03,"E.P. Lee, LLNL, Livermore, California, USA","Resistance Driven Bunching Mode of an Accelerated Ion Pulse",263 265,
h04,"J.C. Sheppard, SLAC, Stanford, California, USA; R.C. York, B.E. Norum, J.S. McCarthy, University of Virginia, Charlottesville, Virginia, USA","Design of an Electron Beam Spectral Modification System",266 269,
h05,"R. Pardo, L.M. Bollinger, W. Henning, ANL, Argonne, Illinois, USA","Longitudinal Beam Optimization of the Argonne Superconducting Heavy-Ion Linear Accelerator",270 273,
h06,"H. von der Schmitt, H. Aufhaus, IKP, Mainz, Germany","A Modular System for the Control of Complex Accelerators Using Portable Software",274 276,
h07,"R.W. Goodwin, M.F. Shea, Fermilab, Batavia, Illinois, USA","The Distributed Control System for the Fermilab 200 MeV Linac",277 280,
h08,"D.W. Mueller, LANL, Los Alamos, New Mexico, USA","Electrode Shapes for Spherical Pierce Flow",281 283,
h09,"A.R. Donaldson, Fermilab, Batavia, Illinois, USA","Modulator Reliability and Bandwidth Improvement: Replacing Tetrodes with MOSFETs",284 286,
h10,"J.A. Fugitt, F.K. Crosby, M.L. Nolan, LBL, Berkeley, California, USA","Low-Cost Megawatt RF Power Sources for Linear Accelerators to 70 MHz and Above",287 289,
h11,"R.F. Hoeberling, P.J. Tallerico, LBL, Los Alamos, New Mexico, USA","The RF Modulator Design and Phase Amplitude Control for a High-Power Free-Electron-Laser Linac",290 292,
h12,"H. Lancaster, LBL, Berkeley, California, USA","An Analytical Solution for the Electrical Properties of a Radio-Frequency Quadrupole (RFQ) with Simple Vanes",293 295,
h13,"T. Fukushima, T. Hattori, T. Hori, K. Sato, E. Tojyo, K. Yoshida, University of Tokyo, Tokyo, Japan","Measurement of Model Inter-Digital H Type Linac",296 298,
h14,"N. Ueda, S. Arai, T. Fukushima, Y. Hirao, T. Hori, T. Katayama, T. Nakanishi, A. Noda, M. Takanaka, N. Tokuda, S. Yamada, University of Tokyo, Tokyo, Japan","An RFQ Linac for Heavy Ion Acceleration",299 301,
h15,"E. Boltezar, H. Haseroth, W. Pirkl, G. Plass, M. Weiss, CERN, Geneva, Switzerland; K.R. Crandall, R.W. Hamm, J.M. Potter, R.H. Stokes, J.E. Stovall, T.P. Wangler, LANL, Los Alamos, New Mexico, USA","Experimental RFQ as Injector to the CERN Linac I",302 305,
h16,"J.M. Watson, D.R. Moffett, A. Moretti, R. Stockley, ANL, Argonne, Illinois, USA; T.P. Wangler, LANL, Los Alamos, New Mexico, USA","A 750 keV RFQ Linac for the AGS Polarized Proton Program",306 308,
h17,"R.W. Hamm, D.W. Mueller, R.G. Sturgess, LANL, Los Alamos, New Mexico, USA","A 30-kV Proton Injector for PIGMI",309 312,
h18,"N. Tokuda, S. Yamada, University of Tokyo, Tokyo, Japan","New Formulation of the RFQ Radial Matching Section",313 315,
h19,"S. Yamada, University of Tokyo, Tokyo, Japan","Buncher Section Optimization of Heavy Ion RFQ Linacs",316 318,
i01,"G. Faillon, Thomson-CSF, Boulogne-Billancourt, France","High-Power Klystrons - A New Breath, A Second Youth",321 325,
i02,"M.B. Shrader, D.H. Preist, Varian Associates, San Carlos, California, USA","RF Sources for Particle Accelerators - A Progress Report",326 328,
i03,"L.D. Hansborough, J.M. Potter, N.G. Wilson, LANL, Los Alamos, New Mexico, USA","Mechanical Design of RFQ Resonator Cavities in the 400-MHz Frequency Range",329 331,
i04,"J. McKeown, R.T.F. Bird, K.C.D. Chan, S.H. Kidner, J.-P. Labrie, Atomic Energy of Canada, Chalk River, Ontario, Canada","High Power, On-Axis Coupled Linac Structure",332 334,
i05,"L.M. Young, J.M. Potter, LANL, Los Alamos, New Mexico, USA","The DAW Structure for the NBS/Los Alamos Racetrack Microtron",335 337,
j101,"R.L. Martin, J.M. Bogaty, A. Moretti, N.Q. Sesol, J.M. Watson, A.J. Wright, ANL, Argonne, Illinois, USA","Operation and Status of the ANL Heavy Ion Fusion Linac",341 343,
j102,"J.E. Stovall, L.D. Hansborough, H.A. O'Brien, Jr., LANL, Los Alamos, New Mexico, USA","Radioisotope-Production Linac",344 348,
j103,"R.F. Bentley, New England Nuclear Corporation, Chelmsford, Massachusetts, USA","New England Nuclear Corp. Linear Accelerator Progress Report",349 351,
j104,"P.A. Chamouard, J.M. Lagniel, J.L. Lemaire, CEA-Saclay, Gif-sur-Yvette, France","SATURNE Linac Performances in 2 Mode for Polarized Protons Acceleration",352 355,
j105,"G. Benguang, F. Jianian, Y. Junqi, C. Xuiqi, Beijing Medical Equipment Institute, Beijing, China","Some Performance of the Interlaced Accelerator Structure",356 359,
j201,"J. Tanaka, A. Asami, A. Enomoto, H. Matsumoto, S. Osawa, Y. Saito, I. Sato, KEK, Ibaraki, Japan","Construction Progress of the Photon Factory 2.5 GeV Electron Linac",360 362,
j202,"S.O. Schriber, Atomic Energy of Canada, Chalk River, Ontario, Canada","The ZEBRA (Zero Energy Breeder Accelerator) Program at CRNL - 300 mA-10 MeV Proton Linac",363 366,
