A-01,"H.W. Schreuder, KVI, Groningen, The Netherlands","Invited Paper: AGOR: Initial Beam Tests, Transport and Commissioning",6 11,
g-01,"G.D. Alton, ORNL, Oak Ridge, Tennessee, USA","Invited Paper: Future Prospects for ECR Ion Sources with Improved Charge State Distributions",362 371,
g-02,"K.N. Leung, LBNL, Berkeley, California, USA","Invited Paper: High-Intensity Sources for Light Ions",372 376,
g-03,"S. Gammino, G. Ciavola, INFN/LNS, Catania, Italy","ECR Ion Sources and Scaling Laws",377 380,
g-04,"D.P. May, F.P. Abegglen, G.J. Derrig, G.J. Kim, Texas AM University, College Station, Texas, USA","Commissioning of the Texas AM ECR Ion Source High B Upgrade",381 384,
g-05,"H. Schmeing, W.T. Diamond, J. Diserens, T. Taylor, J.S.C. Wills, Atomic Energy of Canada, Chalk River, Ontario, Canada","A Microwave-Driven Source for the Production of Intense Negative Ion Beams for TASCC",385 388,
g-06,"K. Hatanaka, K. Hosono, T. Itahashi, I. Miura, T. Saito, M. Sato, K. Takahisa, H. Tamura, K. Tamura, Osaka University, Osaka, Japan","The RCNP Atomic Beam Source",389 392,
g-07,"W. Kretschmer, A. Glombik, H. Meyer, R. Weidmann, University of Erlangen, Erlangen, Germany; M. Altmeier, P.D. Eversheim, O. Felden, R. Gebel, M. Glende, Bonn University, Bonn, Germany; M. Eggert, S. Lemaitre, R. Reckenfelderbäumer, H. Paetz Gen. Schieck, University of Cologne, Cologne, Germany","The Polarized Ion-Source for COSY",393 396,
g-08,"A. Valek, S. Biri, I. Szücs, J. Vámosi, Institute of Nuclear Research of the Hungarian Academy of Sciences, Debrecen, Hungary","Test Measurements of the Debrecen ECRIS Subsystems",397 400,
g-09,"A.A. Evremov, V.B. Kutner, A.V. Lebedev, V.N. Loginov, J. Pivarccaron;, N.Yu. Yatzvitsyiy, JINR, Dubna, Russia; H.W. Zhao, Institute of Modern Physics, Lanzhou, China","Experimental Results of the Gas Mixing Effect on DECRIS-14-2",401 403,
g-10,"P.A. Schmelzbach, S. Drack, PSI, Villigen, Switzerland","Commissioning and First Operating Experience with the ECR Heavy Ion Source at the PSI Philips Cyclotron",404 407,
g-11,"B. Sinha, D.K. Bose, C. Mallik, P.Y. Nabhiraj, G. Pal, G.S. Taki, Bhabha Atomic Research Centre, Variable Energy Cyclotron Centre, Calcutta, India","The Electron Cyclotron Resonance Ion Source at Variable Energy Cyclotron Centre, Calcutta",408 411,
g-12,"K. Takahisa, K. Hatanaka, K. Hosono, T. Itahashi, I. Miura, T. Saito, M. Sato, H. Tamura, K. Tamura, Osaka University, Osaka, Japan; M. Tanaka, Kobe Tokiwa Jr. College, Kobe, Japan; E. Kaneko, Sumitomo Heavy Industries Accelerator Service, Ehime, Japan","Status of the NEOMAFIOS at RCNP",412 415,
g-13,"H.W. Zhao, Institute of Modern Physics, Lanzhou, China; A.A. Efremov, V.B. Kutner, JINR, Dubna, Russia","Simulation of Multiply-Charged Ion Production in DECRIS-14-2",416 419,
g-16,"T. Kuo, R. Baartman, G. Dutto, K. Jayamanna, M. McDonald, P.W. Schmor, D. Yuan, TRIUMF, Vancouver, B.C., Canada","Development of a 15 mA DC H Multicusp Source for Cyclotron Injection",420 423,
g-17,"R.A. Naumann, Dartmouth College, Hanover, New Hampshire, USA","On-Line Investigation of Cyclotron-Produced Fission Products: Target-Ion Source Options",424 426,
g-18,"A.S. Demyanova, A.A. Ogloblin, Kurchatov Institute, Moscow, Russia; L.K. Druzhinin, B.V. Safronov, NETPAMM, Moscow, Russia","Production of 14C Pellets for Sputter Ion Sources",427 428,
g-19,"P. Kuznetsov, V. Parkhomchuk, G. Silvestrov, BINP, Novosibirsk, Russia","Multi-Channel Water Steam H Source for Internal Injection to a Cyclotron",429 431,
h-01,"R.E. Laxdal, TRIUMF, Vancouver, B.C., Canada","Invited Paper: Manipulation of the Micro- and Macro-Structure of Beams Extracted from Cyclotrons",432 439,
h-02,"R. Baartman, TRIUMF, Vancouver, B.C., Canada","Invited Paper: Intensity Limitations in Compact H Cyclotrons",440 445,
h-03,"S. Adam, PSI, Villigen, Switzerland","Space Charge Effects in Cyclotrons - From Simulations to Insights",446 449,
h-04,"M. Sekiguchi, University of Tokyo, Tokyo, Japan","A Numerical Study of the Space Charge Effects in a Spiral Inflector",450 453,
h-05,"D. Vandeplassche, J.C. Amélia, W. Beeckman, Y. Jongen, G. Lannoye, S. Zaremba, Ion Beam Applications SA, Louvain-la-Neuve, Belgium","The C235 IBA-SHI Protontherapy Cyclotron for the NPTC Project: On Beam Dynamics Issues",454 457,
h-06,"J.L. Conradie, A.H. Botha, National Accelerator Centre, Faure, Republic of South Africa","Optimisation of the Beam Buncher Parameters in the Injection Beamline of the NAC",458 461,
h-07,"N. Fiétier, P. Mandrillon, Centre Antoine Lacassagne, Nice, France; . CERN/AT/ET Group, CERN, Geneva, Switzerland","Beam Dynamics and Space-Charge Aspects in the Design of the Accelerators for the Energy Amplifier",462 465,
h-08,"G.H. Mackenzie, R. Lee, W.R. Rawnsley, TRIUMF, Vancouver, B.C., Canada","A Demonstration of Beam Intensity Modulation Without Loss of Charge",466 469,
h-09,"A.I. Papash, Institute for Nuclear Research, Kiev, Ukraine","Phase Space Stretching and Distortion Arising from the RF Deflector in the TRIUMF Cyclotron",470 474,
h-10,"D. Rifuggiato, L. Calabretta, INFN/LNS, Catania, Italy","Experimental Evidence of Beam Dynamics Features of the LNS Superconducting Cyclotron",475 478,
h-11,"Y.J. Yuan, Y.N. Rao, B.W. Wei, J.W. Xia, Institute of Modern Physics, Lanzhou, China","Simulation of RF Stacking and Multiple Single-Turn Injection and Multiturn Injection",479 482,
