fr1a01,"F. Marti [FRIB, East Lansing, Michigan, USA] ","Heavy Ion Strippers",1050 1054,
mopb011,"B.L. Militsyn, D. Angal-Kalinin, C. Hill, S.P. Jamison, J.K. Jones, J.W. McKenzie, K.J. Middleman, B.J.A. Shepherd, R.J. Smith, R. Valizadeh, A.E. Wheelhouse [STFC/DL/ASTeC, Daresbury, Warrington, Cheshire, United Kingdom] N. Bliss, M.D. Roper [STFC/DL, Daresbury, Warrington, Cheshire, United Kingdom] ","Photoinjector of the EBTF/CLARA Facility at Daresbury",192 194,
mopb012,"A.A. Sulimov, P.B. Borowiec, V. Gubarev, J. Iversen, D. Kostin, G. Kreps, K. Krzysik, A. Matheisen, W.-D. Moeller (W.-D. Möller), D. Reschke, W. Singer [DESY, Hamburg, Germany] ","First RF Measurement Results for the European XFEL SC Cavity Production",195 197,
mopb013,"R. Roux, F. Blot, J. Brossard, C. Bruni, S. Cavalier, J-N. Cayla, V. Chaumat, M. El Khaldi, A. Gonnin, P. Lepercq, E.N. Mandag, B. Mercier, H. Monard, C. Prevost, V. Soskov, A. Variola [LAL, Orsay, France] ","Experimental Results on the PHIL Photo-injector Test Stand at LAL",198 200,
mopb014,"S.A. Bogacz, G.A. Krafft, V.S. Morozov, Y. Roblin [JLAB, Newport News, Virginia, USA] K.B. Beard [Muons. Inc., USA] ","Electron Model of a Dogbone RLA with Multi-Pass Arcs",201 203,
mopb016,"C. Christou [Diamond, Oxfordshire, United Kingdom] ","In-situ Measurement of Beam-induced Fields in the S-band Accelerating Structures of the Diamond Light Source linac",204 206,
mopb017,"E. Vogel, S. Barbanotti, J. Branlard, H. Brueck, S. Choroba, L. Hagge, K. Jensch, V.V. Katalev, D. Kostin, D. Käfer, L. Lilje, A. Matheisen, W.-D. Moeller (W.-D. Möller), D. Noelle (D. Nölle), B. Petersen, J. Prenting, D. Reschke, H. Schlarb, M. Schmoekel (M. Schmökel), J.K. Sekutowicz, W. Singer, H. Weise [DESY, Hamburg, Germany] J. Swierblewski (J. Świerbleski), P.B. Borowiec [IFJ-PAN, Kraków, Poland] S. Berry, O. Napoly, B. Visentin [CEA/DSM/IRFU, France] A. Bosotti, P. Michelato [INFN/LASA, Segrate (MI), Italy] W. Kaabi [LAL, Orsay, France] C. Madec [CEA/IRFU, Gif-sur-Yvette, France] E.P. Plawski [NCBJ, Świerk/Otwock, Poland] F. Toral [CIEMAT, Madrid, Spain] ","Integration of the European XFEL Accelerating Modules",207 209,
mopb018,"C. Xu [The College of William and Mary, Williamsburg, USA] M.J. Kelley, C.E. Reece [JLAB, Newport News, Virginia, USA] ","Analyzing Surface Roughness Dependence of Linear RF Losses",210 212,
mopb020,"G. Huang, D. Jia, K. Jin, H. Lin, Weishi,Zhou. Zhou [USTC/NSRL, Hefei, Anhui, People's Republic of China] Y. Liu [USTC, Hefei, Anhui, People's Republic of China] ","LLRF System Improvement for HLS Linac Upgrade",213 215,
mopb021,"G. Huang, D. Jia, K. Jin, H. Lin, Weishi,Zhou. Zhou [USTC/NSRL, Hefei, Anhui, People's Republic of China] Y. Liu [USTC, Hefei, Anhui, People's Republic of China] ","Bunch-by-bunch Phase Modulation for Linac Beam-loading Compensation",216 218,
mopb022,"S. Pei, M. Hou, X. Li, J.R. Zhang [IHEP, Beijing, People's Republic of China] B.L. Wang [SINAP, Shanghai, People's Republic of China] ","RF Characteristic Studies on the Whole Accelerating Structure for the BEPCII Linear Accelerator",219 221,
