fr1a01,"F. Marti [FRIB, East Lansing, Michigan, USA] ","Heavy Ion Strippers",1050 1054,
thpb023,"S. Fu, J. Li, H.C. Liu, H.F. Ouyang, X. Yin [IHEP, Beijing, People's Republic of China] ","Linac Construction for China Spallation Neutron Source",897 899,
thpb024,"F. Yan, Z. Li, C. Meng, J.Y. Tang [IHEP, Beijing, People's Republic of China] ","Main Linac Physics Design Study of the C-ADS Project",900 902,
thpb025,"S. Pei, X. Li, H.F. Ouyang, J.R. Zhang [IHEP, Beijing, People's Republic of China] ","325 MHz CW Room Temperature High Power Bunching Cavity for the China ADS MEBT1",903 905,
thpb026,"Z.J. Wang, Y. He, H. Jia, C. Li, S.H. Liu, W. Wu, X.B. Xu, B. Zhang, H.W. Zhao [IMP, Lanzhou, People's Republic of China] ","The Beam Commissioning Plan of Injector II in C-ADS",906 908,
thpb027,"Y. He, J. Meng, A. Shi, Z.J. Wang, J.X. Wu, W. Wu, H.S. Xu, Z. Xu, B. Zhang, J.H. Zhang, S.H. Zhang, Z.M. Zhang, H.W. Zhao, Z.Z. Zhou [IMP, Lanzhou, People's Republic of China] D. Li [LBNL, Berkeley, California, USA] ","Progress of one of 10 MeV superconducting proton linear Injectors for C-ADS",909 911,
thpb028,"L. Neri, L. Calabretta, A.C. Caruso, L. Celona, S. Gammino, A. Longhitano, D. Mascali [INFN/LNS, Catania, Italy] B. Cheymol, A. Ponton [ESS, Lund, Sweden] ","The ESS Low Energy Beam Transport Line Design",912 914,
thpb029,"A. Ponton [ESS, Lund, Sweden] ","The ESS RFQ Beam Dynamics Design",915 917,
thpb030,"M. Comunian, F. Grespan, A. Pisent [INFN/LNL, Legnaro (PD), Italy] R. De Prisco [Lund University, Lund, Sweden] M. Eshraqi [ESS, Lund, Sweden] P. Mereu [INFN-Torino, Torino, Italy] ","DTL Design for ESS",918 920,
thpb031,"B. Pottin, M. Desmons, A. France, R. Gobin, O. Piquet [CEA/DSM/IRFU, France] ","Status Report on the French High-intensity Proton Injector Project at SACLAY (IPHI)",921 923,
thpb032,"D.C. Plostinar, C.R. Prior, G.H. Rees [STFC/RAL/ASTeC, Chilton, Didcot, Oxon, United Kingdom] ","Beam Dynamics Design Aspects for a Proposed 800 MeV H- ISIS Linac",924 926,
thpb034,"L. Groening, W.A. Barth, R. Berezov, G. Clemente, P. Forck, R. Hollinger, A. Kraemer (A. Krämer), C. Muehle (C. Mühle), J. Pfister, G. Schreiber, J. Trueller (J. Trüller), W. Vinzenz, C. Will [GSI, Darmstadt, Germany] N. Chauvin, O. Delferriere (O. Delferrière), O. Tuske [CEA/IRFU, Gif-sur-Yvette, France] B. Koubek, H. Podlech, U. Ratzinger, A. Schempp, R. Tiede [IAP, Frankfurt am Main, Germany] B. Laune (B. Launé), J. Lesrel [IPN, Orsay, France] C.S. Simon [CEA/DSM/IRFU, France] ","Status of the FAIR 70 MeV Proton Linac",927 929,
thpb035,"P. Gerhard, W.A. Barth, L.A. Dahl, W. Hartmann, G. Schreiber, W. Vinzenz, H. Vormann [GSI, Darmstadt, Germany] ","Experience with a 4-Rod CW Radio Frequency Quadrupole",930 932,
thpb036,"A.D. Kovalenko [JINR, Dubna, Moscow Region, Russia] A. Kolomiets [ITEP, Moscow, Russia] ","The New Option for a Front End of Ion Linac",933 935,
thpb037,"M. Okamura [BNL, Upton, Long Island, New York, USA] P.J. Jandovitz [Cornell University, Ithaca, New York, USA] T. Kanesue [IAP, Frankfurt am Main, Germany] M. Sekine [RLNR, Tokyo, Japan] T. Yamamoto [RISE, Tokyo, Japan] ","Iron Beam Acceleration with DPIS",936 938,
thpb038,"C. Rossi, A. Dallocchio, J. Hansen, J.-B. Lallement, A.M. Lombardi, S.J. Mathot, D. Pugnat, M.A. Timmins, G. Vandoni, M. Vretenar [CERN, Geneva, Switzerland] M. Desmons, A. France, Y. Le Noa, J. Novo, O. Piquet [CEA/DSM/IRFU, France] ","Assembly and RF Tuning of the Linac4 RFQ at CERN",939 941,
thpb039,"Z.L. Zhang, X. Du, Y. He, X. Jin, C. Li, Y. Liu, A. Shi, L.P. Sun, B. Zhang, H.W. Zhao [IMP, Lanzhou, People's Republic of China] M.D. Hoff, A.R. Lambert, D. Li, J.W. Staples, S.P. Virostek [LBNL, Berkeley, California, USA] J. Wang [Lanzhou University of Technology, People's Republic of China] C. Zhang [IAP, Frankfurt am Main, Germany] ","Design of a Four-Vane RFQ for China ADS Project",942 944,
thpb040,"E. Fagotti, L. Antoniazzi, F. Grespan, A. Palmieri [INFN/LNL, Legnaro (PD), Italy] M. Desmons [CEA/DSM/IRFU, France] ","High-Power RF Conditioning of the TRASCO RFQ",945 947,
thpb042,"F. Scantamburlo, R. Dima, A. Pepato [INFN- Sez. di Padova, Padova, Italy] C. Roncolato [INFN/LNL, Legnaro (PD), Italy] ","Production and Quality Control of the First Modules of the IFMIF-EVEDA RFQ",948 950,
thpb043,"M. Comunian, F. Grespan, A. Palmieri, A. Pisent [INFN/LNL, Legnaro (PD), Italy] ","The RFQ injector for the Radioactive Ion Beam of SPES Project",951 953,
thpb044,"M.S. Champion, A.V. Aleksandrov, M.T. Crofford, D. Heidenreich, Y.W. Kang, J. Moss, R.T. Roseberry, J.P. Schubert [ORNL, Oak Ridge, Tennessee, USA] ","Plans for an Integrated Front-End Test Stand at the Spallation Neutron Source",954 956,
thpb046,"B. Koubek, A. Schempp, J.S. Schmidt [IAP, Frankfurt am Main, Germany] J. Haeuser [Kress GmbH, Biebergemuend, Germany] ","RF Setup of the MedAustron RFQ",957 959,
thpb047,"M. Vossberg, H. Klein, H. Podlech, A. Schempp, C. Zhang [IAP, Frankfurt am Main, Germany] A. Bechtold [NTG Neue Technologien GmbH  Co KG, Gelnhausen, Germany] ","Test RFQ for the MAX Project",960 962,
thpb049,"J.S. Schmidt, B. Klump, B. Koubek, A. Schempp [IAP, Frankfurt am Main, Germany] ","Tuning Studies on 4-Rod-RFQs",963 965,
thpb050,"A. Kolomiets [ITEP, Moscow, Russia] A.S. Plastun [MEPhI, Moscow, Russia] ","RFQ With Improved Energy Gain",966 968,
thpb051,"D. Raparia, J.G. Alessi, B. Briscoe, J.M. Fite, O. Gould, V. LoDestro, M. Okamura, J. Ritter, A. Zelenski [BNL, Upton, Long Island, New York, USA] ","Improvements at the BNL 200 MeV Linac",969 971,
thpb052,"Y. Kondo, K. Hasegawa, T. Morishita [JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken, Japan] H. Kawamata, F. Naito, T. Sugimura [KEK, Ibaraki, Japan] ","Recent Progress with the J-PARC RFQs",972 974,
thpb055,"J.-F. Ostiguy, A. Saini, N. Solyak [Fermilab, Batavia, USA] ","Numerical Simulations of ProjectX/PXIE RFQ",975 977,
thpb061,"I. Haber, B.L. Beaudoin, S. Bernal, R.A. Kishek, T.W. Koeth, Y. Mo [UMD, College Park, Maryland, USA] ","Experimental and Simulation Study of the Long-path-length Dynamics of a Space-charge-dominated Bunch",978 980,
thpb062,"S.U. De Silva, J.R. Delayen [ODU, Norfolk, Virginia, USA] S.U. De Silva [JLAB, Newport News, Virginia, USA] ","Multipole Field Effects for the Superconducting Parallel-Bar/RF-Dipole Deflecting/Crabbing Cavities",981 983,
thpb063,"C. Dickerson, S.A. Kondrashev, B. Mustapha, P.N. Ostroumov [ANL, Argonne, USA] ","Simulated Performance of the CARIBU EBIS Charge Breeder Transport Line",984 986,
thpb064,"A.S. Setty [THALES, Colombes, France] ","Beam Dynamics Tools for Linacs Design",987 989,
thpb065,"E. Tanke, J.A. Rodriguez, W. Wittmer, X. Wu [FRIB, East Lansing, Michigan, USA] S. Valero [CEA, Gif-sur-Yvette, France] D. Wang [NSCL, East Lansing, Michigan, USA] ","Status of the Beam Dynamics Code DYNAC",990 992,
thpb066,"A. Neumann, W. Anders, T. Kamps, J. Knobloch [HZB, Berlin, Germany] E.N. Zaplatin [FZJ, Jülich, Germany] ","Photoinjector SRF Cavity Development for BERLinPro",993 995,
thpb068,"H. Tomizawa, H. Dewa, A. Mizuno, T. Taniuchi [JASRI/SPring-8, Hyogo, Japan] ","First Observation of Photoemission Enhancement from Copper Cathode Illuminated by Z-Polarized Laser Pulse",996 998,
thpb069,"T. Kamps, A. Neumann, J. Voelker (J. Völker) [HZB, Berlin, Germany] ","Beam Dynamics Studies for SRF Photoinjectors",999 1001,
thpb073,"C. Christou, S.A. Pande [Diamond, Oxfordshire, United Kingdom] ","Initial RF Tests of the Diamond S-Band Photocathode Gun",1002 1004,
thpb074,"S.M. Polozov, T.V. Bondarenko [MEPhI, Moscow, Russia] Y.A. Bashmakov [LPI, Moscow, Russia] ","RF Photoinjector and Radiating Structure for High-power THz Radiation Source",1005 1007,
thpb076,"L. Celona, L. Allegra, C. Caliri, G. Castro, G. Ciavola, R. Di Giugno, S. Gammino, D. Mascali, L. Neri [INFN/LNS, Catania, Italy] ","Design Issues of the Proton Source for the ESS Facility",1008 1010,
thpb079,"W. Wu, S.F. Han, Y. He, L.Z. Ma, D.S. Ni, Z.J. Wang, B.M. Wu, W.J. Yang, X.L. Yang, S.J. Zheng, L. Zhu [IMP, Lanzhou, People's Republic of China] ","Development of a Superconducting Focusing Solenoid for CADS",1011 1013,
thpb081,"J.N. Bai, S. Xiao, T.G. Xu, L. Zeng [IHEP, Beijing, People's Republic of China] ","The Development of Timing Control System for RFQ",1014 1016,
thpb083,"C. Madec [CEA, Gif-sur-Yvette, France] S. Berry, J.-P. Charrier, A. Dael (A. Daël), M. Fontaine, Y. Gasser, O. Napoly, Y. Sauce, C.S. Simon, T.V. Vacher, B. Visentin [CEA/DSM/IRFU, France] A. Brasseur, P. Charon, C. Cloue (C. Cloué), S. Langlois, G. Monnereau, J.L. Perrin, D. Roudier, N. Sacepe (N. Sacépé) [CEA/IRFU, Gif-sur-Yvette, France] ","Status of E-XFEL String and Cryomodule Assembly at CEA-Saclay",1017 1019,
thpb084,"J.-W. Kim, D.G. Kim [IBS, Daejeon, Republic of Korea] C.K. Hwang [KAERI, Daejon, Republic of Korea] ","A Low-Level RF Control System for a Quarter-Wave Resonator",1020 1022,
thpb085,"J. Branlard, V. Ayvazyan, O. Hensler, H. Schlarb, Ch. Schmidt, N.J. Walker, M. Walla [DESY, Hamburg, Germany] G.I. Cancelo, B. Chase [Fermilab, Batavia, USA] J. Carwardine [ANL, Argonne, USA] W. Cichalewski, W. Jalmuzna (W. Jałmużna) [TUL-DMCS, Lodz, Poland] S. Michizono [KEK, Ibaraki, Japan] ","LLRF Automation for the 9mA ILC Tests at FLASH",1023 1025,
thpb086,"Ch. Schmidt, J. Branlard, S. Pfeiffer, H. Schlarb [DESY, Hamburg, Germany] W. Jalmuzna (W. Jałmużna) [TUL-DMCS, Lodz, Poland] ","Precision Regulation of RF Fields with MIMO Controllers and Cavity-based Notch Filters",1026 1028,
thpb089,"I. Moya, J. Calero, J.M. Cela-Ruiz, L. García-Tabarés, A. Guirao, J.L. Gutierrez (J.L. Gutiérrez), L.M. Martinez, T. Martínez de Alvaro, E. Molina Marinas, L. Sanchez, S. Sanz, F. Toral, C. Vazquez (C. Vázquez), J.G.S. de la Gama [CIEMAT, Madrid, Spain] J. Campmany, J. Marcos, V. Massana [CELLS-ALBA Synchrotron, Cerdanyola del Vallès, Spain] ","Magnetic Characterization of the Phase Shifter Prototypes Built by CIEMAT for E-XFEL",1029 1031,
thpb091,"M. Jonker, H. Schmickler, R. Schmidt, D. Schulte [CERN, Geneva, Switzerland] M.C. Ross [SLAC, Menlo Park, California, USA] ","Machine Protection Issues and Solutions for Linear Accelerator Complexes",1032 1034,
thpb092,"S. Suzuki, T. Asaka, H. Dewa, H. Hanaki, T. Kobayashi, T. Magome, A. Mizuno, T. Taniuchi, H. Tomizawa, K. Yanagida [JASRI/SPring-8, Hyogo-ken, Japan] ","Recent Improvements in SPring-8 Linac for Early Recovery from Beam Interruption",1035 1037,
thpb094,"A. Shor, D. Berkovits, I. Fishman, A. Grin, B. Kaizer, L. Weissman [Soreq NRC, Yavne, Israel] ","Performance of Beam Chopper at SARAF via RF Deflector Before the RFQ",1038 1040,
thpb095,"K. Koyama [UTNL, Ibaraki, Japan] A. Aimidura, M. Uesaka [The University of Tokyo, Nuclear Professional School, Ibaraki-ken, Japan] Y. Matsumura [University of Tokyo, Tokyo, Japan] T. Natsui, M. Yoshida [KEK, Ibaraki, Japan] ","Designing of a Phase-mask-type Laser Driven Dielectric Accelerator for Radiobiology",1041 1043,
thpb096,"S.V. Kuzikov, A.V. Savilov [IAP/RAS, Nizhny Novgorod, Russia] S.V. Kuzikov [Omega-P, Inc., New Haven, USA] ","High-power Sources of RF Radiation Driven by Periodic Laser Pulses",1044 1046,
thpb097,"E. Pozdeyev, N.K. Bultman, G. Machicoane, G. Morgan, X. Rao, Q. Zhao [FRIB, East Lansing, Michigan, USA] V.L. Smirnov, S.B. Vorozhtsov [JINR, Dubna, Moscow Region, Russia] J. Stovall [CERN, Geneva, Switzerland] L.T. Sun [IMP, Lanzhou, People's Republic of China] L.M. Young [LANL, Los Alamos, New Mexico, USA] ","FRIB Front End Design Status",1047 1049,
thplb01,"S. Fu, J. Li, H.C. Liu, H.F. Ouyang, X. Yin [IHEP, Beijing, People's Republic of China] ","Linac Construction for China Spallation Neutron Source",807 809,
thplb02,"P. Varghese, B.W. Barnes, B. Chase, E. Cullerton, C.C. Tan [Fermilab, Batavia, USA] ","Performance of Ferrite Vector Modulators in the LLRF system of the Fermilab HINS 6-Cavity Test",810 812,
thplb03,"C. Zhang, H. Klein, D. Mäder, H. Podlech, U. Ratzinger, A. Schempp, R. Tiede, M. Vossberg [IAP, Frankfurt am Main, Germany] ","Front-End Linac Design and Beam Dynamics Simulations for MYRRHA",813 815,
thplb04,"J. Zhu, S. Chen, J. Deng, Y. Shen, J. Shi, W.D. Wang, L.S. Xia, H. Zhang, L.W. Zhang [CAEP/IFP, Mainyang, Sichuan, People's Republic of China] ","Preliminary Study of Proton Beam Transport in a 10 MeV Dielectric Wall Accelerator",816 818,
thplb05,"S.C. Joshi, J. Dwivedi, P.D. Gupta, P.R. Hannurkar, P. Khare, P.K. Kush, G. Mundra, A. Puntambekar, S.B. Roy, P. Shrivastava [RRCAT, Indore (M.P.), India] ","R&D Activities on High Intensity Superconducting Proton Linac at RRCAT",819 821,
thplb06,"A.D. Kovalenko [JINR, Dubna, Moscow Region, Russia] A. Kolomiets [ITEP, Moscow, Russia] ","The New Option for a Front End of Ion Linac",822 824,
thplb07,"P. Gerhard, W.A. Barth, L.A. Dahl, W. Hartmann, G. Schreiber, W. Vinzenz, H. Vormann [GSI, Darmstadt, Germany] ","Experience with a 4-Rod CW Radio Frequency Quadrupole",825 827,
thplb08,"E. Fagotti, L. Antoniazzi, F. Grespan, A. Palmieri [INFN/LNL, Legnaro (PD), Italy] M. Desmons [CEA/DSM/IRFU, France] ","High-Power RF Conditioning of the TRASCO RFQ",828 830,
thplb09,"C. Madec [CEA, Gif-sur-Yvette, France] S. Berry, J.-P. Charrier, A. Dael (A. Daël), M. Fontaine, Y. Gasser, O. Napoly, Y. Sauce, C.S. Simon, T.V. Vacher, B. Visentin [CEA/DSM/IRFU, France] A. Brasseur, P. Charon, C. Cloue (C. Cloué), S. Langlois, G. Monnereau, J.L. Perrin, D. Roudier, N. Sacepe (N. Sacépé) [CEA/IRFU, Gif-sur-Yvette, France] ","Status of E-XFEL String and Cryomodule Assembly at CEA-Saclay",831 833,
thplb11,"I. Haber, B.L. Beaudoin, S. Bernal, R.A. Kishek, T.W. Koeth, Y. Mo [UMD, College Park, Maryland, USA] ","Experimental and Simulation Study of the Long-path-length Dynamics of a Space-charge-dominated Bunch",834 836,
thplb12,"A. Neumann, W. Anders, T. Kamps, J. Knobloch [HZB, Berlin, Germany] E.N. Zaplatin [FZJ, Jülich, Germany] ","Photoinjector SRF Cavity Development for BERLinPro",837 839,
tu1a01,"A. Mosnier [Fusion for Energy, Garching, Germany] ","Status of the IFMIF-EVEDA 9 MeV 125 mA Deuteron Linac",407 411,
tu1a03,"Y.L. Chi, S. Fu, W.M. Pan, P. Sha [IHEP, Beijing, People's Republic of China] Q.Z. Xing [TUB, Beijing, People's Republic of China] ","Chinese ADS Project and Proton Accelerator Development",412 416,
tu1a04,"J. Wei, E.C. Bernard, N.K. Bultman, F. Casagrande, S. Chouhan, C. Compton, K.D. Davidson, A. Facco, P.E. Gibson, T . Glasmacher, K. Holland, M.J. Johnson, S. Jones, D. Leitner, M. Leitner, G. Machicoane, F. Marti, D. Morris, J.P. Ozelis, S. Peng, J. Popielarski, L. Popielarski, E. Pozdeyev, T. Russo, K. Saito, R.C. Webber, M. Williams, Y. Yamazaki, A. Zeller, Y. Zhang, Q. Zhao [FRIB, East Lansing, USA] D. Arenius, V. Ganni [JLAB, Newport News, Virginia, USA] J.A. Nolen [ANL, Argonne, USA] ","FRIB Accelerator Status and Challenges",417 421,
tu1a05,"H.-J. Kwon, Y.-S. Cho, J.-H. Jang, D.I. Kim, H.S. Kim, B.-S. Park, J.Y. Ryu, K.T. Seol, Y.-G. Song, S.P. Yun [KAERI, Daejon, Republic of Korea] ","Status and Commissioning Plan of the PEFP 100-MeV Linear Accelerator",422 426,
tu2a02,"Y. Otake [RIKEN SPring-8 Center, Sayo-cho, Sayo-gun, Hyogo, Japan] ","Overview of SACLA Machine Status",427 431,
tu2a03,"T.O. Raubenheimer [SLAC, Menlo Park, California, USA] ","LCLS Operation Experience and LCLS-II Design",432 436,
tu2a04,"I. Ben-Zvi [BNL, Upton, Long Island, New York, USA] ","High Current ERL at BNL",437 441,
tupb001,"V.V. Paramonov [RAS/INR, Moscow, Russia] ","The Fine Structure of the Zone of Particle Interaction with a Finite Length Periodic Structure",473 475,
tupb002,"V.V. Paramonov [RAS/INR, Moscow, Russia] ","Deflecting Structures with Minimized Level of Aberrations",476 478,
tupb004,"V. Vogel, L. Butkowski, A. Cherepenko, S. Choroba, I. Harders, J. Hartung [DESY, Hamburg, Germany] ","Results of Testing of Multi-beam Klystrons for the European XFEL",479 481,
tupb005,"A. Gover [University of Tel-Aviv, Faculty of Engineering, Tel-Aviv, Israel] A. Nause [University of Tel Aviv, Tel Aviv, Israel] ","Computational Model Analysis for Experimental Observation of Optical Current Noise Suppression Below the Shot-noise Limit",482 485,
tupb006,"T. Asaka, T. Hasegawa, T. Inagaki, H. Maesaka, T. Ohshima, Y. Otake, S. Takahashi, K. Togawa [RIKEN SPring-8 Center, Sayo-cho, Sayo-gun, Hyogo, Japan] ","Stability Performance of the Injector for SACLA/XFEL at SPring-8",486 488,
tupb008,"A. Zholents [ANL, Argonne, USA] ","Major Trends in Linac Design for X-ray FELs",489 491,
tupb009,"R. Zennaro, J. Alex, H. Blumer, M. Bopp, A. Citterio, T. Kleeb, L. Paly, J.-Y. Raguin [PSI, Villigen, Switzerland] ","C-Band Accelerating Structure Development and Tests for the SwissFEL",492 494,
tupb010,"J.-Y. Raguin, M. Bopp, A. Citterio, A. Scherer [PSI, Villigen, Switzerland] ","The Swiss FEL RF Gun: RF Design and Thermal Analysis",495 497,
tupb011,"J.-Y. Raguin [PSI, Villigen, Switzerland] ","The Swiss FEL S-Band Accelerating Structure: RF Design",498 500,
tupb012,"J.-Y. Raguin, M. Bopp [PSI, Villigen, Switzerland] ","The Swiss FEL C-Band Accelerating Structure: RF Design and Thermal Analysis",501 503,
tupb013,"T. Schietinger [PSI, Villigen, Switzerland] ","Update on the Commissioning Effort at the SwissFEL Injector Test Facility",504 506,
tupb014,"Yu. Lurie, Y. Pinhasi [Ariel University Center of Samaria, Faculty of Engineering, Ariel, Israel] ","Comparative Design of Single Pass, Photo-cathode RF-LINAC FEL for the THz Frequency Range: Self Amplification vs. Enhanced Super-radiance",507 509,
tupb015,"M. Huening (M. Hüning) [DESY, Hamburg, Germany] ","Warm Beamlines and Infrastructure in the European XFEL",510 512,
tupb018,"D. Gu, Q. Gu, D. Huang, M. Zhang, M.H. Zhao [SINAP, Shanghai, People's Republic of China] ","Study of Beam-Based Alignment for Shanghai Soft X-Ray FEL Facility",513 515,
tupb019,"J.K. Sekutowicz, V. Ayvazyan, J. Branlard, M. Ebert, J. Eschke, A. Goessel (A. Gössel), D. Kostin, W. Merz, F. Mittag, R. Onken [DESY, Hamburg, Germany] W. Cichalewski, W. Jalmuzna (W. Jałmużna), A. Piotrowski, K.P. Przygoda [TUL-DMCS, Lodz, Poland] K. Czuba, L. Zembala (Ł. Zembala) [Warsaw University of Technology, Institute of Electronic Systems, Warsaw, Poland] I.M. Kudla, J. Szewinski (J. Szewiński) [NCBJ, Swierk/Otwock, Poland] ","Second CW and LP Operation Test of XFEL Prototype Cryomodule",516 518,
tupb020,"E. Vogel [DESY, Hamburg, Germany] A. Bosotti, P. Michelato, L. Monaco, C. Pagani, R. Paparella, P. Pierini, D. Sertore [INFN/LASA, Segrate (MI), Italy] E.R. Harms [Fermilab, Batavia, USA] ","Status of the European XFEL 3.9 GHz system",519 521,
tupb021,"D. Huang, Q. Gu [SINAP, Shanghai, People's Republic of China] K.Y. Ng [Fermilab, Batavia, USA] ","Study of Plasma Effect in Longitudinal Space Charge Induced Microbunching Instability",522 524,
tupb022,"Q. Gu, M. Zhang, M.H. Zhao [SINAP, Shanghai, People's Republic of China] ","A Passive Linearizer for Bunch Compression",525 527,
tupb023,"A.Yu. Smirnov, O.A. Adonev, P.V. Binyukov, N.P. Sobenin [MEPhI, Moscow, Russia] ","The Optimization of RF Deflector Input Power Coupler",528 530,
tupb026,"F. Hug, C. Burandt, M. Konrad, N. Pietralla [TU Darmstadt, Darmstadt, Germany] R. Eichhorn [Cornell University, Ithaca, New York, USA] ","Measurements of a Reduced Energy Spread of a Recirculating Linac by Non-isochronous Beam Dynamics",531 533,
tupb028,"J.-W. Kim [IBS, Daejeon, Republic of Korea] ","Status of the Rare Isotope Science Project in Korea",534 536,
tupb029,"C. Jamet, T.A. Andre (T. André), C. Doutresssoulles, B. Ducoudret, W. Le Coz, G. Ledu, S.L. Leloir, S. Loret [GANIL, Caen, France] ","Beam Intensity and Energy Control for the SPIRAL2 Facility",537 539,
tupb030,"D. Jeon, C. Choi, J.D. Joo, H.C. Jung, H.J. Kim, H.J. Kim, S.K. Kim, Y.H. Kim, J.H. Lee, G.-T. Park, J. Song [IBS, Daejeon, Republic of Korea] Y.Y. Lee [KAERI, Daejon, Republic of Korea] ","Overview of the Superconducting Linacs of the Rare Isotope Science Project",540 542,
tupb031,"V.S. Dyubkov, A.S. Plastun [MEPhI, Moscow, Russia] ","Beam Envelope Analysis and Simulation",543 545,
tupb032,"M. Comunian, C. Roncolato [INFN/LNL, Legnaro (PD), Italy] B.B. Chalykh [ITEP, Moscow, Russia] ","Beam Dynamics of the Linac ALPI-PIAVE in View of Possible Upgrades Scenario for the SPES Project.",546 548,
tupb033,"B.K. Sahu, R. Ahuja, G.K. Chowdhury, R.N. Dutt, S. Ghosh, D. Kanjilal, J. Karmakar, M. Kumar, R. Kumar, D.S. Mathuria, A. Pandey, P. Patra, A. Rai, A. Roy, S.K. Suman [IUAC, New Delhi, India] ","Piezoelectric Actuator Based Phase Locking System for IUAC Linac",549 551,
tupb034,"S.X. Peng, J. Chen, J.E. Chen, S.L. Gao, Z.Y. Guo, P.N. Lu, H.T. Ren, Z. Wang, Y. Xu, J. Zhao [PKU/IHIP, Beijing, People's Republic of China] ","A Helium Injector for Coupled RFQ and SFRFQ Cavity Project at Peking University",552 554,
tupb035,"S.G. Yaramyshev, W.A. Barth, G. Clemente, L.A. Dahl, V. Gettmann, F. Herfurth, M. Kaiser, M.T. Maier, D. Neidherr, A. Orzhekhovskaya, H. Vormann, G. Vorobjev [GSI, Darmstadt, Germany] R. Repnow [MPI-K, Heidelberg, Germany] ","A New Design of the RFQ Channel for GSI HITRAP Facility",555 557,
tupb036,"L.P. Sun, X. Du, Y. He, A. Shi, C. Zhang, Z.L. Zhang [IMP, Lanzhou, People's Republic of China] ","Design of Re-Buncher Cavity for Heavy-ion LINAC in IMP",558 560,
tupb039,"Z.J. Wang, Y. He, H. Jia, C. Li, S.H. Liu, W. Wu, X.B. Xu, B. Zhang, H.W. Zhao [IMP, Lanzhou, People's Republic of China] ","Conceptual Design of Superconducting Heavy Ion Linear Injector for HIAF",561 563,
tupb040,"M. Leitner, E.C. Bernard, J. Binkowski, B. Bird, S. Bricker, S. Chouhan, C. Compton, K. Elliott, B. Enkhbat, A.D. Fox, L.L. Harle, M. Hodek, M.J. Johnson, I.M. Malloch, D. R. Miller, S.J. Miller, T. Nellis, D. Norton, R. Oweiss, J.P. Ozelis, J. Popielarski, L. Popielarski, K. Saito, M. Shuptar, G.J. Velianoff, J. Wei, M. Williams, K. Witgen, Y. Xu, Y. Yamazaki, Y. Zhang [FRIB, East Lansing, USA] A. Facco [INFN/LNL, Legnaro (PD), Italy] ","Status of the Linac SRF Acquisition for FRIB",564 566,
tupb041,"F. Roncarolo, E. Chevallay, M. Duraffourg, G.J. Focker, C. Hessler (C. Heßler), U. Raich, VC. Vuitton, F. Zocca [CERN, Geneva, Switzerland] B. Cheymol [ESS, Lund, Sweden] ","Scattering of H- Stripped Electrons from SEM Grids and Wire Scanners at the CERN LINAC4",567 569,
tupb042,"T. Morishita [JAEA/LINAC, Ibaraki-ken, Japan] K. Hasegawa, Y. Kondo [JAEA, Ibaraki-ken, Japan] H. Kawamata, F. Naito, T. Sugimura [KEK, Ibaraki, Japan] ","Progress on RFQIII Fabrication in J-PARC Linac",570 572,
tupb043,"X.H. Zhang, J.W. Xia, Y.J. Yuan [IMP, Lanzhou, People's Republic of China] ","One Design of Heavy Ion Linac Injector for CSRm",573 575,
tupb044,"X.H. Guo, Y.N. Han, T. Jin, X.F. Niu, H.L. Su, J.H. Zhang [IMP, Lanzhou, People's Republic of China] L.Q. Liu, N. Peng, L.-Y. Xiong [TIPC, BeiJing, People's Republic of China] ","Cryogenic System for the ADS Injector II in IMP, CAS",576 578,
tupb046,"P.N. Ostroumov, A. Barcikowski, Z.A. Conway, S.M. Gerbick, M. Kedzie, M.P. Kelly, S.V. Kutsaev, J.W. Morgan, R.C. Murphy, B. Mustapha, D.R. Paskvan, T. Reid, D.L. Schrage, S.I. Sharamentov, K.W. Shepard, G.P. Zinkann [ANL, Argonne, USA] ","R&D Towards CW Ion Linacs at ANL",579 581,
tupb047,"W. Venturini Delsolaro, L. Alberty Vieira, S. Calatroni, O. Capatina, A. D'Elia, B. Delaup, M.A. Fraser, N.M. Jecklin, Y. Kadi, P. Maesen, I. Mondino, E. Montesinos, M. Therasse, D. Valuch [CERN, Geneva, Switzerland] ","Status of the Superconducting RF Activities for the HIE ISOLDE Project",582 584,
tupb048,"S. Molloy [ESS, Lund, Sweden] R. Ainsworth [Royal Holloway, University of London, Surrey, United Kingdom] ","Discussion of the Optimisation of a Linac Lattice to Minimise Disruption by a Class of Parasitic Modes",585 587,
tupb049,"P.N. Prakash, K.K. Mistri, A. Roy, J. Sacharias, S.S. Sonti [IUAC, New Delhi, India] ","Superconducting Low Beta Niobium Resonator for Heavy Ions",588 590,
tupb052,"R. Ainsworth [Royal Holloway, University of London, Surrey, United Kingdom] S. Molloy [ESS, Lund, Sweden] ","Studies of Parasitic Cavity Modes for Proposed ESS Linac Lattices",591 593,
tupb053,"S. Kazakov, S. Cheban, T.N. Khabiboulline, M. Kramp, Y. Orlov, V. Poloubotko, O. Pronitchev, V.P. Yakovlev [Fermilab, Batavia, USA] M.S. Champion [ORNL, Oak Ridge, Tennessee, USA] ","Main Coupler Design for Project X",594 596,
