frioa06,"E. Gschwendtner [CERN, Geneva, Switzerland] ","AWAKE: Advanced Proton Driven Plasma Wakefield Acceleration Experiment at CERN",1196 1201,
thpp068,"M. Busch, M. Amberg, F.D. Dziuba, H. Podlech, U. Ratzinger [IAP, Frankfurt am Main, Germany] M. Amberg [HIM, Mainz, Germany] ","Cold Power Tests of the SC 325 MHz CH-Cavity",1007 1009,
thpp069,"B. Koubek, H. Podlech, A. Schempp, J.S. Schmidt [IAP, Frankfurt am Main, Germany] ","Status and Outlook of the 325 MHz 4-Rod RFQ",1010 1012,
thpp070,"K. Schulte, M. Droba, S. Klaproth, O. Meusel, D. Noll, U. Ratzinger [IAP, Frankfurt am Main, Germany] S.G. Yaramyshev [GSI, Darmstadt, Germany] ","Alternative Compact LEBT Design for the FAIR Injector Upgrade",1013 1015,
thpp071,"M. Schütt, U. Ratzinger [IAP, Frankfurt am Main, Germany] R. M. Brodhage [GSI, Darmstadt, Germany] ","Proposal of a 325 MHz Ladder-RFQ for the FAIR Proton-Linac",1016 1018,
thpp072,"A. Burrill, W. Anders, A. Frahm, J. Knobloch, A. Neumann [HZB, Berlin, Germany] G. Ciovati, P. Kneisel, L. Turlington [JLab, Newport News, Virginia, USA] ","BERLinPro Booster Cavity Design, Fabrication and Test Plans",1019 1022,
thpp073,"K. Futatsukawa [KEK, Ibaraki, Japan] ","Cavity Excitation of the Chopped Beam at the J-PARC Linac",1023 1025,
thpp074,"T. Kubo [KEK, Ibaraki, Japan] ","Superconducting Nano-Layer Coating Without Insulator",1026 1029,
thpp075,"T. Kubo, T. Saeki [KEK, Ibaraki, Japan] E. Cenni, H. Fujisawa, Y. Iwashita, H. Tongu [Kyoto ICR, Uji, Kyoto, Japan] R. Hajima, M. Sawamura [JAEA, Ibaraki-ken, Japan] ","Development of Superconducting Spoke Cavity for Electron Accelerators",1030 1033,
thpp077,"N. Gandolfo, S. Bousson, S. Brault, P. Duchesne, P. Duthil, G. Olry, D. Reynet [IPN, Orsay, France] C. Darve, M. Lindroos [ESS, Lund, Sweden] ","Fast Tuner Performance for a Double Spoke Cavity",1034 1036,
thpp078,"D. Longuevergne, F. Chatelet, C. Commeaux, N. Gandolfo, D. Grolet, C. Joly, J. Lesrel, R. Martret, G. Michel, G. Olry, L. Renard, A. Stephen, P. Szott [IPN, Orsay, France] ","Troubleshooting and Performances of Type-B Spiral2 Series Cryomodule",1037 1040,
thpp079,"H.J. Cha, M.O. Hyun, D. Jeon, H.C. Jung, H.J. Kim [IBS, Daejeon, Republic of Korea] ","Prototyping Progress of SSR1 Single Spoke Resonator for RAON",99 98,
thpp084,"S.V. Kuzikov, I.V. Bandurkin, A.V. Savilov [IAP/RAS, Nizhny Novgorod, Russia] A.V. Savilov [NNGU, Nizhny Novgorod, Russia] ","Cyclotron-Undulator Cooling of Electron Beams",1041 1043,
thpp085,"L. Celona, L. Andò, G. Castro, S. Gammino, D. Mascali, L. Neri, G. Torrisi [INFN/LNS, Catania, Italy] ","The Prototype of the Proton Injector for the European Spallation Source",1044 1046,
thpp086,"M. Comunian, F. Grespan, A. Pisent [INFN/LNL, Legnaro (PD), Italy] ","ESS DTL Error Study",1047 1049,
thpp087,"F. Grespan, M. Comunian, A. Pisent, M. Poggi, C. R. Roncolato [INFN/LNL, Legnaro (PD), Italy] P. Mereu [INFN-Torino, Torino, Italy] ","ESS DTL Design and Drift Tube Prototypes",1050 1052,
thpp089,"H. Ao, T. Ito, Y. Nemoto, H. Oguri, N. Ouchi, J. Tamura [JAEA/J-PARC, Tokai-mura, Japan] H. Asano [Nippon Advanced Technology Co. Ltd., Ibaraki-prefecture, Japan] Z. Fang, K. Futatsukawa, K. Nanmo, T. Sugimura [KEK, Ibaraki, Japan] ","High Power Conditioning of Annular-Ring Coupled Structures for the J-PARC Linac",1053 1055,
thpp090,"T. Maruta, Y. Liu [KEK/JAEA, Ibaraki-Ken, Japan] A. Miura [JAEA/J-PARC, Tokai-mura, Japan] ","Longitudinal Measurement of Annular-Ring Coupled Structure Linac in J-PARC",1056 1058,
thpp091,"A. Miura, K. Hasegawa, H. Oguri, N. Ouchi [JAEA/J-PARC, Tokai-mura, Japan] M. Ikegami [FRIB, East Lansing, Michigan, USA] Y. Liu [KEK/JAEA, Ibaraki-Ken, Japan] T. Maruta [J-PARC, KEK  JAEA, Ibaraki-ken, Japan] T. Miyao [KEK, Ibaraki, Japan] ","Installation and Performance Check of Beam Monitors for Energy Upgraded J-PARC Linac",1059 1061,
thpp092,"S. Imajo [Kyoto University, Kyoto, Japan] Y. Fuwa, Y. Iwashita, R. Kitahara [Kyoto ICR, Uji, Kyoto, Japan] T. Ino [KEK, Ibaraki, Japan] M. Kitaguchi, H.M. Shimizu [Nagoya University, Nagoya, Japan] K. Mishima [ICEPP, Tokyo, Japan] ","Development of Slow Neutron Accelerator for Rebunching Pulsed Neutrons",1062 1064,
thpp093,"Y. Iwashita [Kyoto ICR, Uji, Kyoto, Japan] H. Hayano, T. Kubo, K. Watanabe, Y. Yamamoto [KEK, Ibaraki, Japan] ","Combined System of Optical Inspection and Local Grinder",1065 1067,
thpp094,"A.V. Butenko, D.E. Donets, E.E. Donets, A.D. Kovalenko, A.O. Sidorin, A. Tuzikov [JINR/VBLHEP, Moscow, Russia] V. Aleksandrov, E.D. Donets, A. Govorov, V. Kobets, K.A. Levterov, I.N. Meshkov, V.A. Mikhaylov, V. Monchinsky, G.V. Trubnikov [JINR, Dubna, Moscow Region, Russia] H. Hoeltermann, H. Podlech, U. Ratzinger, A. Schempp [BEVATECH, Frankfurt, Germany] T. Kulevoy, D.A. Liakin [ITEP, Moscow, Russia] ","The Heavy Ion Injector at the NICA Project",1068 1070,
thpp095,"J.G. Hwang, C. Kim, E.-S. Kim [Kyungpook National University, Daegu, Republic of Korea] B.H. Choi, H. Jang, D. Jeon, H.J. Kim, H.J. Kim, I. Shin [IBS, Daejeon, Republic of Korea] L. Lee [KNU, Deagu, Republic of Korea] ","Design Study of Superconducting Linear Accelerator for Unstable Ion Beams in RISP",1071 1073,
thpp096,"M. El Khaldi, W. Kaabi, P. Lepercq, Y. Peinaud [LAL, Orsay, France] ","RF Coaxial Resonator for Investigating Multipactor Discharges on Metal and Dielectric Surfaces",1074 1076,
thpp097,"S.S. Kurennoy [LANL, Los Alamos, New Mexico, USA] ","3D Effects in RFQ Accelerators",1077 1079,
thpp098,"V. Chouhan, Y.I. Ida, K.N. Nii, T.Y. Yamaguchi [MGH, Hyogo-ken, Japan] H. Hayano, S. Kato, H. Monjushiro, T. Saeki, M. Sawabe [KEK, Ibaraki, Japan] K. Ishimi [MGI, Chiba, Japan] ","Vertical Electropolishing of Nb Coupon Cavity and Surface Study of the Coupon Samples",1080 1083,
thpp099,"T. Yanagisawa, H. Hara, N. Ikeda, K. Sennyu [MHI, Hiroshima, Japan] ","Status of Superconducting Cavity and Cryomodule Development at MHI",1084 1086,
thpp100,"K. Okihira, H. Hara, N. Ikeda, F. Inoue, K. Sennyu [MHI, Kobe, Japan] R.L. Geng, R.A. Rimmer [JLab, Newport News, Virginia, USA] E. Kako [KEK, Ibaraki, Japan] ","Result of MHI 2-Cell Seamless Dumb-Bell Cavity Vertical Test",1087 1089,
thpp102,"H.Y. Barminova [MEPhI, Moscow, Russia] ","On Nonlinear Dynamics of a Sheet Electron Beam",1090 1092,
thpp103,"T.V. Bondarenko, Yu.D. Kliuchevskaia, S.M. Polozov [MEPhI, Moscow, Russia] ","Low Dose X-Ray Radiation Source for Angiography Based on Channeling Radiation Principle",1093 1095,
thpp104,"Yu.D. Kliuchevskaia, T.V. Bondarenko, S.M. Polozov [MEPhI, Moscow, Russia] ","Simulation of the Electron Beam Dynamics in the Biperiodical Structure",1096 1098,
thpp105,"S.M. Polozov, V.S. Dyubkov, T. Kulevoy, A.V. Samoshin [MEPhI, Moscow, Russia] G. Kropachev, T. Kulevoy [ITEP, Moscow, Russia] ","Beam Dynamics Simulation for the 1 GeV High Power Proton Linac",1099 1101,
thpp107,"M. Umehara [Nomura Plating Co, Ltd., Osaka, Japan] H. Hayano, T. Saeki [KEK, Ibaraki, Japan] ","Study on Polishing Method of Nb Surface by Periodic Reverse Current Electrolysis With Alkali Solution",1102 1104,
thpp108,"A.V. Aleksandrov, M.S. Champion, M.T. Crofford, Y.W. Kang, A.A. Menshov, R.T. Roseberry, M.P. Stockli, A. Webster, R.F. Welton, A.P. Zhukov [ORNL, Oak Ridge, Tennessee, USA] K. Ewald [Fermilab, Batavia, Illinois, USA] M.E. Middendorf, S.N. Murray, R.B. Saethre [ORNL RAD, Oak Ridge, Tennessee, USA] ","Status of New 2.5 MeV Test Facility at SNS",1105 1107,
thpp109,"M.P. Howell, M. Doleans, D.L. Douglas, S.-H. Kim [ORNL, Oak Ridge, Tennessee, USA] R. Afanador, B. DeGraff, B.S. Hannah, C.J. McMahan, T.S. Neustadt, S.W. Ottaway, J. Saunders, P.V. Tyagi, D.M. Vandygriff [ORNL RAD, Oak Ridge, Tennessee, USA] ","History of Cryomodule Repairs at SNS",1108 1110,
thpp112,"A. Castilla, J.R. Delayen [ODU, Norfolk, Virginia, USA] A. Castilla [DCI-UG, León, Mexico] A. Castilla, J.R. Delayen [JLab, Newport News, Virginia, USA] ","Multipacting Optimization of a 750 MHz RF Dipole",1111 1113,
thpp113,"Z. Geng, M. Broennimann, I. Brunnenkant, A. Dietrich, F. Gärtner, A. Hauff, M. Jurcevic, R. Kalt, S. Mair, A. Rezaeizadeh, L. Schebacher, T. Schilcher, W. Sturzenegger [PSI, Villigen PSI, Switzerland] ","Architecture Design for the SwissFEL LLRF System",1114 1116,
thpp114,"U. Ellenberger, H. Blumer, M. Kleeb, L. Paly, M. Probst [Paul Scherrer Institute, Villigen PSI, Switzerland] M. Bopp, A. Citterio, H. Fitze, J.-Y. Raguin, A. Scherer, L. Stingelin [PSI, Villigen PSI, Switzerland] ","The SwissFEL RF Gun: Manufacturing and Proof of Precision by Field Profile Measurements",1117 1119,
thpp115,"T. Zhang, J.E. Chen, Z.Y. Guo, S.X. Peng, H.T. Ren, Y. Xu, J.F. Zhang, J. Zhao [PKU, Beijing, People's Republic of China] A.L. Zhang [University of Chinese Academy of Sciences, Beijing, People's Republic of China] ","PKU 2.45 GHz Microwave Driven H- Ion Source Performance Study",1120 1122,
thpp116,"N. Sakamoto, M. Fujimaki, N. Fukunishi, Y. Higurashi, O. Kamigaito, H. Okuno, K. Suda, T. Watanabe, Y. Watanabe, K. Yamada [RIKEN Nishina Center, Wako, Japan] R. Koyama [SHI Accelerator Service Ltd., Tokyo, Japan] ","Performance of New Injector RILAC2 for Riken Ri-Beam Factory",1123 1126,
thpp118,"K. Yamada, O. Kamigaito, N. Sakamoto, K. Suda [RIKEN Nishina Center, Wako, Japan] ","Design of a New Superconducting Linac for the RIBF Upgrade",1127 1130,
thpp119,"T. Asaka, T. Hasegawa, H. Maesaka, Y. Otake, K. Togawa [RIKEN SPring-8 Center, Sayo-cho, Sayo-gun, Hyogo, Japan] ","Stabilization of Beam Performance due to Improvement of the Precise Temperature Regulation System of the SACLA Injector",1131 1133,
thpp120,"L. Faillace, R.B. Agustsson, J.J. Hartzell, A.Y. Murokh, S. Storms [RadiaBeam, Santa Monica, California, USA] ","Status of Radio-Frequency (RF) Deflectors at Radiabeam",1134 1136,
thpp121,"L. Faillace, R.B. Agustsson [RadiaBeam, Santa Monica, California, USA] A. Kumar, K.K. Pant [RRCAT, Indore (M.P.), India] ","Injector System for the IR-FEL at RRCAT",1137 1139,
thpp122,"S.C. Joshi, J. Dwivedi, P.D. Gupta, P.R. Hannurkar, V. Jain, P. Khare, P.K. Kush, G. Mundra, A. Puntambekar, S. Raghvendra, S.B. Roy, P. Shrivastava [RRCAT, Indore (M.P.), India] ","Development of Superconducting Cavities and Related Infrastructure for High Intensity Proton Linac for Spallation Neutron Source",1140 1143,
thpp123,"A.E. Levichev, A.M. Barnyakov, D.A. Nikiforov [BINP SB RAS, Novosibirsk, Russia] Y.D. Chernousov [ICKC, Novosibirsk, Russia] V. Ivannikov, I.V. Shebolaev [ICKC SB RAS, Novosibirsk, Russia] ","Experience of Operation of the Electron Linear Accelerator Based on Parallel Coupled Accelerating Structure",1144 1146,
thpp124,"K.L.F. Bane, T.O. Raubenheimer [SLAC, Menlo Park, California, USA] A. Romanenko, V.P. Yakovlev [Fermilab, Batavia, Illinois, USA] ","Wakefields in the Superconducting RF Cavities of LCLS-II",1147 1150,
thpp125,"J.W. Wang, S.G. Tantawi, C. Xu [SLAC, Menlo Park, California, USA] ","Super-Compact SLED System Used in the LCLS Diagnostic System",1151 1154,
thpp126,"B.L. Militsyn, L.S. Cowie, P. Goudket, J.W. McKenzie, A.E. Wheelhouse [STFC/DL/ASTeC, Daresbury, Warrington, Cheshire, United Kingdom] G. Burt [Cockcroft Institute, Lancaster University, Lancaster, United Kingdom] T.J. Jones [STFC/DL, Daresbury, Warrington, Cheshire, United Kingdom] V.V. Paramonov, A.K. Skasyrskaya [RAS/INR, Moscow, Russia] ","Design of the High Repetition Rate Photocathode Gun for the CLARA Project",1155 1158,
thpp127,"S. Ricciardi [STFC/RAL, Chilton, Didcot, Oxon, United Kingdom] ","The Status of the Construction of MICE Step IV",1159 1161,
thpp129,"T.V. Bondarenko, A.I. Botyachkova, G.G. Karpinskiy, S.A. Polikhov, G.B. Sharkov [Siemens Research Center, Moscow,, Russia] A.I. Botyachkova, G.G. Karpinskiy [National Research Nuclear University (MEPhI), Moscow, Russia] A.E. Geisler, O. Heid [Siemens AG, Erlangen, Germany] ","Carbon Field Emission Strip Cathode Electron Source",99 98,
thpp130,"M. Omet [Sokendai, Ibaraki, Japan] B. Chase, P. Varghese [Fermilab, Batavia, Illinois, USA] T. Matsumoto, S. Michizono, T. Miura, F. Qiu [KEK, Ibaraki, Japan] ","Development of FPGA-based Predistortion-type Linearization Algorithms for Klystrons within Digital LLRF Control Systems for ILC-like Electron Accelerators",1162 1164,
thpp131,"M. Therasse, L. Alberty, K. Artoos, S. Calatroni, O. Capatina, A. D'Elia, N.M. Jecklin, Y. Kadi, I. Mondino, K.M. Schirm, A. Sublet, W. Venturini Delsolaro, P. Zhang [CERN, Geneva, Switzerland] ","Series Superconducting Cavity Production for the HIE-ISOLDE Project at CERN",1165 1167,
thpp132,"B. Kaizer, Y. Ben Aliz, I. Fishman, J. Rodnizki, L. Weissman [Soreq NRC, Yavne, Israel] ","Warming Rate Reduction of the SARAF RF Couplers by Application of a High Voltage Dc Bias",1168 1170,
thpp133,"T. E. Plawski, R. Bachimanchi, C. Hovater, D.J. Seidman, M.J. Wissmann [JLab, Newport News, Virginia, USA] ","LLRF System for the CEBAF Separator Upgrade",1171 1173,
thpp135,"T. Powers [JLab, Newport News, Virginia, USA] ","Recent Improvements to Software Used for Optimization of SRF Linacs",1174 1177,
thpp136,"S. Kashiwagi, H. Hama, F. Hinode, A. Lueangaramwong, T. Muto, I. Nagasawa, S. Nagasawa, K. Nanbu, Y. Shibasaki, K. Takahashi, C. Tokoku [Tohoku University, Research Center for Electron Photon Science, Sendai, Japan] N.Y. Huang [NSRRC, Hsinchu, Taiwan] ","Study of Femtosecond Electron Bunch Generation at t-ACTS, Tohoku University",1178 1181,
thpp137,"Q.Z. Xing, C. Cheng, C.T. Du, L. Du, T. Du, X. Guan, C. Jiang, C.-X. Tang, X.W. Wang, H.Y. Zhang, S.X. Zheng [TUB, Beijing, People's Republic of China] W.Q. Guan, Y. He, J. Li [NUCTECH, Beijing, People's Republic of China] B.C. Wang [NINT, Xi'an, People's Republic of China] ","Present Status of the 3 MeV Proton Linac at Tsinghua University",1182 1184,
thpp138,"A.L. Zhang [University of Chinese Academy of Sciences, Beijing, People's Republic of China] J.E. Chen, Z.Y. Guo, S.X. Peng, H.T. Ren, Y. Xu, T. Zhang, J. Zhao [PKU, Beijing, People's Republic of China] J.E. Chen [Graduate University, Chinese Academy of Sciences, Beijing, People's Republic of China] ","Measurements of Beam Current and Energy-Dispersion for Ion Beam with Multi-Components",1185 1188,
thpp139,"K. Jin, Y. Hong, G. Huang, D. Jia, S.C. Zhang [USTC/NSRL, Hefei, Anhui, People's Republic of China] ","800MeV Linear Accelerator Development for HLS Upgrade",1189 1191,
thpp140,"A. Leggieri, F. Di Paolo, D. Passi [Università degli Studi di Roma 'Tor Vergat', Roma, Italy] A. Ciccotelli, G. Felici [S.I.T., Aprilia, Italy] ","High Transparent Matched Window for Standing Wave Linear Accelerators",1192 1195,
tuioa02,"R.G. Eichhorn [Cornell University, Ithaca, New York, USA] ","R&D Efforts for ERLs",394 399,
tuioa03,"S. Thorin, J. Andersson, F. Curbis, M. Eriksson, O. Karlberg, D. Kumbaro, E. Mansten, D.F. Olsson, S. Werin [MAX-lab, Lund, Sweden] ","The MAX IV Linac",400 403,
tuioa04,"J.N. Galayda [SLAC, Menlo Park, California, USA] ","The New LCLS-II Project : Status and Challenges",404 408,
tuioa05,"V.V. Bezuglov, A.A. Bryazgin, K.N. Chernov, B.L. Faktorovich, V.A. Gorbunov, E.N. Kokin, M.V. Korobeynikov, A.N. Lukin, I. Makarov, S.A. Maximov, A.D. Panfilov, V.M. Radchenko, E.A. Shtarklev, A.V. Sidorov, V.V. Tarnetsky, M.A. Tiunov, V.O. Tkachenko, A. YU. Vlasov, L.A. Voronin [BINP SB RAS, Novosibirsk, Russia] ","High-Power Industrial Accelerator ILU-14 for E-Beam and X-Ray Processing",409 412,
tuiob02,"Y.-S. Cho [KAERI, Daejon, Republic of Korea] ","Beam Commissioning of the 100 MeV KOMAC Linac",413 416,
tuiob03,"K. Hasegawa [J-PARC, KEK  JAEA, Ibaraki-ken, Japan] ","Commissioning of Energy Upgraded Linac of J-PARC",417 422,
tuiob04,"H.C. Liu, S. Fu, J. Peng, S. Wang [IHEP, Beijing, People's Republic of China] ","DTL Construction Status of CSNS Project",423 425,
tuioc01,"J. Swierblewski (J. Świerbleski) [IFJ-PAN, Kraków, Poland] ","Large Scale Testing of SRF Cavities and Modules",426 430,
tuioc03,"S. Posen, M. Liepe [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Nb3Sn - Present Status and Potential as an Alternative SRF Material",431 436,
tupp001,"Z.A. Conway, G.L. Cherry, R.L. Fischer, S.M. Gerbick, M. Kedzie, M.P. Kelly, S.H. Kim, S.W.T. MacDonald, R.C. Murphy, P.N. Ostroumov, C.E. Peters, M.A. Power, T. Reid, J.R. Specht [ANL, Argonne, Illinois, USA] ","Cryogenic Performance of a New 72 MHz Quarter-Wave Resonator Cryomodule",437 439,
tupp002,"M.P. Kelly, Z.A. Conway, S.M. Gerbick, M. Hendricks, M. Kedzie, S.H. Kim, S.W.T. MacDonald, R.C. Murphy, P.N. Ostroumov, T. Reid, S.I. Sharamentov, G.P. Zinkann [ANL, Argonne, Illinois, USA] ","Commissioning of the 72 MHz Quarter-Wave Cavity Cryomodule at ATLAS",440 442,
tupp003,"S.H. Kim, Z.A. Conway, W.G. Jansma, M. Kedzie, M.P. Kelly, P.N. Ostroumov [ANL, Argonne, Illinois, USA] ","4 K Alignment of Superconducting Quarter-Wave Cavities and 9 T Solenoids in the ATLAS Intensity Upgrade Cryomodule",443 445,
tupp004,"B. Mustapha, B. Back, C.R. Hoffman, B.P. Kay, J.A. Nolen, P.N. Ostroumov [ANL, Argonne, USA] ","An In-flight Radioactive Ion Separator Design for the ATLAS Facility",446 448,
tupp005,"P.N. Ostroumov, Z.A. Conway, C. Dickerson, S.M. Gerbick, M. Kedzie, M.P. Kelly, S.H. Kim, Y. Luo, S.W.T. MacDonald, R.C. Murphy, B. Mustapha, R.C. Pardo, T. Reid, S.I. Sharamentov, K.W. Shepard, J.R. Specht, G.P. Zinkann [ANL, Argonne, USA] A. Perry [Illinois Institute of Technology, Chicago, Illlinois, USA] ","Completion of Efficiency and Intensity Upgrade of the ATLAS Facility",449 451,
tupp006,"R. Chandra, S.R. Ghodke, A.S. Patel, A. Sharma, S.K. Singh [BARC, Mumbai, India] ","Design of Relativistic Magnetron for High Power Microwave Generation",452 455,
tupp007,"A. Sharma, R. Agarwal, M. Beg, R. Chandra, H. Choudhary, L.M. Gantayet, S.R. Ghodke, TS. Kolge, R. Kumar, S. Mitra, K.C. Mittal, A.S. Patel, A. Roy, P.C. Saroj, K. Senthil, V.K. Sharma, S.K. Singh [BARC, Mumbai, India] ","Multi Gigawatt High Current Pulsed Electron Accelerator Technology Development Program at BARC",456 458,
tupp009,"R. Muñoz Horta, J.M. Gómez Cordero, F. Perez (F. Pérez) [CELLS-ALBA Synchrotron, Cerdanyola del Vallès, Spain] ","Operation and Improvements of the ALBA Linac",459 461,
tupp015,"A. Georges, J. Beaubernard, V. Bernigaud, L. Buche, Y. Collet, S. Combacon, B. Gouin, G. Grandpierre, J.K. Kranzmann, L. Magnin, R. Nicolas, D. Pierre, F. Poulet, Y. Tailleur, J-L. Verstraete, J. Magnan [CEA, Pontfaverger-Moronvilliers, France] ","Status on Airix Restart",462 464,
tupp018,"S.J. Meyers, M. Liepe, S. Posen [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] M. Liepe [Cornell University, Ithaca, New York, USA] ","Analysis of Systematic and Random Error in SRF Material Parameter Calculations",465 467,
tupp019,"S. Barbanotti, H. Hintz, K. Jensch, R. Klos, W. Maschmann, A. Matheisen, A. Schmidt [DESY, Hamburg, Germany] C. Boulch, C. Cloue (C. Cloué), C. Madec, J.L. Perrin, T. Trublet [CEA/IRFU, Gif-sur-Yvette, France] J.-P. Charrier, O. Napoly [CEA/DSM/IRFU, France] ","Qualification of the Titanium Welds in the E-XFEL Cryomodule and the CE Certification",468 470,
tupp020,"G. Feng, S. Ackermann, J. Boedewadt (J. Bödewadt), W. Decking, M. Dohlus, Y.A. Kot, T. Limberg, M. Scholz, I. Zagorodnov [DESY, Hamburg, Germany] K.E. Hacker [DELTA, Dortmund, Germany] T. Plath [Uni HH, Hamburg, Germany] ","Beam Dynamics Simulation for FLASH2 HGHG Option",471 474,
tupp021,"V.V. Katalev, S. Choroba [DESY, Hamburg, Germany] E.M. Apostolov [MicroPlus-Apostolov Ltd., Sofia, Bulgaria] A.A. Seliverstov [s.p.a. FERRITE Ltd., St.Petersburg, Russia] ","A New Type of Waveguide Distribution for the Accelerator Module Test Facility of the European XFEL",475 477,
tupp022,"Y.C. Nie, M. Huening (M. Hüning), C. Liebig, M. Schmitz [DESY, Hamburg, Germany] ","RF Tuning of a S-band Hybrid Buncher for Injector Upgrade of LINAC II at DESY",478 480,
tupp023,"V. Vogel, L. Butkowski (Ł. Butkowski), A. Cherepenko, S. Choroba, J. Hartung, V.V. Kachaev, R. Wagner [DESY, Hamburg, Germany] ","Testing of the First Part of Series Production 10MW MBKs for the XFEL Project.",481 483,
tupp025,"I. Bustinduy, D. Fernandez-Cañoto, N. Garmendia, A. Ghiglino, O. Gonzalez (O. González), P.J. Gonzalez (P.J. González), Z. Izaola, I. Madariaga, M. Magan, L. Muguira, J.L. Munoz (J.L. Muñoz), I. Rueda, F. Sordo, S. Varnasseri, R. Vivanco [ESS Bilbao, Bilbao, Spain] M. Eshraqi, R. Miyamoto, A. Ponton [ESS, Lund, Sweden] ","Progress on ESS Medium Energy Beam Transport",484 486,
tupp028,"R. Corsini, S. Doebert (S. Döbert), W. Farabolini, D. Gamba, J.L. Navarro Quirante, T. Persson, P.K. Skowronski, F. Tecker [CERN, Geneva, Switzerland] W. Farabolini [CEA/DSM/IRFU, France] D. Gamba [JAI, Oxford, United Kingdom] ","Beam Tests at the CLIC Test Facility, CTF3",487 489,
tupp029,"A. Degiovanni, S. Doebert (S. Döbert), W. Farabolini, I. Syratchev, W. Wuensch [CERN, Geneva, Switzerland] J. Giner Navarro [IFIC, Valencia, Spain] J. Tagg [National Instruments Switzerland, Ennetbaden, Switzerland] B.J. Woolley [Cockcroft Institute, Lancaster University, Lancaster, United Kingdom] ","Diagnostics and Analysis Techniques for High Power X-Band Accelerating Structures",490 492,
tupp030,"S. Doebert (S. Döbert), N. Chritin [CERN, Geneva, Switzerland] B. Cadilhon, B. Cassany, J. Gardelle, K. Pepitone [CEA, LE BARP cedex, France] ","Design of a High Average Current Electron Source for the CLIC Drive Beam Injector",493 495,
tupp031,"M.A. Fraser, J.C. Broere, S. Haastrup, D. Lanaia, D. Valuch, D. Voulot [CERN, Geneva, Switzerland] ","Understanding the Error Tolerances Required to Automatically Phase the HIE-ISOLDE Linac",496 498,
tupp033,"J.L. Navarro Quirante, R. Corsini, A. Degiovanni, S. Doebert (S. Döbert), A. Grudiev, O. Kononenko, G. McMonagle, S.F. Rey, A. Solodko, I. Syratchev, F. Tecker, L. Timeo, B.J. Woolley, X.W. Wu, W. Wuensch [CERN, Geneva, Switzerland] O. Kononenko [SLAC, Menlo Park, California, USA] A. Solodko [JINR, Dubna, Moscow Region, Russia] J. Tagg [National Instruments Switzerland, Ennetbaden, Switzerland] B.J. Woolley [Cockcroft Institute, Lancaster University, Lancaster, United Kingdom] X.W. Wu [TUB, Beijing, People's Republic of China] ","Effect of Beam-Loading on the Breakdown Rate of High Gradient Accelerating Structures",499 501,
tupp034,"F. Roncarolo, U. Raich, F. Zocca [CERN, Geneva, Switzerland] ","Commissioning of the CERN LINAC4 Wire Scanner, Wire Grid and Slit-Grid Monitors at 3 and 12 MeV",502 505,
tupp035,"F. Roncarolo, E. Bravin, T. Hofmann, U. Raich, F. Zocca [CERN, Geneva, Switzerland] G.E. Boorman, A. Bosco, S.M. Gibson, K.O. Kruchinin [Royal Holloway, University of London, Surrey, United Kingdom] C. Gabor [STFC/RAL/ASTeC, Chilton, Didcot, Oxon, United Kingdom] J.K. Pozimski [Imperial College of Science and Technology, Department of Physics, London, United Kingdom] ","Transverse Profile and Emittance Measurements With a Laser Stripping System During the CERN LINAC4 Commissioning at 3 and 12 MeV",506 509,
tupp036,"C.A. Valerio, R. Scrivens [CERN, Geneva, Switzerland] N. Chauvin [CEA/IRFU, Gif-sur-Yvette, France] ","Space Charge Compensation in the Linac4 LEBT for Three Injected Gas Types",510 512,
tupp037,"D. Voulot, M.A. Fraser, D. Lanaia [CERN, Geneva, Switzerland] T. Olsson [MAX-lab, Lund, Sweden] ","Transverse Emittance Measurements of the REX-ISOLDE Beams in Preparation for the HIE-ISOLDE Commissioning",513 515,
tupp038,"M. Yarmohammadi Satri, G. Bellodi, V.A. Dimov, J.-B. Lallement, A.M. Lombardi, U. Raich, F. Roncarolo, F. Zocca [CERN, Geneva, Switzerland] ","Transverse Beam Profile Measurements in the Linac4 Medium Energy Beam Transport",516 518,
tupp039,"B. Cheymol, A. Ponton [ESS, Lund, Sweden] ","Accuracy Determination of the ESS MEBT Emittance Measurements",519 521,
tupp040,"C. Darve, N. Elias, J. Fydrych, D.P. Piso [ESS, Lund, Sweden] ","Preliminary Functional Analysis of ESS Superconducting Radio-Frequency Linac",522 525,
tupp041,"H. Hassanzadegan, M. Donna, A. Jansson, H. Kocevar, A. Nordt [ESS, Lund, Sweden] U. Legat [Cosylab, Ljubljana, Slovenia] M. Werner [DESY, Hamburg, Germany] ","Beam Current Monitor System of the European Spallation Source",526 528,
tupp043,"R. Zeng, H. Hassanzadegan, M. Jensen, J.M. Jurns, O.A. Persson, A. Sunesson [ESS, Lund, Sweden] K. Strnisa (K. Strniša) [Cosylab, Ljubljana, Slovenia] ","Design of the Phase Reference Distribution System at ESS",529 531,
