frioa06,"E. Gschwendtner [CERN, Geneva, Switzerland] ","AWAKE: Advanced Proton Driven Plasma Wakefield Acceleration Experiment at CERN",1196 1201,
mopp032,"J. Pfingstner, K. Artoos, C. Charrondière, S.M. Janssens, M. Patecki, Y. Renier, D. Schulte, R. Tomas (R. Tomás) [CERN, Geneva, Switzerland] A. Jeremie [IN2P3-LAPP, Annecy-le-Vieux, France] K. Kubo, S. Kuroda, T. Naito, T. Okugi, T. Tauchi, N. Terunuma [KEK, Ibaraki, Japan] ","Experimental Verification Towards Feed-Forward Ground Motion Mitigation at ATF2",124 127,
mopp033,"J. Roberts, A. Andersson, P.K. Skowronski [CERN, Geneva, Switzerland] P. Burrows, G.B. Christian, C. Perry [JAI, Oxford, United Kingdom] A. Ghigo, F. Marcellini [INFN/LNF, Frascati (Roma), Italy] ","Design, Hardware Tests and First Results From the CLIC Drive Beam Phase Feed-Forward Prototype at CTF3",128 130,
mopp034,"S. Sanaye Hajari, S. Doebert (S. Döbert), H. Shaker [CERN, Geneva, Switzerland] S. Sanaye Hajari, H. Shaker [IPM, Tehran, Iran] ","Beam Dynamics Studies of the CLIC Drive Beam Injector",131 133,
mopp035,"R. Wegner, W. Wuensch [CERN, Geneva, Switzerland] G. Burt, B.J. Woolley [Cockcroft Institute, Lancaster University, Lancaster, United Kingdom] ","Bead-Pull Measurement Method and Tuning of a Prototype CLIC Crab Cavity",134 136,
mopp036,"B. Cheymol [ESS, Lund, Sweden] ","Estimation of the Thermal Load and Signal Level of the ESS Wire Scanner",137 139,
mopp037,"B. Cheymol, E. Lundh [ESS, Lund, Sweden] ","Conceptual Design of the ESS DTL Faraday Cup",140 142,
mopp038,"I. Dolenc Kittelmann, B. Cheymol [ESS, Lund, Sweden] ","Longitudinal Bunch Profile Monitoring at the ESS Linac",143 145,
mopp039,"R. Miyamoto, B. Cheymol, R. De Prisco, M. Eshraqi, A. Ponton, E. Sargsyan [ESS, Lund, Sweden] I. Bustinduy [ESS Bilbao, Bilbao, Spain] ","Dynamics of Bunches Partially Chopped with the MEBT Chopper in the ESS Linac",146 148,
mopp040,"R. Zeng [ESS, Lund, Sweden] P. Jonsson [Lund University, Lund, Sweden] W. Schappert [Fermilab, Batavia, Illinois, USA] ","Application Investigation of High Precision Measurement for Basic Cavity Parameters at ESS",149 151,
mopp041,"M. Ikegami, L.T. Hoff, S.M. Lidia, F. Marti, G. Pozdeyev, T. Russo, R.C. Webber, J. Wei, Y. Yamazaki [FRIB, East Lansing, Michigan, USA] ","Commissioning Plan for the FRIB Driver Linac*",152 154,
mopp044,"T. Xu, B. Bird, F. Casagrande, J.L. Crisp, K.D. Davidson, C. Dudley, A. Facco, P.E. Gibson, I. Grender, L. Hodges, K. Holland, M.J. Johnson, S. Jones, B. Laumer, D. Leitner, A. Mccartney, S.J. Miller, D. Morris, S. Nash, J.P. Ozelis, J. Popielarski, L. Popielarski, R. Rosas, R.J. Rose, K. Saito, M. Thrush, R. Walker, J. Wei, W. Wittmer, Y. Xu [FRIB, East Lansing, Michigan, USA] B. Arend, J. Ottarson, D.P. Sanderson, D. Wahlquist, J. Wenstrom [NSCL, East Lansing, Michigan, USA] M. Leitner [LBNL, Berkeley, California, USA] ","MSU RE-Accelerator ReA3 0.085 QWR Cryomodule Status",155 157,
mopp045,"Y. Zhang, P. Chu, D.G. Maxwell [FRIB, East Lansing, Michigan, USA] ","Progress and Plan of Open XAL Physics Application for FRIB",158 160,
mopp046,"M.H. Awida, I.V. Gonin, T.N. Khabiboulline, K.S. Premo, O.V. Pronitchev, N. Solyak, V.P. Yakovlev [Fermilab, Batavia, Illinois, USA] ","On the Design of Higher Order Mode Antenna for LCLS II",161 164,
mopp049,"P. Berrutti, T.N. Khabiboulline, V.A. Lebedev, V.P. Yakovlev [Fermilab, Batavia, Illinois, USA] ","Dipole Kick due to Geometry Asymmetries in HWR for PXIE",165 167,
mopp050,"J.-P. Carneiro, F.G. Garcia, J.-F. Ostiguy, A. Saini, R.M. Zwaska [Fermilab, Batavia, Illinois, USA] B. Mustapha, P.N. Ostroumov [ANL, Argonne, Illinois, USA] ","Transmission Efficiency Measurement at the FNAL 4-rod RFQ",168 170,
mopp052,"I.V. Gonin, M.H. Awida, M.H. Foley, A. Grassellino, C.J. Grimm, T.N. Khabiboulline, A. Lunin, A.M. Rowe, V.P. Yakovlev [Fermilab, Batavia, Illinois, USA] ","Development of 5-Cell =0.9 650 MHz Elliptical Cavities for Project X",171 173,
mopp053,"I.V. Gonin, T.N. Khabiboulline, A. Lunin, O.V. Prokofiev, N. Solyak, V.P. Yakovlev [Fermilab, Batavia, Illinois, USA] ","TTF-III Coupler Modification for CW Operation",174 176,
