moco-a01,"H. W. Zhao, L. T. Sun, IMP, Lanzhou","Recent Results and Operation at 18 GHz with SECRAL",99 98,
thco-a01,"S. A. Kondrashev, A. Barcikowski, B. Mustapha, P. N. Ostroumov, ANL, Argonne, Illinois; N. Vinogradov, Northern Illinois University, DeKalb, Illinois","Emittance Measurements of Ion Beams Extracted from the High-Intensity Permanent Magnet ECR Ion Source",199 203,
thco-a02,"H. R. Kremers, J. P.M. Beijers, S. Brandenburg, S. Saminathan, KVI, Groningen","Systematic Comparison Between a Pepperpot and an ALLISON Emittance Meter",204 207,
thco-a03,"J. W. Stetson, NSCL, East Lansing, Michigan","A Method of Tuning ECRIS Beam Transport Lines for Low Emittance",208 212,
thco-b02,"P. Spaedtke, GSI, Darmstadt","Low Energy Beam Transport for Ion Beams Created by an ECR",213 218,
thco-b03,"D. S. Todd, D. Leitner, C. M. Lyneis, LBNL, Berkeley, California","Improved ECR Extraction and Transport Simulations Using Experimentally Measured Plasma Sputtering",219 219,
thco-b04,"S. M. Elliott, LLT, Boulder; O. Delferriere, CEA, Gif-sur-Yvette; J. Simkin, Vector Fields Ltd., Oxford; E. K. White, LLT, Boulder","Three Dimensional Simulation of Ion Beam Extraction from an ECR Ion Source",220 223,
thco-c01,"L. Maunoury, CIMAP, Caen; J. Y. Pacquet, GANIL, Caen; C. Pierret, CIMAP, Caen","ECRIS's Extraction: A New Way to Increase the Brightness of a Beam",224 228,
thco-c02,"P. N. Ostroumov, A. Barcikowski, S. A. Kondrashev, B. Mustapha, R. H. Scott, S. I. Sharamentov, ANL, Argonne, Illinois; N. Vinogradov, Northern Illinois University, DeKalb, Illinois","Recombination of Analyzed Multiple-Charge State Heavy-Ion Beams Extracted from an ECR Ion Source",229 229,
thco-c03,"S. Gammino, INFN/LNS, Catania","Concluding Remarks",230 230,
tuco-a01,"C. M. Lyneis, S. Caspi, P. Ferracin, D. Leitner, S. Prestemon, G. L. Sabbi, D. S. Todd, F. Trillaud, LBNL, Berkeley, California","Conceptual Design of a 56 GHz ECR Ion Source Magnet Structure",127 127,
tuco-a02,"V. Skalyga, A. Bokhanov, S. Golubev, I. Izotov, A. Mansfeld, S. Razin, V. Sidorov, V. Zorin, IAP/RAS, Nizhny Novgorod","Gasdynamic ECR Sources of Multicharged Ions",128 130,
tuco-a03,"T. Thuillier, LPSC, Grenoble; F. Debray, J. M. Dumas, GHMFL, Grenoble; C. Fourel, J. Giraud, T. Lamy, L. Latrasse, LPSC, Grenoble; P. Sala, C. Trophime, GHMFL, Grenoble","60 GHz Electron Cyclotron Resonance Ion Source for Beta-Beams",131 135,
tuco-b02,"Yu. V. Bykov, V. Skalyga, IAP/RAS, Nizhny Novgorod","Microwave Sources for 3rd and 4th Generation of ECRIS",136 139,
tuco-b03,"L. Celona, G. Ciavola, N. Gambino, S. Gammino, F. Maimone, D. Mascali, R. Miracoli, INFN/LNS, Catania","On the Observation of Standing Waves in Cylindrical Cavities Filled by Microwave Discharge and ECR Plasmas",140 144,
tuco-b04,"W. D. Cornelius, SSolutions, San Diego CA","Broadband Excitation of ECR Plasmas",145 153,
tuco-c01,"J. H. Andrä, Westfaelische Wilhelms-Universität Muenster, Muenster","Three-Dimensional Simulation of Electrons and Ions in ECRIS",154 154,
tuco-c02,"P. J. Mullowney, Y. Choi, D. W. Fillmore, P. Messmer, D. S. Smithe, Tech-X, Boulder, Colorado","Towards Kinetic Modeling of Ion Transport in an ECRIS Plasma",155 155,
tuco-c04,"J. S. Kim, I. N. Bogatu, B. Cluggish, S. Galkin, L. Grubert, L. Zhao, Far-Tech, Inc., San Diego, California","Far-Tech's ECR Charge Breeder Optimization Simulation Toolset - MCBC, GEM, and IonEx",156 159,
tuco-d01,"T. Ropponen, P. Jones, T. Kalvas, H. A. Koivisto, P. Peura, JYFL, Jyvaskyla; P. Suominen, Prizztech Ltd, Magnet Technology Centre, Pori; O. A. Tarvainen, LANL, Los Alamos, New Mexico","Measurements of Electron Cyclotron Resonance Ion Source Bremsstrahlung Time Evolution and Preglow Effect",160 167,
tuco-d02,"M. Kahnt, B. Albers, Institut fur Kernphysik, Westfalische Wilhelms-Universitat Munster, Munster; J. H. Andrä, Westfaelische Wilhelms-Universität Muenster, Muenster; L. Hupe, L. Nowack, H. W. Ortjohann, Institut fur Kernphysik, Westfalische Wilhelms-Universitat Munster, Munster","Ion Cyclotron Resonance Heating in a Plateau-ECRIS",168 168,
tuco-d03,"Dr. G. S. Taki, R. K. Bhandari, D. K. Chakraborty, DAE/VECC, Calcutta; A. G. Drentje, KVI, Groningen; T. Nakagawa, RIKEN Nishina Center, Wako, Saitama; P. K. Ray, Bengal Engineering and Science University, Howrah; P. R. Sarma, DAE/VECC, Calcutta","Study of the Dependence of ECR Ion Current on Periodic Plasma Disturbance",169 172,
tuco-d04,"D. Maybury, M. M. Scannell, F. E. Spada, ANL, Argonne, Illinois","Effects of Roll Angles on Halbach Array Efficiency",173 173,
tuco-d05,"H. Jory, M. Blank, S. Cauffman, K. Felch, CPI, Palo Alto, California","Gyrotron Introduction for Ecris 2008",174 177,
tuio01,"C. M. Lyneis, LBNL, Berkeley, California","In Memory of Richard Geller",178 178,
tuio02,"T. Lamy, LPSC, Grenoble","Reflections on the life of Richard Geller",179 179,
weco-a01,"T. Lamy, J. Angot, C. Fourel, T. Thuillier, LPSC, Grenoble","New Configuration and Results with the LPSC Charge Breeder",180 182,
weco-a02,"F. Ames, R. A. Baartman, P. G. Bricault, K. Jayamanna, TRIUMF, Vancouver; T. Lamy, LPSC, Grenoble; M. McDonald, P. Schmor, TRIUMF, Vancouver","Status of the ECRIS Charge State Breeding Project at TRIUMF",183 183,
weco-a03,"R. C. Vondrasek, J. R. Carr, R. C. Pardo, R. H. Scott, ANL, Argonne, Illinois","Initial Results of the ECR Charge Breeder for the 252Cf Fission Source Project (CARIBU) at ATLAS",184 184,
weco-b01,"W. D. Cornelius, SAIC, San Diego, California","Design of a Charge-Breeder Ion Source for Texas A&M University",185 193,
weco-b02,"G. Tabacaru, Texas A&M University, Cyclotron Institute, College Station; J. Arje, JYFL, Jyvaskyla; D. P. May, Texas A&M University Cyclotron Institute, College Station, Texas","The Light Ion Guide CB-ECRIS Project at the Texas A&M University Cyclotron Institute",194 197,
weco-b03,"F. S. Labrecque, TRIUMF, Vancouver","MISTIC: Radiation Hard ECRIS",198 198,
