FRXAPA01,"M.S. Zisman, LBNL, Berkeley, California","Neutrino Factories and Beta Beams",
THPLS079,"F. Sannibale, W.E. Byrne, C.-W. Chiu, J. Guo, LBNL, Berkeley, California; J.S. Hull, O.H.W. Siegmund, A.S. Tremsin, J. Vallerga, UCB, Berkeley, California","Bunch Diffusion Measurements at the Advanced Light Source",
THPLS082,"C. Steier, D. Robin, T. Scarvie, LBNL, Berkeley, California","Status of the Top-off Upgrade of the ALS",
THPLS083,"W.J. Corbett, M. Cornacchia, T. Dao, D. Dell'Orco, D. Harrington, R.O. Hettel, X. Huang, Y. Nosochkov, T. Rabedeau, F.S. Rafael, H. Rarback, A. Ringwall, J.A. Safranek, B. Scott, J.J. Sebek, J. Tanabe, A. Terebilo, C. Wermelskirchen, M. Widmeyer, SLAC, Menlo Park, California; M. Yoon, POSTECH, Pohang, Kyungbuk","Implementation of the Double-waist Chicane Optics in SPEAR 3",
THPLS085,"J.A. Safranek, X. Huang, A. Terebilo, SLAC, Menlo Park, California","Nonlinear Dynamics in the SPEAR 3 Double-waist Chicane",
THPLS087,"J. Bengtsson, BNL, Upton, Long Island, New York","A Control Theory Approach for Dynamic Aperture",
THPLS088,"S.L. Kramer, J. Bengtsson, BNL, Upton, Long Island, New York","Optimizing the Dynamic Aperture for Triple Bend Achromatic Lattices",
THPLS089,"S.L. Kramer, J. Bengtsson, S. Krinsky, BNL, Upton, Long Island, New York","Comparison of Double Bend and Triple Bend Achromatic Lattice Structures for NSLS-II",
THPLS090,"S. Krinsky, J. Bengtsson, S.L. Kramer, BNL, Upton, Long Island, New York","Consideration of the Double Bend Achromatic Lattice for NSLS-II",
THPLS091,"T.V. Shaftan, J. Bengtsson, S.L. Kramer, BNL, Upton, Long Island, New York","Control of Dynamic Aperture with Insertion Devices",
THPLS092,"J.S. Sekutowicz, DESY, Hamburg; I. Ben-Zvi, A. Burrill, BNL, Upton, Long Island, New York; M. Ferrario, INFN/LNF, Frascati (Roma); J.I. Iversen, D. Klinke, DESY, Hamburg; P. Kneisel, Jefferson Lab, Newport News, Virginia; K. Ko, SLAC, Menlo Park, California; D. Kostin, DESY, Hamburg; J. Langner, The Andrzej Soltan Institute for Nuclear Studies, Centre Swierk, Swierk/Otwock; R.S. Lefferts, A.R. Lipski, SBUNSL, Stony Brook, New York; W.-D. Möller, DESY, Hamburg; T. Rao, BNL, Upton, Long Island, New York; J.B. Rosenzweig, UCLA, Los Angeles, California; J. Smedley, BNL, Upton, Long Island, New York; P. Strzyzewski, The Andrzej Soltan Institute for Nuclear Studies, Centre Swierk, Swierk/Otwock; K. Szalowski, University of Lodz, Lodz; L. Xiao, SLAC, Menlo Park, California","Nb-Pb Superconducting RF-Gun",
THPLS093,"X. He, Cheng. Cheng. Cheng, Q. Du, Du.Taibin. Du, Y.-C. Du, W.-H. Huang, Y. Lin, C.-X. Tang, S. Zheng, TUB, Beijing","Status of the Photocathode RF Gun System at Tsinghua University",
THPLS094,"S.C. Leemann, Å. Andersson, R. Ganter, V. Schlott, A. Streun, A.F. Wrulich, PSI, Villigen","First Measurement Results at the LEG Project's 100 keV DC Gun Test Stand",
THPLS097,"G.V. Stupakov, S.A. Heifets, SLAC, Menlo Park, California","Model of the CSR Induced Bursts in Slicing Experiments",
THPLS098,"J.B. Rosenzweig, UCLA, Los Angeles, California; M. Boscolo, INFN/LNF, Frascati (Roma); A.M. Cook, M.P. Dunning, UCLA, Los Angeles, California; M. Ferrario, D. Filippetto, INFN/LNF, Frascati (Roma); P. Musumeci, INFN-Roma, Roma; L. Palumbo, INFN/LNF, Frascati (Roma); C. Pellegrini, UCLA, Los Angeles, California; C. Vicario, INFN/LNF, Frascati (Roma)","Optimum Beam Creation in Photoinjectors Using Space-charge Expansion",
THPLS099,"P. Lebasque, M. Bol, C. Herbeaux, J.-P. Lavieville, J.L. Marlats, SOLEIL, Gif-sur-Yvette","Fast Kicker Systems for the SOLEIL Booster Injection and Extraction, with Full Solid-state Pulsed Power Supplies",
THPLS100,"P. Lebasque, R. Ben El Fekih, C. Herbeaux, J.-P. Lavieville, J.L. Marlats, SOLEIL, Gif-sur-Yvette","Four Matched Kicker Systems for the SOLEIL Storage Ring Injection, a Full Solid State Solution of Pulsed Power Supplies Working at High Current",
THPLS101,"P. Lebasque, J. Da Silva, P. Gros, J.-P. Lavieville, A. Mary, D. Muller, SOLEIL, Gif-sur-Yvette","Eddy Current Septum Magnets for Booster Injection and Extraction and Storage Ring Injection at Synchrotron SOLEIL",
THPLS102,"P. Lebasque, L. Cassinari, J.P. Daguerre, C. Herbeaux, M.-P. Level, C. Mariette, R. Nagaoka, SOLEIL, Gif-sur-Yvette","Optimisation of the Coating Thickness on the Ceramic Chambers of the SOLEIL Storage Ring",
THPLS103,"J.R. Roensch, Uni HH, Hamburg; K. Abrahamyan, G. Asova, J.W. Baehr, G. Dimitrov, H.-J. Grabosch, J.H. Han, O. Kalekin, S. Khodyachykh, S.A. Korepanov, M. Krasilnikov, DESY Zeuthen, Zeuthen; D. Lipka, BESSY GmbH, Berlin; V. Miltchev, A. Oppelt, B. Petrosyan, DESY Zeuthen, Zeuthen; R. Richter, BESSY GmbH, Berlin; S. Riemann, DESY Zeuthen, Zeuthen; J. Rossbach, Uni HH, Hamburg; L. Staykov, F. Stephan, DESY Zeuthen, Zeuthen","Investigations of the Longitudinal Phase Space at PITZ",
THPLS104,"G. Penco, ELETTRA, Basovizza, Trieste; S.M. Lidia, LBNL, Berkeley, California; M. Trovo, ELETTRA, Basovizza, Trieste","Optimization Studies of the FERMI@ELETTRA Photoinjector",
THPLS105,"A. Cianchi, INFN-Roma II, Roma; M. Boscolo, M. Castellano, INFN/LNF, Frascati (Roma); L. Catani, E. Chiadroni, INFN-Roma II, Roma; G. Di Pirro, M. Ferrario, D. Filippetto, V. Fusco, INFN/LNF, Frascati (Roma); P. Musumeci, INFN-Roma, Roma; L. Palumbo, C. Vaccarezza, INFN/LNF, Frascati (Roma)","Characterization of the SPARC Photo-injector with the Movable Emittance Meter",
THPLS107,"Y. Kobayashi, K. Harada, KEK, Ibaraki","Possibility of the Beam Injection Using a Single Pulsed Sextupole Magnet in Electron Storage Rings",
THPLS108,"J.H. Park, J.Y. Huang, C. Kim, I.S. Ko, Y.W. Parc, S.J. Park, PAL, Pohang, Kyungbuk; X.J. Wang, BNL, Upton, Long Island, New York","Performance Test of RF Photo-Cathode Gun at the PAL",
THPLS109,"M. Brandin, B. Nelander, S. Werin, MAX-lab, Lund","Measurements and Diagnostics on the MAX Recirculator",
THPLS110,"M.-H. Wang, H.-P. Chang, C.-C. Kuo, G.-H. Luo, NSRRC, Hsinchu","Injection Scheme for TPS Storage Ring",
THPLS111,"C. Yao, E.E. Cherbak, N.P. Di Monte, A. Grelick, T. Smith, B.X. Yang, ANL, Argonne, Illinois","Beam Loading Measurement and its Application to the Harmonic RF Control of the APS PAR",
THPLS112,"C. Yao, Y.-C. Chae, ANL, Argonne, Illinois","Electron Multipacting Observation and Simulation in the APS PAR",
THPLS113,"S. De Santis, LBNL, Berkeley, California; M.C. Ross, SLAC, Menlo Park, California; A. Wolski, LBNL, Berkeley, California","Design of a Fast Extraction Kicker for the Accelerator Test Facility",
THPLS114,"S. Kwiatkowski, K.M. Baptiste, W. Barry, J. Julian, L. Low, D.W. Plate, G.J. Portmann, D. Robin, LBNL, Berkeley, California","quot;CAMSHAFTquot; Bunch Kicker Design for the ALS Storage Ring",
THPLS115,"F.E. Hannon, C. Hernandez-Garcia, Jefferson Lab, Newport News, Virginia","Simulation and Optimisation of a 100 mA DC Photo-Injector",
THPLS117,"F. Bødker, H. Bach, E.B. Christensen, E. Juul, C.W.O. Ostenfeld, M. Pedersen, T.L. Svendsen, Danfysik A/S, Jyllinge","In-vacuum and FEL Undulators at Danfysik",
THPLS118,"F. Briquez, C. Benabderrahmane, P. Berteaud, O.V. Chubar, M.-E. Couprie, SOLEIL, Gif-sur-Yvette; A. Dael, CEA, Gif-sur-Yvette; L. Dubois, J.-M. Filhol, M. Girault, O. Marcouillé, F. Marteau, M. Massal, F. Paulin, M.V. Valleau, J. Vétéran, SOLEIL, Gif-sur-Yvette","Status of the SOLEIL Insertion Devices",
THPLS119,"C.A. Kitegi, J. Chavanne, D. Cognie, P. Elleaume, C. Penel, B. Plan, F. Revol, M. Rossat, ESRF, Grenoble","Development of a Cryogenic Permanent Magnet In-vacuum Undulator at the ESRF",
THPLS120,"G. Wuestefeld, J. Bahrdt, M. Scheer, BESSY GmbH, Berlin","Tracking Simulations and Dynamic Multipole Shimming for Helical Undulators",
THPLS121,"M. Tischer, K. Balewski, DESY, Hamburg; A.A. Krasnov, V. Kuzminykh, E. Levichev, BINP SB RAS, Novosibirsk; M. Seidel, DESY, Hamburg; P. Vobly, BINP SB RAS, Novosibirsk; L. Yongjun, DESY, Hamburg; K. Zolotarev, BINP SB RAS, Novosibirsk","Status of the PETRA III Damping Wigglers",
THPLS122,"S. Casalbuoni, FZK, Karlsruhe; T. Baumbach, A. Bernhard, University of Karlsruhe, Karlsruhe; MH. Hagelstein, B.K. Kostka, R. Rossmanith, FZK, Karlsruhe; E. Steffens, M. Weisser, Erlangen University, Erlangen; D. Wollmann, University of Karlsruhe, Karlsruhe","Investigations of the Thermal Beam Load of a Superconducting In-vacuum Undulator",
THPLS123,"R. Rossmanith, FZK, Karlsruhe; T. Baumbach, A. Bernhard, University of Karlsruhe, Karlsruhe; S. Casalbuoni, FZK, Karlsruhe; R. Frahm, B. Griesebock, U. Haake, BUW, Wuppertal; MH. Hagelstein, B.K. Kostka, A.-S. Müller, FZK, Karlsruhe; F. Schoeck, E. Steffens, M. Weisser, University of Erlangen-Nürnberg, Physikalisches Institut II, Erlangen; D. Wollmann, University of Karlsruhe, Karlsruhe","A Year's Experience with a Superconducting Undulator in the Storage Ring ANKA",
THPLS124,"A. Bernhard, T. Baumbach, University of Karlsruhe, Karlsruhe; S. Casalbuoni, MH. Hagelstein, R. Rossmanith, FZK, Karlsruhe; T. Schneider, FZ Karlsruhe, Karlsruhe; F. Schoeck, E. Steffens, M. Weisser, University of Erlangen-Nürnberg, Physikalisches Institut II, Erlangen; D. Wollmann, University of Karlsruhe, Karlsruhe","The Second Generation of Superconductive Insertion Devices for ANKA",
THPLS125,"D. Wollmann, T. Baumbach, A. Bernhard, University of Karlsruhe, Karlsruhe; S. Casalbuoni, FZK, Karlsruhe; G. Gerlach, University of Dresden, Institute for Solid-State Electronics, Dresden; MH. Hagelstein, B.K. Kostka, R. Rossmanith, FZK, Karlsruhe; F. Schoeck, E. Steffens, M. Weisser, University of Erlangen-Nürnberg, Physikalisches Institut II, Erlangen","A Concept on Electric Field Error Compensation for the ANKA Superconductive Undulator",
THPLS126,"B.J.A. Shepherd, J.A. Clarke, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire","Construction and Testing of a Pair of Focusing Undulators for ALPHA-X",
THPLS127,"V.P. Suller, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; M.G. Fedurin, P. Jines, D.J. Launey, T.A. Miller, Y. Wang, LSU/CAMD, Baton Rouge, Louisiana","Plans for a 2nd Insertion Device in CAMD",
THPLS128,"E.C. Longhi, A.I. Baldwin, S.P. Mhaskar, J.C. Schouten, C.W. Thompson, Diamond, Oxfordshire","Overview of Diamond IDs for Phase 1",
THPLS130,"R.W. Klaffky, DOE/OFES, Germantown, Maryland; R.M. Lindstrom, NIST, Gaithersburg, Maryland; B. Maranville, National Institute of Standards and Technology, Gaithersburg, Maryland; B.J. Micklich, ANL, Argonne, Illinois; R. Shull, National Institute of Standards and Technology, Gaithersburg, Maryland; J.H. Vacca, ANL, Argonne, Illinois","Thermal Neutron Demagnetization of NdFeB Magnets",
THPLS132,"D.E. Kim, C.W. Chung, I.S. Ko, J.-S. Oh, K.-H. Park, PAL, Pohang, Kyungbuk","Physics Requirement of a PLS-XFEL Undulator",
THPLS133,"E. Syresin, V.V. Borisov, JINR, Dubna, Moscow Region; O. Grimm, DESY, Hamburg; E.A. Matushevsky, N.A. Morozov, JINR, Dubna, Moscow Region; J. Rossbach, Uni HH, Hamburg; M.V. Yurkov, DESY, Hamburg","Simulations of Electromagnetic Undulator for Far Infrared Coherent Source of TTF at DESY",
THPLS134,"J. Campmany, F. Becheri, D. Bertwistle, D. Einfeld, J. Marcos, ALBA, Bellaterra; Z. Martí, LLS, Bellaterra (Cerdanyola del Vallès); V. Massana, ALBA, Bellaterra","A General View of IDs to be Installed at ALBA on Day One",
THPLS135,"J. Marcos, J. Campmany, D. Einfeld, ALBA, Bellaterra","The Study of Errors of ALBA Fixed Stretched Wire Bench",
THPLS136,"Z. Martí, LLS, Bellaterra (Cerdanyola del Vallès); J. Campmany, ALBA, Bellaterra","Magnetic Field Multipole Measurement with Hall Probe",
THPLS137,"E.J. Wallén, K.I. Blomqvist, B. N. Jensen, U. Johansson, MAX-lab, Lund","Insertion Devices for the MAX IV Light Source",
THPLS138,"M. Böge, U. Flechsig, J. Raabe, T. Schilcher, PSI, Villigen","Fast Polarization Switching at the SLS Microspectroscopy Beamline POLLUX",
THPLS139,"C.-H. Chang, C.-C. Chang, H.-P. Chang, H.-H. Chen, J.-R. Chen, T.-C. Fan, G.-Y. Hsiung, M.-H. Huang, C.-S. Hwang, J.C. Jan, F.-Y. Lin, NSRRC, Hsinchu","In-Achromatic Superconducting Wiggler in Taiwan Light Source: Installation and Test Results",
THPPA01,"A. Winter, Uni HH, Hamburg; J. Chen, MIT, Cambridge, Massachusetts; F.O. Ilday, Bilkent University, Bilkent, Ankara; F.X. Kaertner, MIT, Cambridge, Massachusetts; F. Ludwig, H. Schlarb, DESY, Hamburg; P. Schmüser, A. Winter, Uni HH, Hamburg","High-precision Laser Master Oscillators for Optical Timing Distribution Systems in Future Light Sources",
THPPA02,"L. Lilje, DESY, Hamburg","High-Gradient Superconducting Radiofrequency Cavities for Particle Acceleration",
THPPA03,"V.A. Teplyakov, IHEP Protvino, Protvino, Moscow Region","The First CW Accelerator in USSR and a Birth of Accelerating Field Focussing",
THXFI01,"C.-K. Ng, V. Akcelik, A.E. Candel, S. Chen, N.T. Folwell, L. Ge, A. Guetz, H. Jiang, A.C. Kabel, K. Ko, L. Lee, Z. Li, E.E. Prudencio, G.L. Schussman, R. Uplenchwar, L. Xiao, SLAC, Menlo Park, California","State of the Art in EM Field Computation",
THXPA01,"R.P. Walker, Diamond, Oxfordshire","Overview of the Status of the Diamond Project",
THXPA02,"J.-M. Filhol, J.C. Besson, P. Brunelle, M.-E. Couprie, J.-C. Denard, J.M. Godefroy, C. Herbeaux, V. Le Roux, P. Lebasque, A. Lestrade, M.-P. Level, A. Loulergue, P. Marchand, J.L. Marlats, A. Nadji, L.S. Nadolski, R. Nagaoka, B. Pottin, M.-A. Tordeux, SOLEIL, Gif-sur-Yvette","Overview of the Status of the SOLEIL Project",
THXPA03,"H. Schlarb, DESY, Hamburg","Laser Systems and Accelerators",
THYFI01,"A. Jansson, K. Bowie, T. Fitzpatrick, R. Kwarciany, C. Lundberg, D. Slimmer, L. Valerio, J.R. Zagel, Fermilab, Batavia, Illinois","Tevatron Ionization Profile Monitoring",
THYPA01,"M. Ferrario, INFN/LNF, Frascati (Roma)","Overview of FEL Injectors",
TUOAFI01,"K. Noda, T. Fujisawa, T. Furukawa, Y. Iwata, T. Kanai, M. Kanazawa, N. Kanematsu, A. Kitagawa, NIRS, Chiba-shi; C. Kobayashi, AEC, Chiba; Y. Kobayashi, M. Komori, S. Minohara, T. Murakami, M. Muramatsu, S. Sato, NIRS, Chiba-shi; Y. Sato, Gunma University, Heavy-Ion Medical Research Center, Maebashi-Gunma; S. Shibuya, AEC, Chiba; E. Takada, NIRS, Chiba-shi; O. Takahashi, AEC, Chiba; M. Tashiro, Gunma University, Heavy-Ion Medical Research Center, Maebashi-Gunma; M. Torikoshi, NIRS, Chiba-shi; H. Tsubuku, AEC, Chiba; S. Yamada, K. Yoshida, NIRS, Chiba-shi; K. Yusa, Gunma University, Heavy-Ion Medical Research Center, Maebashi-Gunma","Development for New Carbon Cancer-therapy Facility and Future Plan of HIMAC",
TUOAFI02,"J.E. Katuin, J.C. Collins, C. Hagen, W. Manwaring, P. Zolnierczuk, IUCF, Bloomington, Indiana","Design of a Treatment Control System for a Proton Therapy Facility",
TUOAFI03,"H. Ohkuma, JASRI/SPring-8, Hyogo-ken; Y. Arimoto, Osaka University, Osaka; M. Fujiwara, K. Kawase, RCNP, Osaka; K. Nakayama, S. Okajima, Chubu University, Kasugai, Aichi; M. Shoji, S. Suzuki, K. Tamura, T. Yorita, JASRI/SPring-8, Hyogo-ken","Production of MeV Photons by the Laser Compton Scattering Using a Far Infrared Laser at SPring-8",
TUOBFI01,"O. Dressler, J. Feikes, J. Kolbe, BESSY GmbH, Berlin","A Diagnostic Kicker System as a Versatile Tool for Storage Ring Characterisations",
TUOCFI01,"I.I. Popova, F. X. Gallmeier, P. L. Gonzalez, D. C. Gregory, ORNL, Oak Ridge, Tennessee","Radiation Measurements vs. Predictions for SNS Linac Commissioning",
TUOCFI02,"V.V. Danilov, A.V. Aleksandrov, S. Assadi, J. Barhen, Y. Braiman, D.L. Brown, W. Grice, S. Henderson, J.A. Holmes, Y. Liu, A.P. Shishlo, ORNL, Oak Ridge, Tennessee","First Results of SNS Laser Stripping Experiment",
TUOCFI03,"M. Kanazawa, NIRS, Chiba-shi; K. Katsuki, Toshiba, Yokohama; T. Misu, A. Sugiura, NIRS, Chiba-shi","RF Cavity with Co-based Amorphous Core",
TUODFI01,"R.W. Assmann, O. Aberle, CERN, Geneva; I. Baishev, IHEP Protvino, Protvino, Moscow Region; G. Bellodi, A. Bertarelli, C.B. Bracco, H.-H. Braun, M. Brugger, S. Calatroni, R. Chamizo, A. Dallocchio, B. Dehning, A. Ferrari, P. Gander, A. Grudiev, E.B. Holzer, J.-B. Jeanneret, J.M. Jimenez, M. Jonker, Y. Kadi, K. Kershaw, CERN, Geneva; I.L. Kurochkin, IHEP Protvino, Protvino, Moscow Region; J. Lendaro, J. Lettry, R. Losito, M. Magistris, A.M. Masi, M. Mayer, E. Métral, R. Perret, C. Rathjen, S. Redaelli, G. Robert-Demolaize, S. Roesler, F. Ruggiero, M. Santana-Leitner, P. Sievers, M. Sobczak, E. Tsoulou, V. Vlachoudis, Th. Weiler, CERN, Geneva","The Final Collimation System for the LHC",
TUODFI02,"M. Zobov, D. Alesini, M.E. Biagini, A. Drago, A. Gallo, C. Milardi, P. Raimondi, B. Spataro, A. Stella, INFN/LNF, Frascati (Roma)","DAFNE Experience with Negative Momentum Compaction",
TUODFI03,"J.A. Crittenden, Cornell University, Department of Physics, Ithaca, New York","Operational Status of CESR-c",
TUPCH003,"M.J. Spencer, S. Banks, M.J. Boland, M. Clift, R.T. Dowd, R. Farnsworth, S. Hunt, G. LeBlanc, M. Mallis, B. Mountford, Y.E. Tan, A. Walsh, K. Zingre, ASP, Clayton, Victoria","Diagnostics and Timing at the Australian Synchrotron",
TUPCH004,"S.R. Marques, P.F. Tavares, LNLS, Campinas","Commissioning of the LNLS X-ray BPMs",
TUPCH006,"V.A. Verzilov, D. Cameron, D.T. Gray, S. Kellogg, M. Minato, W.R. Rawnsley, TRIUMF, Vancouver","A Wideband Intercepting Probe for the TRIUMF Cyclotron",
TUPCH007,"C. Simon, S. Chel, M. Luong, O. Napoly, J. Novo, D. Roudier, CEA, Gif-sur-Yvette; N. Rouvière, IPN, Orsay","High Resolution BPM for the Linear Colliders",
TUPCH008,"J.-C. Denard, L. Cassinari, N. Hubert, N.L. Leclercq, D. Pedeau, SOLEIL, Gif-sur-Yvette","Behavior of the BPM System During the First Weeks of SOLEIL Commissioning",
TUPCH009,"T. Kamps, P. Kuske, D. Lipka, BESSY GmbH, Berlin","Beam Measurements and Manipulation of the Electron Beam in the BESSY-II Transferline for Topping Up Studies",
TUPCH010,"P. Forck, C. Andre, F. Becker, GSI, Darmstadt; D. Hoffmann, TU Darmstadt, Darmstadt; H. Iwase, GSI, Darmstadt","Profile Measurement by Beam Induced Fluorescence for 60 MeV/u to 750 MeV/u Heavy Ion Beams",
TUPCH011,"P. Forck, A. Peters, GSI, Darmstadt","Innovative Beam Diagnostics for the Challenging FAIR Project",
TUPCH012,"A.A. Galatis, P. Kowina, K. Lang, A. Peters, GSI, Darmstadt","Digital Techniques in BPM Measurements at GSI-ISI",
TUPCH013,"P. Kowina, A.A. Galatis, W. Kaufmann, J. Schoelles, GSI, Darmstadt","Numerical Calculations of Position Sensitivity for Linear-cut Beam Position Monitors",
TUPCH014,"H. Reeg, J. Glatz, N. Schneider, GSI, Darmstadt; H. Walter, Ing.-Buero H. Walter, Saulheim","Machine Protection by Active Current-transmission Control at GSI-UNILAC",
TUPCH015,"A. Reiter, A. Peters, M. Schwickert, GSI, Darmstadt","Integrated Beam Diagnostics Systems for HICAT and CNAO",
TUPCH016,"A. Paech, W. Ackermann, TEMF, Darmstadt; O. Grimm, DESY, Hamburg; T. Weiland, TEMF, Darmstadt","Numerical Simulation of Synchrotron Radiation for Bunch Diagnostics",
TUPCH018,"J. Kettler, P. Hartmann, R.G. Heine, T. Weis, DELTA, Dortmund","Fast Beam Dynamics Investigation Based on an ADC Filling Pattern Measurement",
TUPCH019,"C. Gabor, IAP, Frankfurt-am-Main; D.A. Lee, Imperial College of Science and Technology, Department of Physics, London; A.P. Letchford, CCLRC/RAL/ISIS, Chilton, Didcot, Oxon; J.K. Pozimski, CCLRC/RAL, Chilton, Didcot, Oxon","Laser-based Beam Diagnostic for the Front End Test Stand (FETS) at RAL",
TUPCH021,"O. Grimm, DESY, Hamburg","Principles of longitudinal beam diagnostics with coherent radiation",
TUPCH022,"K.E. Hacker, DESY, Hamburg; F. Loehl, Uni HH, Hamburg; H. Schlarb, DESY, Hamburg","Large Horizontal Aperture BPM for use in Dispersive Sections of Magnetic Chicanes",
TUPCH023,"G. Kube, F.J. Willeke, DESY, Hamburg","Direct Observation of Beam-beam Induced Dynamical Beta Beating at HERA",
TUPCH024,"H. Schlarb, A. Azima, S. Düsterer, M. Huening, E.-A. Knabbe, M. Roehrs, DESY, Hamburg; M.C. Ross, SLAC, Menlo Park, California; R. Rybnikov, B. Schmidt, DESY, Hamburg; P. Schmüser, Uni HH, Hamburg; B. Steffen, DESY, Hamburg; A. Winter, Uni HH, Hamburg","Comparative Study of Bunch Length and Arrival Time Measurements at FLASH",
TUPCH025,"H. Schlarb, N. Heidbrook, H. Kapitza, F. Ludwig, N. Nagad, DESY, Hamburg","Precision RF Gun Phase Monitor System for the VUV-FEL",
TUPCH026,"B. Steffen, DESY, Hamburg; G. Berden, FOM Rijnhuizen, Nieuwegein; W.A. Gillespie, University of Dundee, Nethergate, Dundee, Scotland; S.P. Jamison, UAD, Dundee; E.-A. Knabbe, DESY, Hamburg; A. MacLeod, UAD, Dundee; P.J. Phillips, University of Dundee, Nethergate, Dundee, Scotland; B. Schmidt, DESY, Hamburg; P. Schmüser, Uni HH, Hamburg; A.F.G. van der Meer, FOM Rijnhuizen, Nieuwegein","Single Shot Longitudinal Bunch Profile Measurements at FLASH using Electro-optic Techniques",
TUPCH027,"B. Steffen, DESY, Hamburg; G. Berden, FOM Rijnhuizen, Nieuwegein; W.A. Gillespie, University of Dundee, Nethergate, Dundee, Scotland; S.P. Jamison, UAD, Dundee; E.-A. Knabbe, DESY, Hamburg; A. MacLeod, UAD, Dundee; P.J. Phillips, University of Dundee, Nethergate, Dundee, Scotland; B. Schmidt, DESY, Hamburg; P. Schmüser, Uni HH, Hamburg; A.F.G. van der Meer, FOM Rijnhuizen, Nieuwegein","Time Resolved Single-shot Measurements of Transition Radiation at the THz Beamline of FLASH using Electro-optic Spectral Decoding",
TUPCH028,"A. Winter, Uni HH, Hamburg; F. Loehl, F. Ludwig, H. Schlarb, B. Schmidt, DESY, Hamburg; P. Schmüser, A. Winter, Uni HH, Hamburg","Layout of the Optical Synchronization System for FLASH",
TUPCH029,"A. Winter, Uni HH, Hamburg; J. Chen, MIT, Cambridge, Massachusetts; F.O. Ilday, Bilkent University, Bilkent, Ankara; F.X. Kaertner, MIT, Cambridge, Massachusetts; F. Ludwig, H. Schlarb, DESY, Hamburg; P. Schmüser, A. Winter, Uni HH, Hamburg","High-precision Laser Master Oscillators for Optical Timing Distribution Systems in Future Light Sources",
TUPCH030,"T. Sieber, H. Fadil, M. Grieser, A. Wolf, R. von Hahn, MPI-K, Heidelberg","A Beam Diagnostics System for the Heidelberg Cryogenic Storage Ring CSR",
TUPCH031,"K. Knaack, DESY, Hamburg; R. Neubert, S. Nietzsche, FSU Jena, Jena; A. Peters, GSI, Darmstadt; W. Vodel, FSU Jena, Jena; K. Wittenburg, DESY, Hamburg","A New SQUID-based Measurement Tool for Characterization of Superconducting RF Cavities",
TUPCH032,"A.-S. Müller, I. Birkel, E. Huttel, FZK, Karlsruhe; K.B. Scheidt, ESRF, Grenoble; P. Wesolowski, FZK, Karlsruhe","Precise Measurements of the Vertical Beam Size in the ANKA Storage Ring with an In-air X-ray Detector",
TUPCH033,"M. Dehn, H. Euteneuer, F.F. Fichtner, A. Jankowiak, K.-H. Kaiser, W.K. Klag, H.J. Kreidel, S.S. Schumann, G.S. Stephan, IKP, Mainz","Automated Beam Optimisation and Diagnostics at MAMI",
TUPCH035,"S.J. Payne, S.A. Whitehead, CCLRC/RAL/ISIS, Chilton, Didcot, Oxon","Fine Spatial Beam Loss Monitoring for the ISIS Proton Synchrotron",
TUPCH036,"B.G. Pine, S.J. Payne, C.M. Warsop, CCLRC/RAL/ISIS, Chilton, Didcot, Oxon","Modelling of Diagnostics for Space Charge Studies on the ISIS Synchrotron",
TUPCH037,"C.M. Thomas, D.C. Faircloth, CCLRC/RAL/ISIS, Chilton, Didcot, Oxon","Development of Emittance Scanner Software for ISIS",
TUPCH038,"S.R. Buckley, R.J. Smith, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire","Beam Loss Monitoring and Machine Protection Designs for the Daresbury Laboratory Energy Recovery Linac Prototype",
TUPCH039,"D.J. Holder, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; F.E. Hannon, Jefferson Lab, Newport News, Virginia; S. Khodyachykh, DESY Zeuthen, Zeuthen; B.D. Muratori, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; A. Oppelt, DESY Zeuthen, Zeuthen","A Phase Space Tomography Diagnostic for Pitz",
TUPCH041,"P.J. Phillips, W.A. Gillespie, University of Dundee, Nethergate, Dundee, Scotland; S.P. Jamison, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; A. MacLeod, UAD, Dundee","Electro-optic Diagnostics on the Daresbury Energy Recovery Linac",
TUPCH042,"V. Blackmore, W.W.M. Allison, G. Doucas, OXFORDphysics, Oxford, Oxon; P.G. Huggard, CCLRC/RAL, Chilton, Didcot, Oxon; M.B. Johnston, University of Oxford, Clarendon Laboratory, Oxford; C. Perry, OXFORDphysics, Oxford, Oxon; B. Redlich, A.F.G. van der Meer, FOM Rijnhuizen, Nieuwegein","The Optical System for a Smith-Purcell Experiment at 45MeV",
TUPCH043,"G. Doucas, V. Blackmore, OXFORDphysics, Oxford, Oxon; P.G. Huggard, CCLRC/RAL, Chilton, Didcot, Oxon; M.B. Johnston, University of Oxford, Clarendon Laboratory, Oxford; M.F. Kimmitt, University of Essex, Physics Centre, Colchester; B. Ottewell, C. Perry, OXFORDphysics, Oxford, Oxon; B. Redlich, A.F.G. van der Meer, FOM Rijnhuizen, Nieuwegein","Observations of the Longitudinal Electron Bunch Profile at 45MeV Using coherent Smith-Purcell radiation",
