FRXAPA01,"M.S. Zisman, LBNL, Berkeley, California","Neutrino Factories and Beta Beams",
MOPCH034,"A.M. Mihalache, INFLPR, Bucharest - Magurele; V. Babin, INOE, Bucharest; M.R. Leonovici, Bucharest University, Faculty of Physics, Bucharest-Magurele; V.I.R. Niculescu, INFLPR, Bucharest - Magurele; F. Scarlat, Valahia University, Faculty of Sciences, Targoviste; C. Stancu, Bucharest University, Faculty of Physics, Bucharest-Magurele","On a Skeleton CASSINI Ovals Current Undulator",
MOPCH036,"T.V. Gorlov, MEPhI, Moscow; A.M. Tron, LPI, Moscow","Photocathode Roughness Impact on Photogun Beam Characteristics",
MOPCH038,"A.V. Kuzmin, O.A. Shevchenko, N. Vinokurov, BINP SB RAS, Novosibirsk","Predicted Parameters of the Second Stage of High Power Novosibirsk FEL",
MOPCH040,"S. Thorin, MAX-lab, Lund; M. Abo-Bakr, J. Bahrdt, BESSY GmbH, Berlin; M. Brandin, MAX-lab, Lund; K. Goldammer, BESSY GmbH, Berlin; S. Werin, MAX-lab, Lund","Simulations for the FEL Test Facility at MAX-lab within EUROFEL",
MOPCH041,"S. Werin, MAX-lab, Lund; J. Bahrdt, BESSY GmbH, Berlin; M. Brandin, T. Hansen, D. Kumbaro, L. Malmgren, S. Thorin, MAX-lab, Lund","Design of a New Preinjector for the MAX Recirculator to be Used in EUROFEL",
MOPCH042,"J.-Y. Raguin, A. Anghel, R.J. Bakker, M. Dehler, R. Ganter, C. Gough, S. Ivkovic, E. Kirk, F. Le Pimpec, S.C. Leemann, K.L. Li, M. Paraliev, M. Pedrozzi, L. Rivkin, V. Schlott, A.F. Wrulich, PSI, Villigen","Progress in the Design of a Two-Frequency RF Cavity for an Ultra-Low Emittance Pre-Accelerated Beam",
MOPCH043,"Ö.M. Mete, Ö. Karsli, O. Yavas, Ankara University, Faculty of Engineering, Tandogan, Ankara","An Optimization Study for an FEL Oscillator at TAC Test Facility",
MOPCH044,"M.V. Vysotskyy, V.I. Vysotskii, National Taras Shevchenko University of Kyiv, Radiophysical Faculty, Kiev","Peculiarities of the Doppler Effect for Moving Radiative Particles in Dispersive Medium at Extreme Conditions",
MOPCH045,"M. Gullans, UCB, Berkeley, California; G. Penn, LBNL, Berkeley, California; J.S. Wurtele, UCB, Berkeley, California; A. Zholents, LBNL, Berkeley, California","A Source of Coherent Soft X-ray Radiation Based on High-order Harmonic Generation and Free Electron Lasers",
MOPCH047,"M. Cornacchia, P. Craievich, S. Di Mitri, ELETTRA, Basovizza, Trieste; I.V. Pogorelov, J. Qiang, M. Venturini, LBNL, Berkeley, California; D. Wang, MIT, Middleton, Massachusetts; R.L. Warnock, SLAC, Menlo Park, California; A. Zholents, LBNL, Berkeley, California","Study of the Electron Beam Dynamics in the FERMI @ ELETTRA Linac",
MOPCH048,"J. Wu, D. Dowell, P. Emma, C. Limborg-Deprey, J.F. Schmerge, SLAC, Menlo Park, California","Linac Coherent Light Source Electron Beam Collimation",
MOPCH049,"J. Wu, P. Emma, SLAC, Menlo Park, California","Trajectory Stability Modeling and Tolerances in the LCLS",
MOPCH051,"S. Khan, Uni HH, Hamburg; K. Holldack, T. Kachel, BESSY GmbH, Berlin; R. Mitzner, Universitaet Muenster, Physikalisches Institut, Muenster; T. Quast, BESSY GmbH, Berlin","Operation of the First Undulator-based Femtoslicing Source",
MOPCH053,"G. Wuestefeld, J. Feikes, P. Kuske, BESSY GmbH, Berlin","Towards Sub-picoseconds Electron Bunches: Upgrading Ideas for BESSY II",
MOPCH054,"R. Bartolini, Diamond, Oxfordshire; M. Borland, K.C. Harkay, ANL, Argonne, Illinois","Plans for the Generation of Short Radiation Pulses at the Diamond Storage Ring",
MOPCH055,"Y. Shoji, NewSUBARU/SPring-8, Laboratory of Advanced Science and Technology for Industry (LASTI), Hyogo; T. Asaka, JASRI/SPring-8, Hyogo-ken; Y. Hisaoka, T. Matsubara, T. Mitsui, NewSUBARU/SPring-8, Laboratory of Advanced Science and Technology for Industry (LASTI), Hyogo; S. Suzuki, JASRI/SPring-8, Hyogo-ken","Circulation of a Short, Intense Electron Bunch in the NewSUBARU Storage Ring",
MOPCH056,"R. Moriyama, Y. Hama, RISE, Tokyo; H. Hayano, KEK, Ibaraki; K. Hidume, RISE, Tokyo; S. Kashiwagi, ISIR, Osaka; R. Kuroda, AIST, Tsukuba, Ibaraki; A. Oshima, T. Saito, K. Sakaue, RISE, Tokyo; J. Urakawa, KEK, Ibaraki; M. Washio, RISE, Tokyo","Development of High Brightness Soft X-ray Source Based on Inverse Compton Scattering",
MOPCH057,"A.V. Bondarenko, BINP SB RAS, Novosibirsk; Y.H. Han, Y.U. Jeong, B.C. Lee, KAERI, Daejon; S.V. Miginsky, BINP SB RAS, Novosibirsk; S. H. Park, KAERI, Daejon","The Design of a 1.8 keV Compton X-ray Generator for a SC RF Linac at KAERI",
MOPCH058,"W.P.E.M. Op 't Root, M.J. Loos, O.J. Luiten, M.J. Van der Wiel, T. van Oudheusden, S.B. van der Geer, TUE, Eindhoven","RF Photogun as Ultra Bright Terahertz Source",
