mod1a01,"G. Rehm, M. G. Abbott, J. Rowland, I. Uzun, Diamond, Oxfordshire","Digital EBPMs at Diamond: Operational Experience and Integration into a Fast Global Orbit Feedback",24 26,
tupc18,"A. M. Tron, LPI, Moscow; T. V. Gorlov, MEPhI, Moscow","New Type Photocathode for X-Ray Streak Camera of the 10-Fs Resolution",183 185,
tupc19,"A. Olmos, F. Pérez, ALBA, Bellaterra; G. Rehm, Diamond, Oxfordshire","Matlab Code for BPM Button Geometry Computation",186 188,
tupc20,"N. Hubert, L. Cassinari, J.-C. Denard, N. L. Leclercq, A. Nadji, L. S. Nadolski, D. Pedeau, SOLEIL, Gif-sur-Yvette","The SOLEIL BPM and Orbit Feedback Systems",189 191,
tupc23,"A. Lunin, G. Romanov, N. Solyak, M. Wendt, Fermilab, Batavia, Illinois","Design of a Submicron Resolution Cavity BPM for the ILC Main Linac",192 194,
tupc24,"H. R. Kremers, J. P.M. Beijers, S. Brandenburg, KVI, Groningen","A Versatile Emittance Meter and Profile Monitor",195 197,
tupc25,"V. Schlott, Å. Andersson, M. Dach, S. C. Leemann, M. Rohrer, A. Streun, PSI, Villigen","Design and Calibration of an Emittance Monitor for the PSI XFEL Project",198 200,
tupc26,"J. Lund-Nielsen, N. Baboi, DESY, Hamburg; W. Riesch, DESY Zeuthen, Zeuthen","Button Beam Position Monitors for FLASH",201 203,
weo1a01,"A. Winter, DESY, Hamburg","Sub-ps Timing and Synchronization Systems for Longitudinal Electron Bunch Profile Measurements",204 208,
weo1a02,"J. M. Byrd, LBNL, Berkeley, California","Progress in Ultrafast X-ray Streak Cameras",209 214,
weo1a03,"T. Lefevre, CERN, Geneva; D. Alesini, C. Biscari, INFN/LNF, Frascati (Roma); H.-H. Braun, E. Bravin, CERN, Geneva; B. Buonomo, INFN/LNF, Frascati (Roma); S. Burger, CERN, Geneva; O. Coiro, INFN/LNF, Frascati (Roma); R. Corsini, CERN, Geneva; P. Craievich, ELETTRA, Basovizza, Trieste; A. E. Dabrowski, NU, Evanston; S. Doebert, CERN, Geneva; M. Ferianis, ELETTRA, Basovizza, Trieste; A. Ferrari, UU/ISV, Uppsala; A. Ghigo, F. Marcellini, B. Preger, INFN/LNF, Frascati (Roma); L. Soby, F. Tecker, P. Urschütz, CERN, Geneva; M. Velasco, NU, Evanston; M. Veronese, ELETTRA, Basovizza, Trieste; C. P. Welsch, CERN, Geneva","Instrumentation for Longitudinal Beam Gymnastics in FEL's and in the CLIC test facility 3",215 217,
weo2a01,"S. Jolly, Imperial College of Science and Technology, Department of Physics, London; D. C. Faircloth, STFC/RAL, Chilton, Didcot, Oxon; C. Gabor, STFC/RAL/ASTeC, Chilton, Didcot, Oxon; D. A. Lee, Imperial College of Science and Technology, Department of Physics, London; J. K. Pozimski, STFC/RAL, Chilton, Didcot, Oxon; P. Savage, Imperial College of Science and Technology, Department of Physics, London","Beam Diagnostics for the Front End Test Stand at RAL",218 220,
weo2a02,"P. J. Phillips, UAD, Dundee; G. Berden, FOM Rijnhuizen, Nieuwegein; W. A. Gillespie, University of Dundee, Nethergate, Dundee, Scotland; S. P. Jamison, STFC/DL/ASTeC, Daresbury, Warrington, Cheshire; E.-A. Knabbe, DESY, Hamburg; A. MacLeod, UAD, Dundee; B. Schmidt, P. Schmüser, B. Steffen, DESY, Hamburg; A. F.G. van der Meer, FOM Rijnhuizen, Nieuwegein","Single Shot Longitudinal Bunch Profile Measurements by Temporally Resolved Electro-Optical Detection",221 223,
weo2a03,"A. Cianchi, INFN-Roma II, Roma; D. Alesini, INFN/LNF, Frascati (Roma); A. Bacci, INFN-Milano, Milano; M. Bellaveglia, R. Boni, M. Boscolo, M. Castellano, INFN/LNF, Frascati (Roma); L. Catani, INFN-Roma II, Roma; E. Chiadroni, INFN/LNF, Frascati (Roma); S. Cialdi, INFN-Milano, Milano; A. Clozza, INFN/LNF, Frascati (Roma); A. M. Cook, UCLA, Los Angeles, California; L. Cultrera, G. Di Pirro, A. Drago, INFN/LNF, Frascati (Roma); M. P. Dunning, UCLA, Los Angeles, California; A. Esposito, M. Ferrario, D. Filippetto, INFN/LNF, Frascati (Roma); P. Frigola, UCLA, Los Angeles, California; V. Fusco, A. Gallo, G. Gatti, A. Ghigo, INFN/LNF, Frascati (Roma); L. Giannessi, ENEA C. R. Frascati, Frascati (Roma); M. Incurvati, C. Ligi, INFN/LNF, Frascati (Roma); M. Migliorati, A. Mostacci, Rome University La Sapienza, Roma; P. Musumeci, UCLA, Los Angeles, California; E. Pace, INFN/LNF, Frascati (Roma); L. Palumbo, Rome University La Sapienza, Roma; L. Pellegrino, INFN/LNF, Frascati (Roma); M. Petrarca, INFN-Roma, Roma; M. Quattromini, ENEA C. R. Frascati, Frascati (Roma); R. Ricci, C. Ronsivalle, INFN/LNF, Frascati (Roma); J. B. Rosenzweig, UCLA, Los Angeles, California; A. R. Rossi, INFN-Milano, Milano; C. Sanelli, INFN/LNF, Frascati (Roma); L. Serafini, INFN-Milano, Milano; M. Serio, F. Sgamma, B. Spataro, F. Tazzioli, S. Tomassini, C. Vaccarezza, M. Vescovi, C. Vicario, INFN/LNF, Frascati (Roma)","Advanced Measurements at the SPARC Photoinjector",224 228,
