s4-6,"G.P. Boicourt, R.A. Jameson, LASL, Los Alamos, New Mexico, USA","A Statistical Approach to the Estimation of Beam Spill",238 241,
s4-7,"E.A. Wadlinger, LASL, Los Alamos, New Mexico, USA","General Least-Squares Fitting Procedures to Minimize the Volume of a Hyperellipsoid",242 244,
s4-8,"R.L. Gluckstern, University of Maryland, College Park, Maryland, USA","Focusing of High Current Beams in Continuously Rotated Quadrupole Systems",245 248,
s4-9,"B. Franczak, K. Blasche, B. Franzke, GSI, Darmstadt, Germany","Linear Accelerators with Intertank Focusing",249 252,
s5-1,"H.D. Lancaster, L.J. Besse, M.P. Fahmie, J. Glatz, S.R. Keith, S.B. Magyary, A.L. Ritchie, F.B. Selph, G.R. Stover, LBL, Berkeley, California, USA","A Microcomputer Control System for the Superhilac Third Injector",269 273,
s5-10,"O.R. Sander, D.D. Chamberlin, R.A. Jameson, G.N. Minerbo, LASL, Los Alamos, New Mexico, USA","Beam Tomography in Two and Four Dimensions",314 318,
s5-11,"J. Tanaka, S. Anami, S. Fukuda, H. Matsumoto, I. Sato, KEK, Ibaraki, Japan; K. Kobayashi, Y. Tabata, S. Tagawa, M. Washio, Tokyo University, Tanashi, Tokyo, Japan","Single Bunch Acceleration and Detection in S-band Electron Linear Accelerator",319 323,
s5-2,"R.W. Goodwin, M.F. Shea, FNAL, Batavia, Illinois, USA","A Distributed Linac Control System Featuring SDLC Loop Communication",274 278,
s5-3,"J.A. Johnson, D.R. Machen, R.M. Suyama, LASL, Los Alamos, New Mexico, USA","Distributed Control System for the FMIT",279 282,
s5-4,"A.R Swanson, R.E. Hill, LASL, Los Alamos, New Mexico, USA","LAMPF First-Fault Identifier for Fast Transient Faults",283 285,
s5-5,"H. Haseroth, CERN, Geneva, Switzerland","Computer Controlled Formation of the 750-keV Accelerator Column on the New CERN 50-MeV Linac",286 290,
