abc-01,"B.W. Allardyce, CERN, Geneva, Switzerland","The CERN Synchrocyclotron Today",55 58,
ec-02,"H. Krause, R. Langkau, W. Peters, N. Schirm, W. Scobel, University of Hamburg, Hamburg, West Germany","Beam Diagnostics at the Hamburg Isochronous Cyclotron by Ion Time-of-Flight Measurements",355 358,
ec-03,"R.W. Hamm, D.A. Swenson, T.P. Wangler, LANL, Los Alamos, New Mexico, USA","Use of the Radio-Frequency Quadrupole Structure as a Cyclotron Axial Buncher System",359 363,
ec-04,"G. Heidenreich, Th. Stammbach, SIN, Villigen, Switzerland","Some Aspects of the 100 uA Operation of the SIN Injector Cyclotron",365 370,
ei-01,"P. Lapostolle, GANIL, Caen, France","Recent Developments on Beam Dynamics in Cyclotrons",317 326,
ei-02,"G. Hinderer, TU München, Garching, West Germany","Phase-Space Matching Between Pre-Accelerators and Cyclotrons",327 335,
ei-03,"W. Joho, SIN, Villigen, Switzerland","High Intensity Problems in Cyclotrons",337 347,
ep-01,"M. Barré, D. Bibet, A. Chabert, A. Daël, C. Eveillard, P. Lapostolle, J.F. Libin, M. Ohayon, J. Sauret, GANIL, Caen, France","Main Results of the SSC's Magnetic Field Mapping at GANIL",371 373,
ep-02,"S. Motonaga, T. Fujita, A. Goto, Y. Ikegami, Y. Oikawa, H. Takebe, I. Takeshita, T. Wada, RIKEN, Saitama, Japan","The Sector Magnet for the IPCR SSC",375 377,
ep-03,"K. Hosono, M. Inoue, T. Itahashi, I. Miura, A. Shimizu, Osaka University, Osaka, Japan","Magnet Model Studies for a Proposed Ring Cyclotron System at RCNP",379 381,
ep-04,"J.L. Belmont, G. Bizouard, F. Ripouteau, Institut des Sciences Nucléaires, Grenoble, France","Design of Injection, Extraction and Magnetic Fields in SARA",383 385,
ep-05,"P.S. Miller, H.G. Blosser, D. Johnson, NSCL, East Lansing, Michigan, USA","The Magnetic Field of the K500 Cyclotron at MSU Including Trim Coils and Extraction Channels",387 389,
ep-06,"M.L. Mallory, H.G. Blosser, D.J. Clark, H. Laumer, D. Lawton, P.S. Miller, F. Resmini, NSCL, East Lansing, Michigan, USA","Superconducting Cyclotron Magnet Coil Short",391 394,
ep-07,"G. Bellomo, C. De Martinis, L. Serafini, University of Milan & INFN Milan, Milan, Italy","Design of the Magnetic Field for the Milan Superconducting Cyclotron",395 397,
ep-08,"E. Acerbi, F. Alessandria, G. Baccaglioni, L. Rossi, University of Milan & INFN Milan, Milan, Italy","Design of the Main Coils for the Milan Superconducting Cyclotron",399 401,
ep-09,"C. Bieth, B. Ducoudret, G. Dugay, A. Joubert, F. Labussière, GANIL, Caen, France; S. Kwiatkowski, University of Warsaw, Warsaw, Poland","GANIL RF Systems: Cavities, Transmitters and Coupling System",403 405,
ep-10,"B. Ducoudret, A. Joubert, F. Labussière, GANIL, Caen, France","GANIL RF Systems: Feedback Control Systems and Electronics",407 409,
ep-11,"M. Hara, T. Fujisawa, K. Ogiwara, RIKEN, Saitama, Japan","The RF System for the IPCR SSC",411 413,
ep-12,"T. Saito, M. Inoue, I. Miura, A. Shimizu, H. Tamura, Osaka University, Osaka, Japan","RF Model Study for a Proposed Ring Cyclotron System at RCNP",415 417,
ep-13,"K. Sato, M. Fujita, Y. Hirao, Y. Ohshiro, M. Sekiguchi, T. Tanabe, N. Yamazaki, University of Tokyo, Tanashi-shi, Tokyo, Japan","A MOPA RF System for the INS 176cm SF Cyclotron",419 421,
ep-14,"C. Pagani, F. Alessandria, G. Varisco, V. Venturini, University of Milan & INFN Milan, Milan, Italy","RF System Design of the Milan Superconducting Cyclotron",423 425,
ep-15,"N.C. Bhattacharya, A.S. Divatia, Bhabha Atomic Research Centre, Calcutta, India","Orbit Dynamics for AVF Cyclotrons in Hard-Edge Approximation",427 429,
ep-16,"S. Adam, SIN, Villigen, Switzerland","New Proofs for Old Facts in Acceleration Theory",431 433,
ep-17,"N. Nakanishi, A. Goto, T. Wada, Y. Yano, RIKEN, Saitama, Japan","Beam Dynamics for the IPCR SSC",435 437,
ep-18,"A. Goto, N. Kishida, N. Nakanishi, T. Wada, Y. Yano, RIKEN, Saitama, Japan","Calculation of Injection and Extraction Orbits for the IPCR SSC",439 443,
ep-19,"D.L. Friesel, J. Dreisbach, Indiana University, Bloomington, Indiana, USA","Crossing the nu_z = 1 Resonance in the IUCF Main Stage",445 447,
ep-20,"T. Tanabe, Y. Hirao, Y. Ohshiro, K. Sato, M. Sekiguchi, University of Tokyo, Tanashi-shi, Tokyo, Japan","Acceleration of the Li 3+ Ions at the INS 176cm SF Cyclotron",449 451,
ep-21,"K. Hatanaka, K. Hosono, M. Kondo, N. Matsuoka, T. Saito, H. Sakai, Osaka University, Osaka, Japan; K. Nisimura, H. Shimizu, Kyoto University, Kyoto, Japan","Acceleration of Horizontally Polarized Protons and Deuterons by the RCNP Cyclotron",453 455,
ep-22,"M.K. Craddock, G.H. Mackenzie, P.W. Schmor, TRIUMF, Vancouver, Canada","Depolarization of H- Ions in the TRIUMF Cyclotron",457 460,
ep-23,"L. Aldea, J. Reich, P. Wucherer, FZJ, Jülich, West Germany","The Modified Center Region for the Project ISIS at JULIC",461 463,
ep-24,"F. Marti, T. Antaya, M.B. Chen, M.M. Gordon, E. Liukkonen, C. Salgado, NSCL, East Lansing, Michigan, USA","Design Calculations for the Central Region of the NSCL 500 MeV Superconducting Cyclotron",465 468,
ep-25,"A.A. Arzumanov, V.N. Batischev, V.I. Gerasimov, M.S. Gorkovets, A.M. Voronin, Kazakhstan Academy of Sciences, Alma-Ata, USSR","Alteration of the Ion Beam Emittance on the First Orbits in the Cyclotron",469 471,
ep-26,"Y. Yano, A. Goto, N. Kishida, S. Motonaga, H. Takebe, T. Wada, RIKEN, Saitama, Japan","Beam Injection and Extraction System for the IPCR SSC",473 475,
ep-27,"Y. Hirao, University of Tokyo, Tanashi-shi, Tokyo, Japan","Injection into the Accumulation Ring from the INS-SF Cyclotron",477 479,
ep-28,"P.F. Rohwer, S. Schneider, National Accelerator Centre, Faure, Republic of South Africa","Beam Injection and Extraction for the Separated-Sector Cyclotron of the National Accelerator Centre",481 483,
ep-29,"E.W. Blackmore, D.A. Dohan, G.H. Mackenzie, R. Poirier, TRIUMF, Vancouver, Canada","Developments Toward Separated Turns at TRIUMF",485 487,
ep-30,"J.I.M. Botman, H.L. Hagedoorn, R.F. Kruis, Eindhoven University of Technology, Eindhoven, The Netherlands","Extraction Efficiency Optimization for the Eindhoven AVF Cyclotron",489 491,
ep-31,"C.J. Kost, G.H. Mackenzie, TRIUMF, Vancouver, Canada","Extraction of a Beam Made up of Two Spatially Separate Components",493 495,
ep-32,"C.R. Hoffmann, Atomic Energy of Canada, Chalk River, Ontario, Canada","Extraction System Model Experiments for the Chalk River Superconducting Cyclotron",497 499,
ep-33,"E. Fabrici, A. Salomone, University of Milan & INFN Milan, Milan, Italy","The Extraction System for the Superconducting Cyclotron at the University of Milan",501 503,
ep-34,"V.P. Dmitrievsky, V.V. Kolga, N.I. Polumordvinova, JINR, Dubna, USSR","High-Effective Beam Extraction for Ring Cyclotron of High Intensity",505 508,
ep-35,"C.M. Merry, J.C. Cornell, National Accelerator Centre, Faure, Republic of South Africa","An Orthogonal Quadrupole System",509 511,
ep-36,"R. Anne, R. Beck, B. Bru, C. Ricaud, M. Van den Bossche, GANIL, Caen, France","The GANIL Beam Lines",513 515,
ep-37,"N. Kishida, T. Inamura, H. Saito, T. Wada, Y. Yano, RIKEN, Saitama, Japan","Beam Transport System for the IPCR SSC",517 519,
ep-38,"P. Roussel, J.M. De Coster, IPN, Orsay, France","An Achromatic Beam Transfer System with a Strongly Negative Equivalent Length",521 523,
ep-39,"Ch. Markovits, SIN, Villigen, Switzerland","Design of a High Intensity 860 keV Proton Beam Transport Line for the New SIN Injector",525 527,
ep-40,"S. Adam, W. Joho, SIN, Villigen, Switzerland; C.J. Kost, TRIUMF, Vancouver, Canada","Longitudinal Space-Charge-Effects in the SIN Injector II and the SIN Ring Cyclotron",529 531,
ep-41,"R. Baartman, G. Dutto, R.E. Laxdal, G.H. Mackenzie, L. Moritz, P.W. Schmor, M. Zach, TRIUMF, Vancouver, Canada","Developments Toward Higher Beam Intensity at TRIUMF",533 535,
ep-42,"S. Nakajima, K. Ikegami, RIKEN, Saitama, Japan","The Vacuum System of the IPCR SSC",537 539,
ep-43,"J. Briaud, CNRS, Orléans, France","Fast Closing Vacuum Valve Control for Cyclotron Protection",541 541,
fc-01,"J.C. Collins, T. Bertuccio, D.C. DuPlantis, Wm. Manwaring, L.C. Welch, Indiana University, Bloomington, Indiana, USA","A Review of Developments on the IUCF Cyclotron Control System",559 563,
fc-02,"D.P. Gurd, J.V. Cresswell, D.R. Heywood, TRIUMF, Vancouver, Canada","Developments in the TRIUMF Control System",565 569,
fc-03,"H.W. Schreuder, B.D. Taenzer, KVI, Groningen, The Netherlands","Computer Control at the KVI Cyclotron",571 573,
fc-04,"L. Dahl, GSI, Darmstadt, West Germany","Computer-Aided Tuning Procedures at the UNILAC",575 579,
fi-01,"P. Strehl, GSI, Darmstadt, West Germany","Beam Diagnostics Devices for a Wide Range of Currents",545 554,
fi-02,"W. Busse, HMI, Berlin, East Germany","Advantages and Constraints of Modern Accelerator Control Systems",555 558,
fp-01,"Y. Holler, R. Langkau, W. Peters, N. Schirm, W. Scobel, R. Wien, University of Hamburg, Hamburg, West Germany","Status Report on the Neutron Time-of-Flight Facility at the Hamburg Isochronous Cyclotron",581 583,
fp-02,"F. Loyer, R. Anne, R. Berthelot, Y. Georget, J.M. Loyant, M. Promé, M. Van den Bossche, GANIL, Caen, France","Main Beam Diagnostics at GANIL",585 587,
fp-03,"M. Fruneau, G. Campillo, B. Meillon, J.C. Ravel, M. Robin, M. Tournier, Institut des Sciences Nucléaires, Grenoble, France","Beam Diagnostics and Control at SARA",589 591,
