moa1pl01,"H. Bartosik [CERN, Geneva, Switzerland] ","Challenges in Understanding Space Charge Dynamics",99 98,
thp2wc02,"P. Baudrenghien [CERN, Geneva, Switzerland] T. Mastoridis [CalPoly, San Luis Obispo, California, USA] ","LLRF Studies for HL-LHC Crab Cavities",440 445,
thp2wc03,"I.A. Ivanenko, J. Franko, G.G. Gulbekyan, I.V. Kalagin, N.Yu. Kazarinov [JINR, Dubna, Moscow Region, Russia] ","The Choosing of Magnetic Structure of Isochronous Cyclotron DC-130 for Applied Research",446 450,
tua1wc01,"L. Weissman, D. Berkovits, B. Kaizer, J. Luner, D. Nusbaum, A. Perry, J. Rodnizki, A. Shor, I. Silverman [Soreq NRC, Yavne, Israel] A. Bechtold [NTG Neue Technologien GmbH  Co KG, Gelnhausen, Germany] ","Installation and Commissioning of the Upgraded SARAF 4-rods RFQ",75 79,
tua1wd01,"N. Milas, R. De Prisco, M. Eshraqi, Y. Levinsen, R. Miyamoto, M. Munoz (M. Muñoz), D.C. Plostinar [ESS, Lund, Sweden] ","ESS Commissioning Plans",127 132,
tua1wd03,"S.Y. Xu, Y.W. An, J. Chen, M.Y. Huang, H.F. Ji, Y. Li, S. Wang [IHEP, Beijing, People's Republic of China] X.H. Lu [CSNS, Guangdong Province, People's Republic of China] ","Commissioning Status and Plans of CSNS/RCS",133 135,
tua1wd04,"R. Ainsworth, P. Adamson, B.C. Brown, D. Capista, K.J. Hazelwood, I. Kourbanis, D.K. Morris, M. Xiao, M.-J. Yang [Fermilab, Batavia, Illinois, USA] ","High Intensity Proton Stacking at Fermilab: 700 kW Running",136 140,
tua2wc01,"N. Pichoff [CEA/IRFU, Gif-sur-Yvette, France] D. Chirpaz-Cerbat, R. Cubizolles, J. Dumas, R.D. Duperrier, G. Ferrand, B. Gastineau, F. Leseigneur, C. Madec, Th. Plaisant, J. Plouin [IRFU, CEA, University Paris-Saclay, Gif-sur-Yvette, France] ","Discussion on SARAF-LINAC Cryomodules",80 82,
tua2wc02,"S.M. Polozov, M. Gusarova, T. Kulevoy, M.V. Lalayan, T.A. Lozeeva, S.V. Matsievskiy, R.E. Nemchenko, A.V. Samoshin, V.L. Shatokhin, N.P. Sobenin, D.V. Surkov, K.V. Taletskiy, V. Zvyagintsev [MEPhI, Moscow, Russia] A.A. Bakinowskaya, V.S. Petrakovsky, I.L. Pobol, A.I. Pokrovsky, D.A. Shparla, A. Shvedau, S.V. Yurevich, V.G. Zaleski [Physical-Technical Institute of the National Academy of Sciences of Belarus, Minsk, Belarus] M.A. Baturitski, S.A. Maksimenko [INP BSU, Minsk, Belarus] A.V. Butenko, N. Emelianov, A.O. Sidorin, E. Syresin, G.V. Trubnikov [JINR, Dubna, Moscow Region, Russia] S.E. Demyanov [Scientific-Practical Materials Research Centre of the National Academy of Sciences of Belarus, Minsk, Belarus] V.A. Karpovich [BSU, Minsk, Belarus] T. Kulevoy [ITEP, Moscow, Russia] V.N. Rodionova [Belarussian State University, Scientific Research Institute of Nuclear Problems, Minsk, Belarus] V. Zvyagintsev [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","Status of R&D on New Superconducting Injector Linac for Nuclotron-NICA",83 87,
tua2wc03,"F. Zhu, M. Chen, A.Q. Cheng, J.K. Hao, H.P. Li, S.W. Quan, F. Wang [PKU, Beijing, People's Republic of China] ","Studies on Superconducting Deuteron Driver Linac for BISOL",88 91,
tua2wd01,"R.J. Steinhagen [GSI, Darmstadt, Germany] ","FAIR Commissioning - Concepts and Strategies in View of High-Intensity Operation",141 146,
