THPMA043,"K.C. Mittal, S. Acharya, R. Agarwal, R. Barnwal, D.P. Chakravarthy, A.S. Chawala, A.R. Chindarkar, S.R. Ghodke, B.S. Israel, A. Jain, D. Jayaprakash, M. K. Kumar, M.K. Kumar, R. L. Mishra, K.V. Nagesh, K. Nanu, M.K. Pandey, G.P. Puthran, R.N. Rajan, S.R. Raul, A.K. Ray, P.C. Saroj, D.K. Sharma, V. Sharma, R. Shilendra, S.K. Suneet, S.B. Supriya, D.P. Suryaprakash, BARC, Mumbai","Development of 3 MeV, 30 kW DC Electron Accelerator at EBC, Kharghar",682 684,
THPMA045,"S.R. Tiwari, M. Borage, K. Swarna, RRCAT, Indore (M.P.)","Analysis and Design of Parallel Resonant Network Power Supply for a Rapid Cycling Synchrotron",685 687,
THPMA046,"M. Borage, S. Kotaiah, S.R. Tiwari, RRCAT, Indore (M.P.)","Study and Comparison of Reactive Power Compensation Schemes for Air-Core Transformer in ELV-type DC Accelerators",688 690,
THPMA047,"S.-H. Jeong, J. Choi, H.-S. Kang, D.E. Kim, K.-H. Park, PAL, Pohang, Kyungbuk","Stair Current Output Power Supply for Switching Magnet",691 693,
THPMA048,"Z.A. Naser, D. L. Bandapadhaya, R.K. Bhandari, U. Bhunia, J. Debnath, M. Dutta, C. Mallik, S. Paul, A. Polley, J. Pradhan, A. Sur, DAE/VECC, Calcutta","Study of Vacuum Related Problems During the Energization of K500 Superconducting Cyclotron",694 696,
THPMA050,"T.S. Datta, J. Antony, S. Babu, J. Chacko, A. Choudhury, S. Kar, M. Kumar, R.S. Meena, A. Roy, IUAC, New Delhi","Performance of Cryomodule and Cryogenic Network System for the Superconducting Linac at IUAC. Delhi",697 699,
THPMA051,"M.-C. Lin, L.-H. Chang, M.H. Chang, S.-S. Chang, F.-T. Chung, M.H. Tsai, Ch. Wang, T.-T. Yang, M.-S. Yeh, NSRRC, Hsinchu","Cure of Temperature Fluctuations on the Nitrogen-cooled Sections of a CESR-type SRF Module",700 702,
THPMA056,"C.K. Chan, C.-C. Chang, C. L. Chen, NSRRC, Hsinchu; J.-R. Chen, NTHU, Hsinchu; G.-Y. Hsiung, S-N. Hsu, H.P. Hsueh, Y.-H. Liu, J.Y. Yang, NSRRC, Hsinchu","Design of the TPS Bending Chamber",703 705,
THPMA058,"D.P. Hajra, D. Adak, R.K. Bhandari, J. Chaudhuri, B.C. Mondal, DAE/VECC, Calcutta","Cyclotron RF Structures Leaks, Causes and Repair",706 707,
THPMA059,"D.K. Jiang, SINAP, Shanghai","The Vacuum System for the SSRF Storage Ring",708 710,
