fraau01,"K. Honkavaara, B. Faatz, S. Schreiber, DESY, Hamburg","Status of FLASH",533 536,
mopph049,"M. Roehrs, C. Gerth, DESY, Hamburg","Electron Beam Diagnostics with Transverse Deflecting Structures at the European X-Ray Free Electron Laser",90 93,
mopph051,"J. L. Turner, R. Akre, A. Brachmann, F.-J. Decker, Y. T. Ding, D. Dowell, P. Emma, J. C. Frisch, A. Gilevich, G. R. Hays, P. Hering, Z. Huang, R. H. Iverson, C. Limborg-Deprey, H. Loos, A. Miahnahri, S. Molloy, H.-D. Nuhn, SLAC, Menlo Park, California; D. F. Ratner, Stanford University, Stanford, Califormia; J. J. Welch, W. E. White, J. Wu, SLAC, Menlo Park, California","Beam Stability Studies in the LCLS Linac",94 97,
mopph052,"J. Wu, R. Akre, A. Brachmann, F.-J. Decker, Y. T. Ding, D. Dowell, P. Emma, D. Fairley, J. C. Frisch, A. Gilevich, G. R. Hays, P. Hering, Z. Huang, R. H. Iverson, C. Limborg-Deprey, H. Loos, A. Miahnahri, S. Molloy, H.-D. Nuhn, SLAC, Menlo Park, California; D. F. Ratner, Stanford University, Stanford, Califormia; J. L. Turner, J. J. Welch, W. E. White, SLAC, Menlo Park, California","Commissioning Experience with the Linac Coherent Light Source Feedback Systems",98 101,
mopph053,"V. Petrillo, Universita' degli Studi di Milano, Milano; C. Benedetti, P. Londrillo, INFN-Bologna, Bologna; L. Serafini, Istituto Nazionale di Fisica Nucleare, Milano; A. Sgattoni, Bologna University, Bologna; P. Tomassini, Istituto Nazionale di Fisica Nucleare, Milano; G. Turchetti, Bologna University, Bologna","Ultra-high Brightness Electron Beams by All Optical Plasma Based Injectors",102 105,
mopph054,"T. Tanikawa, Sokendai, Okazaki, Aichi; B. Carré, CEA, Gif-sur-Yvette; M.-E. Couprie, SOLEIL, Gif-sur-Yvette; D. Garzella, CEA, Gif-sur-Yvette; T. Hara, T. Ishikawa, RIKEN/SPring-8, Hyogo; M. Katoh, UVSOR, Okazaki; H. Kitamura, RIKEN/SPring-8, Hyogo; M. Labat, CEA, Gif-sur-Yvette; G. Lambert, LOA, Palaiseau; T. Shintake, RIKEN/SPring-8, Hyogo; K. Tahara, RIKEN Spring-8 Harima, Hyogo; T. Tanaka, RIKEN/SPring-8, Hyogo; Y. T. Tanaka, RIKEN Spring-8 Harima, Hyogo; M. Yabashi, RIKEN/SPring-8, Hyogo","Spectral Characteristics of the Seeded FEL Using Higher Harmonic Generation in a Gas at the SCSS Test Accelerator",106 109,
mopph055,"Y. Kim, Å. Andersson, M. Dach, R. Ganter, C. Gough, C. P. Hauri, R. Ischebeck, F. Le Pimpec, M. Paraliev, M. Pedrozzi, T. Schietinger, B. Steffen, A. F. Wrulich, PSI, Villigen","Low Thermal Emittance Measurements at the PSI-XFEL Low Emittance Gun Test Facility",110 113,
mopph056,"Y. T. Ding, P. H. Bucksbaum, Z. Huang, SLAC, Menlo Park, California; H. Merdji, CEA, Gif-sur-Yvette; D. F. Ratner, Stanford University, Stanford, Califormia","Generation of Attosecond X-ray Pulses with a Multi-Cycle Two-Color ESASE Scheme",114 117,
mopph057,"L. Palumbo, INFN/LNF, Frascati (Roma)","Status of SPARX-FEL Project",118 120,
mopph058,"T.-Y. Lee, J. Choi, PAL, Pohang, Kyungbuk","Gun Emittance and Compact XFEL",121 124,
mopph060,"E.-S. Kim, Kyungpook National University, Daegu; M. Yoon, POSTECH, Pohang, Kyungbuk","Start-to-End Simulations for the 10 GeV PAL-FEL Project",125 127,
