frioa01,"R. Calaga, E. Jensen [CERN, Geneva, Switzerland] ","LHC Crab Cavity .Progress and Outlook",1161 1164,
thp067,"L. Popielarski, M. Goodrich, M. Hodek, I.M. Malloch, N.M. Nicholas, R. Oweiss, J. Popielarski, N. Putnam, K. Saito, D.R. Victory [FRIB, East Lansing, Michigan, USA] ","Testing of Copper Plating Quality on ReA3 Coupler Bellows and Approach to Improved Plating for FRIB Production",1077 1080,
thp068,"M. Sawamura [Japan Atomic Energy Agency (JAEA), Gamma-ray Non-Destructive Assay Research Group, Tokai-mura, Ibaraki-ken, Japan] R. Hajima, R. Nagai, N. Nishimori [JAEA, Ibaraki-ken, Japan] ","New Design of HOM Coupler Using Coaxial-like Rounded Waveguide",1081 1084,
thp070,"A.I. Sukhanov, A. Vostrikov, V.P. Yakovlev [Fermilab, Batavia, USA] ","Analysis of High Order Modes in 1.3 GHz CW SRF Electron Linac for a Light Source",1085 1089,
thp071,"N.R.A. Valles, R.G. Eichhorn, D.A. Goldman, G.H. Hoffstaetter, M. Liepe [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","HOM Studies of the Cornell ERL Main Linac Cavity in the Horizontal Test Cryomodule",1090 1093,
thp072,"V. Veshcherevich, P. Quigley [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Input Coupler for Cornell ERL Main Linac",1094 1097,
thp073,"G.J. Waldschmidt, B. Brajuskovic, D.J. Bromberek, J.D. Fuerst, J.P. Holzbauer, A. Nassiri, Y. Shiroyanagi, G. Wu [ANL, Argonne, USA] V.D. Shemelin [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","HOM Dampers and Waveguide for the Short Pulse X-Ray (SPX) Project",1098 1100,
thp077,"R. Paparella, M. Bertucci, A. Bosotti [INFN/LASA, Segrate (MI), Italy] C. Pagani [Università degli Studi di Milano  INFN, Segrate, Italy] ","Coaxial Blade Tuner for European XFEL 3.9 GHz cavities",1101 1103,
thp078,"N. Gandolfo, S. Bousson, S. Brault, P. Duchesne, P. Duthil, G. Olry, D. Reynet [IPN, Orsay, France] ","Deformation Tuner Design for a Double Spoke Cavity",1104 1106,
thp079,"A. Pandey, G.K. Chaudhari, R.N. Dutt, S. Ghosh, D. Kanjilal, J. Karmakar, D.S. Mathuria, P. Patra, A. Rai, A. Roy, B.K. Sahu, S.K. Saini [IUAC, New Delhi, India] ","Improvement of the Pneumatic Frequency Tuner of the Superconducting Resonators at IUAC",1107 1109,
thp080,"N. Solyak, E. Borissov, I.V. Gonin, C.J. Grimm, T.N. Khabiboulline, R.V. Pilipenko, Y.M. Pischalnikov, W. Schappert, V.P. Yakovlev [Fermilab, Batavia, USA] ","SRF Cavity Tuning for Low Beam Loading",1110 1114,
thp081,"S. He, Y. He, Y.L. Huang, L.B. Liu, F.F. Wang, R.X. Wang, X.W. Wang, W.M. Yue, S.H. Zhang, H.W. Zhao [IMP, Lanzhou, People's Republic of China] ","Development of a Slow Tuner for the 162.5 MHz Superconducting Half-Wave Resonator in IMP",1115 1117,
thp082,"G. Wu, N.D. Arnold, T.G. Berenc, J. Carwardine, A.R. Cours, J.D. Fuerst, J.P. Holzbauer, D. Horan, A. Nassiri [ANL, Argonne, USA] J. Matalevich [JLAB, Newport News, Virginia, USA] Y. Yang [TUB, Beijing, People's Republic of China] ","Fast Detuning Experiment on an SRF Cavity",1118 1120,
thp084,"P. Zhang, L. Alberty, L. Arnaudon, K. Artoos, S. Calatroni, O. Capatina, A. D'Elia, Y. Kadi, I. Mondino, T. Renaglia, D. Valuch, W. Venturini Delsolaro [CERN, Geneva, Switzerland] A. D'Elia [UMAN, Manchester, United Kingdom] ","The Tuning System for the HIE-ISOLDE High-Beta Quarter Wave Resonator",1121 1125,
thp085,"J. Branlard, V. Ayvazyan, L. Butkowski (Ł. Butkowski), M.K. Grecki, M. Hoffmann, F. Ludwig, U. Mavric (U. Mavrič), S. Pfeiffer, K.P. Przygoda, H. Schlarb, Ch. Schmidt, H.C. Weddig [DESY, Hamburg, Germany] W. Cichalewski, D.R. Makowski, A. Piotrowski [TUL-DMCS, Lodz, Poland] K. Czuba, I. Rutkowski, D. Sikora, L. Zembala (Ł. Zembala), M. Zukocinski (M. Żukociński) [Warsaw University of Technology, Institute of Electronic Systems, Warsaw, Poland] I.M. Kudla [NCBJ, Swierk/Otwock, Poland] K. Oliwa, W. Wierba [IFJ-PAN, Krakow, Poland] ","Equipping FLASH with MTCA.4-based LLRF System",1126 1128,
thp086,"J. Branlard, V. Ayvazyan, L. Butkowski (Ł. Butkowski), K.P. Przygoda, H. Schlarb, J.K. Sekutowicz [DESY, Hamburg, Germany] W. Cichalewski, A. Piotrowski [TUL-DMCS, Lodz, Poland] W. Jalmuzna (W. Jałmużna) [Embedded Integrated Control Systems GmbH, Hamburg, Germany] J. Szewinski (J. Szewiński) [NCBJ, Swierk/Otwock, Poland] ","LLRF System Design and Performance for XFEL Cryomodules Continuous Wave Operation",1129 1131,
thp087,"J. Branlard, V. Ayvazyan, M.K. Grecki, H. Schlarb, Ch. Schmidt [DESY, Hamburg, Germany] W. Cichalewski, K. Gnidzinska (K. Gnidzińska), A. Piotrowski, K.P. Przygoda [TUL-DMCS, Lodz, Poland] W. Jalmuzna (W. Jałmużna) [Embedded Integrated Control Systems GmbH, Hamburg, Germany] ","LLRF Tests of XFEL Cryomodules at AMTF: First Experimental Results",1132 1134,
thp089,"H. Do, O.R. Choi, J. Han, J.-W. Kim [IBS, Daejeon, Republic of Korea] C.K. Hwang [KAERI, Daejon, Republic of Korea] ","Design of LLRF System for RAON",1135 1137,
thp090,"A. Hamdi, M. Desmons, M. Luong, J. Novo [CEA/DSM/IRFU, France] F. Ballester [CEA, Gif-sur-Yvette, France] ","Compact Interlock System for Supratech High Power RF teststand",1138 1140,
thp093,"K. Kasprzak, M. Wiencek [IFJ-PAN, Kraków, Poland] ","Fundamental Mode Spectrum Measurement of RF Cavities with RLC Equivalent Circuit",1141 1143,
thp094,"A. Kuramoto [Sokendai, Ibaraki, Japan] H. Hayano [KEK, Ibaraki, Japan] ","Beam Induced HOM Analysis in STF",1144 1147,
thp095,"O.S. Melnychuk [Fermilab, Batavia, USA] ","Error Analysis for Vertical Test Stand Cavity Measurements at Fermilab",1148 1150,
thp096,"S. Stark, V. Palmieri, A.M. Porcellato, A.A. Rossi [INFN/LNL, Legnaro (PD), Italy] V. Palmieri [Univ. degli Studi di Padova, Padova, Italy] ","Recent Upgrade of Ultra-Broadband RF System for Cavity Characterization",1151 1154,
thp097,"X. Sun, G. Decker, G. Wu [ANL, Argonne, USA] ","Use of Waveguide Probes as Beam position and Tilt Monitoring Diagnostics with Baseline and Alternative Superconducting Deflecting Cavities for the APS Upgrade",1155 1157,
thp098,"J.P. Dai, H. Huang, H. Li, H.Y. Lin, P. Sha, Y. Sun, Q.Y. Wang, J. Zhang [IHEP, Beijing, People's Republic of China] ","LLRF and Data Acquisition Systems for Spoke012 Cavity Vertical Test at IHEP",1158 1160,
tuioa01,"O. Kugeler, J. Knobloch, J.M. Vogt [HZB, Berlin, Germany] ","Influence of the Couldown at the Transition Temperature on the SRF Cavity Quality Factor",370 373,
tuioa02,"J.M. Vogt [HZB, Berlin, Germany] J. Knobloch, O. Kugeler [BESSY GmbH, Berlin, Germany] ","High Q0 Research: The Dynamics of Flux Trapping in Superconducting Niobium",374 377,
tuioa05,"Y. Xie, M. Liepe [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","New Insights Into Quench Caused by Surface Pits in SRF Cavities",378 391,
tuioa06,"Y.M. Li, K.X. Liu [PKU, Beijing, People's Republic of China] R.L. Geng, A.D. Palczewski [JLAB, Newport News, Virginia, USA] ","Research on Field Emission and Dark Current in ILC Cavities",392 397,
tuiob01,"A.D. Palczewski [JLAB, Newport News, Virginia, USA] B. Bullock [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] C.A. Cooper [Fermilab, Batavia, USA] S.C. Joshi [RRCAT, Indore (M.P.), India] A. Navitski [DESY, Hamburg, Germany] A.A. Rossi [INFN/LNL, Legnaro (PD), Italy] ","R&D Progress in SRF Surface Preparation With Centrifugal Barrel Polishing (CBP) for both Nb and Cu",398 403,
tuioc02,"A.M. Rowe, A. Grassellino [Fermilab, Batavia, USA] T.D. Hall, M.E. Inman, S.T. Snyder, E.J. Taylor [Faraday Technology, Inc., Clayton, USA] ","Bipolar EP: Electropolishing without Fluorine in a Water Based Electrolyte",404 409,
tuioc03,"V.B. Pastushenko, O.V. Malkova, V. Palmieri, A.A. Rossi, F. Stivanello, G. Yu [INFN/LNL, Legnaro (PD), Italy] G. Yu [CIAE, Beijing, People's Republic of China] ","Fluorine Free Ionic Liquid Electropolishing of Niobium Cavities",410 413,
tuioc04,"P. Dhakal, G. Ciovati, P. Kneisel, G.R. Myneni [JLAB, Newport News, Virginia, USA] ","Analysis of Post-Wet-Chemistry Heat Treatment Effects on Nb SRF Surface Resistance",414 418,
tuioc05,"A.A. Rossi, A. Battistello, M. Checchin, V. Palmieri, S. Stark, F. Stivanello, R.K. Thakur, G. Yu [INFN/LNL, Legnaro (PD), Italy] ","Purification of 6 GHz Cavities by Induction Heating",419 423,
tuioc06,"T. Kubo, Y. Ajima, H. Inoue, T. Saeki, K. Umemori, Y. Watanabe, S. Yamaguchi, M. Yamanaka [KEK, Ibaraki, Japan] T. Nagata [ULVAC, Inc., Tsukuba, Japan] ","Study on Optimum Electron Beam Welding Condition for Superconducting Accelerating Cavities",424 429,
tup007,"T. Kubo, T. Saeki [KEK, Ibaraki, Japan] Y. Iwashita [Kyoto ICR, Uji, Kyoto, Japan] ","Vortex Penetration Field in the Multilayered Coating Model",430 432,
tup008,"T. Kubo [KEK, Ibaraki, Japan] ","Models of the Magnetic Field Enhancement at Pits",433 437,
tup009,"D. Longuevergne [IPN, Orsay, France] ","Magnetic Dependence of the Energy Gap: a Good Model to Fit Q Slope of Low Beta Cavities",438 440,
tup010,"C. Xu, M.J. Kelley [JLAB, Newport News, Virginia, USA] M.J. Kelley, C. Xu [The College of William and Mary, Williamsburg, USA] C.E. Reece [JLab, Newport News, Virginia, USA] ","Simulation of Non-linear RF Losses Derived from Characteristic Nb Topography",441 443,
tup011,"C.E. Reece [JLab, Newport News, Virginia, USA] B. P. Xiao [JLAB, Newport News, Virginia, USA] B. P. Xiao [BNL, Upton, Long Island, New York, USA] ","A Parametric Study of BCS RF Surface Impedance with Magnetic Field Using Xiao Code",444 446,
tup014,"F.L. Barkov, A. Grassellino, A. Romanenko [Fermilab, Batavia, USA] ","Fast Table Top Niobium Hydride Investigations Using Direct Imaging in a Cryo-Stage",447 450,
tup015,"F.L. Barkov, A. Grassellino, A. Romanenko [Fermilab, Batavia, USA] L.Y. Vinnikov [ISSP, Chernogolovka, Russia] ","Bitter Decoration Studies of Magnetic Flux Penetration Into Cavity Cutouts",451 454,
tup016,"D. Kang, T.R. Bieler [Michigan State University, East Lansing, Michigan, USA] C. Compton [FRIB, East Lansing, Michigan, USA] ","Effects of Processing History on Damage Layer Evolution in Large Grain Nb Cavities",455 460,
tup017,"D. Kang, D.C. Baars, T.R. Bieler [Michigan State University, East Lansing, Michigan, USA] C. Compton [FRIB, East Lansing, Michigan, USA] ","Study of Slip and Dislocations in High Purity Single Crystal Nb for Accelerator Cavities",461 465,
tup019,"C. Cao [Illinois Institute of Technology, Chicago, IL, USA] G. Ciovati [JLAB, Newport News, Virginia, USA] L.D. Cooley, A. Grassellino [Fermilab, Batavia, USA] N. Groll, Th. Proslier [ANL, Argonne, USA] J. Zasadzinski [IIT, Chicago, Illinois, USA] ","Probing Hot Spot and Cold Spot of SRF Cavities with Tunneling and Raman Spectroscopies",466 468,
tup022,"P. Dhakal, G. Ciovati, G.R. Myneni [JLAB, Newport News, Virginia, USA] V.M. Genkin, M.I. Tsindlekht [The Hebrew University of Jerusalem, The Racah Institute of Physics, Jerusalem, Israel] ","Study of AC/RF Properties of SRF Ingot Niobium",469 471,
tup023,"G.V. Eremeev, A.D. Palczewski [JLAB, Newport News, Virginia, USA] ","Evidence of Magnetic Breakdown on the Defects With Thermally Suppressed Critical Field in High Gradient SRF Cavities",472 474,
tup026,"D. Gonnella, M. Liepe [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] A. Grassellino [Fermilab, Batavia, USA] ","Performance of a FNAL Nitrogen Treated Superconducting Niobium Cavity at Cornell",475 477,
tup027,"D. Gonnella, M. Liepe [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","High Q0 Studies at Cornell",478 482,
tup028,"D. Gonnella, M. Liepe [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] R.E. French [Corning Community College, Corning, USA] ","Investigation of Spatial Variation of the Surface Resistance of a Superconducting RF Cavity",483 486,
tup029,"D. Gonnella, F. Furuta, M. Liepe [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Heat Treatment of SRF Cavities in a Low-Pressure Atmosphere",487 489,
tup033,"F.S. He, F. He, F. Jiao, X.Y. Lu, K. Zhao [PKU, Beijing, People's Republic of China] L. Chen [NNIEC, Shizuishan City, Ningxia, People's Republic of China] T.C. Jiang [IMP, Lanzhou, People's Republic of China] Y. You, H.Y. Zhao [Ningxia Orient Tantalum Industry Co., Ltd., Dawukou District, Shizuishan city, People's Republic of China] ","Magnetic Property Improvement of Niobium Doped with Rare Earth Elements",490 494,
tup035,"C. Maiano, P. Michelato [INFN/LASA, Segrate (MI), Italy] M. Clemenza [Universita Milano Bicocca, MILANO, Italy] C. Pagani [Università degli Studi di Milano  INFN, Segrate, Italy] ","Neutron Activation Analysis as a Foreign Intrusion Cavity DetectionTool",495 498,
tup037,"A. Mapar, F. Pourboghrat [MSU, East Lansing, USA] T.R. Bieler [Michigan State University, East Lansing, USA] C. Compton [FRIB, East Lansing, Michigan, USA] ","Dynamic Hardening Rule; a Generalization of the Classical Hardening Rule for Crystal Plasticity",499 503,
tup043,"Y. Trenikhina, J. Zasadzinski [IIT, Chicago, USA] A. Romanenko [Fermilab, Batavia, USA] ","Nanostructural TEM/STEM Studies of Hot and Cold Spots in SRF Cavities",504 507,
tup044,"J.P. Dai, H. Li, L.H. Li, Q.Y. Wang, J. Zhang [IHEP, Beijing, People's Republic of China] P. Sha [Institute of High Energy Physics (IHEP), Chinese Academy of Sciences, Beijing, People's Republic of China] ","Surface Processing Facilities for Spoke Cavities at IHEP",508 510,
tup046,"F. Eozénou, F. Ballester, Y. Boudigou, P. Carbonnier, J.-P. Charrier, Y. Gasser, D. Roudier, C. Servouin [CEA/DSM/IRFU, France] K. Muller [Grenoble-INP Phelma, Grenoble, France] ","Vertical Electropolishing of SRF Cavities and its Parameters Investigation",514 517,
tup047,"L.M.A. Ferreira, S. Calatroni, S. Forel [CERN, Geneva, Switzerland] J.A. Shirra [Loughborough University, Leicestershre, United Kingdom] ","Niobium Cavity Electropolishing Modelling and Optimisation",518 520,
tup048,"F. Furuta, B. Bullock, R.G. Eichhorn, B. Elmore, A. Ganshin, G.M. Ge, G.H. Hoffstaetter, J.J. Kaufman, M. Liepe, J. Sears [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Preparations and VT Results of ERL7-cell at Cornell",521 523,
tup049,"F. Furuta, B. Elmore, G.H. Hoffstaetter, D.K. Krebs, M. Liepe [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Cornell VEP Update, VT Results and R&D on Nb Coupon",524 526,
tup051,"Y. Morita, K. Akai, T. Furuya, A. Kabe, S. Mitsunobu, M. Nishiwaki [KEK, Ibaraki, Japan] ","Horizontal High Pressure Water Rinsing for Performance Recovery",527 529,
tup052,"Y.I. Ida, K.N. Nii [MGH, Hyogo-ken, Japan] H. Hayano, S. Kato, H. Monjushiro, T. Saeki, M. Sawabe [KEK, Ibaraki, Japan] K. Ishimi, Y.B. Iwabuchi [MGI, Chiba, Japan] ","Study on Vertical Electro-Polishing by Cathode With Variable-Geometry Wings",530 536,
tup053,"A.A. Sulimov, G. Kreps, J.K. Sekutowicz [DESY, Hamburg, Germany] ","Estimation of Small Geometry Deviation for TESLA-Shape Cavities Due to Inner Surface Polishing",537 539,
tup054,"E.J. Taylor, T.D. Hall, M.E. Inman, S.T. Snyder [Faraday Technology, Inc., Clayton, USA] A.M. Rowe [Fermilab, Batavia, USA] ","Electropolishing of Niobium SRF Cavities in Low Viscosity Aqueous Electrolytes Without Hydrofluoric Acid",540 543,
tup055,"Y. Yang, J.D. Fuerst, J.P. Holzbauer, J.A. Kaluzny, A. Nassiri, G. Wu [ANL, Argonne, USA] A.C. Crawford [Fermilab, Batavia, USA] P. Dhakal, J.D. Mammosser, H. Wang [JLAB, Newport News, Virginia, USA] Y. Yang [TUB, Beijing, People's Republic of China] ","Electropolishing of the ANL Deflecting Cavity for the APS Upgrade",544 546,
tup056,"A. Matheisen, N. Krupka, M. Schalwat, A. Schmidt, W. Singer, N. Steinhau-Kuehl (N. Steinhau Kühl), B. van der Horst [DESY, Hamburg, Germany] G. Corniani [Ettore Zanon S.p.A., Schio, Italy] P. Michelato, L. Monaco [INFN/LASA, Segrate (MI), Italy] ","Industrialization of European XFEL Preparation Cycle ``BCP Flash'' at Ettore Zanon Company",547 550,
tup057,"M. Doleans, W. Blokland, M.T. Crofford, D.L. Douglas, M.P. Howell, S.-H. Kim, P.V. Tyagi [ORNL, Oak Ridge, Tennessee, USA] R. Afanador, J.A. Ball, B. DeGraff, B.S. Hannah, S.W. Lee, C.J. McMahan, J. Saunders [ORNL RAD, Oak Ridge, Tennessee, USA] ","Plasma Processing R&D for the SNS Superconducting Linac RF Cavities",551 557,
tup058,"R.G. Eichhorn, A. Ganshin, A. Holmes, J.J. Kaufman, S.R. Markham, S. Posen, E.N. Smith [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Recent Findings on Nitrogen Treated Niobium",558 560,
tup059,"F. Furuta, B. Bullock, R.G. Eichhorn, A. Ganshin, G.M. Ge, G.H. Hoffstaetter, J.J. Kaufman, M. Liepe, J. Sears [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","TM-Furnace Qualification at Cornell",561 563,
tup060,"C.A. Cooper, A.C. Crawford, C.M. Ginsburg, A. Grassellino, R.D. Kephart, O.S. Melnychuk, A. Romanenko, A.M. Rowe, D.A. Sergatskov [Fermilab, Batavia, USA] ","Acid Free Extended Mechanical Polishing R&D",564 566,
tup061,"Y. Iwashita, Y. Fuwa, H. Tongu [Kyoto ICR, Uji, Kyoto, Japan] H. Hayano [KEK, Ibaraki, Japan] ","Update on Study of Welding Porosity in Nb EBW",567 569,
tup062,"L. Monaco, P. Michelato, D. Sertore [INFN/LASA, Segrate (MI), Italy] V. Battista, G. Corniani, M. Festa [Ettore Zanon S.p.A., Schio, Italy] C. Pagani [Università degli Studi di Milano  INFN, Segrate, Italy] ","Application of In-Vacuum Infrared Pyrometry During Fabrication of European XFEL Niobium Cavities",570 574,
tup063,"A.D. Palczewski, G.V. Eremeev, R.L. Geng [JLAB, Newport News, Virginia, USA] I. Jelezov [RAS/INR, Moscow, Russia] W. Singer, X. Singer [DESY, Hamburg, Germany] ","Quench Studies and Preheating Analysis of Seamless Hydroformed Cavities Processed at Jefferson Laboratories",575 578,
tup064,"A.D. Palczewski, G. Ciovati, R.L. Geng, Y.M. Li [JLAB, Newport News, Virginia, USA] ","Exploration of Material Removal Rate of SRF Elliptical Cavities as a Function of Media Type and Cavity Shape on Niobium and Copper Using Centrifugal Barrel Polishing (CBP)",579 582,
tup065,"Y. Trenikhina [IIT, Chicago, USA] A. Grassellino, A. Romanenko [Fermilab, Batavia, USA] ","Chemical Structure of Niobium Samples Vacuum Treated in Nitrogen in Parallel With Very High Q0 Cavities",583 585,
tup066,"J. Upadhyay, S. Popovic (S. Popović), L. Vuskovic (L. Vušković) [ODU, Norfolk, Virginia, USA] D.S. Im [Old Dominion University, Norfolk, Virginia, USA] H.L. Phillips, A-M. Valente-Feliciano [JLAB, Newport News, Virginia, USA] ","Plasma Processing of Large Surfaces with Application to SRF Cavity Modification",586 588,
tup067,"S.K. Chandrasekaran [MSU, East Lansing, USA] T.R. Bieler [Michigan State University, East Lansing, USA] C. Compton [FRIB, East Lansing, USA] N.T. Wright [(MSU), East Lansing, USA] ","Hydrogen Saturation and the Thermal Conductivity of Superconducting Niobium",589 592,
tup068,"L. Zhao, M.J. Kelley [The College of William and Mary, Williamsburg, USA] M.J. Kelley, J.M. Klopf, C.E. Reece [JLAB, Newport News, Virginia, USA] L. Zhao [JLab, Newport News, Virginia, USA] ","Laser Polishing of Niobium for SRF Applications",593 595,
tup069,"L. Alberty, G. Arnau-Izquierdo, I. Aviles Santillana, S. Calatroni, O. Capatina, A. D'Elia, G. Foffano, Y. Kadi, P. Moyret, K.M. Schirm, T. Tardy, W. Venturini Delsolaro [CERN, Geneva, Switzerland] A. D'Elia [UMAN, Manchester, United Kingdom] ","The Copper Substrate Developments for the HIE-ISOLDE High-Beta Quarter Wave Resonator",596 598,
tup070,"G.V. Eremeev, H.L. Phillips, A-M. Valente-Feliciano [JLAB, Newport News, Virginia, USA] C.E. Reece [JLab, Newport News, Virginia, USA] B. P. Xiao [BNL, Upton, Long Island, New York, USA] ","Characterization of Superconducting Samples With SIC System for Thin Film Developments: Status and Recent Results.",599 602,
tup071,"G.V. Eremeev, W.A. Clemens, K. Macha, H. Park, R.S. Williams [JLAB, Newport News, Virginia, USA] H. Park [ODU, Norfolk, Virginia, USA] ","Development of Nb3Sn Cavity Vapor Diffusion Deposition System",603 606,
tup072,"D.L. Hall, D. Gonnella, M. Liepe [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] V.M. Arrieta, S.R. McNeal [Ultramet, California, USA] ","Quality Factor Measurements of the Ultramet 3 GHz Cavity Constructed Using Chemical Vapour Deposition",607 610,
tup073,"N.M. Jecklin, S. Calatroni, L.M.A. Ferreira, I. Mondino, A. Sublet, M. Therasse, W. Venturini Delsolaro [CERN, Geneva, Switzerland] B. Delaup [EPFL, Lausanne, Switzerland] ","Niobium Coatings for the HIE-ISOLDE QWR Superconducting Accelerating Cavities",611 613,
tup074,"R. Kleindienst, J. Knobloch, O. Kugeler [HZB, Berlin, Germany] ","Development of an Optimized Quadrupole Resonator at HZB",614 616,
tup075,"H.L. Phillips, K. Macha, A-M. Valente-Feliciano [JLAB, Newport News, Virginia, USA] ","Design and Commissioning Status of New Cylindrical HiPIMS Nb Coating System for SRF Cavities",617 619,
tup076,"A. Sublet, I. Aviles Santillana, S. Calatroni, A. D'Elia, N.M. Jecklin, I. Mondino, S. Prunet, M. Therasse, W. Venturini Delsolaro, P. Zhang [CERN, Geneva, Switzerland] ","Preliminary Results of Nb Thin Film Coating for HIE-ISOLDE SRF Cavities Obtained by Magnetron Sputtering",620 622,
tup077,"A. Sublet, I. Aviles Santillana, S. Calatroni, P. Costa Pinto, N.M. Jecklin, S. Prunet, A. Sapountzis, W. Venturini Delsolaro, W. Vollenberg [CERN, Geneva, Switzerland] ","Thin Film Coating Optimization for HIE-ISOLDE SRF Cavities: Coating Parameters Study and Film Characterization",623 626,
tup078,"G. Terenziani, I. Aviles Santillana, S. Calatroni, T. Junginger [CERN, Geneva, Switzerland] A.P. Ehiasarian [SHU, Sheffield, United Kingdom] ","Nb Coating Developments with HIPIMS for SRF Applications",627 630,
tup079,"A-M. Valente-Feliciano, G.V. Eremeev, H.L. Phillips, C.E. Reece [JLAB, Newport News, Virginia, USA] C. Cao [Illinois Institute of Technology, Chicago, IL, USA] Th. Proslier [ANL, Argonne, USA] J.K. Spradlin [JLab, Newport News, Virginia, USA] T. Tao [UIC, Chicago, USA] ","ECR Nb Films Grown on Amorphous and Crystalline Cu Substrates: Influence of Ion Energy",631 634,
tup081,"F. Weiss, C. Jimenez, S. Pignard [Institut Polytechnique de Grenoble, Grenoble INP, Grenoble, France] C.Z. Antoine [CEA/IRFU, Gif-sur-Yvette, France] M. Benz, E. Blanquet, R. Boichot, A. Mantoux, F. Mercier [Laboratoire SIMAP, Grenoble-INP, CNRS, UJF, Saint Martin d'Hères, France] ","Chemical Vapor Deposition Techniques for the Multilayer Coating of Superconducting RF Cavities",635 637,
tup082,"X. Zhao, C.E. Reece [JLab, Newport News, Virginia, USA] G. Ciovati [Jefferson Lab, Newport News, Virginia, USA] I. Irfan, C. James, M. Krishnan [AASC, San Leandro, California, USA] A.D. Palczewski [JLAB, Newport News, Virginia, USA] ","Materials Analysis of CED Nb Films Being Coated on Bulk Nb Single Cell SRF Cavities",638 641,
tup083,"X. Zhao [JLab, Newport News, Virginia, USA] R.L. Geng, Y.M. Li, A.D. Palczewski [JLAB, Newport News, Virginia, USA] Y.M. Li [PKU, Beijing, People's Republic of China] ","Film Deposition, Cryogenic RF Testing and Materials Analysis of a Nb/Cu Single Cell SRF Cavity",642 650,
tup084,"X. Zhao [JLab, Newport News, Virginia, USA] M. Krishnan [AASC, San Leandro, California, USA] C.E. Reece [JLAB, Newport News, Virginia, USA] F. Williams, Q.G. Yang [NSU, Newport News, Virginia, USA] ","Reciprocal Space XRD Mapping with Varied Incident Angle as a Probe of Structure Variation within Surface Depth",651 658,
tup085,"N. Bazin, C.Z. Antoine [CEA/DSM/IRFU, France] C. B. Baumier, G. Martinet [IPN, Orsay, France] F. F. Fortuna [CSNSM, ORSAY CAMPUS, France] J.-B. Sirven [Commisariat à l'Energie Atomique (CEA/DEN/DPC), Direction de l'Energie Nucléaire, Gif-sur-Yvette, France] ","Study of NbTi Welded Parts",659 662,
tup086,"A. Nassiri, R. Kustom, Th. Proslier [ANL, Argonne, USA] T. Tan, X. Xi [TU, Philadelphia, USA] ","Cryogen-Free RF System Studies Using Cryocooler-Cooled Magnesium Diboride-Coated Copper RF Cavities",663 665,
tup087,"S. Posen, M. Liepe [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","RF Test Results of the first Nb3Sn Cavities Coated at Cornell",666 669,
tup088,"A-M. Valente-Feliciano, G.V. Eremeev, H.L. Phillips, C.E. Reece [JLAB, Newport News, Virginia, USA] A.D. Batchelor [NCSU AIF, Raleigh, North Carolina, USA] R.A. Lukaszew [The College of William and Mary, Williamsburg, USA] J.K. Spradlin [JLab, Newport News, Virginia, USA] Q.G. Yang [NSU, Norfolk, USA] ","NbTiN Based SIS Multilayer Structures for SRF Applications",670 673,
tup090,"F. Meng [IHEP, Beijing, People's Republic of China] A. Romanenko [Fermilab, Batavia, USA] Y. Xie [Euclid TechLabs, LLC, Solon, Ohio, USA] ","Thermal Simulations for the Multi-Layer Coating Model",674 677,
tup091,"E. Cenni [Sokendai, Ibaraki, Japan] K. Enami, T. Furuya, H. Sakai, M. Satoh, K. Shinoe, K. Umemori [KEK, Ibaraki, Japan] M. Sawamura [JAEA, Ibaraki-ken, Japan] ","Field Emission Measure During cERL Main Linac Cryomodule High Power Test in KEK",678 682,
tup092,"T. Hamelin, M. Chabot, J.-L. Coacolo, J. Lesrel, G. Martinet [IPN, Orsay, France] ","MUSICC3D: a Code for Modeling the Multipacting",683 685,
