frioa01,"R. Calaga, E. Jensen [CERN, Geneva, Switzerland] ","LHC Crab Cavity .Progress and Outlook",1161 1164,
mop012,"A. Rai, R. Ahuja, J. Antony, S. Babu, J. Chacko, G.K. Chaudhari, A. Chaudhary, T.S. Datta, R.N. Dutt, S. Ghosh, R. Joshi, D. Kanjilal, S. Kar, J. Karmakar, M. Kumar, R. Kumar, D.S. Mathuria, R. Mehta, K.K. Mistri, A. Pandey, P. Patra, P.N. Prakash, A. Roy, J. Sacharias, B.K. Sahu, A. Sarkar, S.S.K. Sonti, S. K. Suman, J. Zacharias [IUAC, New Delhi, India] ","Completion of the Superconducting Heavy Ion Linac at Inter-University Accelerator Centre",103 105,
mop013,"K. Saito, N.K. Bultman, F. Casagrande, S. Chouhan, C. Compton, K. Elliott, A. Facco, M.J. Johnson, S. Jones, M. Leitner, S.J. Miller, R. Oweiss, J.P. Ozelis, J. Popielarski, L. Popielarski, S. Shanab, J. Wei, T. Xu, Y. Yamazaki, Y. Zhang, Z. Zheng [FRIB, East Lansing, Michigan, USA] S.K. Chandrasekaran [MSU, East Lansing, USA] K. Hosoyama [KEK, Ibaraki, Japan] ","SRF Developments at MSU for FRIB",106 111,
mop014,"A.I. Sukhanov, M.H. Awida, P. Berrutti, C.M. Ginsburg, T.N. Khabiboulline, O.S. Melnychuk, R.V. Pilipenko, Y.M. Pischalnikov, L. Ristori, A.M. Rowe, D.A. Sergatskov, V.P. Yakovlev [Fermilab, Batavia, USA] ","Cold Tests of SSR1 Resonators for PXIE",112 116,
mop015,"V.P. Yakovlev, T.T. Arkan, M.H. Awida, P. Berrutti, E. Borissov, A.C. Crawford, M.H. Foley, C.M. Ginsburg, I.V. Gonin, A. Grassellino, C.J. Grimm, S.D. Holmes, S. Kazakov, R.D. Kephart, T.N. Khabiboulline, V.A. Lebedev, A. Lunin, M. Merio, S. Nagaitsev, T.H. Nicol, Y.O. Orlov, D. Passarelli, T.J. Peterson, Y.M. Pischalnikov, O.V. Pronitchev, L. Ristori, A.M. Rowe, D.A. Sergatskov, N. Solyak, A.I. Sukhanov, I. Terechkine [Fermilab, Batavia, USA] ","Status of the SRF Development for the Project X",117 122,
mop016,"S.A. Belomestnykh, I. Ben-Zvi, J.C. Brutus, Y. Huang, D. Kayran, V. Litvinenko, P. Orfin, I. Pinayev, T. Rao, B. Sheehy, J. Skaritka, K.S. Smith, R. Than, J.E. Tuozzolo, E. Wang, Q. Wu, W. Xu, A. Zaltsman [BNL, Upton, Long Island, New York, USA] S.A. Belomestnykh, I. Ben-Zvi, V. Litvinenko, M. Ruiz-Oses (M. Ruiz-Osés), T. Xin [Stony Brook University, Stony Brook, USA] C.H. Boulware, T.L. Grimm [Niowave, Inc., Lansing, Michigan, USA] X. Liang [SBU, Stony Brook, New York, USA] ","SRF Systems for the Coherent Electron Cooling Demonstration Experiment",123 125,
mop017,"S.A. Belomestnykh, I. Ben-Zvi, M. Blaskiewicz, A.V. Fedotov, D. Kayran, V. Litvinenko, Q. Wu, B. P. Xiao, W. Xu, A. Zaltsman [BNL, Upton, Long Island, New York, USA] S.A. Belomestnykh, I. Ben-Zvi, V. Litvinenko [Stony Brook University, Stony Brook, USA] Z.A. Conway, M.P. Kelly, S.V. Kutsaev, B. Mustapha, P.N. Ostroumov [ANL, Argonne, USA] ","SRF for Low Energy RHIC Electron Cooling: Preliminary Considerations",126 128,
mop018,"J.-L. Biarrotte [IPN, Orsay, France] F. Bouly [CERN, Geneva, Switzerland] J.-P. Carneiro [Fermilab, Batavia, USA] D. Uriot [CEA/DSM/IRFU, France] D. Vandeplassche [SCK-CEN, Mol, Belgium] ","Design of the MYRRHA 17-600 MeV Superconducting Linac",129 132,
mop020,"P. Marchand, C. Benabderrahmane, L. Cassinari, M.-E. Couprie, J. Daillant, M. Diop, M.E. El Ajjouri, N. Hubert, M. Labat, R. Lopes, A. Loulergue, M. Louvet, O. Marcouillé, J.L. Marlats, C. Miron, P. Morin, A. Nadji, F. Ribeiro, P. Roy, K. Tavakoli [SOLEIL, Gif-sur-Yvette, France] S. Bielawski, C. Evain, E. Roussel, C. Szwaj [PhLAM/CERCLA, Villeneuve d'Ascq Cedex, France] B. Carré, D. Garzella [CEA/DSM/DRECAM/SPAM, Gif-sur-Yvette, France] N. Delerue [LAL, Orsay, France] G. Devanz, M. Luong [CEA/DSM/IRFU, France] A. Dubois, J. Luning (J. Lüning) [CCPMR, Paris, France] G. Lambert, R. Lehe, A. Lifschitz, V. Malka, A. Rousse, C. Thaury [LOA, Palaiseau, France] ","Progress of the LUNEX5 Project",133 136,
mop021,"K. Yamada, O. Kamigaito, N. Sakamoto, K. Suda [RIKEN Nishina Center, Wako, Japan] ","Conceptual Design of SC Linac for RIBF-Upgrade Plan",137 139,
mop022,"H.J. Zheng, J. Gao, S. Jin, Y. Liu, Z.C. Liu, J.Y. Zhai, T.X. Zhao [IHEP, Beijing, People's Republic of China] ","Preliminary Design of CEPC RF Superconducting System",140 144,
mop024,"F. Marhauser [Muons, Inc, Illinois, USA] K.H. Lee, Z. Li [SLAC, Menlo Park, California, USA] ","Novel SRF Gun Design",145 147,
