moam1ha01,"I.N. Meshkov [JINR, Dubna, Moscow Region, Russia] ","Beam Cooling, Past, Present and Future",99 98,
weppo02,"A.V. Smirnov, I.N. Meshkov, A.O. Sidorin, G.V. Trubnikov [JINR, Dubna, Moscow Region, Russia] A.V. Eliseev [JINR/VBLHEP, Dubna, Moscow region, Russia] T. Katayama [GSI, Darmstadt, Germany] ","Stacking Modes with Barrier Buckets Method in NICA Collider",97 99,
weppo03,"M.W. Bruker, K. Aulenbacher, J. Dietrich, S. Friederich, A. Hofmann, T. Weilbach [HIM, Mainz, Germany] K. Aulenbacher [IKP, Mainz, Germany] ","Operational Experience with the HESR Electron Cooler Test Set-up",100 102,
weppo04,"M.I. Bryzgunov, A.V. Bubley, V.A. Chekavinskiy, I.A. Gusev, A.V. Ivanov, M.N. Kondaurov, V.M. Panasyuk, V.V. Parkhomchuk, D.N. Pureskin, A.A. Putmakov, V.B. Reva, D.V. Senkov, D.N. Skorobogatov [BINP SB RAS, Novosibirsk, Russia] ","Collector for Electron Cooling Systems with Suppression of Reflected Electron Flux",103 106,
weppo05,"A. Hofmann, K. Aulenbacher, M.W. Bruker, J. Dietrich, S. Friederich, T. Weilbach [HIM, Mainz, Germany] ","Powering of the HV-Solenoids at the HESR Electron Cooler",107 109,
weppo07,"V.M. Panasyuk, M.I. Bryzgunov, A.V. Bubley, V.V. Parkhomchuk, V.B. Reva [BINP SB RAS, Novosibirsk, Russia] ","Matching of Magnetic Field with Energy of Electrons in 2 MeV COSY Cooler",110 112,
weppo08,"S. Yakovenko, E.V. Ahmanova, A.G. Kobets, I.N. Meshkov, R.V. Pivin, A.Yu. Rudakov, A.V. Shabunov, A.V. Smirnov, N.D. Topilin, Yu.A. Tumanova [JINR, Dubna, Moscow Region, Russia] A.A. Filippov [Allrussian Electrotechnical Institute, Moskow, Russia] A.V. Ivanov, V.V. Parkhomchuk [BINP SB RAS, Novosibirsk, Russia] ","Electron Cooler for the NICA Collider",113 115,
weppo10,"T. Weilbach, K. Aulenbacher, M.W. Bruker [HIM, Mainz, Germany] ","Beam Profile Measurements for Magnetized High Energy Cooling Devices",116 118,
weppo11,"A.G. Kobets, E.V. Ahmanova, V.I. Lokhmatov, I.N. Meshkov, V. Pavlov, A.Yu. Rudakov, A.A. Sidorin, S. Yakovenko [JINR, Dubna, Moscow Region, Russia] M.K. Eseev [NAFU, Arkhangelsk, Russia] ","LEPTA Project: Towards Positronium",119 120,
weppo12,"A.V. Bubley, M.I. Bryzgunov, V.G. Cheskidov, M.G. Fedotov, V.K. Gosteev, O.I. Meshkov, V.M. Panasyuk, V.V. Parkhomchuk, V.B. Reva [BINP SB RAS, Novosibirsk, Russia] V. Kamerdzhiev, G. Langenberg [FZJ, Jülich, Germany] ","Compass for Measuring the Magnetic Lines Straightness at the Cooling Section in Vacuum",121 123,
weppo13,"L.J. Mao [FZJ, Jülich, Germany] J. Dietrich [HIM, Mainz, Germany] J. Dietrich [DELTA, Dortmund, Germany] J. Li, X.D. Yang [IMP, Lanzhou, People's Republic of China] ","Simulation Study of Beam Cooling with Electron Energy Modulation",124 126,
weppo14,"I. Pinayev, S.A. Belomestnykh, I. Ben-Zvi, K.A. Brown, J.C. Brutus, L. DeSanto, A. Elizarov, C. Folz, D.M. Gassner, Y. Hao, R.L. Hulsart, Y.C. Jing, D. Kayran, R.F. Lambiase, V. Litvinenko, G.J. Mahler, M. Mapes, W. Meng, R.J. Michnoff, T.A. Miller, M.G. Minty, P. Orfin, A. Pendzick, F. Randazzo, T. Rao, T. Roser, J. Sandberg, B. Sheehy, J. Skaritka, K.S. Smith, L. Snydstrup, R. Than, R.J. Todd, J.E. Tuozzolo, G. Wang, D. Weiss, M. Wilinski, W. Xu, A. Zaltsman [BNL, Upton, Long Island, New York, USA] G.I. Bell, J.R. Cary, K. Paul, B.T. Schwartz, S.D. Webb [Tech-X, Boulder, Colorado, USA] C.H. Boulware, T.L. Grimm, R. Jecks, N. Miller [Niowave, Inc., Lansing, Michigan, USA] M.A. Kholopov, P. Vobly [BINP SB RAS, Novosibirsk, Russia] M. Poelker [JLAB, Newport News, Virginia, USA] ","Present Status of Coherent Electron Cooling Proof-of-principle Experiment",127 129,
weppo15,"G. Tranquille, L.V. Joergensen (L.V. Jørgensen) [CERN, Geneva, Switzerland] ","Performance Update of the LEIR Electron Cooler",130 132,
weppo16,"G. Tranquille, A. Frassier, L.V. Joergensen (L.V. Jørgensen) [CERN, Geneva, Switzerland] ","The ELENA Electron Cooler: Parameter Choice and Expected Performance",133 135,
weppo17,"V. Blackmore [Oxford University, Physics Department, Oxford, Oxon, United Kingdom] ","Results from Step I of MICE and Physics Plan for Step IV",136 138,
weppo18,"K. Ronald, A.J. Dick, C.G. Whyte [USTRAT/SUPA, Glasgow, United Kingdom] ","Progress Towards the Completion of the MICE Apparatus",139 141,
weppo19,"W. Maier, C. Dimopoulou, R. Hettrich, F. Nolden, C. Peschke, P. Petri, M. Steck [GSI, Darmstadt, Germany] ","The Novel Optical Notch Filter for Stochastic Cooling at the ESR",142 145,
weppo20,"C. Peschke, R. Böhm, C. Dimopoulou, F. Nolden, P. Petri [GSI, Darmstadt, Germany] ","RF-System for Stochastic Cooling in the FAIR Collector Ring",146 148,
weppo21,"L. Thorndahl [CERN, Geneva, Switzerland] D. Barker, C. Dimopoulou, C. Peschke [GSI, Darmstadt, Germany] ","Design of the Palmer Pickup for Stochastic Pre-cooling of Heavy Ions at the CR",149 151,
