fr1a01,"R.A. Baartman [TRIUMF, Vancouver, Canada] ","Fast Envelope Tracking for Space Charge Dominated Injectors",1017 1021,
tu2a04,"W. Wuensch [CERN, Geneva, Switzerland] ","High-Gradient RF Development and Applications",368 373,
tu3a01,"D. Kayran, Z. Altinbas, D.R. Beavis, S.A. Belomestnykh, I. Ben-Zvi, D.M. Gassner, L.R. Hammons, J.P. Jamilkowski, P. K. Kankiya, R.F. Lambiase, V. Litvinenko, R.J. Michnoff, T.A. Miller, J. Morris, V. Ptitsyn, T. Seda, B. Sheehy, K.S. Smith, E. Wang, W. Xu [BNL, Upton, Long Island, New York, USA] S.A. Belomestnykh, I. Ben-Zvi, L.R. Hammons, V. Litvinenko, V. Ptitsyn [Stony Brook University, Stony Brook, USA] ","Beam Commissioning Results From the R&D ERL at BNL",374 379,
tuop01,"D. Huang, H.X. Deng, C. Feng, D. Gu, Q. Gu, Z.T. Zhao [SINAP, Shanghai, People's Republic of China] ","Applying Transverse Gradient Undulators to Suppression of Microbunching Instability",380 383,
tuop02,"G.H. Hoffstaetter, J. Barley, A.C. Bartnik, I.V. Bazarov, J. Dobbins, B.M. Dunham, R.G. Eichhorn, R.E. Gallagher, C.M. Gulliford, Y. Li, M. Liepe, W. Lou, C.E. Mayes, J.R. Patterson, D.M. Sabol, E.N. Smith, K.W. Smolenski [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] I. Ben-Zvi, J.S. Berg, S.J. Brooks, G.J. Mahler, F. Meot (F. Méot), M.G. Minty, S. Peggs, V. Ptitsyn, T. Roser, D. Trbojevic, N. Tsoupas, J.E. Tuozzolo, H. Witte [BNL, Upton, Long Island, New York, USA] D. Douglas [JLab, Newport News, Virginia, USA] ","CBETA: The Cornell/BNL 4-Turn ERL with FFAG Return Arcs for eRHIC Prototyping",384 386,
tuop03,"P. Scharrer, W.A. Barth, Ch.E. Duellmann (Ch.E. Düllmann), J. Khuyagbaatar, A. Yakushev [HIM, Mainz, Germany] W.A. Barth, M. Bevcic, Ch.E. Duellmann (Ch.E. Düllmann), L. Groening, K.P. Horn, E. Jaeger (E. Jäger), J. Khuyagbaatar, J. Krier, P. Scharrer, A. Yakushev [GSI, Darmstadt, Germany] Ch.E. Duellmann (Ch.E. Düllmann), P. Scharrer [Mainz University, Mainz, Germany] ","Developments on the 1.4 MeV/u Pulsed Gas Stripper Cell",387 389,
tuop04,"A.C.C. Villari, G. Bollen, M. Ikegami, S.M. Lidia, S. Nash, R. Shane, Q. Zhao [FRIB, East Lansing, USA] D.B. Crisp, A. Lapierre, D.J. Morrissey, R. Rencsok, R.J. Ringle, S. Schwarz, C. Sumithrarachchi, T. Summers [NSCL, East Lansing, Michigan, USA] ","On the Acceleration of Rare Isotope Beams in the Reaccelerator (ReA3) at the National Superconducting Cyclotron Laboratory at MSU",390 393,
tuop05,"P.P. Schneider, D. Born, M. Droba, C. Lorey, O. Meusel, D. Noll, H. Podlech, A. Schempp, B. Thomas, C. Wagner [IAP, Frankfurt am Main, Germany] ","First Experiments at the CW-Operated RFQ for Intense Proton Beams",394 397,
tuop07,"D.L. Hall, J.J. Kaufman, M. Liepe, J.T. Maniscalco, R.D. Porter [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","High Performance Next-Generation Nb3Sn Cavities for Future High Efficiency SRF Linacs",398 401,
tuop08,"R.G. Eichhorn, J. Hoke, Z. Mayle [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","On Magnetic Flux Trapping in Superconductors",402 404,
tuop09,"H. Obata, K. Furumoto, H. Miyamoto [New Japan Radio Co., Ltd., Fujimino Saitama, Japan] ","State of the Art Advanced Magnetron for Accelerator RF Power Source",405 407,
tuop11,"A. Feschenko, S.A. Gavrilov [RAS/INR, Moscow, Russia] ","Methods for Bunch Shape Monitor Phase Resolution Improvement",408 410,
tup106001,"H.J. Cha, J.W. Choi, I. Chun, M. Lee [IBS, Daejeon, Republic of Korea] ","Magnetic Field Measurements in a Cryomodule with Nearby Warm-Section Quadrupole Magnets of RAON Heavy Ion Accelerator",625 627,
tup106004,"Y. Jung, H. Kim, W.K. Kim [IBS, Daejeon, Republic of Korea] J. Lee, J. Seo [Vitzrotech Co., Ltd., Ansan City, Kyunggi-Do, Republic of Korea] ","Status of RRR Analysis for RAON Accelerator",628 630,
tup106006,"E. Cenni [CEA/IRFU, Gif-sur-Yvette, France] S. Berry, P. Bosland, F. Eozénou (F. Éozénou), L. Maurice, J. Plouin, C. Servouin [CEA/DSM/IRFU, France] G. Costanza [Lund University, Lund, Sweden] C. Darve [ESS, Lund, Sweden] G. Devanz, X. Hanus, F. Peauger, D. Roudier [CEA/DRF/IRFU, Gif-sur-Yvette, France] ","Vertical Test Results on ESS Medium Beta Elliptical Cavity Prototype",631 633,
tup106007,"D. Raparia, B. Briscoe, C. Cullen, T. Lehn, V. LoDestro, A. McNerney, J. Ritter, A. Zelenski [BNL, Upton, Long Island, New York, USA] ","Results of Intensity Upgrade Phase I for 200 MeV H- Linac at Brookhaven",634 636,
tup106024,"S. Shanab, K. Saito, Y. Yamazaki [FRIB, East Lansing, USA] ","Optimizing Cavity Choice for FRIB Energy Upgrade Plan",637 640,
tuplr005,"P. Buaphad, S.C. Cha [KAERI, Jeongeup-si, Republic of Korea] P. Buaphad [University of Science and Technology of Korea (UST), Daejeon, Republic of Korea] P. Buaphad [RTX, Daejeon, Republic of Korea] Y. Kim [ISU, Pocatello, Idaho, USA] ","Development of 6 MeV European S-band Side-Coupled Industrial Electron Linear Accelerator at RTX & KAERI",478 480,
tuplr007,"T.T. Arkan, C.J. Grimm, J.A. Kaluzny, Y.O. Orlov, T.J. Peterson, K. Premo [Fermilab, Batavia, Illinois, USA] ","LCLS-II Cryomodules Production at Fermilab",481 484,
tuplr009,"M.P. Laverty, K. Fong [TRIUMF, Vancouver, Canada] ","An Iterative Learning Feedforward Controller for the TRIUMF e-linac",485 487,
tuplr010,"M. Ge, N. Banerjee, J. Dobbins, R.G. Eichhorn, F. Furuta, G.H. Hoffstaetter, M. Liepe, P. Quigley, J. Sears, V. Veshcherevich [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Measurements and Analysis of Cavity Microphonics and Frequency Control in the Cornell ERL Main Linac Prototype Cryomodule",488 491,
tuplr011,"F. Furuta, J. Dobbins, R.G. Eichhorn, M. Ge, D. Gonnella, G.H. Hoffstaetter, M. Liepe, T.I. O'Connell, P. Quigley, D.M. Sabol, J. Sears, E.N. Smith, V. Veshcherevich [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Performance of the Novel Cornell ERL Main Linac Prototype Cryomodule",492 495,
tuplr012,"F. Furuta, R.G. Eichhorn, M. Ge, D. Gonnella, G.H. Hoffstaetter, M. Liepe, P. Quigley, V. Veshcherevich [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","HOM Measurements for Cornell's ERL Main Linac Cryomodule",496 499,
tuplr013,"M. Kuriki, Y. Seimiya [KEK, Ibaraki, Japan] L. Guo, K. Moriya, M. Urano, A. Yokota [HU/AdSM, Higashi-Hiroshima, Japan] K. Negishi [Iwate University, Morioka, Iwate, Japan] ","Lifetime Study of CKk2Sb Robust Photo-Cathode for a High Brightness Electron Source",500 502,
tuplr015,"D. Mihalcea [Northern Illinois University, DeKalb, Illinois, USA] B.T. Jacobson, A.Y. Murokh [RadiaBeam, Santa Monica, California, USA] P. Piot, J. Ruan [Fermilab, Batavia, Illinois, USA] ","Design of a Gamma-Ray Source Based on Inverse Compton Scattering at the Fast Superconducting Linac",503 505,
tuplr017,"V. Vogel (Fogel), L. Butkowski (Ł. Butkowski), A. Cherepenko, S. Choroba, J. Hartung, V.V. Kachaev, R. Wagner, S. Wiesenberg [DESY, Hamburg, Germany] ","Summary of the Test and Installation of 10 MW MBKs for the XFEL Project",506 508,
tuplr020,"Y.J. Pei, G. Feng, X.Y. He, Y. Hong, G. Huang, D. Jia, K. Jin, J. Liu, P. Lu, L. Shang, B.G. Sun, Zh. X. Tang, W. Wei, Z. Zhao [USTC/NSRL, Hefei, Anhui, People's Republic of China] L. Cao, Q.S. Chen, S. Hu, T. Hu, J. Li, Y.J. Liang, B. Qin, B. Tang, T. Tang, Y.Q. Xiong, Q. Zhang [HUST, Wuhan, People's Republic of China] W. Chen, Y.B. Wang, J. Zha [Huazhong University of Science and Technology, State Key Laboratory of Advanced Electromagnetic Engineering and Technology,, Hubei, People's Republic of China] G. Feng [DESY, Hamburg, Germany] Zh. X. Tang [DICP, Dalian, People's Republic of China] ","Commissioning of the Compact 14MeV LINAC for an FEL-Based THz Source",509 511,
tuplr022,"L. Zhao, A.V. Reilly [JLab, Newport News, Virginia, USA] ","Particulate Study on Materials for Cleanroom Assembly of SRF Cavities",512 514,
tuplr023,"M. Martinello, M. Checchin, A. Grassellino, O.S. Melnychuk, S. Posen, A. Romanenko, D.A. Sergatskov [Fermilab, Batavia, Illinois, USA] M. Checchin [Illinois Institute of Technology, Chicago, Illlinois, USA] J. Zasadzinski [IIT, Chicago, Illinois, USA] ","Impurity Content Optimization to Maximize Q-Factors of Superconducting Resonators",515 518,
tuplr024,"M. Checchin, A. Grassellino, M. Martinello, S. Posen, A. Romanenko [Fermilab, Batavia, Illinois, USA] M. Martinello [Illinois Institute of Technology, Chicago, Illlinois, USA] J. Zasadzinski [IIT, Chicago, Illinois, USA] ","Enhancement of the Accelerating Gradient in Superconducting Microwave Resonators",519 522,
tuplr025,"D. Gonnella, T. Gruber, J.J. Kaufman, P.N. Koufalis, M. Liepe, J.T. Maniscalco [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Optimal Nitrogen Doping Level to Reach High Q0",523 526,
tuplr027,"S.K. Chandrasekaran, A. Grassellino, C.J. Grimm, G. Wu [Fermilab, Batavia, Illinois, USA] ","Magnetic Field Management in LCLS-II 1.3 GHz Cryomodules",527 530,
tuplr028,"B. Mustapha, Z.A. Conway, M.P. Kelly, P.N. Ostroumov, A.S. Plastun [ANL, Argonne, USA] J.-H. Jang, H. Jin, H.J. Kim, J.-W. Kim [IBS, Daejeon, Republic of Korea] ","Alternative Design for the RISP Pre-Stripper Linac",531 534,
tuplr029,"S. Stark, A. Facco, S.J. Miller, P.N. Ostroumov, J.T. Popielarski, K. Saito, B.P. Tousignant, T. Xu [FRIB, East Lansing, USA] A. Facco [INFN/LNL, Legnaro (PD), Italy] S.M. Gerbick, M.P. Kelly [ANL, Argonne, USA] ","FRIB HWR Tuner Development",535 537,
tuplr030,"D.R. Victory, K. Elliott, B. Oja, J.T. Popielarski, M.S. Wilbur [FRIB, East Lansing, USA] ","First FRIB =0.53 Prototype Coldmasss Build",538 540,
tuplr033,"K. Elliott, S.J. Miller, B. Oja, J.T. Popielarski, L. Popielarski, D.R. Victory, M.S. Wilbur, T. Xu [FRIB, East Lansing, USA] M. Wiseman [JLab, Newport News, Virginia, USA] ","First FRIB =0.041 Production Coldmass Build",541 543,
tuplr035,"A.A. Sulimov [DESY, Hamburg, Germany] M. Giaretta, A. Gresele, A. Visentin [Ettore Zanon S.p.A., Nuclear Division, Schio, Italy] ","RF Analysis of Electropolishing for EXFEL Cavities Production at Ettore Zanon Spa",544 546,
tuplr038,"S. Ramberger [CERN, Geneva, Switzerland] M.R. Khalvati [IPM, Tehran, Iran] ","The DTL Post Coupler - An Ingenious Invention Turns 50",547 550,
tuplr040,"M. El Khaldi, R. Marie, H. Monard, F. Wicek [LAL, Orsay, France] M. Diop, L.R. Lopes, A. Loulergue, M. Louvet, P. Marchand, F. Ribeiro, R. Sreedharan [SOLEIL, Gif-sur-Yvette, France] ","The RF System of Thomx",551 553,
tuplr041,"I. Podadera, P. Abramian, B. Brañas, J. Calero, J. Castellanos, J.M. García, D. Gavela, A. Guirao, J.L. Gutierrez (J.L. Gutiérrez), D. Jimenez-Rey (D. Jiménez-Rey), M. Lafoz, D. Lopez (D. López), L.M. Martinez (L.M. Martínez), E. Molina Marinas, J. Molla (J. Mollá), C. Oliver, A. Soleto, F. Toral, R. Varela, V. Villamayor [CIEMAT, Madrid, Spain] J. Castellanos [UNED, Madrid, Spain] O. Nomen [IREC, Sant Adria del Besos, Spain] ","Manufacturing, Assembly and Tests of the LIPAc Medium Energy Beam Transport Line (MEBT)",554 557,
tuplr044,"M.K. Kempkes, M.P.J. Gaudreau, M.G. Munderville, I. Roth [Diversified Technologies, Inc., Bedford, Massachusetts, USA] J. Domenge [Sigma Phi Electronics, Wissembourg, France] J.L. Lancelot [Sigmaphi, Vannes, France] ","Design and Operation of Pulsed Power Systems Built to ESS Specifications",558 560,
tuplr045,"I. Roth, M.P.J. Gaudreau, M.K. Kempkes, M.G. Munderville [Diversified Technologies, Inc., Bedford, Massachusetts, USA] ","Thyratron Replacement",561 563,
tuplr046,"J.T.M. Lyles, W.C. Barkley, R.E. Bratton, M.S. Prokop, D. Rees [LANL, Los Alamos, New Mexico, USA] ","Design, Fabrication, Installation and Operation of New 201 MHz RF Systems at LANSCE",564 567,
tuplr047,"N. Catalan-Lasheras (N. Catalán Lasheras), C.F. Eymin, J. Giner Navarro, G. McMonagle, S.F. Rey, A. Solodko, I. Syratchev, B.J. Woolley, W. Wuensch [CERN, Geneva, Switzerland] T. Argyropoulos, D. Esperante Pereira [IFIC, Valencia, Spain] M. Volpi [The University of Melbourne, Melbourne, Victoria, Australia] ","Commissioning of XBox-3: A Very High Capacity X-band Test Stand",568 571,
tuplr048,"S. Sierra, G. Garcin, Ch.L. Lievin, G. Vignette [TED, Velizy-Villacoublay, France] A. Gallas, W. Kaabi [LAL, Orsay, France] M. Knaak, M. Pekeler, L. Zweibaeumer [RI Research Instruments GmbH, Bergisch Gladbach, Germany] ","Status and Lesson Learned from Manufacturing of FPC Couplers for the XFEL Program",572 574,
tuplr050,"V.A. Koshelev, G. Kropachev, T. Kulevoy, D.A. Liakin, A.S. Plastun [ITEP, Moscow, Russia] A.V. Butenko [JINR, Dubna, Moscow Region, Russia] T. Kulevoy, S.M. Polozov [MEPhI, Moscow, Russia] S.V. Vinogradov [MIPT, Dolgoprudniy, Moscow Region, Russia] ","Design of 4-vane RFQ with Magnetic Coupling Windows for Nuclotron Injector Lu-20",575 577,
tuplr053,"M. Schütt, M.A. Obermayer, U. Ratzinger [IAP, Frankfurt am Main, Germany] A. Schnase [GSI, Darmstadt, Germany] ","Development and Measurements of a 325 MHz RFQ",578 580,
tuplr054,"Y. Iwashita, Y. Fuwa [Kyoto ICR, Uji, Kyoto, Japan] R.A. Jameson [IAP, Frankfurt am Main, Germany] ","RFQ Vane Shapes for Efficient Acceleration",581 583,
tuplr056,"S. Kazakov, J.P. Edelen, T.N. Khabiboulline, O.V. Pronitchev, J. Steimel [Fermilab, Batavia, Illinois, USA] ","Results of Operation of 162.5 MHz RFQ Couplers",584 585,
tuplr057,"D. Koser, H. Podlech [IAP, Frankfurt am Main, Germany] P. Gerhard, L. Groening [GSI, Darmstadt, Germany] O.K. Kester [TRIUMF, Vancouver, Canada] ","Advanced Design Optimizations of a Prototype for a Newly Revised 4-Rod CW RFQ for the HLI at GSI",586 588,
tuplr058,"Q. Fu, P.P. Gan, S.L. Gao, F.J. Jia, H.P. Li, Y.R. Lu, Z. Wang, K. Zhu [PKU, Beijing, People's Republic of China] ","Progress of a 162.5 MHz High-Current RFQ With Coupling Windows",589 591,
tuplr059,"A.S. Plastun [ANL, Argonne, Illinois, USA] A. Kolomiets, D.A. Liakin [ITEP, Moscow, Russia] ","Asymmetric Four-Vane RFQ",592 594,
tuplr060,"A.S. Plastun, V. Andreev, V.A. Koshelev, T. Kulevoy, V.G. Kuzmichev, D.A. Liakin, A. Sitnikov [ITEP, Moscow, Russia] A.V. Butenko [JINR, Dubna, Moscow Region, Russia] ","RF Design of the Nuclotron-NICA 145.2 MHz RFQ",595 597,
tuplr061,"K. Ozeki, O. Kamigaito, H. Okuno, N. Sakamoto, K. Suda, Y. Watanabe, K. Yamada [RIKEN Nishina Center, Wako, Japan] E. Kako, H. Nakai, K. Umemori [KEK, Ibaraki, Japan] K. Okihira [MHI, Hiroshima, Japan] K. Sennyu, T. Yanagisawa [MHI-MS, Kobe, Japan] ","Cryomodule and Power Coupler for RIKEN Superconducting QWR",598 600,
tuplr063,"T. Yoshimoto, M. Ikegami [FRIB, East Lansing, USA] ","IMPACT Model for ReA and its Benchmark with DYNAC",601 603,
tuplr066,"L. Lu, Y. He, C.X. Li, W. Ma, L.B. Shi, L.P. Sun, X.B. Xu, L. Yang, H.W. Zhao [IMP/CAS, Lanzhou, People's Republic of China] T.L. He [USTC/NSRL, Hefei, Anhui, People's Republic of China] ","High Current Beam Injector for Cancer Therapy",604 606,
tuplr067,"D. Luo, H. Ao, E.E. Burkhardt, J. Casteel, A. Ganshyn, W. Hartung, M.J. Holcomb, J.T. Popielarski, K. Saito, S. Shanab, E. Supangco, M. Thrush [FRIB, East Lansing, USA] ","Solenoid/Magnetic Shielding Test Results in FRIB-1&2 Cryomodules",607 609,
tuplr068,"B. Mustapha, P.N. Ostroumov [ANL, Argonne, USA] A. Perry [Soreq NRC, Yavne, Israel] ","Progress and Design Studies for the ATLAS Multi-User Upgrade",610 612,
tuplr069,"T. Maruta [J-PARC, KEK  JAEA, Ibaraki-ken, Japan] M. Ikegami, F. Marti [FRIB, East Lansing, USA] ","Simulation Study on the Beam Loss Mitigation in the 1st Arc Section of FRIB Driver Linac",613 615,
tuplr070,"H. Hähnel, U. Ratzinger, R. Tiede [IAP, Frankfurt am Main, Germany] ","Efficient Heavy Ion Acceleration with IH-Type Cavities for High Current Machines in the Energy Range up to 11.4 MeV/u",616 618,
tuplr072,"W.K. Kim, M.J. Joung, Y. Jung, H. Kim, J.-W. Kim, Y. Kim, I. Shin [IBS, Daejeon, Republic of Korea] ","Fabrication and Low Temperature Test Plan for Rare Isotope Science Project",619 621,
tuplr073,"H. Kim, J.W. Choi, Y.W. Jo, Y. Jung, W.K. Kim, Y. Kim, M. Lee [IBS, Daejeon, Republic of Korea] ","Development of RAON QWR Cryomodule for Linac Demonstration",622 624,
tuprc002,"M. Comunian, L. Bellan, F. Grespan, A. Pisent [INFN/LNL, Legnaro (PD), Italy] L. Bellan [Univ. degli Studi di Padova, Padova, Italy] ","ESS DTL Beam Dynamics Comparison Between S-Code and T-Code",411 413,
tuprc003,"T. Miyajima [KEK, Ibaraki, Japan] ","Effect of Number of Macro Particles on Time Evolution of Phase Space Distribution",414 416,
tuprc004,"C.J. Richard [NSCL, East Lansing, Michigan, USA] S.M. Lidia [FRIB, East Lansing, USA] ","Frequency Spectra From Solenoid Lattice Orbits",417 419,
tuprc005,"L. Bellan, M. Comunian, E. Fagotti, F. Grespan, A. Pisent [INFN/LNL, Legnaro (PD), Italy] P.-Y. Beauvais, B. Bolzon, N. Chauvin [CEA/DSM/IRFU, France] L. Bellan [Univ. degli Studi di Padova, Padova, Italy] P. Cara [Fusion for Energy, Garching, Germany] H. Dzitko [F4E, Germany] R. Gobin, F. Senee (F. Senée) [CEA/DRF/IRFU, Gif-sur-Yvette, France] R. Ichimiya, A. Kasugai, M. Sugimoto [JAEA, Aomori, Japan] A. Marqueta, F. Scantamburlo [IFMIF/EVEDA, Rokkasho, Japan] ","Source and LEBT Beam Preparation for IFMIF-EVEDA RFQ",420 423,
tuprc006,"C. Oliver, A. Ibarra [CIEMAT, Madrid, Spain] P. Cara [Fusion for Energy, Garching, Germany] N. Chauvin [CEA/DSM/IRFU, France] A. Gallego [Universidad Complutense Madrid, Madrid, Spain] ","Phase-Space Transformation for a Uniform Target Irradiation at DONES",424 426,
tuprc007,"X.W. Zhu, Z.Y. Guo, Y.R. Lu, H. Wang, Z. Wang, K. Zhu, B.Y. Zou [PKU, Beijing, People's Republic of China] ","An RFQ Based Neutron Source for BNCT",427 429,
tuprc008,"M. Kuriki [HU/AdSM, Higashi-Hiroshima, Japan] T. Kakita [Hiroshima University, Graduate School of Advanced Sciences of Matter, Higashi-Hiroshima, Japan] S. Kashiwagi [Tohoku University, School of Science, Sendai, Japan] K. Negishi [Iwate University, Morioka, Iwate, Japan] T. Okugi, T. Omori, M. Satoh, Y. Seimiya, J. Urakawa, K. Yokoya [KEK, Ibaraki, Japan] T. Takahashi [Hiroshima University, Graduate School of Science, Higashi-Hiroshima, Japan] ","Electron Driven ILC Positron Source with a Low Gradient Capture Linac",430 433,
tuprc010,"K. Fukushima, S.M. Lund [FRIB, East Lansing, USA] C.Y. Wong [NSCL, East Lansing, Michigan, USA] ","Multispecies Simulation of the FRIB Frontend Near the ECR Sources with the Warp Code",434 437,
tuprc011,"A.N. Pham, J. Fogleman, D. Leitner, G. Machicoane, D.E. Neben, S. Renteria, J.W. Stetson, L. Tobos [NSCL, East Lansing, Michigan, USA] ","Ongoing Studies of the SuSI ECR Ion Source and Low Energy Beam Transport Line at the MSU NSCL",438 440,
tuprc014,"C.Y. Wong [NSCL, East Lansing, Michigan, USA] K. Fukushima, S.M. Lund [FRIB, East Lansing, USA] ","Self-Consistent PIC Modeling of Near Source Transport of FRIB",441 444,
tuprc015,"A. Neumann, D. Böhlick, P. Echevarria, A. Frahm, F. Goebel (F. Göbel), T. Kamps, J. Knobloch, O. Kugeler, M. Schuster, J. Ullrich, A. Ushakov [HZB, Berlin, Germany] A. Burrill [SLAC, Menlo Park, California, USA] G. Ciovati, P. Kneisel [JLab, Newport News, Virginia, USA] A. Matheisen, M. Schalwat, M. Schmoekel (M. Schmökel) [DESY, Hamburg, Germany] E.N. Zaplatin [FZJ, Jülich, Germany] ","Final Acceptance Test of SRF Photo-Injector Cold String for the BERLinPro Energy Recovery Linac",445 448,
tuprc016,"O. Mete Apsimon, R. Apsimon, G. Burt [Cockcroft Institute, Lancaster University, Lancaster, United Kingdom] S. Doebert (S. Döbert) [CERN, Geneva, Switzerland] G.X. Xia [UMAN, Manchester, United Kingdom] ","S-Band Booster Design and Emittance Preservation for the Awake e-Injector",449 451,
tuprc017,"L.S. Cowie, P. Goudket, B.L. Militsyn [STFC/DL/ASTeC, Daresbury, Warrington, Cheshire, United Kingdom] G. Burt [Cockcroft Institute, Lancaster University, Lancaster, United Kingdom] T.J. Jones [STFC/DL, Daresbury, Warrington, Cheshire, United Kingdom] B. Keune [RI Research Instruments GmbH, Bergisch Gladbach, Germany] ","Field Flatness and Frequency Tuning of the CLARA High Repetition Rate Photoinjector",452 454,
tuprc019,"B.C. Isherwood [MSU, East Lansing, Michigan, USA] G. Machicoane, G. Pozdeyev [NSCL, East Lansing, Michigan, USA] G. Machicoane, G. Pozdeyev, Y. Yamazaki [FRIB, East Lansing, Michigan, USA] ","Beam Instabilities in Electron Cyclotron Resonance Ion Sources",455 457,
tuprc020,"F. Ames, Y.-C. Chao, K. Fong, N. Khan, S.R. Koscielniak, A. Laxdal, L. Merminga, T. Planche, S. Saminathan, D.W. Storey [TRIUMF, Vancouver, Canada] Y.-C. Chao, L. Merminga [SLAC, Menlo Park, California, USA] C.K. Sinclair [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","The TRIUMF ARIEL RF Modulated Thermionic Electron Source",458 461,
tuprc021,"T. Sakai, M. Inagaki, K. Nakao, K. Nogami, K. Takatsuka, T. Tanaka [LEBRA, Funabashi, Japan] M.K. Fukuda, D. Satoh, T. Takatomi, N. Terunuma, J. Urakawa, M. Yoshida [KEK, Ibaraki, Japan] ","Low-Temperature Properties of 2.6-Cell Cryogenic C-Band RF-Gun Cold Model Cavity",462 464,
tuprc022,"M. Kuriki, T. Konomi, Y. Seimiya [KEK, Ibaraki, Japan] L. Guo, M. Urano, A. Yokota [HU/AdSM, Higashi-Hiroshima, Japan] K. Negishi [Iwate University, Morioka, Iwate, Japan] ","UPS Study for CsK2Sb Photocathode",465 467,
tuprc024,"I.M. Malloch, E.S. Metzgar, L. Popielarski, S. Stanley [FRIB, East Lansing, Michigan, USA] ","Design and Implementation of an Automated High-Pressure Water Rinse System for FRIB SRF Cavity Processing",468 471,
tuprc025,"P.N. Koufalis, F. Furuta, M. Ge, D. Gonnella, J.J. Kaufman, M. Liepe, J.T. Maniscalco, R.D. Porter [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Low Temperature Nitrogen Baking of a Q0 SRF Cavities",472 474,
tuprc032,"D.E. Neben, G. Machicoane, A.N. Pham, J.W. Stetson [NSCL, East Lansing, Michigan, USA] G. Machicoane [FRIB, East Lansing, USA] G. Parsey [MSU, East Lansing, Michigan, USA] J.P. Verboncoeur [Michigan State University, East Lansing, Michigan, USA] ","An Analysis of Fast Sputtering Studies for Ion Confinement Time",475 477,
we1a01,"P. Derwent, J.-P. Carneiro, J.P. Edelen, V.A. Lebedev, L.R. Prost, A. Saini, A.V. Shemyakin, J. Steimel [Fermilab, Batavia, Illinois, USA] ","PIP-II Injector Test: Challenges and Status",641 645,
we1a02,"S. Berry, O. Napoly [CEA/DSM/IRFU, France] ","Assembly of XFEL Cryomodules: Lessons and Results",646 650,
we1a03,"C. Darve, N. Elias, F. Schlander [ESS, Lund, Sweden] C. Arcambal, P. Bosland, E. Cenni, G. Devanz [CEA/IRFU, Gif-sur-Yvette, France] S. Bousson, P. Duthil, G. Olivier, G. Olry, D. Reynet [IPN, Orsay, France] G. Costanza [Lund University, Lund, Sweden] H. Li, R.J.M.Y. Ruber, R. Santiago Kern [Uppsala University, Uppsala, Sweden] F. Peauger [CEA/DSM/IRFU, France] ","The Superconducting Radio-Frequency Linear Accelerator Components for the European Spallation Source: First Test Results",651 656,
we1a04,"N. Walker, D. Reschke, J. Schaffran, L. Steder, M. Wenskat [DESY, Hamburg, Germany] L. Monaco [INFN/LASA, Segrate (MI), Italy] ","Performance Analysis of the European XFEL SRF Cavities, From Vertical Test to Operation in Modules",657 662,
we1a05,"W. Venturini Delsolaro, E. Bravin, N. Delruelle, M. Elias, E. Fadakis, J.A. Ferreira Somoza, F. Formenti, M.A. Fraser, J. Gayde, N. Guillotin, Y. Kadi, G. Kautzmann, T. Koettig, Y. Leclercq, M. Martino, M. Mician, A. Miyazaki, E. Montesinos, V. Parma, J.A. Rodriguez, S. Sadovich, E. Siesling, D. Smekens, M. Therasse, L. Valdarno, D. Valuch, G. Vandoni, U. Wagner, P. Zhang [CERN, Geneva, Switzerland] ","HIE-ISOLDE SC Linac Progress and Commissioning in 2016",663 667,
we1a06,"R. Ferdinand, P. Bertrand, M. Di Giacomo, H. Franberg, O. Kamalou, J.-M. Lagniel, G. Normand, A. Savalle, F. Varenne [GANIL, Caen, France] J.-L. Biarrotte [IPN, Orsay, France] D. Uriot [CEA/DRF/IRFU, Gif-sur-Yvette, France] ","Status of SPIRAL2 and RFQ Beam Commissioning",668 672,
