fr1a01,"R.A. Baartman [TRIUMF, Vancouver, Canada] ","Fast Envelope Tracking for Space Charge Dominated Injectors",1017 1021,
moplr063,"J. Tamura, A. Miura, T. Morishita [JAEA/J-PARC, Tokai-mura, Japan] H. Ao [FRIB, East Lansing, USA] T. Maruta [J-PARC, KEK  JAEA, Ibaraki-ken, Japan] T. Miyao [KEK, Ibaraki, Japan] ","Development of H0 Beam Diagnostic Line in MEBT2 of J-PARC Linac",277 279,
moplr065,"S.S. Kurennoy, L. Rybarcyk [LANL, Los Alamos, New Mexico, USA] V.A. Dolgashev [SLAC, Menlo Park, California, USA] ","High-Gradient X-band Structures for Proton Energy Booster at LANSCE",280 282,
moplr066,"S. Pitman, R. Apsimon, G. Burt [Cockcroft Institute, Lancaster University, Lancaster, United Kingdom] A.F. Green, H.L. Owen [UMAN, Manchester, United Kingdom] A. Grudiev, A. Solodko, W. Wuensch [CERN, Geneva, Switzerland] ","ProBE: Proton Boosting Extension for Imaging and Therapy",283 286,
moplr067,"G. Schreiber, E. Plechov, J. Salvatore, B. Schlitt, A. Schnase, M. Vossberg [GSI, Darmstadt, Germany] ","First High Power Tests at the 325 MHz RF Test Stand at GSI",287 289,
moplr069,"R. De Prisco, A.R. Karlsson [Lund University, Lund, Sweden] M. Eshraqi, Y.I. Levinsen, R. Miyamoto [ESS, Lund, Sweden] ","Implication of Manufacturing Errors on the Layout of Stabilization System and on the Field Quality in a Drift Tube Linac - RF DTL Error Study",290 293,
moplr070,"R. De Prisco, A.R. Karlsson [Lund University, Lund, Sweden] M. Eshraqi, Y.I. Levinsen, R. Miyamoto [ESS, Lund, Sweden] ","Integration of Interfaces and Stabilization System in the Design of a Drift Tube Linac",294 297,
moplr071,"Y. Kondo, H. Asano, E. Chishiro, K. Hirano, T. Itou, Y. Kawane, N. Kikuzawa, S.I. Meigo, A. Miura, S. Mizobata, T. Morishita, H. Oguri, K. Ohkoshi, A. Ohzone, Y. Sato, S. Shinozaki, K. Shinto, H. Takei, K. Tsutsumi [JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken, Japan] Z. Fang, Y. Fukui, K. Futatsukawa, K. Ikegami, T. Miyao, K. Nanmo, T. Shibata, T. Sugimura, A. Takagi [KEK, Ibaraki, Japan] T. Hori [Nippon Advanced Technology Co., Ltd., Tokai, Japan] T. Ishiyama, T. Maruta [KEK/JAEA, Ibaraki-Ken, Japan] M. Mayama, Y. Sawabe [Mitsubishi Electric System  Service Co., Ltd, Tsukuba, Japan] ","A 3-MeV Linac for Development of Accelerator Components at J-PARC",298 300,
moplr072,"L. Rybarcyk, R.C. McCrady [LANL, Los Alamos, New Mexico, USA] ","The Effect of DTL Cavity Field Errors on Beam Spill at LANSCE",301 303,
moprc004,"Y. Zhang, Z.Q. He [FRIB, East Lansing, USA] ","Beam Orbit Analysis and Correction of the FRIB Superconducting Linac",71 73,
moprc005,"Y. Zhang, C.P. Chu [FRIB, East Lansing, USA] ","Beam Tuning of Achromatic Bending Areas of the FRIB Superconducting Linac",74 76,
moprc006,"Y. Zhang [FRIB, East Lansing, USA] ","Beam Tuning and Error Analysis of a Superconducting Linac",77 79,
moprc007,"E. Tanke, M. Eshraqi, Y.I. Levinsen, A. Ponton [ESS, Lund, Sweden] S. Valero [CEA, Gif-sur-Yvette, France] ","Status of and Plans for the Beam Dynamics Program DYNAC",80 82,
moprc008,"D. Gamba, R. Corsini, T. Persson, P.K. Skowronski (P.K. Skowroński), F. Tecker [CERN, Geneva, Switzerland] P. Burrows [Oxford University, Physics Department, Oxford, Oxon, United Kingdom] P. Burrows [JAI, Oxford, United Kingdom] ","Dispersion Free and Dispersion Target Steering Experience at CTF3",83 86,
moprc009,"G.H. Gillespie [G.H. Gillespie Associates, Inc., Del Mar, California, USA] ","Simulating Apertures in the Uniform Equivalent Beam Model",87 89,
moprc011,"D.G. Maxwell, Z.Q. He, G. Shen [FRIB, East Lansing, USA] ","FRIB Lattice-Model Service for Commissioning and Operation",90 92,
moprc013,"R. Miyamoto [ESS, Lund, Sweden] ","Tracking Based Courant-Snyder Parameter Matching in a Linac with a Strong Space-Charge Force",93 96,
moprc014,"Y.R. Wang [AAI/ANL, Argonne, Illinois, USA] S. Cao, Z.M. Zhang [IMP/CAS, Lanzhou, People's Republic of China] W. Gai [ANL, Argonne, Illinois, USA] J.Q. Qiu [Euclid TechLabs, LLC, Solon, Ohio, USA] ","Beam Dynamics Simulations of a High Charge S-Band Photoinjector for Electron Beam Imaging Experiments",97 99,
moprc015,"Z.Q. He, M.A. Davidsaver, K. Fukushima, D.G. Maxwell, G. Shen, Y. Zhang, Q. Zhao [FRIB, East Lansing, USA] ","Development Status of FRIB On-line Model Based Beam Commissioning Application",100 103,
moprc016,"A. Latina [CERN, Geneva, Switzerland] ","RF-Track: Beam Tracking in Field Maps Including Space-Charge Effects, Features and Benchmarks",104 107,
moprc017,"Y.S. Qin [IMP/CAS, Lanzhou, People's Republic of China] ","CIADS HEBT Lattice Design",108 110,
moprc018,"R. Tiede, A. Almomani, M. Busch, F.D. Dziuba, U. Ratzinger [IAP, Frankfurt am Main, Germany] ","Improved Beam Dynamics and Cavity RF Design for the FAIR Proton Injector",111 113,
moprc019,"E. Khabibullina [MEPhI, Moscow, Russia] L. Bellan, M. Comunian, A. Pisent [INFN/LNL, Legnaro (PD), Italy] E. Khabibullina [ITEP, Moscow, Russia] A.D. Russo [INFN/LNS, Catania, Italy] ","Beam Dynamic of Transport Line 1+ with New HRMS for the SPES Project",114 116,
moprc020,"A.V. Ziiatdinova [MEPhI, Moscow, Russia] L. Bellan, M. Comunian, A. Pisent [INFN/LNL, Legnaro (PD), Italy] A.V. Ziiatdinova [ITEP, Moscow, Russia] ","Primary Beam Dynamic Simulation of Double Drift Double Buncher System for SPES Project",117 119,
moprc023,"A. Mizuno, H. Hanaki [JASRI/SPring-8, Hyogo-ken, Japan] ","Semi-3D Beam-Tracking Code for Electron Injectors Using Bulk-to-Point Calculation Technique for Space Charge Fields",120 122,
moprc025,"G. Ferrand [CEA/DSM/IRFU, France] L. Boudjaoui, P. Hardy, F. Leseigneur, C. Madec, N. Misiara, N. Pichoff [CEA/IRFU, Gif-sur-Yvette, France] ","Final Design of the Fully Equipped HWR Cavities for SARAF",123 125,
moprc026,"N. Misiara, L. Boudjaoui, G. Ferrand, P. Hardy, F. Leseigneur, C. Madec, N. Pichoff [CEA/IRFU, Gif-sur-Yvette, France] ","Mechanical Design of the HWR Cavities for the SARAF SRF LINAC",126 128,
moprc027,"R.D. Porter, D.L. Hall, M. Liepe, J.T. Maniscalco [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Surface Roughness Effect on the Performance of Nb3Sn Cavities",129 132,
moprc029,"A.D. Wu, Y. He, T.C. Jiang, C.L. Li, Y.M. Li, W.M. Yue, S.H. Zhang, H.W. Zhao [IMP/CAS, Lanzhou, People's Republic of China] L.M. Chen [Institute of Physics, Chinese Academy of Sciences, Beijing, People's Republic of China] L. Yang [IHEP, Beijing, People's Republic of China] ","Experiment of Plasma Discharge on HWR Cavity for In-Situ Surface Cleaning Study",133 135,
th1a02,"H.S. Kim [KAERI, Daejon, Republic of Korea] Y.-S. Cho, H.-J. Kwon [Korea Atomic Energy Research Institute (KAERI), Gyeongbuk, Republic of Korea] ","Operation of KOMAC 100 MeV Linac",683 687,
th1a03,"L. Groening, S. Mickat [GSI, Darmstadt, Germany] ","Development of New Heavy Ion Linacs at GSI",688 692,
th1a04,"J. Rodnizki, D. Hirschmann, Z. Horvitz, B. Kaizer, A. Perry, L. Weissman [Soreq NRC, Yavne, Israel] ","SARAF 4-Rods RFQ RF Power Line Splitting Design and Test",693 697,
th1a05,"A. Pisent [INFN/LNL, Legnaro (PD), Italy] ","Towards Commissioning of the IFMIF RFQ",698 703,
th1a06,"M. Vretenar, V.A. Dimov, M. Garlasché (M. Garlaschè), A. Grudiev, B. Koubek, A.M. Lombardi, S.J. Mathot, D. Mazur, E. Montesinos, M.A. Timmins [CERN, Geneva, Switzerland] ","High-Frequency Compact RFQs for Medical and Industrial Applications",704 709,
