FOAA001,"M.A.C. Cummings, Northern Illinois University, DeKalb, Illinois","New Technology in Hydrogen Absorbers for Muon Cooling Channels",
FPAE020,"K. Takayama, D.A. Arakawa, Y.A. Arakida, KEK, Ibaraki; K. Horioka, TIT, Yokohama; S. Igarashi, T. Iwashita, KEK, Ibaraki; A.K. Kawasaki, NICHICON, Shiga; J. Kishiro, JAERI/LINAC, Ibaraki-ken; T. Kono, KEK, Ibaraki; K. Koseki, GUAS/AS, Ibaraki; E. Nakamura, M. Sakuda, H. Sato, KEK, Ibaraki; M.S. Shiho, JAERI/NAKA, Ibaraki-ken; Y. Shimosaki, M.J. Shirakata, T. Sueno, KEK, Ibaraki; A. Tokuchi, NICHICON, Shiga; K. Torikai, T. Toyama, M. Wake, KEK, Ibaraki; M. Watanabe, JAERI/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; I. Yamane, KEK, Ibaraki","Induction Acceleration of a Single RF Bunch in the KEK PS",
FPAE021,"M. Walter, G. Bai, S. Bernal, I. Haber, M. Holloway, R.A. Kishek, P.G. O'Shea, B. Quinn, IREAP, College Park, Maryland; M. Reiser, University Maryland, College Park, Maryland","Alignment and Steering for Injection and Multi-Turn Operation of the University of Maryland Electron Ring (UMER)",
FPAE022,"R.M. Zwaska, S.E. Kopp, The University of Texas at Austin, Austin, Texas; W. Pellico, Fermilab, Batavia, Illinois","Cycle-to-Cycle Extraction Synchronization of the Fermilab Booster for Multiple Batch Injection to the Main Injector",
FPAE023,"G.P. Jackson, S.D. Howe, Hbar Technologies, LLC, West Chicago, Illinois","Direct Antiproton Deceleration in the Fermilab Proton Driver",
FPAE024,"S.M. Cousineau, V.V. Danilov, S. Henderson, J.A. Holmes, M.A. Plum, ORNL, Oak Ridge, Tennessee","Studies Performed in Preparation for the Spallation Neutron Source Accumulator Ring Commissioning",
FPAE025,"A. Miyamoto, H. Hama, F. Hinode, M. Kawai, K. Shinto, T. Tanaka, LNS, Sendai","Study of Slow Beam Extraction Through the Third Order Resonance with Transverse Phase Space Manipulation by a Mono-Frequency RFKO",
FPAE026,"Y. Yonemura, Kyushu University, Fukuoka; M. Aiba, KEK, Ibaraki; N. Ikeda, Kyushu University, Fukuoka; S. Machida, KEK, Ibaraki; M. Matoba, Kyushu University, Fukuoka; Y. Mori, A. Muto, J. Nakano, C. Ohmori, K.O. Okabe, I. Sakai, Y. Sato, A. Takagi, KEK, Ibaraki; R. Taki, GUAS/AS, Ibaraki; T. Uesugi, NIRS, Chiba-shi; A. Yamazaki, LNS, Sendai; T. Yokoi, M. Yoshii, KEK, Ibaraki; M. Yoshimoto, JAERI, Ibaraki-ken; Y. Yuasa, KEK, Ibaraki","Development of FFAG Accelerator at KEK",
FPAE027,"R.E. Laxdal, W. Andersson, P. Bricault, I. Bylinskii, K. Fong, M. Marchetto, A.K. Mitra, R.L. Poirier, W.R. Rawnsley, P. Schmor, I. Sekachev, G. Stanford, G.M. Stinson, V. Zviagintsev, TRIUMF, Vancouver","Status of the ISAC-II Accelerator at TRIUMF",
FPAE028,"A. Mosnier, CEA/DSM/DAPNIA, Gif-sur-Yvette; M.H. Moscatello, GANIL, Caen","Design of the High Intensity Exotic Beams SPIRAL 2 Project",
FPAE029,"C.J. Gardner, L. Ahrens, J.G. Alessi, J. Benjamin, M. Blaskiewicz, J.M. Brennan, K.A. Brown, C. Carlson, J. DeLong, J. Glenn, T. Hayes, W.W. MacKay, G.J. Marr, J. Morris, T. Roser, F. Severino, K. Smith, D. Steski, N. Tsoupas, A. Zaltsman, K. Zeno, BNL, Upton, Long Island, New York","Setup and Performance of the RHIC Injector Accelerators for the 2005 Run with Copper Ions",
FPAE031,"M. Farkhondeh, dc. Cheever, W.A. Franklin, E. Ihloff, B. McAllister, R. Milner, W. North, C. Tschalaer, E. Tsentalovich, D. Wang, D. Wang, F. Wang, A. Zolfaghari, T. Zwart, J. van der Laan, MIT, Middleton, Massachusetts","Polarized Electron Beams for Nuclear Physics at the MIT Bates Accelerator Center",
FPAE032,"M.L. Mallory, J.B. Ball, D. Dowling, E. D. H. Hudson, R. S. L. Lord, A. Tatum, ORNL, Oak Ridge, Tennessee","ORIC Beam Energy Increase",
FPAE033,"G.W. Dodson, T.L. Williams, ORNL, Oak Ridge, Tennessee","Operational Availability of the SNS During Commissioning",
FPAE035,"P.A. Schmelzbach, S.R.A. Adam, A. Adelmann, H. Fitze, G. Heidenreich, J.-Y. Raguin, U. Rohrer, P.K. Sigg, PSI, Villigen","Steps Towards a 3 mA, 1.8 MW Proton Beam at the PSI Cyclotron Facility",
FPAE036,"F. Hinode, H. Hama, M. Kawai, A. Kurihara, A. Miyamoto, M. Mutoh, M. Nanao, Y. Shibasaki, K. Shinto, S. Takahashi, T. Tanaka, LNS, Sendai","Lattice Modification of a 1.2 GeV STB Ring for Generation of High Energy Gamma-Rays Using Internal Target Wire",
FPAE037,"R. Ferdinand, CEA/DSM/DAPNIA, Gif-sur-Yvette; A.C. Caruso, INFN/LNS, Catania; G. Congretel, A. Curtoni, O. Delferriere, CEA/DSM/DAPNIA, Gif-sur-Yvette; M. Di Giacomo, GANIL, Caen; A. France, D. Leboeuf, J. Thinel, J.-C. Toussaint, CEA/DSM/DAPNIA, Gif-sur-Yvette","SPIRAL 2 RFQ Prototype First Tests",
FPAE040,"G. Bisoffi, G. Bassato, A. Battistella, G.P. Bezzon, l. Boscagli, A. Calore, S. Canella, D. Carlucci, F. Chiurlotto, M. Comunian, M. De Lazzari, A. Facco, E. Fagotti, A. Lombardi, P. Modanese, M.F. Moisio, A. Pisent, M. Poggi, A.M. Porcellato, S. Stark, INFN/LNL, Legnaro, Padova","First Operation of PIAVE, the Heavy Ion Injector Based on Superconducting RFQ's",
FPAE042,"A. Pisent, G. Bisoffi, D. Carlucci, M. Cavenago, F. Chiurlotto, M. Comunian, E. Fagotti, A. Galatà, INFN/LNL, Legnaro, Padova; T. Kulevoy, ITEP, Moscow; M. Poggi, A.M. Porcellato, M. Sattin, INFN/LNL, Legnaro, Padova","Beam Commissioning of the Superconducting RFQs of the New LNL Injector PIAVE",
FPAE043,"M. Ikegami, KEK, Ibaraki; H. Akikawa, JAERI, Ibaraki-ken; H. Ao, JAERI/LINAC, Ibaraki-ken; K. Hasegawa, JAERI, Ibaraki-ken; Z. Igarashi, KEK, Ibaraki; Y. Kondo, JAERI, Ibaraki-ken; S. Lee, KEK, Ibaraki; T. Ohkawa, JAERI, Ibaraki-ken; S. Sato, T. Tomisawa, A. Ueno, JAERI/LINAC, Ibaraki-ken","Transverse Tuning Scheme for J-PARC Linac",
FPAE044,"Y.-S. Cho, S.-H. Han, J.-H. Jang, H.-S. Kim, Y.-H. Kim, H.-J. Kwon, M.-Y. Park, K.T. Seol, KAERI, Daejon","Test Results of the PEFP 3MeV RFQ Upgrade",
