FOAA001,"M.A.C. Cummings, Northern Illinois University, DeKalb, Illinois","New Technology in Hydrogen Absorbers for Muon Cooling Channels",
RPPT045,"J.-H. Li, Y. Cao, H. He, K. Jin, P. Lu, B. Sun, J. P. Wang, Y. Wang, P. Zheng, USTC/NSRL, Hefei, Anhui","A Method to Calibrate Beam Position Monitor at HLS 200 MeV LINAC",
RPPT046,"J.H. Liu, Y.J. Pei, B. Sun, J.H. Wang, Y.L. Yang, K. Zheng, USTC/NSRL, Hefei, Anhui","Development and Application of Bunch-by-Bunch Measurement System of HLS",
RPPT047,"J.H. Wang, H. He, W. Li, J.H. Liu, L. Liu, B. Sun, Y.L. Yang, K. Zheng, Z.R. Zhou, USTC/NSRL, Hefei, Anhui","Development of Measurement and Transverse Feedback System at HLS",
RPPT048,"J.H. Wang, W. Li, J.H. Liu, L. Liu, B. Sun, Y.L. Yang, K. Zheng, USTC/NSRL, Hefei, Anhui","HLS Turn-By-Turn System and Its Application",
RPPT049,"L. Wang, G. Feng, W. Li, H. Xu, H. Zhang, USTC/NSRL, Hefei, Anhui","Linear Optics Compensation of the Superconducting Wiggler in HLS",
RPPT050,"Y.L. Yang, J.H. Liu, L. Liu, B. Sun, J.H. Wang, K. Zheng, USTC/NSRL, Hefei, Anhui","The Measurement of Tune and Phase Space at HLS",
RPPT051,"S.R. Koscielniak, TRIUMF, Vancouver; C. Johnstone, Fermilab, Batavia, Illinois","Electron Model of Linear-Field FFAG",
RPPT052,"S.R. Koscielniak, A. Baartman, TRIUMF, Vancouver","Analysis of Rapid Betatron Resonance Crossing",
RPPT053,"J. Payet, A. Chance, CEA/CEN, Gif-sur-Yvette","Studies of the Injection System in the Decay Ring of Beta-Beam Neutrino Souce Project",
RPPT058,"T.L. Hart, Colorado University at Boulder, Boulder, Colorado","Kaon Monitoring Using the MiniBooNE Little Muon Counter",
RPPT059,"S.A. Kahn, M. Diwan, BNL, Upton, Long Island, New York","Spectrum from the Proposed BNL Very Long Baseline Neutrino Facility",
RPPT060,"C. Johnstone, A. Bross, I. Rakhno, Fermilab, Batavia, Illinois","The MuCool Test Area at Fermilab",
RPPT061,"C. Johnstone, Fermilab, Batavia, Illinois; M. Berz, K. Makino, MSU, East Lansing, Michigan","Linear Quadrupole Cooling Channel for a Neutrino Factory",
RPPT062,"R.M. Ronningen, NSCL, East Lansing, Michigan; L. Ahle, LLNL, Livermore, California; J.R. Beene, ORNL, Oak Ridge, Tennessee; V. Blideanu, NSCL, East Lansing, Michigan; J.L. Boles, LLNL, Livermore, California; G. Bollen, NSCL, East Lansing, Michigan; T.A. Bredeweg, LANL, Los Alamos, New Mexico; P. Bricault, TRIUMF, Vancouver; W. Burgess, H.K. Carter, D.L. Conner, T.A. Gabriel, ORNL, Oak Ridge, Tennessee; L.H. Heilbronn, LBNL, Berkeley, California; D. Lawton, NSCL, East Lansing, Michigan; L.K. Mansur, ORNL, Oak Ridge, Tennessee; P.F. Mantica, D.J. Morrissey, NSCL, East Lansing, Michigan; F.M. Nortier, LANL, Los Alamos, New Mexico; R. Remec, M.J. Rennich, ORNL, Oak Ridge, Tennessee; S. Reyes, LLNL, Livermore, California; B. Sherrill, NSCL, East Lansing, Michigan; W. Stein, LLNL, Livermore, California; D.W. Stracener, ORNL, Oak Ridge, Tennessee; D.J. Vieira, LANL, Los Alamos, New Mexico; M. Wendel, ORNL, Oak Ridge, Tennessee; A. Zeller, NSCL, East Lansing, Michigan","Radiation Simulations for the Proposed ISOL Stations for RIA",
RPPT063,"R.M. Ronningen, NSCL, East Lansing, Michigan; L. Ahle, LLNL, Livermore, California; J.R. Beene, ORNL, Oak Ridge, Tennessee; V. Blideanu, NSCL, East Lansing, Michigan; J.L. Boles, LLNL, Livermore, California; G. Bollen, NSCL, East Lansing, Michigan; W. Burgess, H.K. Carter, D.L. Conner, T.A. Gabriel, ORNL, Oak Ridge, Tennessee; H. Geissel, GSI, Darmstadt; I.C. Gomes, ANL, Argonne, Illinois; L.H. Heilbronn, LBNL, Berkeley, California; H. Iwase, GSI, Darmstadt; D. Lawton, NSCL, East Lansing, Michigan; F. Levand, ANL, Argonne, Illinois; L.K. Mansur, ORNL, Oak Ridge, Tennessee; Y. Momozaki, ANL, Argonne, Illinois; D.J. Morrissey, NSCL, East Lansing, Michigan; J.A. Nolen, B. Reed, ANL, Argonne, Illinois; R. Remec, M.J. Rennich, ORNL, Oak Ridge, Tennessee; S. Reyes, LLNL, Livermore, California; B. Sherrill, NSCL, East Lansing, Michigan; W. Stein, A. Stoyer, LLNL, Livermore, California; D.W. Stracener, M. Wendel, ORNL, Oak Ridge, Tennessee; A. Zeller, NSCL, East Lansing, Michigan","Radiation Simulations and Development of Concepts for High Power Beam Dumps, Catchers and Pre-separator Area Layouts for the Fragment Separators for RIA",
RPPT064,"A. Tatum, J.R. Beene, ORNL, Oak Ridge, Tennessee","Holifield Radioactive Ion Beam Facility Development and Status",
RPPT065,"W.-T. Weng, J. Beebe-Wang, Y.Y. Lee, D. Raparia, N. Tsoupas, J. Wei, S.Y. Zhang, BNL, Upton, Long Island, New York","Beam Loss Estimates and Control for the BNL Neutrino Facility",
RPPT066,"W. Zhang, S. Bellavia, BNL, Upton, Long Island, New York; B. Hseuh, JHU, Baltimore, Maryland; J. Sandberg, N. Simos, J.E. Tuozzolo, W.-T. Weng, BNL, Upton, Long Island, New York","Electromigration Issues in High Current Horn",
RPPT067,"H.G. Kirk, BNL, Upton, Long Island, New York; J.R.J. Bennett, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon; T.W. Bradshaw, P. Drumm, T.R. Edgecock, CCLRC/RAL, Chilton, Didcot, Oxon; I. Efthymiopoulos, A. Fabich, CERN, Geneva; T.A. Gabriel, V.B. Graves, J.R. Haines, ORNL, Oak Ridge, Tennessee; H. Haseroth, F. Haug, CERN, Geneva; Y. Hayato, KEK, Ibaraki; Y. Ivanyushenkov, CCLRC/RAL, Chilton, Didcot, Oxon; S.A. Kahn, BNL, Upton, Long Island, New York; J. Lettry, CERN, Geneva; H. Ludewig, BNL, Upton, Long Island, New York; K.T. McDonald, PU, Princeton, New Jersey; R. Palmer, V. Samulyak, N. Simos, BNL, Upton, Long Island, New York; P.T. Spampinato, ORNL, Oak Ridge, Tennessee; T. Tsang, BNL, Upton, Long Island, New York; K. Yoshimura, KEK, Ibaraki","A High-Power Target Experiment",
RPPT068,"S.S. Kurennoy, D.B. Barlow, B. Blind, A.J. Jason, N. Neri, LANL, Los Alamos, New Mexico","Pion-Muon Concentrating System for Detectors of Highly Enriched Uranium",
RPPT069,"M.P. Hechler, R.I. Cutler, J.J. Error, ORNL, Oak Ridge, Tennessee; W.J. McGahern, BNL, Upton, Long Island, New York","The Installation Status of the SNS Accumulator Ring",
RPPT070,"R. Kersevan, D.P. Briggs, I.E. Campisi, J.A. Crandall, D.L. Douglas, T. Hunter, P. Ladd, C. Luck, R.C. Morton, K.S. Russell, D. Stout, ORNL, Oak Ridge, Tennessee","Status Report on the Installation of the Warm Sections for the Superconducting Linac at the SNS",
RPPT071,"D. Stout, I.E. Campisi, F. Casagrande, R.I. Cutler, D.R. Hatfield, M.P. Howell, T. Hunter, R. Kersevan, P. Ladd, W.H. Strong, ORNL, Oak Ridge, Tennessee","Installation of the Spallation Neutron Source (SNS) Superconducting Linac",
RPPT072,"D. Indurthy, The University of Texas at Austin, Austin, Texas; M.B. Bishai, M. Diwan, BNL, Upton, Long Island, New York; A.R. Erwin, UW-Madison/PD, Madison, Wisconsin; D. Harris, Fermilab, Batavia, Illinois; R. Keisler, S.E. Kopp, The University of Texas at Austin, Austin, Texas; A. Marchionni, Fermilab, Batavia, Illinois; J. McDonald, University of Pittsburgh, Pittsburgh, Pennsylvania; S. Mendoza, The University of Texas at Austin, Austin, Texas; G. Morfin, Fermilab, Batavia, Illinois; D. Naples, D. Northacker, University of Pittsburgh, Pittsburgh, Pennsylvania; Z. Pavlovich, The University of Texas at Austin, Austin, Texas; H.P. Ping, UW-Madison/PD, Madison, Wisconsin; M. Proga, The University of Texas at Austin, Austin, Texas; C.V. Velissaris, UW-Madison/PD, Madison, Wisconsin; B. Viren, BNL, Upton, Long Island, New York; R.M. Zwaska, The University of Texas at Austin, Austin, Texas","Ion Chamber Arrays for the NuMI Beam at Fermilab",
RPPT074,"S. Rimjaem, V. Jinamoon, Mr. Kangrang, K. Kusoljariyakul, FNRF, Chiang Mai; M.W. Rhodes, IST, Chiang Mai; J. Saisut, C. Thongbai, T. Vilaithong, FNRF, Chiang Mai; P. Wichaisirimongkol, IST, Chiang Mai; H. Wiedemann, SLAC, Menlo Park, California","Beam Characterizations at Femtosecond Electron Beam Facility",
RPPT075,"C. Thongbai, V. Jinamoon, Mr. Kangrang, K. Kusoljariyakul, FNRF, Chiang Mai; M.W. Rhodes, IST, Chiang Mai; S. Rimjaem, J. Saisut, T. Vilaithong, FNRF, Chiang Mai; P. Wichaisirimongkol, IST, Chiang Mai; H. Wiedemann, SLAC, Menlo Park, California","Generation of Femtosecond Electron and Photon Pulses",
TOAA001,"S. Caspi, P. Ferracin, LBNL, Berkeley, California","Limits of Nb3Sn Accelerator Magnets",
TOAA002,"M.J. Lamm, Fermilab, Batavia, Illinois","U.S. Accelerator Contribution to the LHC",
TOAA003,"N.A. Mezentsev, E. Perevedentsev, BINP SB RAS, Novosibirsk","Survey of Superconducting Insertion Devices for Light Sources",
TOAA004,"V. Kashikhin, G. Ambrosio, N. Andreev, E. Barzi, R. Bossert, J. DiMarco, V.S. Kashikhin, M.J. Lamm, I. Novitski, P. Schlabach, G. Velev, R. Yamada, A.V. Zlobin, Fermilab, Batavia, Illinois","Field Quality Study in Nb3Sn Accelerator Magnets",
TOAA005,"G.L. Sabbi, A. Faltens, A.F. Lietzke, LBNL, Berkeley, California; N. Martovetski, LLNL, Livermore, California; S. Mattafirri, P.A. Seidl, LBNL, Berkeley, California","Field Quality Optimization of Superconducting Quadrupoles for the HCX Experiment",
TOAA006,"T. Nakamoto, Y. Ajima, KEK, Ibaraki; M. Anerella, J. Escallier, BNL, Upton, Long Island, New York; T. Fujii, Toshiba, Yokohama; Y. Fukui, KEK, Ibaraki; G. Ganetis, R.C. Gupta, M. Harrison, BNL, Upton, Long Island, New York; E. Hashiguchi, Toshiba, Yokohama; N. Higashi, A. Ichikawa, KEK, Ibaraki; Y. Iwamoto, JAERI, Ibaraki-ken; A.K. Jain, BNL, Upton, Long Island, New York; T. Kanahara, Toshiba, Yokohama; N. Kimura, T. Kobayashi, Y. Makida, KEK, Ibaraki; J.F. Muratore, BNL, Upton, Long Island, New York; T. Obana, GUAS/AS, Ibaraki; T. Ogitsu, H. Ohhata, T. Okamura, KEK, Ibaraki; T. Orikasa, Toshiba, Yokohama; B. Parker, BNL, Upton, Long Island, New York; K. Sasaki, M. Takasaki, K. Tanaka, A. Terashima, T. Tomaru, KEK, Ibaraki; P. Wanderer, BNL, Upton, Long Island, New York; A. Yamamoto, KEK, Ibaraki","Development of Superconducting Combined Function Magnets for the Proton Transport Line for the J-PARC Neutrino Experiments",
TOAA007,"D. Raparia, BNL, Upton, Long Island, New York","SNS Injection and Extraction Devices",
TOAA008,"T. Hunter, SH. Heimsoth, DL. Lebon, RM. McBrien, J.-G. Wang, ORNL, Oak Ridge, Tennessee","Progress and Status in SNS Magnet Measurements at ORNL",
TOAA009,"G. Moritz, GSI, Darmstadt; B. Auchmann, CERN, Geneva; J. Escallier, G. Ganetis, A.K. Jain, BNL, Upton, Long Island, New York; J. Kaugerts, GSI, Darmstadt; A. Marone, J.F. Muratore, BNL, Upton, Long Island, New York; S. Russenschuck, CERN, Geneva; R.A. Thomas, P. Wanderer, BNL, Upton, Long Island, New York; M. Wilson, Oxford Instruments, Accelerator Technology Group, Oxford, Oxon; R. de Maria, CERN, Geneva","Recent Test Results of the Fast-Pulsed 4 T COSO Dipole GSI 001",
TOAA010,"B. Parker, J. Escallier, BNL, Upton, Long Island, New York","Serpentine Coil Topology for BNL Direct Wind Superconducting Magnets",
TOAB001,"R.J. Bakker, PSI, Villigen","VUV/Soft X-Ray FEL Projects on the Horizon",
TOAB002,"B. Faatz, DESY, Hamburg","First Results from the VUV FEL at DESY",
TOAB003,"X.J. Wang, BNL, Upton, Long Island, New York; H. Loos, SLAC, Menlo Park, California; J.B. Murphy, I.P. Pinayev, G. Rakowsky, J. Rose, T.V. Shaftan, B. Sheehy, J. Skaritka, Z. Wu, L.-H. Yu, BNL, Upton, Long Island, New York","First Results from the DUV-FEL Upgrade at BNL",
TOAB004,"P. Emma, SLAC, Menlo Park, California; W.M. Fawley, LBNL, Berkeley, California; Z. Huang, C. Limborg-Deprey, SLAC, Menlo Park, California; S. Reiche, UCLA, Los Angeles, California; J. Wu, SLAC, Menlo Park, California; M.S. Zolotorev, LBNL, Berkeley, California","An Optimized Low-Charge Configuration of the Linac Coherent Light Source",
TOAB005,"E.A. Seddon, M.W. Poole, CCLRC/DL, Daresbury, Warrington, Cheshire","4GLS and the Energy Recovery Linac Prototype Project at Daresbury Laboratory",
TOAB006,"R.O. Hettel, SLAC, Menlo Park, California","SPEAR 3 - The First Year of Operation",
TOAB007,"S. Khan, BESSY GmbH, Berlin","Femtoslicing in Storage Rings",
TOAB008,"B. Podobedov, BNL, Upton, Long Island, New York","New Storage Ring Light Sources on the Horizon",
TOAB009,"K.C. Harkay, M. Borland, Y.-C. Chae, G. Decker, R.J. Dejus, L. Emery, W. Guo, D. Horan, K.-J. Kim, R. Kustom, D.M. Mills, S.V. Milton, G. Pile, V. Sajaev, S.D. Shastri, G.J. Waldschmidt, M. White, B.X. Yang, ANL, Argonne, Illinois; A. Zholents, LBNL, Berkeley, California","Generation of Short X-Ray Pulses Using Crab Cavities at the Advanced Photon Source",
TOAB010,"S. Chouhan, D.A. Harder, G. Rakowsky, J. Skaritka, T. Tanabe, BNL, Upton, Long Island, New York","Research and Development of Variable Polarization Superconducting Undulator at the NSLS",
TOAC001,"E. Métral, CERN, Geneva","Overview of Impedance and Single-Beam Instability Mechanisms",
TOAC002,"D. Teytelman, SLAC, Menlo Park, California","Beam Loading Compensation for Super B-Factories",
TOAC003,"M. Blaskiewicz, BNL, Upton, Long Island, New York","Stochastic Cooling for Bunched Beams",
TOAC004,"C. Tennant, Jefferson Lab, Newport News, Virginia; I.V. Bazarov, Cornell University, Department of Physics, Ithaca, New York; D. Douglas, Jefferson Lab, Newport News, Virginia; G. Hoffstaetter, Cornell University, Laboratory for Elementary-Particle Physics, Ithaca, New York; K. Jordan, L. Merminga, E.P. Pozdeyev, Jefferson Lab, Newport News, Virginia; S. Simrock, DESY, Hamburg; T.I. Smith, Stanford University, Stanford, Califormia; H. Wang, Jefferson Lab, Newport News, Virginia","Experimental Investigation of Beam Breakup in the Jefferson Laboratory 10 kW FEL Upgrade Driver",
TOAC005,"J. Wu, P. Emma, Z. Huang, SLAC, Menlo Park, California","Coherent Synchrotron Radiation as a Diagnostic Tool for the LCLS Longitudinal Feedback System",
TOAD001,"H. Schlarb, DESY, Hamburg","Techniques for Pump-Probe Synchronisation of Fsec Radiation Pulses",
TOAD002,"C.-Y. Tan, Fermilab, Batavia, Illinois","Novel Tune Diagnostics for the Tevatron",
TOAD003,"N. Hayashi, JAERI/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; D.A. Arakawa, KEK, Ibaraki; S.H. Hiroki, J. Kishiro, JAERI/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; S. Lee, T. Miura, KEK, Ibaraki; Y.T. Teruyama, JAERI/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; T. Toyama, KEK, Ibaraki; R. Toyokawa, JAERI/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken","Development of the Beam Diagnostics System for the J-PARC Rapid-Cycling Synchrotron",
TOAD004,"G.A. Naumenko, Tomsk Polytechnic University, Physical-Technical Department, Tomsk; S. Araki, A. Aryshev, KEK, Ibaraki; D. Cline, Y. Fukui, UCLA, Los Angeles, California; R. Hamatsu, TMU, Hatioji-shi,Tokyo; H. Hayano, V. Karataev, T. Muto, KEK, Ibaraki; A. Potylitsyn, Tomsk Polytechnic University, Physical-Technical Department, Tomsk; M.C. Ross, SLAC, Menlo Park, California; J.U. Urakawa, KEK, Ibaraki","The Possibility of Noninvasive Micron High Energy Electron Beam Size Measurement Using Diffraction Radiation",
TOAD005,"R.A. Marsh, A.S. Kesar, R.J. Temkin, MIT/PSFC, Cambridge, Massachusetts","Observation of Frequency Locked Coherent Transition Radiation",
TOPA001,"C.G.R. Geddes, LBNL, Berkeley, California; J.R. Cary, Tech-X, Boulder, Colorado; E. Esarey, W. Leemans, LBNL, Berkeley, California; C. Nieter, Tech-X, Boulder, Colorado; C.B. Schroeder, C. Toth, LBNL, Berkeley, California; J. Van Tilborg, TUE, Eindhoven","Mono Energetic Beams from Laser Plasma Interactions",
TOPA002,"M.J. Hogan, C.D. Barnes, SLAC, Menlo Park, California; C.E. Clayton, UCLA, Los Angeles, California; F.-J. Decker, SLAC, Menlo Park, California; S. Deng, USC, Los Angeles, California; P. Emma, SLAC, Menlo Park, California; C. Huang, UCLA, Los Angeles, California; R.H. Iverson, SLAC, Menlo Park, California; D.K. Johnson, C. Joshi, UCLA, Los Angeles, California; T.C. Katsouleas, USC, Los Angeles, California; P. Krejcik, SLAC, Menlo Park, California; W. Lu, K.A. Marsh, W.B. Mori, UCLA, Los Angeles, California; P. Muggli, USC, Los Angeles, California; C.L. O'Connell, SLAC, Menlo Park, California; E. Oz, USC, Los Angeles, California; R. Siemann, D.R. Walz, SLAC, Menlo Park, California","Review of Beam-Driven Plasma Wakefield Experiments at SLAC",
TOPA003,"J.R. Cary, D.L. Bruhwiler, J.R. Cary, Tech-X, Boulder, Colorado; E. Esarey, C.G.R. Geddes, LBNL, Berkeley, California; R. Giacone, Tech-X, Boulder, Colorado; W. Leemans, LBNL, Berkeley, California; C. Nieter, Tech-X, Boulder, Colorado","Optical Injection into Laser Wake Field Accelerators",
TOPA005,"S.P. Antipov, W. Liu, J.G. Power, ANL, Argonne, Illinois; L.K. Spentzouris, Illinois Institute of Technology, Chicago, Illinois","Left-Handed Metamaterials Studies and their Application to Accelerator Physics",
TOPA006,"P. Musumeci, S. Boucher, C.E. Clayton, A. Doyuran, R.J. England, C. Joshi, C. Pellegrini, J.E. Ralph, J.B. Rosenzweig, C. Sung, S. Tochitsky, UCLA, Los Angeles, California; S.V. Tolmachev, RRC Kurchatov Institute, Moscow; G. Travish, UCLA, Los Angeles, California; A. Varfolomeev, A. Varfolomeev, T.V. Yarovoi, RRC Kurchatov Institute, Moscow; R.B. Yoder, UCLA, Los Angeles, California","High Energy Gain IFEL at UCLA Neptune Laboratory",
TOPA007,"P.A. Norreys, CCLRC/RAL, Chilton, Didcot, Oxon; F.N. Beg, UCSD, La Jolla, California; A.E. Dangor, K.M. Krushelnick, Imperial College of Science and Technology, Department of Physics, London; M. Tatarakis, , ; M. Wei, Imperial College of Science and Technology, Department of Physics, London; M. Zepf, Queen's University of Belfast, Belfast, Northern Ireland","Proton Acceleration and High-Energy Density Physics from Laser Foil Interactions",
TOPA008,"T. Plettner, R.L. Byer, Stanford University, Stanford, Califormia; E.R. Colby, B.M. Cowan, C.M.S. Sears, R. Siemann, SLAC, Menlo Park, California; T.I. Smith, Stanford University, Stanford, Califormia; J.E. Spencer, SLAC, Menlo Park, California","First Observation of Laser-Driven Acceleration of Relativistic Electrons in a Semi-Infinite Vacuum Space",
TOPA009,"E.I. Smirnova, L.M. Earley, R.L. Edwards, LANL, Los Alamos, New Mexico; A.S. Kesar, I. Mastovsky, M.A. Shapiro, R.J. Temkin, MIT/PSFC, Cambridge, Massachusetts","Photonic Band Gap Accelerator Demonstration at Ku-Band.",
TOPA010,"B.M. Cowan, SLAC, Menlo Park, California","Photonic Crystal Laser-Driven Accelerator Structures",
TOPA011,"A.A. Mikhailichenko, Cornell University, Department of Physics, Ithaca, New York","Self Consistent Scheme for Obtaining Electron-Positron Collisions with Multi-TeV Energy",
TOPB001,"A. Zholents, LBNL, Berkeley, California","Methods of Attosecond X-Ray Pulse Generation",
TOPB002,"J.B. Hastings, SLAC, Menlo Park, California","Sub-Picosecond Pulse Source: Recent Results",
TOPB003,"F.X. Kaertner, H. Byun, J. Chen, F J. Grawert, F.O. Ilday, J. Kim, A. Winter, MIT, Cambridge, Massachusetts","Progress in Large-Scale Femtosecond Timing Distribution and RF-Synchronization",
TOPB004,"I.V. Bazarov, Cornell University, Department of Physics, Ithaca, New York","Overview of Energy Recovery Linacs",
TOPC001,"B.X. Yang, A.H. Lumpkin, ANL, Argonne, Illinois","Visualizing Electron Beam Dynamics and Instabilities with Synchrotron Radiation at the APS",
TOPC002,"R. Connolly, R.J. Michnoff, S. Tepikian, BNL, Upton, Long Island, New York","Residual-Gas-Ionization Beam Profile Monitors in RHIC",
TOPC003,"T. Scarvie, A. Biocca, N. Kelez, M.C. Martin, T. Nishimura, G.J. Portmann, F. Sannibale, E. Williams, LBNL, Berkeley, California","Beam Measurements and Upgrade at BL 7.2, the Second Diagnostics Beamline of the Advanced Light Source",
TOPC004,"S.A. Wolbers, B. Banerjee, B. Barker, S. Bledsoe, T. Boes, M. Bowden, G.I. Cancelo, G. Duerling, B. Forster, B. Haynes, B. Hendricks, T. Kasza, R.K. Kutschke, R. Mahlum, M.A. Martens, M. Mengel, M. Olsen, V. Pavlicek, T. Pham, L. Piccoli, J. Steimel, K. Treptow, M. Votava, R.C. Webber, B. West, D. Zhang, Fermilab, Batavia, Illinois","Tevatron Beam Position Monitor Upgrade",
TOPC005,"F. Roncarolo, B. Dehning, CERN, Geneva","Transverse Emittance Blow-Up Due to the Operation of Wire Scanners, Analytical Predictions and Measurements",
TOPD001,"B. Sinha, R.K. Bhandari, A. Chakrabarti, DAE/VECC, Calcutta","SC Cyclotron and RIB Facilities in Kolkata",
TOPD002,"C. Zhang, G. Pei, IHEP Beijing, Beijing","BEPCII -The Second Phase Construction of the Beijing Electron-Positron Collider",
TOPD003,"J.W. Xia, IMP, Lanzhou; B.W. Wei, W.L. Zhan, IHEP Beijing, Beijing","Cooler Storage Ring at China Institute of Modern Physics",
TOPD004,"A. Chakrabarti, R.K. Bhandari, DAE/VECC, Calcutta","RIB Facility at VECC KolkataA Status Report",
TOPE001,"L. Lilje, DESY, Hamburg","Experience with the TTF-2",
TOPE002,"C. Adolphsen, SLAC, Menlo Park, California","Advances in Normal Conducting Accelerator Technology from the X-Band Linear Collider Program",
TOPE003,"J.U. Urakawa, KEK, Ibaraki","Results from DR and Instrumentation Test Facilities",
TOPE004,"H.-H. Braun, CERN, Geneva","CLIC Progress Towards Multi-TeV Linear Colliders",
TPAE001,"M.L. Petrosyan, M. Akopov, Y.A. Garibyan, E.M. Laziev, R.A. Melikian, Y. Nazaryan, M.K. Oganesyan, G.M. Petrosyan, L.M. Petrosyan, V.S. Pogosyan, G.K. Tovmasyan, YerPhI, Yerevan","Experiments on Wake Field Acceleration in Plasma and the Program of the Further Works in YerPhI",
TPAE002,"L. Serafini, INFN-Milano, Milano; D. Alesini, INFN/LNF, Frascati (Roma); F. Alessandria, A. Bacci, INFN-Milano, Milano; W. Baldeschi, A. Barbini, CNR/IPP, Pisa; M. Bellaveglia, S. Bertolucci, M.E. Biagini, R. Boni, INFN/LNF, Frascati (Roma); R. Bonifacio, Universita' degli Studi di Milano, MILANO; I. Boscolo, INFN-Milano, Milano; M. Boscolo, INFN/LNF, Frascati (Roma); U. Bottigli, INFN-Cagliari, Monserrato (Cagliari); F. Broggi, INFN/LASA, Segrate (MI); M. Castellano, INFN/LNF, Frascati (Roma); C.A. Cecchetti, UNIPI, Pisa; S. Cialdi, INFN-Milano, Milano; A. Clozza, INFN/LNF, Frascati (Roma); C. De Martinis, INFN-Milano, Milano; G. Di Pirro, A. Drago, A. Esposito, M. Ferrario, L. Ficcadenti, D. Filippetto, V. Fusco, INFN/LNF, Frascati (Roma); M. Galimberti, CNR/IPP, Pisa; A. Gallo, G. Gatti, A. Ghigo, INFN/LNF, Frascati (Roma); D. Giove, INFN-Milano, Milano; A. Giulietti, CNR/IPP, Pisa; D. Giulietti, UNIPI, Pisa; A. Gizzi, CNR/IPP, Pisa; B. Golosio, INFN-Cagliari, Monserrato (Cagliari); S. Guiducci, M. Incurvati, INFN/LNF, Frascati (Roma); P. Koester, L. Labate, CNR/IPP, Pisa; C. Ligi, F. Marcellini, INFN/LNF, Frascati (Roma); C. Maroli, M. Mauri, INFN-Milano, Milano; M. Migliorati, A. Mostacci, INFN/LNF, Frascati (Roma); P.N. Oliva, INFN-Cagliari, Monserrato (Cagliari); L. Palumbo, L. Pellegrino, INFN/LNF, Frascati (Roma); V. Petrillo, INFN-Milano, Milano; N. Piovella, Universita' degli Studi di Milano, MILANO; A. Poggiu, INFN-Cagliari, Monserrato (Cagliari); R. Pozzoli, INFN-Milano, Milano; M.A. Preger, R. Ricci, INFN/LNF, Frascati (Roma); M. Rome, INFN-Milano, Milano; A. Rossi, CNR/IPP, Pisa; C. Sanelli, M. Serio, F. Sgamma, B. Spataro, A. Stecchi, A. Stella, INFN/LNF, Frascati (Roma); S. Stumbo, INFN-Cagliari, Monserrato (Cagliari); F. Tazzioli, INFN/LNF, Frascati (Roma); P. Tommasini, CNR/IPP, Pisa; C. Vaccarezza, M. Vescovi, C. Vicario, INFN/LNF, Frascati (Roma)","The Project PLASMONX for Plasma Acceleration Experiments and a Thomson X-Ray Source at SPARC",
TPAE003,"T. Ohkubo, M. Uesaka, G. Zhidkov, UTNL, Ibaraki","Numerical Study of Injection Mechanisms for Generation of Mono-Energetic Femtosecond Electron Bunch from the Plasma Cathode",
TPAE005,"C. Kim, POSTECH, Pohang, Kyungbuk; N. Hafz, G.-H. Kim, KERI, Changwon; I.S. Ko, POSTECH, Pohang, Kyungbuk; H. Suk, KERI, Changwon","Generation of Small Energy Spread Electron Beam from Self-Modulated Laser Wakefield Accelerator",
TPAE010,"I.N. Onishchenko, NSC/KIPT, Kharkov; T.C. Marshall, Yale University, Physics Department, New Haven, CT; N. Onishchenko, G. Sotnikov, NSC/KIPT, Kharkov","Resonant Excitation of Selected Modes by a Train of Electron Bunches in a Rectangular Dielectric Wakefield Accelerator",
TPAE011,"A.A. Mikhailichenko, Cornell University, Department of Physics, Ithaca, New York","Fast Sweeping Device for Laser Bunch",
TPAE012,"C. Wang, Omega-P, Inc., New Haven, Connecticut; J.L. Hirshfield, Yale University, Physics Department, New Haven, CT; V.P. Yakovlev, Omega-P, Inc., New Haven, Connecticut","Rectangular Diamond-Lined Accelerator Structure",
TPAE013,"C. Wang, Omega-P, Inc., New Haven, Connecticut; J.L. Hirshfield, Yale University, Physics Department, New Haven, CT; T.C. Marshall, Columbia University, New York; V.P. Yakovlev, Omega-P, Inc., New Haven, Connecticut","Rectangular Dielectric-Lined Two-Beam Wakefield Accelerator Structure",
TPAE014,"T. Plettner, Stanford University, Stanford, Califormia; E.R. Colby, SLAC, Menlo Park, California; S. Sinha, J. Wisdom, Stanford University, Stanford, Califormia","Optical Phase Locking of Modelocked Lasers for Particle Accelerators",
TPAE015,"T. Plettner, R.M. Gaume, Stanford University, Stanford, Califormia; J.E. Spencer, SLAC, Menlo Park, California; J. Wisdom, Stanford University, Stanford, Califormia","Laser and Particle Guiding Micro-Elements for Particle Accelerators",
TPAE016,"M.E. Conde, S.P. Antipov, W. Gai, C.-J. Jing, R. Konecny, W. Liu, J.G. Power, H. Wang, Z.M. Yusof, ANL, Argonne, Illinois","The Argonne Wakefield Accelerator Facility: Status and Recent Activities",
