RPPA23,"M. Munoz, D. B. Beltran, ALBA, Bellaterra (Cerdanyola del Vallès)","Initial Design of a Global Fast Orbit Feedback System for the ALBA Synchrotron",561 563,
RPPA25,"K. Rehlich, R. Rybnikov, R. Kammering, DESY, Hamburg","The Data Acquisition System (DAQ) of the FLASH Facility",564 566,
RPPA26,"S. F. Fukuta, MELCO SC, Tsukuba; Y. Kato, M. Kawase, H. Sakaki, H. Sako, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; S. S. Sawa, Total Support Systems Corporation, Tokai-mura, Naka-gun, Ibaraki; M. Sugimoto, Mitsubishi Electric Control Software Corp, Kobe; H. Yoshikawa, H. Takahashi, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken","Database for Control System of J-PARC 3 GeV RCS",567 569,
RPPA27,"J. Guyot, M. O. Ounsy, S. Pierre-Joseph Zephir, SOLEIL, Gif-sur-Yvette","Status of the TANGO Archiving System",570 572,
RPPA29,"T. Schmidt, A. Streun, D. Zimoch, J. T.M. Chrin, PSI, Villigen","A Feed-Forward Procedure to Counteract Orbit Distortions and Photon Beam Displacements from Insertion Device Operation at the SLS",573 575,
RPPA30,"A. M. Barker, W. P. Grice, W. Blokland, ORNL, Oak Ridge, Tennessee","Drift Compensation for the SNS Laserwire",576 578,
RPPA31,"P. Chu, SLAC, Menlo Park, California; C. H. Wang, Q. Gan, IHEP Beijing, Beijing","Construction and Application of Database for CSNS",579 581,
RPPA32,"Q. Gan, J. Liu, H. L. Shi, J. C. Wang, X. L. Wang, C. H. Wang, IHEP Beijing, Beijing","Energy Ramping in BEPCII",582 584,
RPPA33,"R. A. Katz, J. Morris, S. Binello, BNL, Upton, Long Island, New York","Search for a Reliable Storage Architecture for RHIC",585 587,
RPPA35,"M. Buttner, J. Lauener, K. Sigerud, M. Sobczak, N. Stapley, P. Charrue, CERN, Geneva","The DIAMON Project -- Monitoring and Diagnostics for the CERN Controls Infrastructure",588 590,
RPPA36,"A. Augustinus, L. S. Jirden, S. Kapusta, P. Rosinsky, P. Ch. Chochula, CERN, Geneva","Handling Large Data Amounts in ALICE DCS",591 593,
RPPA37,"B. Franksen, B. Kuner, T. Birke, BESSY GmbH, Berlin","Experiences: Configuration Management with a Generic RDB Data-Model",594 596,
RPPA38,"J. Chen, K. T. Hsu, S. Y. Hsu, K. H. Hu, C. H. Kuo, D. Lee, P. C. Chiu, NSRRC, Hsinchu","Fast Orbit Feedback System Upgrade in the TLS",597 599,
RPPA39,"C. Bravo, D. Maselli, G. Mazzitelli, T. Tonus, A. Camiletti, INFN/LNF, Frascati (Roma)","Accelerator Trouble Ticket",600 602,
RPPB01,"D. Manglunki, CERN, Geneva","The CERN Control Centre: Setting Standards for the 21st Century",603 605,
RPPB03,"R. Martini, K. Sigerud, N. Stapley, A. S. Suwalska, P. Sollander, CERN, Geneva","Alarms Configuration Management",606 608,
RPPB04,"M. Giannella, B. V. Horn, J. G. Patton, T. A. Pelaia, ORNL, Oak Ridge, Tennessee","SNS Logbook",609 611,
RPPB05,"N. Stapley, W. Sliwinski, CERN, Geneva","Applying Agile Project Management for Accelerator Controls Software",612 614,
RPPB06,"P. Chevtsov, Jefferson Lab, Newport News, Virginia","Device Control Tool for CEBAF Beam Diagnostics Software",615 617,
RPPB07,"M. Gonzalez-Berges, CERN, Geneva; K. D. Joshi, BARC, Mumbai; F. Varela, CERN, Geneva","The System Overview Tool of the Joint Controls Project (JCOP) Framework",618 620,
RPPB08,"M. G. Cherney, Y. N. Gorbunov, Creighton University, Omaha, NE; T. J. Humanic, B. S. Nilsen, J. Schley, Ohio State University, ; R. P. Thomen, Creighton University, Omaha, NE; D. Trusdale, Ohio State University, ; J. Fujita, Creighton University, Omaha, NE","The Development of Detector Alignment Monitoring System for the ALICE ITS",621 623,
RPPB10,"D. Bolkhovityanov, R. E. Kuskov, BINP SB RAS, Novosibirsk","Use of E-Logbook in VEPP-5 Control System",624 626,
RPPB11,"J. Liu, C. H. Wang, Y. H. Wang, Z. Zhao, X. H. Huang, IHEP Beijing, Beijing","EPICS CA Gateway Employment in the BEPCII Network",627 628,
RPPB13,"B. Khomenko, D. Kudryavtsev, H. Reymond, A. Rijllart, N. Trofimov, A. Raimondo, CERN, Geneva","The First Stage of the Post Mortem Analysis Software Used for the Hardware Commissioning of the LHC",629 631,
RPPB14,"A. Kosrmlj, R. Sabjan, I. Verstovsek, K. Zagar, G. Pajor, Cosylab, Ljubljana","Systematic Production of Beamline and Other Turnkey Control Systems",632 634,
RPPB15,"J. K. Kamenik, P. Kolaric, I. Verstovsek, Cosylab, Ljubljana","Management System Tailored to Research Institutes",635 637,
RPPB16,"A. Cianchi, INFN-Roma II, Roma; S. Fioravanti, E. Pace, INFN/LNF, Frascati (Roma)","SPARCbook: A New Electronic Book",638 640,
RPPB18,"J. S. Zielinski, LLNL, Livermore, California","NIF ICCS Test Controller for Automated & Manual Testing",641 643,
RPPB19,"S. Allison, S. Chevtsov, P. Emma, K. D. Kotturi, H. Loos, S. Peng, D. Rogind, T. Straumann, S. Zelazny, SLAC, Menlo Park, California","Electron Bunch Length Measurement for LCLS at SLAC",644 646,
RPPB20,"A. Buteau, M. O. Ounsy, G. Abeille, SOLEIL, Gif-sur-Yvette","A Graphical Sequencer for SOLEIL Beamline Acquisitions",647 649,
RPPB21,"A. Augustinus, M. Boccioli, P. Ch. Chochula, L. S. Jirden, G. De Cataldo, CERN, Geneva","Finite State Machines for Integration and Control in ALICE",650 652,
RPPB22,"W. Fu, D. P. Ottavio, T. D'Ottavio, BNL, Upton, Long Island, New York","Tracking Accelerator Settings",653 655,
RPPB23,"J. G. Patton, T. A. Pelaia, J. Galambos, ORNL, Oak Ridge, Tennessee","SCORE -- A Save, Compare, and Restore Application for Snapshotting Machine Settings",656 658,
RPPB24,"E. Tikhomolov, TRIUMF, Vancouver","Processing and Visualization of EPICS Data with MATLAB Applications",659 661,
RPPB25,"R. B. Nussbaumer, TRIUMF, Vancouver","Live Capfast Schematics in the ISAC Control System",662 664,
RPPB26,"G. S. Lawson, J. Munro, W. H. Strong, E. Williams, P. A. Gurd, ORNL, Oak Ridge, Tennessee","The New Soft-IOC-Based Alarm Handler at the Spallation Neutron Source",665 667,
RPPB27,"R. E. Battle, E. Danilova, R. L. Sangrey, E. Williams, J. Munro, ORNL, Oak Ridge, Tennessee","A Proposed Alarm Handling System Management Plan for SNS with Application to Target Control System",668 670,
RPPB28,"T. Birke, D. Faulbaum, BESSY GmbH, Berlin; M. G. Giacchini, INFN/LNL, Legnaro, Padova; D. Herrendörfer, P. Stange, R. Lange, BESSY GmbH, Berlin","BESSY Control System Administration and Analysis Tools",671 673,
RPPB29,"R. Baer, M. Schwickert, T. Fleck, GSI, Darmstadt","Requirements and Coherent Realization of the HICAT Control System Functionality for Test, Commissioning, and Operation",674 676,
RPPB30,"M. Giannella, G. W. Dodson, ORNL, Oak Ridge, Tennessee","The SNS Central Control Room, Design, and Operational Experience",99 98,
RPPB31,"I. Kozsar, J. H. Lewis, J. Serrano, P. Kennerley, CERN, Geneva","Distributed Timing Diagnostic Applications",677 679,
RPPB32,"C. J. Slominski, M. Bickley, Jefferson Lab, Newport News, Virginia","A MySQL-based Data Archiver: Preliminary Results",680 682,
RPPB34,"M. B. Cianciarulo, Purdue University, West Lafayette, Indiana; D. E.R. Quock, ANL, Argonne, Illinois","Global Search Tool for the Advanced Photon Source Integrated Relational Model of Installed Systems (IRMIS) Database",683 685,
RPPB35,"N. D. Arnold, D. E.R. Quock, ANL, Argonne, Illinois","Administration of Control Systems at the Advanced Photon Source Using Applications Organizing Index",686 688,
TOAA01,"J. L. Callas, Jet Propulsion Laboratory, Pasadena, California","Spirit and Opportunity: The Great Surface Exploration of Mars Keeps Going",46 46,
TOAA02,"R. Baer, M. Schwickert, T. Fleck, GSI, Darmstadt","Status of the Control System for HICAT at an Advanced Stage of Commissioning: Functions, Restrictions and Experiences",47 49,
TOAA03,"T. Hirono, N. Hosoda, M. Ishii, JASRI/SPring-8, Hyogo-ken; M. K. Kitamura, H. Maesaka, RIKEN Spring-8 Harima, Hyogo; T. Masuda, T. Matsushita, T. Ohata, JASRI/SPring-8, Hyogo-ken; Y. Otake, K. Shirasawa, RIKEN Spring-8 Harima, Hyogo; M. T. Takeuchi, R. Tanaka, A. Yamashita, JASRI/SPring-8, Hyogo-ken; T. Fukui, RIKEN, Hyogo","Status of the X-Ray FEL Control System at SPring-8",50 52,
TOAA04,"K. Rehlich, DESY, Hamburg","Status of the FLASH Free Electron Laser Control System",53 55,
TOAA05,"M. G. Abbott, K. A.R. Baker, T. M. Cobb, P. N. Denison, Diamond, Oxfordshire; A. J. Foster, OSL, Cambridge; P. Gibbons, I. J. Gillingham, A. Gonias, P. Hamadyk, Diamond, Oxfordshire; S. Hunt, AHB, Meisterschwanden; S. C. Lay, P. J. Leicester, Diamond, Oxfordshire; P. H. Owens, STFC/DL, Daresbury, Warrington, Cheshire; M. R. Pearson, U. K. Pederson, N. P. Rees, A. J. Rose, J. Rowland, E. L. Shepherd, S. J. Singleton, I. Uzun, M. T. Heron, Diamond, Oxfordshire","Implementation, Commissioning and Current Status of the Diamond Light Source Control System",56 58,
TOAB01,"U. Krause, W. Panschow, V. R.W. Schaa, W. Schiebel, P. Schuett, R. Baer, GSI, Darmstadt","The New FAIR Accelerator Complex at GSI: Project, Controls Challenges, and First Steps",59 61,
TOAB02,"M. Adachi, MELCO SC, Tsukuba; A. Akiyama, KEK, Ibaraki; S. F. Fukuta, S. H. Hatakeyama, MELCO SC, Tsukuba; H. Ikeda, JAEA, Ibaraki-ken; Y. I. Itoh, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; N. Kamikubota, KEK, Ibaraki; Y. Kato, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; T. Katoh, KEK, Ibaraki; M. Kawase, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; K. Kudo, T. Matsumoto, KEK, Ibaraki; S. Motohashi, Kanto Information Service (KIS), Accelerator Group, Ibaraki; H. Nakagawa, J.-I. Odagiri, KEK, Ibaraki; H. Sakaki, H. Sako, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; S. S. Sawa, Total Support Systems Corporation, Tokai-mura, Naka-gun, Ibaraki; G. B. Shen, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; M. S. Sugimoto, Mitsubishi Electric Control Software Corp, Kobe; T. Suzuki, JAEA, Ibaraki-ken; M. Takagi, Kanto Information Service (KIS), Accelerator Group, Ibaraki; H. Takahashi, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; Y. Takeuchi, KEK, Ibaraki; M. T. Tanaka, MELCO SC, Tsukuba; N. T. Tsuchiya, JAEA, Ibaraki-ken; N. Yamamoto, KEK, Ibaraki; S. Y. Yoshida, Kanto Information Service (KIS), Accelerator Group, Ibaraki; H. Yoshikawa, KEK/JAEA, Ibaraki-Ken","Current Status of the Control System for J-PARC Accelerator Complex",62 64,
TOAB03,"A. Augustinus, M. Boccioli, P. Ch. Chochula, CERN, Geneva; G. De Cataldo, INFN-Bari, Bari; S. Kapusta, CERN, Geneva; M. Nitti, INFN-Bari, Bari; P. Rosinsky, C. Torcato de Matos, L. W. Wallet, L. S. Jirden, CERN, Geneva","ALICE Control System -- Ready for LHC Operation",65 67,
TOAB04,"D. Sigg, LIGO Hanford Observatory, Richland","The LIGO Detectors Controls",68 70,
TOAB05,"F. Carbognani, EGO, Pisa","The Status of Virgo",71 73,
TOPA01,"A. J. Capel, N. J. Cook, A. M. Edwards, UKAEA Culham, Culham, Abingdon, Oxon; M. Greenwald, MIT/PSFC, Cambridge, Massachusetts; E. M. Jones, R. A. Layne, UKAEA Culham, Culham, Abingdon, Oxon; J. B. Lister, ITER, St Paul lez Durance; D. C. McDonald, M. W. Wheatley, J. W. Farthing, UKAEA Culham, Culham, Abingdon, Oxon","Data Management at JET with a Look Forward to ITER",74 78,
TOPA02,"J. Cai, E. S. McCrory, D. J. Nicklaus, T. B. Bolshakov, Fermilab, Batavia, Illinois","SDA Time Intervals",79 81,
TOPA03,"D. Dohan, ANL, Argonne, Illinois","The IRMIS Universal Component-Type Model",82 83,
TOPB01,"D. Anicic, A. C. Mezger, D. Vermeulen, T. Korhonen, PSI, Villigen","Upgrade Program of the PSI High Intensity Cyclotron",259 261,
TOPB02,"B. Guillerminet, F. Leroux, D. Molina, N. Ravenel, P. H. Moreau, EURATOM-CEA, St Paul Lez Durance","Improvement of Tore Supra Real Time Processing Capability Using Remote PCs",262 264,
TOPB03,"L. Pivetta, C. Scafuri, ELETTRA, Basovizza, Trieste","The Evolution of the ELETTRA Control System",265 267,
TOPB04,"A. Akiyama, N. Kamikubota, T. T. Nakamura, J.-I. Odagiri, M. Satoh, T. Suwada, N. Yamamoto, K. Furukawa, KEK, Ibaraki","Control System of the KEKB Accelerator Complex",268 270,
TPPA01,"H. Brand, D. B. Beck, GSI, Darmstadt","Control System Design Using LabVIEW Object Oriented Programming",84 86,
TPPA03,"M. D. Dutour, CERN, Geneva","Software Factory Techniques Applied to Process Control at CERN",87 89,
TPPA04,"P. Charrue, P. Gajewski, V. Kain, K. Kostro, G. Kruk, S. T. Page, M. P. Peryt, CERN, Geneva; A. D. Petrov, S. R. Gysin, Fermilab, Batavia, Illinois","Role-Based Access Control for the Accelerator Control System at CERN",90 92,
TPPA05,"M. L. Cromaz, C. A. Lionberger, LBNL, Berkeley, California","Control of Acquisition and Cluster-Based Online Processing of GRETINA Data",93 95,
TPPA06,"Y. Kato, H. Sako, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; S. Sato, JAEA/LINAC, Ibaraki-ken; G. B. Shen, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken","EPICS-Based Control System for Beam Diagnostics of J-PARC LINAC",96 98,
TPPA07,"P. Chu, SLAC, Menlo Park, California; C. H. Wang, Q. Gan, IHEP Beijing, Beijing","The Development Plan of High Level Applications for CSNS",99 101,
TPPA08,"P. Chu, SLAC, Menlo Park, California; T. A. Pelaia, A. P. Shishlo, ORNL, Oak Ridge, Tennessee","Java Swing-Based Plotting Package Residing Within XAL",102 104,
TPPA09,"T. A. Pelaia, ORNL, Oak Ridge, Tennessee","XAL Application Framework and Bricks GUI Builder",105 107,
TPPA10,"T. M. Cobb, P. N. Denison, N. P. Rees, Diamond, Oxfordshire","Development of Photon Beamline and Motion Control Software at Diamond Light Source",108 110,
TPPA12,"S. R. Gysin, C. L. Schumann, A. D. Petrov, Fermilab, Batavia, Illinois","User Authentication for Role-Based Access Control",111 113,
TPPA13,"S. Chevtsov, D. Fairley, C. Larrieu, J. Rock, D. Rogind, G. R. White, S. Zelazny, P. Chu, SLAC, Menlo Park, California","High-level Application Framework for LCLS",114 116,
TPPA14,"Y. Z. Chen, Z. C. Chen, D. K. Liu, W. M. Zhou, Y. B. Leng, SINAP, Shanghai","Scope-Embedded IOC Development in SSRF",117 119,
TPPA16,"K. Furukawa, J.-I. Odagiri, N. Yamamoto, T. T. Nakamura, KEK, Ibaraki","Development of the Software Tools Using Python for EPICS-Based Control System",120 122,
TPPA18,"T. Fukui, RIKEN Spring-8, Hyogo; T. Ohata, T. Masuda, JASRI/SPring-8, Hyogo-ken","Application of a Virtualization Technology to VME Controllers",123 125,
TPPA19,"R. Bacher, P. Duval, P. K. Bartkiewicz, DESY, Hamburg","The Run-Time Customization of Java Rich Clients with the COMA Class",126 128,
TPPA20,"A. J. Green, University of Cambridge, Cambridge; K. Zagar, Cosylab, Ljubljana; L. Zambon, ELETTRA, Basovizza, Trieste; M. Pelko, Cosylab, Ljubljana","Canone -- A Highly-Interactive Web-Based Control System Interface",129 131,
TPPA21,"A. Barbalace, Consorzio RFX, Euratom ENEA Association, Padova; T. W. Fredian, MIT, Cambridge, Massachusetts; A. Luchetta, Consorzio RFX, Euratom ENEA Association, Padova; J. A. Stillerman, MIT/PSFC, Cambridge, Massachusetts; C. Taliercio, G. Manduchi, Consorzio RFX, Euratom ENEA Association, Padova","MDSplus Real-Time Data Access in RTAI",132 134,
TPPA22,"A. Augustinus, P. Ch. Chochula, L. S. Jirden, L. W. Wallet, CERN, Geneva","Standard Device Control via PVSS Object Libraries in ALICE",135 137,
