fra001,"M. Boyes, SLAC, Menlo Park, California; T. A. Pelaia, ORNL, Oak Ridge, Tennessee","Introducing CAML II",922 924,
tup101,"G. Chiozzi, ESO, Garching bei Muenchen; J. A. Avarias, NRAO, Socorro, New Mexico; A. Caproni, ESO, Garching bei Muenchen; R. Cirami, INAF-OAT, Trieste; A. Grimstrup, University of Calgary, NW Calgary, Alberta; A. A. Hoffstadt, UTFSM, Valparaíso; B. Jeram, ESO, Garching bei Muenchen; J. S. Lopez, UTFSM, Valparaíso; J. Schwarz, ESO, Garching bei Muenchen; M. Sekoranja, Cosylab, Ljubljana; H. Sommer, ESO, Garching bei Muenchen; N. Troncoso, ALMA, Joint ALMA Observatory, Santiago; H. Yatagai, NAOJ, Tokyo","ALMA Common Software (ACS), Status and Development",313 315,
tup103,"O. Gutzwiller, H. J. Burckhart, CERN, Geneva; V. Filimonov, PNPI, Gatchina, Leningrad District; S. Franz, CERN, Geneva; V. Khomutnikov, PNPI, Gatchina, Leningrad District; L. Sargsyan, YerPhI, Yerevan; S. Schlenker, CERN, Geneva","Status of the ATLAS Detector Control System and Common Infrastructure Control System",316 318,
tup104,"L. R. Dalesio, G. Carcassi, D. Dohan, BNL, Upton, Long Island, New York; L. R. Doolittle, LBNL, Berkeley, California; N. Malitsky, BNL, Upton, Long Island, New York; A. Ratti, LBNL, Berkeley, California; G. B. Shen, Y. Tian, BNL, Upton, Long Island, New York","NSLS II Control System",319 321,
tup105,"M. Lonza, A. Abrami, F. Asnicar, L. Battistello, R. Borghes, V. Chenda, S. Cleva, G. Del Prete, M. F. Dos Santos, S. Fontanini, G. Gaio, F. Giacuzzo, R. Marizza, R. Passuello, L. Pivetta, M. Pugliese, C. Scafuri, G. Scalamera, G. Strangolino, D. Vittor, L. Zambon, ELETTRA, Basovizza","The Control System of the FERMI@Elettra Free Electron Laser",322 324,
tup106,"M. Gourber-Pace, G. Kruk, M. Misiowiec, CERN, Geneva","Status Report of the Measurement Service for the CERN Accelerator Logging",325 327,
tup107,"R. Baer, U. Krause, V. RW. Schaa, W. Schiebel, M. Thieme, GSI, Darmstadt","Development of a New Control System for the FAIR Accelerator Complex at GSI",328 330,
tup108,"Y. Sato, A. Agari, E. Hirose, M. Ieiri, Y. Katoh, A. Kiyomichi, M. Minakawa, R. Muto, M. Naruki, KEK, Tsukuba; H. Noumi, RCNP, Osaka; S. Sawada, Y. Shirakabe, Y. Suzuki, H. Takahashi, M. Takasaki, K. H. Tanaka, A. Toyoda, H. Watanabe, Y. Yamanoi, KEK, Tsukuba","Control System for J-PARC Hadron Experimental Facility",331 333,
tup109,"I. Gertz, A. Abramson, I. Mardor, A. Perry, Soreq NRC, Yavne; C. Piel, RI Research Instruments GmbH, Bergisch Gladbach; L. Weissman, Soreq NRC, Yavne","Present Status of SARAF Control System",334 336,
tup110,"A. Winter, D. J. Campbell, Y. Gribov, W.-D. Klotz, L. Scibile, J. Snipes, A. Wallander, I. Yonekawa, ITER, St Paul lez Durance","Conceptual Design of the ITER Plasma Control System",337 339,
tup111,"A. Papanestis, STFC/RAL, Chilton, Didcot, Oxon","The LHCb RICH Detector Control System.",340 342,
wea001,"J. M. Caicedo Carvajal, N. Neufeld, R. Stoica, CERN, Geneva","Bringing the Power of Dynamic Languages to Hardware Control Systems",358 360,
wea002,"V. H. Gyurjyan, D. Abbott, W. G. Heyes, E. Jastrzembski, C. Timmer, E. J. Wolin, JLAB, Newport News, Virginia","Ontology Language to Support Description of Experiment Control System Semantics, Collaborative Knowledge-Base Design, and Ontology Reuse",361 363,
wea003,"A. N. Johnson, ANL, Argonne; R. Lange, Helmholtz-Zentrum Berlin für Materialien und Energie GmbH, Elektronen-Speicherring BESSY II, Berlin","Evolutionary Plans For EPICS Version 3",364 366,
wea004,"J. P. Wozniak, S. Deghaye, G. Kruk, CERN, Geneva","New Wave of Component Reuse with Spring Framework - AP Case Study",367 369,
wea005,"S. Binello, T. D'Ottavio, J. S. Laster, D. P. Ottavio, BNL, Upton, Long Island, New York","Monitoring Applications Once They Are in the User Community",370 372,
wea006,"J. A. Avarias, NRAO, Socorro, New Mexico; G. Chiozzi, H. Sommer, ESO, Garching bei Muenchen","Data Distribution Service as an Alternative to CORBA Notify Service of the ALMA Common Software",373 375,
web002,"P. Alvarez, M. Cattin, J. H. Lewis, J. Serrano, T. Wlostowski, CERN, Geneva","FPGA Mezzanine Cards for CERN's Accelerator Control System",376 378,
web003,"L. R. Doolittle, A. Ratti, C. Serrano, A. Vaccaro, LBNL, Berkeley, California","ORION Gateway Design for Feedback Controls Connectivity",379 381,
web004,"J. A. Stillerman, W. Burke, B. Labombard, MIT/PSFC, Cambridge, Massachusetts","Sub-sample Time-base Resolution in a Heterogeneous Distributed Data Acquisition Environment",382 384,
web005,"Y. Tian, L. R. Dalesio, G. Ganetis, W. Louie, J. Riciardelli, BNL, Upton, Long Island, New York","Power Supply Control System of NSLS-II",385 387,
web006,"S. Simrock, DESY, Hamburg; L. Butkowski, TUL-DMCS, Lodz; K. Czuba, Warsaw University of Technology, Institute of Electronic Systems, Warsaw; M. K. Grecki, DESY, Hamburg; W. Jalmuzna, TUL-DMCS, Lodz; T. Jezynski, W. Koprek, DESY, Hamburg; D. R. Makowski, A. Piotrowski, TUL-DMCS, Lodz","Demonstration of an ATCA Based LLRF Control System at FLASH",388 390,
wec001,"E. Carlier, A. Antoine, C. Chanavat, B. Goddard, V. Kain, N. Magnin, J. A. Uythoven, N. Voumard, CERN, Geneva","Commissioning of the Control System for the LHC Beam Dump Kicker Systems",391 393,
wec002,"K. L. Mahoney, H. P. Robertson, JLAB, Newport News, Virginia","Jefferson Lab IEC 61508/61511 Safety PLC Based Safety System",394 396,
wec003,"D. Fernandez-Carreiras, D. B. Beltran, J. Klora, O. Matilla, R. Montano, M. Niegowski, R. Ranz, A. Rubio, S. Rubio-Manrique, CELLS-ALBA Synchrotron, Cerdanyola del Vallès","Alba, the PLC Based Protection Systems",397 399,
wec004,"P. Ninin, CERN, Geneva","IEC 61508 Experience for the Development of the LHC Functional Safety Systems and Future Perspectives",400 402,
wec005,"L. Scibile, J. Y. Journeaux, W.-D. Klotz, A. Wallander, I. Yonekawa, ITER, St Paul lez Durance","An Overview of the ITER Central Interlock and Safety Systems",403 405,
wec006,"H. Nakagawa, A. Akiyama, KEK, Ibaraki; Y. Kato, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; J.-I. Odagiri, KEK, Ibaraki","The Accelerator Protection System Based on Embedded EPICS for J-PARC",406 408,
wed001,"A. Masi, R. Losito, S. Redaelli, CERN, Geneva","Measured Performance of the LHC Collimators Low Level Control System",612 614,
wed002,"Y. Furukawa, K. Hasegawa, JASRI/SPring-8, Hyogo-ken; D. Maeda, G. Ueno, RIKEN Spring-8 Harima, Hyogo","Development of a Remote Experiment Control System",615 617,
wed003,"T. Yamamoto, NIFS, Gifu; K. Hiraki, IST, Tokyo; S. Ishiguro, Y. Nagayama, H. Nakanishi, S. Okamura, S. Takami, NIFS, Gifu","Progress of the Virtual Laboratory for Fusion Researches in Japan",618 620,
wed004,"G. Liu, N. Neufeld, CERN, Geneva","Management of the LHCb Online Network Based on SCADA System",621 623,
wed005,"R. Schwemmer, N. Neufeld, CERN, Geneva","Implementing High Availability with COTS Components and Open-source Software",624 626,
wed006,"T. Sugimoto, M. I. Ishii, T. Ohata, T. Sakamoto, R. Tanaka, JASRI/SPring-8, Hyogo-ken","Upgrade Of The Spring-8 Control Network For Integration Of Xfel",627 629,
wep001,"J. I. Nicoloso, J. J. Dupas, CEA, Arpajon; J. C. Picon, F. P. Signol, CESTA, Le Barp","Configuration and Sequencing Tools for the LMJ Control System",409 410,
wep002,"Z. Zhao, S. Liu, C. H. Wang, IHEP Beijing, Beijing","BEPCII EPICS Data Archiving and Retrieving System",411 413,
wep004,"D. E.R. Quock, ANL, Argonne","Web Services for APS Control Systems Relational Database Software: Tying It All Together",99 98,
wep005,"C. Roderick, R. Billen, R. D. Gaspar Aparicio, E. B. Grancher, A. Khodabandeh, N. Segura Chinchilla, CERN, Geneva","The LHC Logging Service: Handling Terabytes of On-line Data",414 416,
wep006,"C. Roderick, R. Billen, CERN, Geneva","The LSA Database to Drive the Accelerator Settings",417 419,
wep007,"M. Peryt, M. Martin Marquez, CERN, Geneva","FESA 3.0: Overcoming the XML/RDBMS Impedance Mismatch",420 422,
wep009,"D. B. Beltran, I. Costa, D. Fernandez-Carreiras, J. V. Gigante, J. Klora, V. Prat, R. Ranz, J. Ribas, S. Rubio-Manrique, A. Ruz, O. Sanchez, CELLS-ALBA Synchrotron, Cerdanyola del Vallès","ALBA Control & Cabling Database",423 425,
wep010,"S. Rubio-Manrique, CELLS-ALBA Synchrotron, Cerdanyola del Vallès; M. Ounsy, S. Pierre-Joseph Zephir, SOLEIL, Gif-sur-Yvette; G. Strangolino, ELETTRA, Basovizza","Validation of a MySQL-based Archiving System for ALBA Synchrotron",426 428,
wep011,"S. G. Azevedo, R. G. Beeler, R. C. Bettenhausen, E. J. Bond, P. W. Edwards, S. M. Glenn, J. A. Liebman, J. D. Tappero, A. L. Warrick, W. H. Williams, LLNL, Livermore, California","Automated Experimental Data Analysis at the National Ignition Facility",429 431,
wep012,"T. G. Lee, S. Lee, M. K. Park, NFRI, Daejeon","Application of MDSplus for the Management of the Pulsed-based Experimental Data in KSTAR Tokamak",99 98,
wep013,"T. T. Nakamura, KEK, Ibaraki","Application of a Simple Text Format as a Device Configuration File",432 434,
wep014,"S. E. Karnaev, D. Bolkhovityanov, P. B. Cheblakov, Y. I. Eidelman, A. V. Makeev, BINP SB RAS, Novosibirsk","Two-level Channel Model in Three-level Control System",99 98,
wep015,"E. J. Divall, M. T. Gleaves, K. Hayrapetyan, A. Kidd, L. Lerusse, V. A. Marshall, S. Nagella, D. Neely, M. M. Notley, A. A. Pakhira, L. Sastry, STFC/RAL, Chilton, Didcot, Oxon","Grid-enabling the Astra Gemini Laser Data",435 437,
wep017,"T. Ohata, Y. Furukawa, JASRI/SPring-8, Hyogo-ken; T. Hatsui, RIKEN/SPring-8, Hyogo; T. Hirono, JASRI/SPring-8, Hyogo-ken; T. Ishikawa, RIKEN/SPring-8, Hyogo; R. Tanaka, JASRI/SPring-8, Hyogo-ken; M. Yabashi, RIKEN/SPring-8, Hyogo; A. Yamashita, JASRI/SPring-8, Hyogo-ken","Design of an XFEL Beamline DAQ System",438 440,
wep018,"A. Vergara-Fernández, B. Bellesia, CERN, Geneva; C. Fernandez-Robles, A. Marqueta Barbero, IBERINCO, Madrid; M. Pojer, A. Rijllart, R. I. Saban, R. Schmidt, M. Solfaroli Camillocci, J. Szkutnik, M. Zerlauth, CERN, Geneva","Software Applications for the Commissioning of the LHC Superconducting Circuits",99 98,
wep019,"T. L. Larrieu, JLAB, Newport News, Virginia","Crawling the Control System",441 443,
wep020,"Y. Ishizawa, A. Yamashita, JASRI/SPring-8, Hyogo-ken","Life Cycle Management System for Accelerator Equipment",444 446,
wep021,"C. J. Slominski, M. Bickley, JLAB, Newport News, Virginia","A MySQL Based EPICS Archiver",447 449,
wep022,"H. Takahashi, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; H. Sakaki, JAEA, Kyoto; M. Sugimoto, Mitsubishi Electric Control Software Corp, Kobe; H. Yoshikawa, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken","Timing Delay Management Database for J-PARC Linac and RCS",450 452,
wep023,"T. Ohshima, N. Hosoda, H. Maesaka, S. Matsubara, Y. Otake, RIKEN/SPring-8, Hyogo; M. Yamaga, JASRI/SPring-8, Hyogo-ken","Correction of Phase and Amplitude Error of RF Modulator and Demodulator",453 455,
wep024,"K. Datta, S. Bandyopadhyay, DAE/VECC, Calcutta; S. Bhagwat, BARC, Mumbai; C. Datta, D. Sarkar, DAE/VECC, Calcutta","Development of Microcontroller-based Computer Interface Board and Local Display Unit for Steering Magnet Power Supplies",99 98,
wep025,"G. Lei, W. Gao, G. Li, L. Wang, G. X. Xu, IHEP Beijing, Beijing","BEPCII Timing System",456 458,
wep026,"B. Kalantari, T. Korhonen, PSI, Villigen","Design and Implementation of a Full-featured Distributed Synchronization System Using Commercial Hardware",459 461,
wep027,"M. Pieck, J. O. Hill, J. F. Power, LANL, Los Alamos, New Mexico","System Integration Effort on MagViz a Liquid Explosive Detection Device",462 464,
wep028,"M. I. Ishii, T. Ohata, JASRI/SPring-8, Hyogo-ken","Development of a Multi Functional Unit: Blanc4",465 467,
wep031,"A. F. Pietryla, A. E. Grelick, W. E. Norum, ANL, Argonne","Development of a New Phase Detector for the APS Linac",468 470,
wep032,"D. B. Beltran, F. Becheri, D. Fernandez-Carreiras, J. V. Gigante, J. Klora, L. Krause, M. Lipinsky, CELLS-ALBA Synchrotron, Cerdanyola del Vallès","PCI/cPCI Interface for PSI Power Supply Controller",471 473,
wep033,"R. H. Olsen, D. M. Gassner, L. T. Hoff, BNL, Upton, Long Island, New York","Using an IIDC/DCAM Camera for Beam Display and Analysis",474 476,
wep034,"O. A. Plotnikova, V. Y. Chudaev, S. E. Karnaev, BINP SB RAS, Novosibirsk","Application of VEPP-4M Database for Analysis Radiation Resistance of Temperature Sensors on Base DS1631Z",99 98,
wep036,"S. Kusano, MELCO SC, Tsukuba; K. Furukawa, KEK, Ibaraki; T. Kudou, MELCO SC, Tsukuba; M. Satoh, KEK, Ibaraki","Development of Software for Event System in KEK Linac",99 98,
wep037,"A. Uchiyama, SHI Accelerator Service ltd., Tokyo; M. Fujimaki, M. Komiyama, RIKEN Nishina Center, Wako; J.-I. Odagiri, KEK, Ibaraki; H. Yamauchi, SHI Accelerator Service Ltd., Tokyo","Implementation of PIC-based Embedded I/O Controller with EPICS for RILAC Control System",477 479,
wep038,"H. Kleines, M. Drochner, W. Erven, M. Ramm, FZJ, Jülich","CompactPCI Express for Control Applications",480 482,
wep039,"D. H. Thompson, ORNL, Oak Ridge, Tennessee; D. Curry, ORNL RAD, Oak Ridge, Tennessee; J. Dedic, Cosylab, Ljubljana","Timing System Upgrade for SNS",483 485,
wep043,"G. Di Pirro, INFN/LNF, Frascati (Roma); A. Cianchi, Università di Roma II Tor Vergata, Roma; D. Filippetto, S. Fioravanti, E. Pace, INFN/LNF, Frascati (Roma)","The Camera Acquisition System in the SPARC Control System",486 488,
wep044,"L. Shaw, ZTEC Instruments, Albuquerque","LXI Instrumentation, with EPICS IOCs, for Remote Waveform Monitoring & Analysis",99 98,
wep045,"P. Gessler, DESY, Hamburg; C. Bohm, A. Hidvegi, Stockholm University, Stockholm; K. Rehlich, DESY, Hamburg","A Pico-Second Stable Clock and Trigger Distribution System for the European XFEL",489 491,
wep046,"T. Otake, T. Fukui, RIKEN/SPring-8, Hyogo; T. Ohata, JASRI/SPring-8, Hyogo-ken; T. Tanaka, RIKEN Spring-8 Harima, Hyogo","Development of Undulator Control System for XFEL/SPring-8",492 494,
wep047,"T. Aoyama, MELCO SC, Tsukuba; K. Furukawa, N. Iida, KEK, Ibaraki; T. Nakamura, MELCO SC, Tsukuba; M. Satoh, KEK, Ibaraki; K. Yoshii, MELCO SC, Tsukuba","Upgrade of Readout System for Beam Position Monitors in the KEKB Beam Transport Line",495 497,
wep049,"K.-H. Park, S.-H. Jeong, Y.-G. Jung, PAL, Pohang, Kyungbuk; B.-K. Kang, POSTECH, Pohang, Kyungbuk; D. E. Kim, PAL, Pohang, Kyungbuk; K. R. Kim, KAERI, Daejon; W. W. Lee, Y. G. Young-Gyu, PAL, Pohang, Kyungbuk","Digitally Controlled Magnet Power Supply",99 98,
wep050,"D. R. Makowski, W. Cichalewski, G. W. Jablonski, W. Jalmuzna, TUL-DMCS, Lodz; W. Koprek, DESY, Hamburg; A. Piotrowski, TUL-DMCS, Lodz; S. Simrock, DESY, Hamburg","Survey of Communication Links for ATCA in Physics",498 500,
wep051,"T. Jezynski, M. K. Grecki, DESY, Hamburg; W. Jalmuzna, TUL-DMCS, Lodz; W. Koprek, DESY, Hamburg; D. R. Makowski, TUL-DMCS, Lodz; S. Simrock, DESY, Hamburg","Acquisition of Analog Signals in ATCA based LLRF Control System for X-FEL",99 98,
wep052,"D. Bertwistle, E. Matias, M. McKibben, CLS, Saskatoon, Saskatchewan","Experience with Motion Control Systems at the Canadian Light Source",501 503,
wep053,"F. Gougnaud, P. Mattei, CEA, Gif-sur-Yvette","The First Steps of the Beam Intensity Measurement of the Spiral2 Injector",504 506,
wep054,"G. Renaud, G. Abeille, E. Elkaim, E. Fonda, F. Langlois, J. Malik, SOLEIL, Gif-sur-Yvette","Continuous Scan at Synchrotron Soleil",507 509,
wep056,"R. I. Farnsworth, ASCo, Clayton, Victoria","Motion Controls Using EPICS and Galil Controllers",99 98,
wep057,"V. B. Ukey, A. P. Bhagwat, SAMEER, Mumbai","Control System for SIDDHARTH Medical Linear Accelerator",99 98,
wep058,"D. C. Williams, ORNL, Oak Ridge, Tennessee","The SNS Vacuum Control System Upgrade for the Superconducting Linac",510 512,
wep059,"M. Pezzetti, B. Bradu, P. Gayet, J. Vasseur, CERN, Geneva","Helium Cryoplant Off-line Commissioning and Operator Training: Two Applications of the PROCOS Simulation System at CERN",513 515,
wep060,"M. Pezzetti, CERN, Geneva; H. Coppier, ESIEE, Amiens; D. O. Tavares, CERN, Geneva","Advanced Control Facility for the Cern-Unicos Framework",516 518,
wep061,"P. Gomes, E. Blanco, J. Casas, C. Fluder, E. Fortescue-Beck, P. Le Roux, G. Penacoba, M. Pezzetti, M. Soubiran, A. Tovar, L. Zwalinski, CERN, Geneva","The Control System for the Cryogenics in the LHC Tunnel [ First Experience and Improvements ]",519 521,
wep062,"O. Barana, P. Agostinetti, P. Barbato, M. Boldrin, M. Breda, F. Fantini, F. Fellin, A. Luchetta, M. Moressa, W. Rigato, A. Rizzolo, C. Taliercio, Consorzio RFX, Associazione Euratom-ENEA sulla Fusione, Padova","Analysis of the Control System of ICE, the Insulation and Cooling Test Facility for the Development of the ITER Neutral Beam Injector",522 524,
wep063,"V. N. Boriskin, NSC/KIPT, Kharkov; A. S. Chepurnov, I. V. Gribov, MSU, Moscow; A. A. Sarvilov, A. N. Savchenko, NSC/KIPT, Kharkov; A. F. Shamarin, Marathon Ltd., Moscow; D. L. Stepin, G. N. Tsebenko, V. N. Vereshchaka, NSC/KIPT, Kharkov","Control Power Supply System for Electromagnetic Elements for Tehnological Linac",99 98,
wep064,"D. R. Monnier-Bourdin, GreenField Technology, Breuillet; T. F. Debelle, M. M. Ravindran, National Instruments, Austin","Commercial-Off-The-Shelf Technologies for Picosecond Timing and Synchronization",525 527,
wep065,"J. Schipper, B. Bleus, C. Boucly, E. Carlier, T. Fowler, H. Gaudillet, R. Noulibos, L. Sermeus, CERN, Geneva","The Low-Level Control System for the CERN PS Multi-Turn Extraction Kickers",528 530,
wep066,"A. Al-Adwan, SESAME, Allan","SESAME Microtron Control System Upgrade",99 98,
wep067,"U. Berges, S. Doering, DELTA, Dortmund; F. Enz, ENZ, Berlin; M. Schmidt, DELTA, Dortmund","EPICS at Soft X-Ray Beamlines at DELTA",99 98,
wep068,"J. Y. Tang, S. M. Hartman, ORNL, Oak Ridge, Tennessee; L. A. Longcoy, ORNL RAD, Oak Ridge, Tennessee","SNS Injection and Extraction Kicker Waveform Verification and Machine Protection",531 533,
wep069,"S. I. Inoue, RIKEN/SPring-8, Hyogo; H. Ego, JASRI/SPring-8, Hyogo-ken; H. Maesaka, S. Matsubara, Y. Otake, RIKEN/SPring-8, Hyogo; A. Yamashita, K. Yanagida, JASRI/SPring-8, Hyogo-ken","Beam Monitor System Controller for XFEL/SPring-8",534 536,
wep070,"S. Motohashi, Kanto Information Service (KIS), Accelerator Group, Ibaraki; D. A. Arakawa, Y. Hashimoto, N. Kamikubota, H. Nakagawa, J.-I. Odagiri, KEK, Ibaraki; M. Takagi, Kanto Information Service (KIS), Accelerator Group, Ibaraki; T. Toyama, S. Yamada, N. Yamamoto, KEK, Ibaraki","Data Acquisition System of Beam Loss Monitors of the J-PARC Main Ring",537 539,
wep071,"V. Gupta, KCB Technical Academy, Indore; G. Mishra, Devi Ahilya University, Indore","Three Frequency Undulator Radiation FEL Gain of Betatron Oscillations and Beam Energy Spread",99 98,
wep072,"C. Y. Wu, J. Chen, K. T. Hsu, S. Y. Hsu, K. H. Hu, D. Lee, NSRRC, Hsinchu","New Control System for the EPU 4.6",540 542,
wep073,"H. Wu, P. K. Bartkiewicz, I. Krouptchenkov, G. Kube, F. Schmidt-Foehre, F. Wedstein, J. Wilgen, DESY, Hamburg","Control System Integration of the PETRA III BPM System based on Libera Brilliance",543 545,
wep074,"T. Nakamura, MELCO SC, Tsukuba; K. Furukawa, T. T. Nakamura, J.-I. Odagiri, KEK, Ibaraki","Upgrading the Control System of the Movable Masks for KEKB",546 548,
wep076,"M. Takagi, Kanto Information Service (KIS), Accelerator Group, Ibaraki; N. Kamikubota, A. Kiyomichi, S. Murasugi, R. Muto, H. Nakagawa, J.-I. Odagiri, K. Okamura, Y. Shirakabe, M. Tomizawa, N. Yamamoto, KEK, Ibaraki","Control of the J-PARC Slow Extraction Line Based on Embedded EPICS",549 551,
wep077,"L. S. Jirden, A. Augustinus, M. Boccioli, P. Ch. Chochula, L. Wallet, CERN, Geneva","Device Control in ALICE",552 554,
wep078,"A. Veeramani, National Instruments, Austin; E. Bjorklund, LANL, Los Alamos, New Mexico; T. F. Debelle, National Instruments, Austin","Using EPICS Enabled Industrial Hardware for Upgrading Control Systems",555 557,
wep079,"Z.-D. Tsai, J.-C. Chang, J.-R. Chen, C. H. Kuo, J.-M. Lee, NSRRC, Hsinchu","Integrated Control and Archive System for Utility Facility",99 98,
wep080,"U. R. Ristau, EMBL, Hamburg","The EMBL Sample Changer Pipeline",99 98,
wep081,"I. Sgura, INFN-Bari, Bari; G. De Cataldo, CERN, Geneva; C. Dell'Olio, Università e Politecnico di Bari, Bari; A. Franco, INFN-Bari, Bari; U. Fratino, Università e Politecnico di Bari, Bari; P. Martinengo, CERN, Geneva; C. Pastore, INFN-Bari, Bari","A Programmable Logic Controller-Based System for the Recirculation of Liquid C6 F14 in the ALICE High Momentum Particle Identification Detector at the Large Hadron Collider",99 98,
wep082,"K. Mikawa, K. Furukawa, T. Mimashi, KEK, Ibaraki; T. Nakamura, MELCO SC, Tsukuba; J.-I. Odagiri, KEK, Ibaraki","Embedded EPICS Controller for KEKB Pulsed Quadrupole Magnet Power Supply",558 560,
wep083,"R. C. Lee, R. H. Olsen, K. L. Unger, BNL, Upton, Long Island, New York","Trials, Tribulations, and Pitfalls Using Commercial Instruments for Data Acquisition",561 563,
wep084,"M. Acar, E. Blanco, D. Martin-Gomez, J. P. Palluel, CERN, Geneva","Remote Controls for the Active Alignment System of the LHC Low Beta Quadrupoles",564 566,
wep085,"A. Abramson, I. Gertz, I. Mardor, A. Perry, Soreq NRC, Yavne; C. Piel, RI Research Instruments GmbH, Bergisch Gladbach","The National Instruments Based SARAF Main Control System",99 98,
wep086,"M. Satoh, K. Furukawa, KEK, Ibaraki; T. Kudou, S. Kusano, MELCO SC, Tsukuba; T. Suwada, KEK, Ibaraki","EPICS IOC of WindowsXP-based Oscilloscope for Fast BPM Data Acquisition System",567 569,
wep087,"D. Schmied, E. Burtin, J. M.C. Chaize, M. Hahn, I. Parat, M. Peru, P. V. Verdier, ESRF, Grenoble","A Different Way to Survey the ESRF Vacuum System",570 572,
wep088,"F. Ravotti, I. Atanassov, F. Lucas Rodriguez, J. Morant, P. Palazzi, CERN, Geneva","The TOTEM On-line Radiation Monitoring System",573 575,
wep089,"Y.-M. Abiven, J. Coquet, X. Deletoille, F. Dohou, P. Monteiro, R. P. Patrick, SOLEIL, Gif-sur-Yvette","Machine Protection and Interlock Systems at Synchrotron SOLEIL",576 578,
wep090,"S. K. Thakur, A. De, Y. Kumar, S. Saha, T. P. Tiwari, DAE/VECC, Calcutta","Development of Crowbar System for the Protection of High power Vacuum Tubes used for 240 KW, 3-Phi RF System for Superconducting Cyclotron at VECC",99 98,
wep091,"C. Saji, H. Hanaki, M. Kago, T. Masuda, T. Matsushita, H. Ohkuma, K. Soutome, S. Suzuki, M. Takao, R. Tanaka, M. Toko, H. Yonehara, JASRI/SPring-8, Hyogo-ken","Upgrade of the Accelerator Radiation Safety System for SPring-8",579 581,
wep092,"J. Yan, K. L. Mahoney, JLAB, Newport News, Virginia","New Beam Loss Monitor for 12 GeV Upgrade",582 584,
wep093,"S. R. Norum, S. Allison, S. Chevtsov, J. E. Dusatko, K. D. Kotturi, P. Krejcik, J. J. Olsen, T. Straumann, A. J. Tilghman, SLAC, Menlo Park, California","The Machine Protection System for the Linac Coherent Light Source",99 98,
wep094,"G. Bassato, A. Andrighetto, A. Battistella, L. Costa, M. G. Giacchini, INFN/LNL, Legnaro (PD); L. M. Li, CIAE, Beijing; G. P. Prete, J. A. Vasquez, INFN/LNL, Legnaro (PD)","Safety Requirements in the SPES Control System: Preliminary Design",585 587,
wep095,"O. A. Plotnikova, V. I. Kaplin, S. E. Karnaev, BINP SB RAS, Novosibirsk","Architecture of VEPP-4M Collider's Interlock System",99 98,
wep096,"M. Kago, JASRI/SPring-8, Hyogo-ken; Y. Asano, T. Fukui, T. Itoga, RIKEN/SPring-8, Hyogo; T. Matsushita, N. Nariyama, C. Saji, R. Tanaka, JASRI/SPring-8, Hyogo-ken","Design of the Accelerator Safety Interlock System for XFEL in SPring-8",588 590,
wep098,"P. Moreau, S. P. Bremond, J. Bucalossi, D. Douai, P. Hertout, Association EURATOM-CEA, St Paul Lez Durance; M. Lennholm, EFDA-JET, Abingdon, Oxon; F. Leroux, P. Pastor, N. Ravenel, F. Saint-Laurent, Association EURATOM-CEA, St Paul Lez Durance","Failure Mode And Recovery Strategies For The Operation Of The Tore Supra Tokamak",591 593,
wep099,"W. Sliwinski, P. Charrue, V. Kain, G. Kruk, CERN, Geneva","Management of Critical Machine Settings for Accelerators at CERN",594 596,
wep100,"X. J. Xu, J. H. Cai, K. M. Fang, C. Jun, X. Liu, J. H. Wang, X. Xia, J. Q. Xu, SINAP, Shanghai","The SSRF Radiation Safety Interlock System and its Applications",99 98,
wep101,"P. Golonka, M. Gonzalez-Berges, CERN, Geneva","Integrated Access Control for PVSS-based SCADA Systems at CERN",597 599,
wep102,"T. Ladzinski, Ch. Delamare, S. Di Luca, S. Grau, T. Hakulinen, L. Hammouti, F. Havart, J.-F. Juget, P. Ninin, R. Nunes, T. Pettersson, T. R. Riesco, E. Sanchez-Corral Mena, G. Smith, F. Valentini, CERN, Geneva","The LHC Access System",600 602,
wep103,"X. Liu, X. Xia, SINAP, Shanghai","Introduction of Radiation Monitor System for the Shanghai Synchrotron Radiation Facility",99 98,
wep105,"S. L. Kramer, W. R. Casey, P. K. Job, BNL, Upton, Long Island, New York","Beam Containment System for NSLS-II",99 98,
wep106,"M. E. Saleski, E. Carrone, SLAC, Menlo Park, California","Configuration Management Plan for Interlock Safety Systems at the Linac Coherent Light Source (LCLS)",99 98,
wep107,"P. A. Bong, E. Carrone, SLAC, Menlo Park, California","Linac Coherent Light Source Personnel Protection System Architecture",99 98,
wep108,"E. Matias, H. Zhang, M. S. de Jong, CLS, Saskatoon, Saskatchewan","Contribution of the CLS Control System to the CLS Accelerator System Reliability",603 605,
wep109,"X. Geng, S. M. Hartman, K.-U. Kasemir, ORNL, Oak Ridge, Tennessee","Alarm Rationalization: Practical Experience Rationalizing Alarm Configuration for an Accelerator Subsystem",606 608,
wep110,"B. Copy, CERN, Geneva","Standards Based Measurable Security for Embedded Devices",609 611,
