fraa01,"R. Paparella [INFN/LASA, Segrate (MI), Italy] ","Overview of Recent Tuner Development on Elliptical and Low-Beta Cavities",1425 1431,
mopb008,"T. Kubo [KEK, Ibaraki, Japan] ","Theoretical Field Limit and Cavity Surface Conditions: Nano-Scale Topography and Sub-millimeter Pit",86 89,
mopb009,"T. Kubo [KEK, Ibaraki, Japan] ","Model of Flux Trapping in Cooling Down Process",90 94,
mopb010,"W. Weingarten [Private Address, SERGY, France] R.G. Eichhorn [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Field-Dependent Surface Resistance for Superconducting Niobium Accelerating Cavities: The Case of N-Doping",95 99,
mopb011,"J.A. Robbins, R.G. Eichhorn [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","How Uniform Are Cool-Downs?",100 104,
mopb013,"J. May-Mann, R.G. Eichhorn [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Simulation of Geometry Dependent Flux Trapping",105 109,
mopb014,"M. Martinello, M. Checchin, A. Grassellino, O.S. Melnychuk, A. Romanenko, D.A. Sergatskov [Fermilab, Batavia, Illinois, USA] M. Checchin [Illinois Institute of Technology, Chicago, Illlinois, USA] J. Zasadzinski [IIT, Chicago, Illinois, USA] ","Magnetic Flux Expulsion in Horizontally Cooled Cavities",110 114,
mopb015,"M. Martinello, M. Checchin, A. Grassellino, O.S. Melnychuk, S. Posen, A. Romanenko, D.A. Sergatskov [Fermilab, Batavia, Illinois, USA] M. Checchin [Illinois Institute of Technology, Chicago, Illlinois, USA] J. Zasadzinski [IIT, Chicago, Illinois, USA] ","Trapped Flux Surface Resistance Analysis for Different Surface Treatments",115 119,
mopb018,"M. Wang, T.R. Bieler, D. Kang [Michigan State University, East Lansing, Michigan, USA] C. Compton [FRIB, East Lansing, Michigan, USA] D.C. Larbalestier, A. Polyanskii, Z-H. Sung [ASC, Tallahassee, Florida, USA] P.J. Lee [NHMFL, Tallahassee, Florida, USA] ","Introduction of Precisely Controlled Microstructural Defects into SRF Cavity Niobium Sheets and Their Impact on Local Superconducting Properties",120 124,
mopb019,"O. Kugeler, J. Knobloch, J.M. Köszegi [HZB, Berlin, Germany] A. Grassellino, O.S. Melnychuk, A. Romanenko, D.A. Sergatskov [Fermilab, Batavia, Illinois, USA] ","Horizontal Testing and Thermal Cycling of an N-Doped Tesla Type Cavity",125 128,
mopb020,"M. Checchin, A. Grassellino, M. Martinello, A. Romanenko [Fermilab, Batavia, Illinois, USA] M. Martinello [Illinois Institute of Technology, Chicago, Illlinois, USA] J. Zasadzinski [IIT, Chicago, Illinois, USA] ","Mean Free Path Dependence of the Trapped Flux Surface Resistance",129 134,
mopb023,"M. Fouaidy, F. Dubois, D. Longuevergne, O. Pochon, J.-F. Yaniche [IPN, Orsay, France] ","Detectors Sensing Second Events Induced by Thermal Quenches of SRF Cavities in He II",135 139,
mopb024,"R.A. Kostin, A. Kanareykin [Euclid TechLabs, LLC, Solon, Ohio, USA] I.V. Gonin [Fermilab, Batavia, Illinois, USA] E.N. Zaplatin [FZJ, Jülich, Germany] ","SRF Cavity Breakdown Calculation Procedure Using FEA-Software",140 143,
mopb027,"A. Vostrikov, A. Grassellino, A. Romanenko [Fermilab, Batavia, Illinois, USA] L. Horyn, Y.K. Kim, A. Vostrikov [University of Chicago, Chicago, Illinois, USA] T. Murat [University of Wisconsin-Madison, Madison, USA] ","Modifications of Superconducting Properties of Niobium Caused by Nitrogen Doping of Ultra-High Quality Factor Cavities",144 148,
mopb028,"A. Grassellino, S. Aderhold, M. Checchin, A.C. Crawford, C.J. Grimm, A. Hocker, M. Martinello, O.S. Melnychuk, J.P. Ozelis, S. Posen, A.M. Rowe, D.A. Sergatskov, N. Solyak, R.P. Stanek, G. Wu [Fermilab, Batavia, Illinois, USA] D. Gonnella [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] J.M. Köszegi [HZB, Berlin, Germany] M. Liepe [Cornell University, Ithaca, New York, USA] ","Preservation of Very High Quality Factors of 1.3 GHz Nine Cell Cavities From Bare Vertical Test to Dressed Horizontal Test",149 153,
mopb030,"P. Dhakal, G. Ciovati, G.R. Myneni [JLab, Newport News, Virginia, USA] ","Measurements of Thermal Impedance on Superconducting Radiofrequency Cavities",154 158,
mopb033,"M. Liepe, P. Bishop, H. Conklin, R.G. Eichhorn, F. Furuta, G.M. Ge, D. Gonnella, T. Gruber, D.L. Hall, G.H. Hoffstaetter, J.J. Kaufman, G. Kulina, J.T. Maniscalco, T.I. O'Connell, P. Quigley, D.M. Sabol, J. Sears, V. Veshcherevich [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] M. Checchin, A.C. Crawford, A. Grassellino, C.J. Grimm, A. Hocker, M. Martinello, O.S. Melnychuk, J.P. Ozelis, A. Romanenko, A.M. Rowe, D.A. Sergatskov, W.M. Soyars, R.P. Stanek, G. Wu [Fermilab, Batavia, Illinois, USA] E. Daly, G.K. Davis, M.A. Drury, J.F. Fischer, A.D. Palczewski, C.E. Reece [JLab, Newport News, Virginia, USA] M.C. Ross [SLAC, Menlo Park, California, USA] ","LCLS-II SRF Cavity Processing Protocol Development and Baseline Cavity Performance Demonstration",159 163,
mopb035,"R.L. Geng, J.F. Fischer, E.A. McEwen, O. Trofimova [JLab, Newport News, Virginia, USA] ","Nature and Implication of Found Actual Particulates on the Inner Surface of Cavities in a Full-Scale Cryomodule Previously Operated With Beams",164 168,
mopb036,"Z.Q. Yang, L. Lin, X.Y. Lu, W.W. Tan, D.Y. Yang, J. Zhao [PKU, Beijing, People's Republic of China] ","TOF-SIMS Study of Nitrogen Doping Niobium Samples",169 173,
mopb039,"A.D. Palczewski, P. Dhakal, C.E. Reece [JLab, Newport News, Virginia, USA] ","Analysis of BCS RF Loss Dependence on N-Doping Protocols",174 177,
mopb040,"A.D. Palczewski, G.K. Davis [JLab, Newport News, Virginia, USA] F. Furuta, G.M. Ge, D. Gonnella, M. Liepe [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Performance of Dressed Cavities for the Jefferson Laboratory LCLS-II Prototype Cryomodule - With Comparison to the Pre-Dressed Performance",178 181,
