fraa01,"R. Paparella [INFN/LASA, Segrate (MI), Italy] ","Overview of Recent Tuner Development on Elliptical and Low-Beta Cavities",1425 1431,
thpb058,"S.A. Belomestnykh, I. Ben-Zvi, J.C. Brutus, T. Hayes, V. Litvinenko, K. Mernick, G. Narayan, P. Orfin, I. Pinayev, T. Rao, F. Severino, J. Skaritka, K.S. Smith, R. Than, J.E. Tuozzolo, E. Wang, Q. Wu, B. P. Xiao, A. Zaltsman [BNL, Upton, Long Island, New York, USA] S.A. Belomestnykh, I. Ben-Zvi, V. Litvinenko, T. Xin [Stony Brook University, Stony Brook, USA] ","Commissioning of the 112 MHz SRF Gun",1240 1242,
thpb059,"T. Konomi, E. Kako, Y. Kobayashi, K. Umemori, S. Yamaguchi [KEK, Ibaraki, Japan] R. Matsuda [Mitsubishi Heavy Industries Ltd. (MHI), Takasago, Japan] T. Yanagisawa [MHI, Hiroshima, Japan] ","Design, Fabrication and Performance of SRF-Gun Cavity",1243 1246,
thpb060,"K. Artoos, R. Calaga, O. Capatina, T. Capelli, F. Carra, L. Dassa, N. Kuder, R. Leuxe, P. Minginette, W. Venturini Delsolaro, G. Villiger, C. Zanoni, P. Zhang [CERN, Geneva, Switzerland] G. Burt [Cockcroft Institute, Lancaster University, Lancaster, United Kingdom] J.R. Delayen, H. Park [ODU, Norfolk, Virginia, USA] T.J. Jones, N. Templeton [STFC/DL, Daresbury, Warrington, Cheshire, United Kingdom] S. Verdú-Andrés, B. P. Xiao [BNL, Upton, Long Island, New York, USA] ","Development of SRF Cavity Tuners for CERN",1247 1251,
thpb061,"D. Passarelli, J.P. Holzbauer, L. Ristori [Fermilab, Batavia, Illinois, USA] ","Performance of the Tuner Mechanism for SSR1 Resonators During Fully Integrated Tests at Fermilab",1252 1256,
thpb062,"N.A. Huque, M.E. Abdelwhab, E. Daly [JLab, Newport News, Virginia, USA] Y.M. Pischalnikov [Fermilab, Batavia, Illinois, USA] ","Accelerated Life Testing of LCLS-II Cavity Tuner Motor",1257 1261,
thpb063,"N.A. Huque, W.A. Clemens, E. Daly [JLab, Newport News, Virginia, USA] S. Bellavia, G.T. McIntyre, S.K. Seberg, Q. Wu [BNL, Upton, Long Island, New York, USA] ","BNL 56 MHz HOM Damper Fabrication at JLab",1262 1266,
thpb065,"Y.M. Pischalnikov, B. Hartman, J.P. Holzbauer, W. Schappert, S.J. Smith, J.C. Yun [Fermilab, Batavia, Illinois, USA] ","Reliability of the LCLS II SRF Cavity Tuner",1267 1271,
thpb066,"A.A. Sulimov [DESY, Hamburg, Germany] ","RF Analysis of Equator Welding Stability for the European XFEL Cavities",1272 1273,
thpb067,"A.A. Sulimov [DESY, Hamburg, Germany] ","HOM Coupler Notch Filter Tuning for the European XFEL Cavities",1274 1276,
thpb068,"A.A. Sulimov, A. Ermakov, J.H. Thie [DESY, Hamburg, Germany] A. Gresele [Ettore Zanon S.p.A., Nuclear Division, Schio, Italy] ","Practical Aspects of HOM Suppression Improvement for TM011",1277 1278,
thpb069,"C. Zanoni, S. Atieh, I. Aviles Santillana, R. Calaga, O. Capatina, T. Capelli, F. Carra, P. Freijedo Menendez, M. Garlasché (M. Garlaschè), J.-M. Geisser, R. Leuxe, L. Marques Antunes Ferreira, E. Rigutto [CERN, Geneva, Switzerland] S.A. Belomestnykh, S. Verdú-Andrés, Q. Wu, B. P. Xiao [BNL, Upton, Long Island, New York, USA] G. Burt [Lancaster University, Lancaster, United Kingdom] S.U. De Silva, J.R. Delayen, R.G. Olave, H. Park [ODU, Norfolk, Virginia, USA] T.J. Jones, N. Templeton [STFC/DL, Daresbury, Warrington, Cheshire, United Kingdom] Z. Li [SLAC, Menlo Park, California, USA] A.J. May, S.M. Pattalwar [STFC/DL/ASTeC, Daresbury, Warrington, Cheshire, United Kingdom] T.H. Nicol [Fermilab, Batavia, Illinois, USA] A. Ratti [LBNL, Berkeley, California, USA] ","Engineering Design and Prototype Fabrication of HOM Couplers for HL-LHC Crab Cavities",1279 1283,
thpb070,"C. Zanoni, K. Artoos, S. Atieh, I. Aviles Santillana, J.P. Brachet, R. Calaga, O. Capatina, T. Capelli, F. Carra, L. Dassa, G. Favre, P. Freijedo Menendez, M. Garlasché (M. Garlaschè), M. Guinchard, N. Kuder, S.A.E. Langeslag, R. Leuxe, L. Prever-Loiri, G. Vandoni [CERN, Geneva, Switzerland] S.A. Belomestnykh, I. Ben-Zvi, S. Verdú-Andrés, Q. Wu, B. P. Xiao [BNL, Upton, Long Island, New York, USA] I. Ben-Zvi [Stony Brook University, Stony Brook, USA] G. Burt [Lancaster University, Lancaster, United Kingdom] S.U. De Silva, R.G. Olave, H. Park [ODU, Norfolk, Virginia, USA] J.R. Delayen [JLab, Newport News, Virginia, USA] T.J. Jones, N. Templeton [STFC/DL, Daresbury, Warrington, Cheshire, United Kingdom] Z. Li [SLAC, Menlo Park, California, USA] K.B. Marinov, A.J. May, S.M. Pattalwar [STFC/DL/ASTeC, Daresbury, Warrington, Cheshire, United Kingdom] T.H. Nicol [Fermilab, Batavia, Illinois, USA] A. Ratti [LBNL, Berkeley, California, USA] ","Design of Dressed Crab Cavities for the HL-LHC Upgrade",1284 1288,
thpb071,"M. Nishiwaki, K. Akai, T. Furuya, A. Kabe, S. Mitsunobu, Y. Morita [KEK, Ibaraki, Japan] ","Developments of SiC Damper for SuperKEKB Superconducting Cavity",1289 1292,
thpb072,"S.H. Kim, J. Carwardine, Z.A. Conway, G. Decker, M.P. Kelly, B. Mustapha, P.N. Ostroumov, G.J. Waldschmidt [ANL, Argonne, Illinois, USA] ","Higher Order Mode Damping in a Higher Harmonic Cavity for the Advanced Photon Source Upgrade",1293 1296,
thpb074,"W. Xu, S.A. Belomestnykh, I. Ben-Zvi, H. Hahn [BNL, Upton, Long Island, New York, USA] ","High Current eRHIC Cavity Design and HOM Damping Scheme",1297 1300,
thpb076,"A. Ermakov, D. Kostin, W.-D. Moeller (W.-D. Möller) [DESY, Hamburg, Germany] ","Quality Control of Welding, Brazing Joints and Cu Deposition on EU-XFEL Coupler Parts",1301 1305,
thpb077,"C. Adolphsen, K. Fant, Z. Li, C.D. Nantista, G. Stupakov, J. Tice, F.Y. Wang, L. Xiao [SLAC, Menlo Park, California, USA] I.V. Gonin, K. Premo, N. Solyak [Fermilab, Batavia, Illinois, USA] ","Modified TTF3 Couplers for LCLS-II",1306 1308,
thpb078,"C. Arcambal [CEA/IRFU, Gif-sur-Yvette, France] P. Bosland, M. Desmons, G. Devanz, G. Ferrand, A. Hamdi, P. Hardy, H. Jenhani, F. Leseigneur, C. Marchand, F. Peauger, O. Piquet, D. Roudier, C. Servouin [CEA/DSM/IRFU, France] C. Darve [ESS, Lund, Sweden] ","Status of the Power Couplers for the ESS Elliptical Cavity Prototypes",1309 1312,
thpb079,"D.H. Zhuang, P.L. Fan, L.W. Feng, L. Lin, K.X. Liu, S.W. Quan, F. Wang, Z.L. Wang [PKU, Beijing, People's Republic of China] ","Improved Capacitive Coupling Type RF Power Couplers for a Cryomodule With Two 9-Cell Cavities",1313 1315,
thpb080,"D. Tischhauser, A. Goessel (A. Gössel), M. Mommertz [DESY, Hamburg, Germany] ","Next Generation Cavity and Coupler Interlock for the European XFEL",1316 1320,
thpb081,"A.R.J. Tutte, G. Burt [Cockcroft Institute, Lancaster University, Lancaster, United Kingdom] R. Calaga, A. Macpherson, E. Montesinos [CERN, Geneva, Switzerland] S.U. De Silva [ODU, Norfolk, Virginia, USA] Z. Li [SLAC, Menlo Park, California, USA] B. P. Xiao [BNL, Upton, Long Island, New York, USA] ","FPC and HOM Coupler Test Boxes for HL-LHC Crab Cavities",1321 1325,
thpb082,"I. Shin, M.O. Hyun [IBS, Daejeon, Republic of Korea] E. Kako [KEK, Ibaraki, Japan] C.K. Sung [Korea University Sejong Campus, Sejong, Republic of Korea] ","Design of QWR Power Coupler for the Rare Isotope Science Project in Korea",1326 1329,
thpb083,"I. Irfan, S.F. Chapman, M. Krishnan, K.M. Velas [AASC, San Leandro, California, USA] W. Kaabi [LAL, Orsay, France] ","Energetic Copper Coating on Stainless Steel Power Couplers for SRF Application",1330 1334,
thpb084,"K. Ozeki, O. Kamigaito, H. Okuno, N. Sakamoto, K. Suda, Y. Watanabe, K. Yamada [RIKEN Nishina Center, Wako, Japan] E. Kako, H. Nakai, K. Umemori [KEK, Ibaraki, Japan] K. Okihira, K. Sennyu, T. Yanagisawa [MHI, Hiroshima, Japan] ","Design of Input Coupler for RIKEN Superconducting Quarter-Wavelength Resonator",1335 1339,
thpb086,"K.S. Premo, T.T. Arkan, Y.O. Orlov, N. Solyak [Fermilab, Batavia, Illinois, USA] ","LCLS-II Fundamental Power Coupler Mechanical Integration",1340 1342,
thpb087,"K.X. Gu [Institute of High Energy Physics (IHEP), Chinese Academy of Sciences, Beijing, People's Republic of China] X. Chen, T.M. Huang, Q. Ma, W.M. Pan [IHEP, Beijing, People's Republic of China] ","Design and Simulation of High Power Input Coupler for C-ADS Linac 5-Cell Elliptical Cavities",1343 1345,
thpb088,"M.P. Kelly, A. Barcikowski, Z.A. Conway, D. Horan, M. Kedzie, S.H. Kim, P.N. Ostroumov [ANL, Argonne, Illinois, USA] S.V. Kutsaev [RadiaBeam, Santa Monica, California, USA] J. Rathke [AES, Medford, New York, USA] ","20 kW CW Power Couplers for the APS-U Harmonic Cavity",1346 1348,
thpb089,"N. Solyak, M.H. Awida, A. Grassellino, C.J. Grimm, A. Hocker, J.P. Holzbauer, T.N. Khabiboulline, O.S. Melnychuk, A.M. Rowe, D.A. Sergatskov, N. Solyak [Fermilab, Batavia, Illinois, USA] J.K. Sekutowicz [DESY, Hamburg, Germany] ","HOM Coupler Performance in CW Regime in Horizontal and Vertical Tests",1349 1353,
thpb091,"O.V. Pronitchev, S. Kazakov [Fermilab, Batavia, Illinois, USA] ","Mechanical Design of a High Power Coupler for the PIP-II 325 MHz SSR1 RF Cavity",1354 1356,
thpb092,"O.V. Pronitchev, S. Kazakov [Fermilab, Batavia, Illinois, USA] ","Mechanical Design of a High Power Coupler for the PIP-II 162.5 MHz RF Quadrupole",1357 1359,
thpb093,"J.A. Robbins, C. Egerer, R.G. Eichhorn, V. Veshcherevich [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","A 1.3 GHz Waveguide to Coax Coupler for Superconducting Cavities With a Minimum Kick",1360 1363,
thpb094,"S. Sierra, G. Garcin, C. Lievin, G. Vignette [TED, Velizy, France] A. Gallas, W. Kaabi [LAL, Orsay, France] M. Knaak, M. Pekeler, L. Zweibaeumer [RI Research Instruments GmbH, Bergisch Gladbach, Germany] ","Status of the Fundamental Power Coupler Production for the European XFEL Accelerator",1364 1366,
thpb095,"S. Sierra, C. Lievin, P. Rouillon [TED, Velizy, France] H. Guler, W. Kaabi, A. Verguet [LAL, Orsay, France] ","Automatic RF Conditioning Test Bench of Fundamental Power Couplers for the European XFEL Accelerator",1367 1369,
thpb096,"S. Sierra, G. Garcin, C. Lievin, G. Vignette [TED, Velizy, France] M. Knaak, M. Pekeler [RI Research Instruments GmbH, Bergisch Gladbach, Germany] ","Lesson Learned on the Manufacturing of Fundamental Power Couplers for the European XFEL Accelerator",1370 1372,
thpb097,"S. Kazakov [Fermilab, Batavia, Illinois, USA] ","New Possible Configuration of 3.9 GHz Coupler",1373 1375,
thpb098,"S. Kazakov, B.M. Hanna, O.V. Pronitchev [Fermilab, Batavia, Illinois, USA] ","Testing of 325 MHz Couplers at Test Stand in Resonance Mode",1376 1378,
thpb100,"S.F. Chapman, I. Irfan, M. Krishnan, K.M. Velas [AASC, San Leandro, California, USA] ","Nb Coatings on Bellows Used in SRF Accelerators",1379 1382,
thpb101,"T.M. Huang, X. Chen, H.Y. Lin, Q. Ma, F. Meng, W.M. Pan, G.W. Wang, X.Y. Zhang [IHEP, Beijing, People's Republic of China] K.X. Gu [Institute of High Energy Physics (IHEP), Chinese Academy of Sciences, Beijing, People's Republic of China] ","High Power Input Couplers for C-ADS",1383 1386,
thpb102,"H. Guler, A. Gallas, W. Kaabi, D.J.M. Le Pinvidic, C. Magueur, M. Oublaid, A. Thiebault, A. Verguet [LAL, Orsay, France] ","RF Conditioning of the XFEL Power Couplers at the Industrial Scale",1387 1389,
thpb103,"Y. Ma, P.R. Harmer, D. Lang, R.E. Laxdal, B.S. Waraich, V. Zvyagintsev [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","High Power Coupler Test for ARIEL SC Cavities",1390 1393,
thpb104,"Ya.V. Shashkov, D.S. Bazyl, R.V. Donetskiy, M.V. Lalayan, N.P. Sobenin [MEPhI, Moscow, Russia] R. Calaga [CERN, Geneva, Switzerland] A.A. Zavadtsev [Nano, Moscow, Russia] M. Zobov [INFN/LNF, Frascati (Roma), Italy] ","Higher Order Modes Simulation and Measurements for 2400 MHz Cavity",1394 1396,
thpb105,"Y. Xie, A. Kanareykin [Euclid TechLabs, LLC, Solon, Ohio, USA] T.N. Khabiboulline, A. Lunin, V. Poloubotko, A.M. Rowe, N. Solyak, V.P. Yakovlev [Fermilab, Batavia, Illinois, USA] J. Rathke [AES, Medford, New York, USA] ","Demonstration of Coaxial Coupling Scheme at 26 MV/m for 1.3 GHz Tesla-Type SRF Cavities",1397 1399,
thpb109,"D. Reynet, S. Bousson, S. Brault, P. Duchesne, P. Duthil, N. Gandolfo, G. Olry, M. Pierens, E. Rampnoux [IPN, Orsay, France] C. Darve [ESS, Lund, Sweden] ","ESS Spoke Cryomodule and Test Valve Box",1400 1404,
thpb110,"E. Daly, G. Cheng, G.K. Davis, T. Hiatt, N.A. Huque, F. Marhauser, H. Park, J.P. Preble, K.M. Wilson [JLab, Newport News, Virginia, USA] ","Procurements for LCLS-II Cryomodules at JLab",1405 1408,
thpb115,"N. Muller, P.R. Harmer, J.J. Keir, D. Kishi, P. Kolb, A. Koveshnikov, C. Laforge, D. Lang, R.E. Laxdal, Y. Ma, A.K. Mitra, R.R. Nagimov, R. Smith, B.S. Waraich, L. Yang, Z.Y. Yao, V. Zvyagintsev [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","TRIUMF's Injector and Accelerator Cryomodules",1409 1412,
thpb116,"T. Stengler, K. Aulenbacher, R.G. Heine, F. Schlander, D. Simon [IKP, Mainz, Germany] M. Pekeler, D. Trompetter [RI Research Instruments GmbH, Bergisch Gladbach, Germany] ","Modified ELBE Type Cryomodules for the Mainz Energy-Recovering Superconducting Accelerator MESA",1413 1416,
thpb119,"T.J. Peterson, T.T. Arkan, C.M. Ginsburg, Y. He, J.A. Kaluzny, M.W. McGee, Y.O. Orlov [Fermilab, Batavia, Illinois, USA] ","LCLS-II 1.3 GHz Cryomodule Design – Modified TESLA-Style Cryomodule for CW Operation",1417 1421,
thpb120,"E.A. McEwen, V. Bookwalter, J. Leung [JLab, Newport News, Virgina, USA] J.N. Blowers, J.B. Szal [Fermilab, Batavia, Illinois, USA] ","Status of LCLS-II QA Systems Collaboration for Cyromodule Construction at TJNAF and FNAL",1422 1424,
tuaa02,"V. Zvyagintsev, Z.T. Ang, T. Au, S. Calic, K. Fong, P.R. Harmer, B. Jakovljevic, J.J. Keir, D. Kishi, P. Kolb, S.R. Koscielniak, A. Koveshnikov, C. Laforge, D. Lang, M.P. Laverty, R.E. Laxdal, Y. Ma, A.K. Mitra, N. Muller, R.R. Nagimov, W.R. Rawnsley, R.W. Shanks, R. Smith, B.S. Waraich, L. Yang, Z.Y. Yao, Q. Zheng [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","Commissioning of the SRF Linac for ARIEL",457 461,
tuaa03,"A.V. Velez (A.V. Vélez), H.-W. Glock, P. Goslawski, A. Jankowiak, J. Knobloch, A. Neumann, M. Ries, G. Wuestefeld (G. Wüstefeld) [HZB, Berlin, Germany] ","BESSY VSR: A Novel Application of SRF for Synchrotron Light Sources",462 466,
tuaa04,"D. Kanjilal [IUAC, New Delhi, India] ","Rapid Growth of SRF in India",467 473,
tuaa06,"G. Olry [IPN, Orsay, France] ","Recent Progress of ESS Spoke and Elliptical Cryomodules",474 480,
tuba01,"W. Venturini Delsolaro, L. Arnaudon, K. Artoos, C. Bertone, J.A. Bousquet, N. Delruelle, M. Elias, J.A. Ferreira Somoza, F. Formenti, J. Gayde, J.L. Grenard, Y. Kadi, G. Kautzmann, Y. Leclercq, M. Mician, A. Miyazaki, E. Montesinos, V. Parma, G.J. Rosaz, K.M. Schirm, E. Siesling, A. Sublet, M. Therasse, L. Valdarno, D. Valuch, G. Vandoni, L.R. Williams, P. Zhang [CERN, Geneva, Switzerland] ","Status of the SRF Systems at HIE-ISOLDE",481 487,
tuba02,"V. Palmieri [INFN/LNL, Legnaro (PD), Italy] R. Vaglio [UniNa, Napoli, Italy] ","Thermal Contact Resistance at the Nb-Cu Interface",488 493,
tuba03,"S. Aull, T. Junginger, A. Sublet, W. Venturini Delsolaro, P. Zhang [CERN, Geneva, Switzerland] J. Knobloch [HZB, Berlin, Germany] J. Knobloch [University of Siegen, Siegen, Germany] A-M. Valente-Feliciano [JLab, Newport News, Virginia, USA] ","On the Understanding of Q-Slope of Niobium Thin Films",494 500,
tuba04,"D.L. Hall, T. Gruber, J.J. Kaufman, M. Liepe, J.T. Maniscalco, S. Posen, B. Yu [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] Th. Proslier [ANL, Argonne, Illinois, USA] ","Nb3Sn Cavities: Material Characterization and Coating Process Optimization",501 504,
tuba05,"G.V. Eremeev, M.J. Kelley, C.E. Reece [JLab, Newport News, Virginia, USA] M.J. Kelley, U. Pudasaini [The College of William and Mary, Williamsburg, Virginia, USA] J. Tuggle [Virginia Polytechnic Institute and State University, Blacksburg, USA] ","Progress With Multi-Cell Nb3Sn Cavity Development Linked With Sample Materials Characterization",505 511,
tuba06,"T. Tan, M.A. Wolak, X. Xi [Temple University, Philadelphia, USA] L. Civale, T. Tajima [LANL, Los Alamos, New Mexico, USA] ","Increase in Vortex Penetration Field on Nb Ellipsoid Coated With a MbB2 Thin Film",512 515,
tuba08,"A-M. Valente-Feliciano, G.V. Eremeev, C.E. Reece, J.K. Spradlin [JLab, Newport News, Virginia, USA] M.C. Burton, R.A. Lukaszew [The College of William and Mary, Williamsburg, Virginia, USA] ","Growth and Characterization of Multi-Layer NbTiN Films",516 520,
tupb001,"A.E. Wheelhouse, R.K. Buckley, L.S. Cowie, P. Goudket, A.R. Goulden, P.A. McIntosh [STFC/DL/ASTeC, Daresbury, Warrington, Cheshire, United Kingdom] J.R. Everard, N. Shakespeare [Shakespeare Engineering, South Woodham Ferrers, Essex, United Kingdom] ","Progress on Superconducting RF Cavity Development With UK Industry",521 524,
tupb002,"C. Christou, A. Bogusz, P.J. Marten [DLS, Oxfordshire, United Kingdom] ","Elimination of High Frequency Noise From the Beam in the Diamond Light Source Storage Ring",525 528,
tupb003,"F. Marhauser, E. Daly, J.A. Fitzpatrick [JLab, Newport News, Virginia, USA] ","Cavity Procurement and Qualification Plan for LCLS-II",529 533,
tupb004,"O.S. Melnychuk, A. Grassellino, F.L. Lewis, J.P. Ozelis, R.V. Pilipenko, Y.M. Pischalnikov, O.V. Pronitchev, A. Romanenko, D.A. Sergatskov, B. Squires [Fermilab, Batavia, Illinois, USA] ","Vertical Cavity Test Facility at Fermilab",534 538,
tupb006,"C.N. Regier [CLS, Saskatoon, Saskatchewan, Canada] ","The CLS SRF Cryogenic System Upgrade",539 543,
tupb007,"F. Peauger, C. Arcambal, S. Berry, N. Berton, P. Bosland, E. Cenni, J.-P. Charrier, G. Devanz, F. Eozénou (F. Éozénou), F. Gougnaud, A. Hamdi, X. Hanus, P. Hardy, V.M. Hennion, T. Joannem, F. Leseigneur, D. Loiseau, C. Madec, L. Maurice, O. Piquet, J. Plouin, J.P. Poupeau, B. Renard, D. Roudier, P. Sahuquet, C. Servouin [CEA/DSM/IRFU, France] C. Darve, N. Elias [ESS, Lund, Sweden] G. Olivier [IPN, Orsay, France] ","Progress in the Elliptical Cavities and Cryomodule Demonstrators for the ESS LINAC",544 548,
tupb008,"G.K. Davis, T. Goodman, P. Kushnick, T. Powers, C.M. Wilson [JLab, Newport News, Virginia, USA] ","A New Cryogenic Control System for the Vertical Test Area at Jefferson Lab",549 552,
tupb010,"P. Murcek, A. Arnold, P.N. Lu, J. Teichert, H. Vennekate, R. Xiang [HZDR, Dresden, Germany] A. Burrill [HZB, Berlin, Germany] ","Plug Transfer System for GaAs Photocathodes",553 556,
tupb011,"Z.T. Ang [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","HPRF Transmission Componenets Study and Distribution in TRIUMF E-Linac",557 561,
tupb012,"A.D. Yeremian, C. Adolphsen, J. Chan, G. DeContreras, K. Fant, C.D. Nantista [SLAC, Menlo Park, California, USA] ","LCLS-II High Power RF System Overview and Progress",562 565,
tupb013,"E.R. Harms, C.M. Baffes, K. Carlson, B.E. Chase, A.L. Klebaner, M.J. Kucera, J.R. Leibfritz, M.W. McGee, P.S. Prieto, J. Reid, R.P. Stanek, D. Sun, M.J. White [Fermilab, Batavia, Illinois, USA] ","Fermilab Cryomodule Test Stand Design and Plans",566 570,
tupb014,"E.R. Harms, R. Andrews, C.M. Baffes, D.R. Broemmelsiek, K. Carlson, D.J. Crawford, N. Eddy, D.R. Edstrom, J.R. Leibfritz, A.H. Lumpkin, S. Nagaitsev, P. Piot, P.S. Prieto, J. Reid, J. Ruan, J.K. Santucci, V.D. Shiltsev, W.M. Soyars, D. Sun, R.M. Thurman-Keup, A. Valishev, A. Warner [Fermilab, Batavia, Illinois, USA] ","First Operation of a Superconducting RF Electron Test Accelerator at Fermilab",571 574,
tupb015,"F. Schlander, K. Aulenbacher, R.G. Heine [IKP, Mainz, Germany] K. Aulenbacher, W.A. Barth, V. Gettmann, M. Miski-Oglu [HIM, Mainz, Germany] W.A. Barth, S. Mickat [GSI, Darmstadt, Germany] ","A New Cleanroom With Facilities for Cleaning and Assembly of Superconducting Cavities at Helmholtz-Institut Mainz",575 577,
tupb016,"H.J. Kim [IBS, Daejeon, Republic of Korea] ","Progress on Superconducting Linac for the RAON Heavy Ion Accelerator",578 580,
tupb017,"J.Y. Zhai, Y.L. Chi, J.P. Dai, X.W. Dai, J. Gao, R. Ge, D.Y. He, T.M. Huang, X. Huang, S. Jin, S.P. Li, H.Y. Lin, B. Liu, Z.C. Liu, Q. Ma, Z.H. Mi, W.M. Pan, X.H. Peng, L.R. Sun, Y. Sun, Z. Xue, S.W. Zhang, Z. Zhang, H. Zhao, T.X. Zhao, H.J. Zheng, Z.S. Zhou [IHEP, Beijing, People's Republic of China] ","1.3 GHz SRF Technology R&D Progress of IHEP",581 583,
tupb018,"P. Pierini, M. Bertucci, M. Bonezzi, A. Bosotti, J.F. Chen, M. Chiodini, P. Michelato, L. Monaco, M. Moretti, R. Paparella, D. Sertore [INFN/LASA, Segrate (MI), Italy] C. Albrecht, N. Baboi, S. Barbanotti, J. Branlard, Th. Buettner, L. Butkowski (Ł. Butkowski), T. Delfs, H. Hintz, F. Hoffmann, M. Huening (M. Hüning), K. Jensch, R. Jonas, R. Klos, D. Kostin, L. Lilje, C.G. Maiano, W. Maschmann, A. Matheisen, U. Mavric (U. Mavrič), W.-D. Moeller (W.-D. Möller), C. Mueller (C. Müller), P. Pierini, J. Prenting, J. Rothenburg, O. Sawlanski, M. Schloesser (M. Schlösser), M. Schmoekel (M. Schmökel), A.A. Sulimov, E. Vogel [DESY, Hamburg, Germany] E.R. Harms [Fermilab, Batavia, Illinois, USA] C.R. Montiel [ANL, Argonne, Illinois, USA] C. Pagani [Università degli Studi di Milano  INFN, Segrate, Italy] ","Preparation of the 3.9 GHz System for the European XFEL Injector Commissioning",584 588,
tupb020,"V. Gettmann, M. Amberg, K. Aulenbacher, W.A. Barth, M. Miski-Oglu [HIM, Mainz, Germany] M. Amberg, M. Basten, D. Bänsch, F.D. Dziuba, H. Podlech, U. Ratzinger [IAP, Frankfurt am Main, Germany] K. Aulenbacher [IKP, Mainz, Germany] W.A. Barth, M. Heilmann, S. Mickat, S. Yaramyshev [GSI, Darmstadt, Germany] ","Recent Status New Superconducting CW Heavy Ion LINAC@GSI",589 591,
tupb021,"H. Sakai, M. Egi, K. Enami, T. Furuya, S. Michizono, T. Miura, F. Qiu, K. Shinoe, K. Umemori [KEK, Ibaraki, Japan] M. Sawamura [JAEA, Ibaraki-ken, Japan] ","Measurement of the Cavity Performances of Compact ERL Main Linac Cryomodule During Beam Operation",592 596,
tupb022,"L. Popielarski [NSCL, East Lansing, Michigan, USA] B.W. Barker, C. Compton, K. Elliott, I.M. Malloch, E.S. Metzgar, J. Popielarski, K. Saito, G.J. Velianoff, D.R. Victory, T. Xu [FRIB, East Lansing, Michigan, USA] ","Low-Beta SRF Cavity Processing and Testing Facility for the Facility for Rare Isotope Beams at Michigan State University",597 601,
tupb024,"N.R. Lobanov, P. Linardakis, D. Tsifakis [Research School of Physics and Engineering, Australian National University, Canberra, Australian Capitol Territory, Australia] ","Tuning the Linac With Superconducting Resonator Used as a Phase Detector",602 606,
tupb025,"N.R. Lobanov, P. Linardakis, D. Tsifakis [Research School of Physics and Engineering, Australian National University, Canberra, Australian Capitol Territory, Australia] ","Tuning the Superconducting Linac at Low Beam Intensities",607 611,
tupb026,"R. Santiago Kern, K.J. Gajewski, L. Hermansson, R.J.M.Y. Ruber [Uppsala University, Uppsala, Sweden] P. Bujard, T. Junquera, J.P. Thermeau [Accelerators and Cryogenic Systems, Orsay, France] ","Cryogenic Performance of the HNOSS Test Facility at Uppsala University",612 616,
tupb027,"A. Sublet, S. Aull, B. Bartova (B. Bártová), S. Calatroni, T. Richard, G.J. Rosaz, M. Taborelli, M. Therasse, W. Venturini Delsolaro, P. Zhang [CERN, Geneva, Switzerland] ","Developments on SRF Coatings at CERN",617 621,
tupb029,"A-M. Valente-Feliciano, G.V. Eremeev, C.E. Reece, J.K. Spradlin [JLab, Newport News, Virginia, USA] S. Aull [CERN, Geneva, Switzerland] Th. Proslier [ANL, Argonne, Illinois, USA] ","Material Quality & SRF Performance of Nb Films Grown on Cu via ECR Plasma Energetic Condensation",622 625,
tupb030,"J.T. Maniscalco, B. Clasby, T. Gruber, D.L. Hall, M. Liepe [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Recent Results from the Cornell Sample Host Cavity",626 628,
tupb032,"K.M. Velas, S.F. Chapman, I. Irfan, M. Krishnan [AASC, San Leandro, California, USA] ","Energetic Condensation Growth of Nb on Cu SRF Cavities",629 632,
tupb034,"M. Krishnan, S.F. Chapman, I. Irfan, K.M. Velas [AASC, San Leandro, California, USA] J.K. Spradlin, H. Tian [JLab, Newport News, Virginia, USA] ","Bulk Niobium Polishing and Electropolishing Steps for Thinfilm Coated Copper SRF Cavities",633 637,
tupb037,"M.C. Burton, M. Beebe, R.A. Lukaszew, J.M. Riso [The College of William and Mary, Williamsburg, Virginia, USA] C.E. Reece, A-M. Valente-Feliciano [JLab, Newport News, Virginia, USA] ","Superconducting NbN-Based Multilayer and NbTiN Thin Films for the Enhancement of SRF Accelerator Cavities",638 642,
tupb038,"P. Pizzol, P. Chalker, T. Heil [The University of Liverpool, Liverpool, United Kingdom] A.N. Hannah, O.B. Malyshev, S.M. Pattalwar, R. Valizadeh [STFC/DL/ASTeC, Daresbury, Warrington, Cheshire, United Kingdom] G.B.G. Stenning [STFC/RAL/ISIS, Chilton, Didcot, Oxon, United Kingdom] ","Superconducting Coatings Synthetized by CVD/PECVD for SRF Cavities",643 646,
