FRAAU02,"V. Bykovsky; I. Meshkov; V. Pavlov; R. Pivin; A. Rudakov; G. Trubnikov; S. Yakovenko; M.K. Eseev","DEVELOPMENT OF THE POSITRON INJECTOR FOR LEPTA FACILITY",
THBPH09,"N.I. Zaitsev; S.A. Zapevalov; E.V. Ilyakov; S.Yu. Kornishin; S.V. Kofanov; M.Yu. Kryltsov; I.S. Kulagin; V.K. Lygin; A.V. Malygin; V.N. Manuilov; B.Z. Movshevich; V.G. Perminov; M.I. Petelin; A.Sh. Fiks; A.S. Shevchenko; V.I. Tsalolikhin","500 keV, 200 A MICROSECOND ELECTRON ACCELERATOR WITH A REPETITION RATE OF 10 Hz",
THBPH10,"Yu.G. Alenitsky; S.B. Vorozhtsov; A.S. Vorozhtsov; A.A. Glazov; N.L. Zaplatin; S.A. Kostromin; G.A. Karamisheva; L.M. Onischenko","ISOCHRONOUS CYCLOTRON C250 FOR PROTON THERAPY APPLICATION",
THBPH13,"A.V. Stepanov; M.F. Vorogushin","RING CYCLOTRON FOR THE PROTON THERAPY",
THBPH14,"B.Yu. Bogdanovich; V.V. Kapin; A.V. Nesterovich","THE PROJECT OF RFQ LINAC FOR AN EDUCATIONAL LABORATORY AT RAC OF MEPHI",
THBPH15,"M.I. Grachev; E.V. Ponomareva; L.V. Kravchuk; V.K. Gorbunov; V.M. Skorkin; V.N. Zapolsky","SYSTEM OF PRELIMINARY FORMATION OF THE BEAM FOR THE CHANNEL OF PROTON THERAPY",
THBPH17,"Yu.A. Budanov; O.K. Belyaev; I.A. Zvonarev; A.P. Maltsev; E.V. Mazurov; S.A. Strekalovskyh; V.A. Teplyakov","DEVELOPMENT OF LINEAR ACCELERATORS AS INJECTORS FOR MEDICAL ACCELERATORS IN IHEP-PROTVINO",
THCAU01,"N.K. Kuksanov; R.A. Salimov; P.I. Nemytov; A.V. Lavruchin; Ju.I. Golubenko; S.N. Fadeev; N.I. Gromov; V.G. Vankin; A.I. Roikh; S.P. Lystchikov; M.N. Stepanov","AUTOMATED COMPLEX FOR E-B TREATMENT OF CABLE AND WIRE INSULATION",
THCAU02,"P.V. Bogdanov; I.N. Vasilchenko; M.F. Vorogushin; A.V. Galchuk; S.V. Grigorenko; V.G. Mudrolubov; A.P. Strokach; S.E. Sychevsky","NOVEL COMPACT CYCLOTRONS FOR PRODUCTION OF RADIONUCLEDS",
THCAU03,"D.A. Solnyshkov; G.G. Voronin; A.P. Strokach; V.I. Grigoriev; A.V. Morozov; A.I. Solnyshkov","PULSED NEUTRON GENERATORS AT D.V. EFREMOV RESEARCH INSTITUTE",
THCAU04,"V.L. Auslender; V.V. Bezuglov; A.A. Bryazgin; V.A. Gorbunov; B.L. Faktorovich; E.N. Kokin; M.V. Korobeynikov; A.N. Lukin; I.G. Makarov; M.A. Tiunov; V.E. Nekhaev; A.D. Panfilov; V.M. Radchenko; A.V. Sidorov; E.A. Shtarklev; V.V. Tarnetcski; V.O. Tkachenko; L.A. Voronin","INDUSTRIAL HIGH ENERGY ELECTRON ACCELERATORS TYPE ILU",
THCPH01,"V.Ju. Shegolev; B.V. Florko","THE BIOLOGICAL SHIELDING FOR STORAGE RINGS OF NICA PROJECT",
THCPH03,"V. Korchuganov; V. Novikov; V. Ushkov","FIRST RESULTS OF THE RADIATION MEASUREMENTS NEAR SIBERIA-2 STORAGE RING",
THCPH05,"V.G. Kurakin; A.V. Koltsov","ECOLOGICALLY CLEAN ACCELERATOR FOR NUCLEAR PHYSICS RESEARCH",
THDAU01,"A.A. Bryazgin; V.L. Auslender; K.N. Chernov; V.G. Cheskidov; B.L. Factorovich; V.A. Gorbunov; I.V. Gornakov; G.I. Kuznetsov; I.G. Makarov; N.V. Matyash; G.N. Ostreiko; A.D. Panfilov; G.V. Serdobintsev; V.V. Tarnetsky; M.A. Tiunov; A.A. Tuvik","100 kW MODULAR LINEAR ACCELERATOR FOR INDUSTRIAL APPLICATIONS WITH ELECTRON ENERGY OF 7.5-10 MeV",
TUAAU01,"P. Zenkevich; A. Lerach","ANALYTICAL STUDY OF BEAM EQUILIBRIUM IN HIGH ENERGY STORAGE RINGFOR NON-MAGNETIZED ELECTRON COOLING",
TUAAU03,"E.V. Gorbachev; N.I. Lebedev; A.A. Makarov; N.V. Pilyar; S.V. Rabtsun; R.A. Smolkov; V.M. Zhabitsky; P. Baudrenghien; W. Hofle; F. Killing; I. Kojevnikov; G. Kotzian; R. Louwerse; E. Montesinos; V. Rossi; M. Schokker; E. Thepenier; D. Valuch","LHC TRANSVERSE FEEDBACK SYSTEM: FIRST RESULTS OF COMMISSIONING",
TUAAU04,"V. Bykovsky; E. Ahmanova; V.I. Kaplin; V.N. Karpinsky; A. Kobets; V. Lokhmatov; V. Malakhov; I. Meshkov; R. Pivin; A. Rudakov; G. Trubnikov; S. Yakovenko","STATUS OF THE LEPTA PROJECT",
TUAPH01,"Yu. Antipov; N. Anferov; G. Antonichev; V. Baranov; V. Batarin; V. Bezkrovney; A. Gurevich; V. Davydov; N. Ignashin; L. Kim; V. Kokovin; V. Komarov; O. Kurnaev; V. Lapygin; Yu. Milichenko; A. Markin; E. Nelipovich; S. Pilipenko; V. Rudko; D. Savin; T. Sinkina; V. Stolpovsky; I. Sulygin; A. Surensky; S. Sytov; V. Terekhov; V. Uglekov; V. Voevodin","DEUTERON BEAM ACCELERATION AT LINAC I-100 AND IHEP BOOSTER",
TUAPH02,"V.G. Kurakin; G.A. Sokol; V.G. Nedoresov; B.S. Ishkhanov; V.I. Shvedunov","SUPERCONDUCTING RF ELECTRON RECIRCULATOR FOR NUCLEAR PHYSICS RESEARCH AT LEBEDEV PHYSICAL INSTITUTE",
TUAPH04,"V.V. Kobets; A.I. Govorov; G.V. Trubnikov; E.E. Donets; E.D. Donets; A.O. Sidorin; V.A. Monchinsky; I.N. Meshkov; O.K. Belyaev; A.P. Maltsev; Yu.A. Budanov; I.A. Zvonarev","HEAVY ION INJECTOR FOR NICA/MPD PROJECT",
TUAPH05,"D. Churanov; F. Fadin; A. Krasnov; M. Urbant; A. Zavadtsev; D. Zavadtsev; N. Sobenin","RELUS-5 ELECTRON LINAC START-UP",
TUAPH06,"I.V. Amirhanov; G.A. Karamysheva; I.N. Kiyan; J. Sulikowski; R. Taraszkiewicz","ITERATIVE METHOD FOR MODELING OF STEADY OPERATION MODES OF  MULTIPURPOSE ISOCHRONOUS CYCLOTRONS",
TUAPH07,"M.I. Grachev; L.V. Kravchuk; E.V. Ponomareva; V.K. Gorbunov; V.C. Seleznev","TRANSPORTATION OF THE PROTON BEAM AT THE EXPERIMENTAL COMPLEX OF LINEAR ACCELERATOR INR OF THE RAS",
TUAPH08,"G.G. Subbotin","THE NEW OPERATION MODE OF SYNCHROTRON PAKHRA",
TUAPH10,"A.I. Karev; A.N. Lebedev; V.G. Raevsky; A.N. Kamanin; N.I. Pakhomov; V.I. Shvedunov","55 MEV RACE-TRACK MICROTRON OF LEBEDEV INSTITUTE",
TUAPH12,"B.N. Gikal; G.G. Gulbekian; I.A. Ivanenko","COMPENSATION OF THE BEAM VERTICAL DEFOCUSING AT THE EXIT OF U400 CYCLOTRON SPIRAL INFLECTOR",
TUBAU01,"S. Ivanov","ACCELERATOR COMPLEX U70 OF IHEP-PROTVINO: STATUS AND UPGRADE PLANS",
TUBAU02,"N.N. Alexeev; P.N. Alekseev; A.N. Balabaev; . V.I. Nikolaev; V.A. Schegolev; B.Ju. Sharkov; A.V. Shumshurov; V.P. Zavodov; Yu.A. Satov","ITEP-TWAC STATUS REPORT",
TUBAU03,"L.V. Kravchuk","OPERATION AND RESEARCH ACTIVITIES AT THE INR ACCELERATOR COMPLEX",
