FROA001,"P.H. Bucksbaum, Michigan University, Ann Arbor, Michigan","What to Do with Femtosecond Pulses?",
MOPP020,"J.P. Dai, IHEP, Beijing","Design Study of Beijing XFEL Test Facility",
MOPP021,"Z.M. Dai, D.G. Li, Y. Xu, X.F. Zhao, Z. Zhao, SINAP, Shanghai","Harmonic Operation of the SDUV HGHG-FEL",
MOPP022,"J.P. Dai, IHEP, Beijing","Design Study of Beijing XFEL Test Facility",
MOPP023,"J.P. Dai, IHEP, Beijing","Design Study of Beijing XFEL Test Facility",
MOPP024,"N. Thompson, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; B.W.J. McNeil, Strathclyde University, Glasgow; M.W. Poole, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire","A VUV-FEL for 4GLS: Design Concept and Simulation Results",
MOPP025,"J.P. Dai, IHEP, Beijing","Design Study of Beijing XFEL Test Facility",
MOPP026,"G. Andonian, UCLA, Los Angeles, California; M. Babzien, I. Ben-Zvi, BNL, Upton, Long Island, New York; I. Boscolo, S. Cialdi, INFN-Milano, Milano; M. Ferrario, INFN/LNF, Frascati (Roma); A.F. Flacco, INFN-Milano, Milano; J.Y. Huang, POSTECH, Pohang, Kyungbuk; V. Litvinenko, BNL, Upton, Long Island, New York; A.Y. Murokh, UCLA, Los Angeles, California; L. Palumbo, INFN/LNF, Frascati (Roma); C. Pellegrini, S. Reiche, J.B. Rosenzweig, G. Travish, UCLA, Los Angeles, California; C. Vicario, INFN/LNF, Frascati (Roma); V. Yakimenko, BNL, Upton, Long Island, New York","Simulations, Diagnostics and Recent Results of the VISA II Experiment",
MOPP027,"C. Sung, C. Joshi, C. Pellegrini, J.E. Ralph, S. Reiche, J.B. Rosenzweig, S. Tochitsky, UCLA, Los Angeles, California","High-gain Seeded FEL Amplifier Tunable in the Terahertz Range",
MOPP028,"H. Freund, SAIC, McLean; M. Abo-Bakr, BESSY GmbH, Berlin; S. Biedron, ANL, Argonne, Illinois; K. Goldammer, D. Kraemer, B.C. Kuske, A. Meseck, BESSY GmbH, Berlin","Comparative Design Studies for the BESSY FEL Program using the MEDUSA and GENESIS Simulation Codes",
MOPP030,"S. Krinsky, BNL, Upton, Long Island, New York","On the Definition of the Number of Temporal Modes in the SASE Output",
MOPP031,"T. Watanabe, D.F.L. Liu, J.B. Murphy, J. Rose, T.V. Shaftan, BNL, Upton, Long Island, New York; P. Sprangle, NRL, Washington, DC; T. Tsang, X.J. Wang, L.-H. Yu, BNL, Upton, Long Island, New York","Experimental Characterization of the Seeded FEL Amplifier at the BNL SDL",
MOPP032,"P. Michel, P. Evtushenko, U. Lehnert, Ch. Schneider, R. Schurig, W. Seidel, J. Teichert, D. Wohlfarth, FZR, Dresden","Diagnostic Tools for Operation and Optimization of the ELBE-FEL",
MOPP033,"O. Grimm, DESY, Hamburg; E. Chiadroni, Universita di Roma II Tor Vergata, Roma; H. Delsim-Hashemi, L. Fröhlich, DESY, Hamburg","Detector Response and Beam Line Transmission Measurements with Far-Infrared Radiation",
