FROA001,"P.H. Bucksbaum, Michigan University, Ann Arbor, Michigan","What to Do with Femtosecond Pulses?",
TUOA005,"Y.U. Jeong, H.J. Cha, KAERI, Daejon; G.M. Kazakevich, Fermilab, Batavia, Illinois; B.C. Lee, S.-H. Park, KAERI, Daejon","Present Status and Results from the KAERI Compact THz FEL Facility",
TUOB001,"L. Merminga, Jefferson Lab, Newport News, Virginia","Energy Recovery Linacs",
TUOB002,"W. Decking, DESY, Hamburg","Accelerator Layout and Physics of X-Ray Free-Electron Lasers",
TUOB003,"L. Serafini, INFN-Milano, Milano","Velocity and Magnetic Compressions in FEL Drivers",
TUOB004,"T. Limberg, M. Dohlus, DESY, Hamburg","Bunch Compression Stability Dependence on RF Parameters",
TUOC001,"T. Tanaka, RIKEN Spring-8, Hyogo; T. Bizen, JASRI/SPring-8, Hyogo; T. Hara, RIKEN Spring-8 Harima, Hyogo; D. Iwaki, JASRI/SPring-8, Hyogo; H. Kitamura, RIKEN Spring-8 Harima, Hyogo; X. Marechal, T. Seike, R. Tsuru, JASRI/SPring-8, Hyogo","In-Vacuum Undulators",
TUOC002,"J. Pflueger, DESY, Hamburg","Undulator Systems and Photon Dignostic Plans for the European XFEL Project",
TUOC003,"S.-H. Lee, ANL, Argonne, Illinois; D.E. Kim, PAL, Pohang, Kyungbuk; S. Sasaki, I. Vasserman, D.R. Walters, ANL, Argonne, Illinois","Magnetic Properties of Undulator Vacuum Chamber Materials for the Linac Coherent Light Source",
TUOC004,"S.H. Kim, ANL, Argonne, Illinois","Peak Fields of Nb3Sn Superconducting Undulators and a Scaling Law",
TUPP001,"S.G. Oganesyan, G.S. Oganesyan, LT CSC, Yerevan","Light Phase and Group Velocity in FEL",
TUPP002,"S.G. Oganesyan, G.S. Oganesyan, LT CSC, Yerevan","Controlling over Superintense Electromagnetic Pulse Parameters with FEL",
TUPP003,"H.K. Avetissian, S.S. Israelyan, G.F. Mkrtchian, Kh.V. Sedrakian, YSU, Yerevan","Quantum Signatures in Laser-Assisted Cherenkov Radiation",
TUPP004,"H.K. Avetissian, G.F. Mkrtchian, YSU, Yerevan","Quantum SASE Regime for X-Ray FEL",
TUPP005,"G. Geloni, E. Saldin, E. Schneidmiller, M.V. Yurkov, DESY, Hamburg","Misconceptions regarding Second Harmonic Generation in X-Ray Free-Electron Lasers",
TUPP006,"E. Saldin, E. Schneidmiller, M.V. Yurkov, DESY, Hamburg","Influence of an Energy Chirp on SASE FEL Operation",
TUPP007,"J.T. Donohue, CENBG, Gradignan; J. Gardelle, CESTA, Le Barp","Simulation of a Smith-Purcell FEL Using a Particle-in-Cell Code",
TUPP008,"J.T. Donohue, CENBG, Gradignan; J. Gardelle, CESTA, Le Barp","Simulation of Smith-Purcell Terahertz Radiation Using a Particle-in-Cell Code",
TUPP009,"G. De Ninno, ELETTRA, Basovizza, Trieste; W.M. Fawley, LBNL, Berkeley, California; W. Graves, MIT, Middleton, Massachusetts; G. Penn, LBNL, Berkeley, California","Optimization Issues in a Harmonic Cascade FEL",
TUPP010,"A. Antoniazzi, Universita di Firenze, Florence; G. De Ninno, ELETTRA, Basovizza, Trieste; D. Fanelli, A. Guarino, S. Ruffo, Universita di Firenze, Florence","Single Pass Free Electron Laser: The Reduced Hamiltonian",
TUPP011,"A. Antoniazzi, Universita di Firenze, Florence; J. Barre', LANL, Los Alamos, New Mexico; T. Dauxois, ENS LYON, Lyon; G. De Ninno, ELETTRA, Basovizza, Trieste; Y. Elskens, Universite de Provence, Marseille; D. Fanelli, S. Ruffo, Universita di Firenze, Florence","Multiple Time Scale Theory of Single-Pass Steady-State",
TUPP012,"A. Antoniazzi, Universita di Firenze, Florence; R. Bachelard, C. Chandre, CNRS/CPT, Marseille; D. Fanelli, Universita di Firenze, Florence; M. Vittot, CNRS/CPT, Marseille","Control Chaotic Diffusion in a Single Pass Free Electron Laser",
TUPP013,"F. Ciocci, ENEA C.R. Frascati, Frascati (Roma); S. Biedron, ANL, Argonne, Illinois; G. Dattoli, ENEA C.R. Frascati, Frascati (Roma); H. Freund, SAIC, McLean; L. Giannessi, ENEA C.R. Frascati, Frascati (Roma); S.V. Milton, ANL, Argonne, Illinois","Spectral Properties of Planar Bi-Harmonic Undulators and Their Use for FEL Operation",
TUPP014,"G. Dattoli, ENEA C.R. Frascati, Frascati (Roma); M. Migliorati, A. Schiavi, Rome University La Sapienza, Roma","Coherent Synchrotron Radiation: A Simulation Code Based on the Non-Linear Extension of the Operator Splitting Method",
TUPP015,"G. Dattoli, ENEA C.R. Frascati, Frascati (Roma); V.B. Asgegar, University of Pune, Pune","Theory of Cerenkov Free Electron Lasers",
TUPP017,"Y. Pinhasi, Yu. Lurie, G.A. Pinhasi, A. Yahalom, CJS, Ariel","Backward Wave Excitation and Generation of Oscillations in Free-Electron Lasers in the Absence of Feedback: Beyond the High Gain Approximation",
TUPP018,"A. Yahalom, Yu. Lurie, Y. Pinhasi, CJS, Ariel","Variational Approach for Coupled Backward and Forward Wave Excitation in Free-Electron Lasers",
TUPP019,"B. Farokhi, IPM, Tehran","Fully Relativistic Free-Electron Laser in a Partially Filled Waveguide",
TUPP020,"B. Farokhi, IPM, Tehran","Self-Field in Free-Electron Laser with Planar Wiggler and Ion Channel Guiding",
TUPP021,"Q.K. Jia, USTC/NSRL, Hefei, Anhui","An Analysis of Spontaneous Emission in Free-Electron Laser",
TUPP022,"G. Bassi, J.A. Ellison, UNM, Albuquerque, New Mexico","CSR Effects in a Bunch Compressor: Influence of the Beam Frame Transverse Force",
TUPP023,"I.V. Bandurkin, V.L. Bratman, A.V. Savilov, IAP/RAS, Nizhny Novgorod","CRM in the Regime of Nonresonant Bunching",
TUPP025,"J.P. Dai, IHEP, Beijing","Design Study of Beijing XFEL Test Facility",
TUPP026,"V. Kumar, K.-J. Kim, ANL, Argonne, Illinois","Numerical Simulation Studies of Smith-Purcell Free-Electron Lasers",
TUPP027,"H. Freund, SAIC, McLean","Time-Dependent Simulation of Free-Electron Laser Amplifiers and Oscillators",
TUPP028,"R. Tatchyn, SLAC, Menlo Park, California","Spectral-Angular Characteristics of the LCLS in the Near and Far Fields",
TUPP029,"J. Blau, W.B. Colson, S.P. Niles, R. Vigil, NPS, Monterey, California","Weak-Field Gain in Short-Rayleigh Length Free Electron Lasers",
TUPP030,"U. Lehnert, P. Michel, W. Seidel, D. Stehr, J. Teichert, D. Wohlfarth, R. Wuensch, FZR, Dresden","Optical Beam Properties and Performance of the MID-IR FEL at ELBE",
TUPP031,"W. Seidel, E. Grosse, U. Lehnert, P. Michel, R. Schlenk, U. Willkommen, D. Wohlfarth, FZR, Dresden; A. Wolf, MPI-K, Heidelberg; R. Wuensch, FZR, Dresden","A Far-Infrared FEL for the Radiation Source ELBE",
TUPP032,"G.P. Gallerano, A. Doria, E. Giovenale, G. Messina, I.P. Spassovsky, ENEA C.R. Frascati, Frascati (Roma)","Compact THz FELs and Their Potential in Biological Applications",
TUPP033,"A. Yahalom, CJS, Ariel; A. Eliran, A. Gover, University of Tel-Aviv, Faculty of Engineering, Tel-Aviv; Yu. Lurie, Y. Pinhasi, CJS, Ariel","STATISTICAL STUDY OF SPONTANEOUS EMISSION IN THE ISRAELI ELECTROSTATIC ACCELERATOR FREE-ELECTRON LASER",
TUPP034,"A. Gover, University of Tel-Aviv, Faculty of Engineering, Tel-Aviv; M. Einat, CJS, Ariel; A. Faingersh, M. Kanter, B. Kapilevich, B. Litvak, University of Tel-Aviv, Faculty of Engineering, Tel-Aviv; Yu. Lurie, CJS, Ariel; S. Peleg, University of Tel-Aviv, Faculty of Engineering, Tel-Aviv; Y. Pinhasi, CJS, Ariel; Y. Socol, M. Volshonok, University of Tel-Aviv, Faculty of Engineering, Tel-Aviv; A. Yahalom, CJS, Ariel","The Israeli EA-FEL Upgrade Towards Long Pulse Operation for Ultra-High Resolution Single Pulse Coherent Spectroscopy",
TUPP035,"R. Hajima, H. Iijima, N. Kikuzawa, E.J. Minehara, R. Nagai, T. Nishitani, JAEA/FEL, Ibaraki-ken; S. Okuda, Osaka Prefecture University, Sakai; M. Sawamura, JAEA/FEL, Ibaraki-ken; T. Takahashi, KURRI, Osaka","Generation of Coherent Synchrotron Radiation from JAERI-ERL",
TUPP036,"R. Hajima, H. Iijima, N. Kikuzawa, E.J. Minehara, R. Nagai, N. Nishimori, T. Nishitani, M. Sawamura, T. Yamauchi, JAEA/FEL, Ibaraki-ken","Status and Future Plans of JAERI Eergy-Recovery Linac FEL",
TUPP037,"E.J. Minehara, R. Hajima, H. Iijima, N. Kikuzawa, R. Nagai, N. Nishimori, T. Nishitani, M. Sawamura, T. Yamauchi, JAEA/FEL, Ibaraki-ken","JAERI 10kW High Power ERL-FEL and Its Applications in Nuclear Energy Industries",
TUPP038,"D. Li, K. Imasaki, ILT, Suita, Osaka; G.S. Park, Y. Yang, SNU, Seoul","Particle in Cell Simulation on Grating Radiation",
TUPP039,"N.S. Ginzburg, A.M. Malkin, N.Yu. Peskov, R.M. Rozental, A. Sergeev, V.Yu. Zaslavsky, IAP/RAS, Nizhny Novgorod","Mode Dynamics in the Bragg FEL Based on Coupling of Propagating and Trapped Waves",
TUPP040,"A.V. Kuzmin, O.A. Shevchenko, N. Vinokurov, BINP SB RAS, Novosibirsk","Predicted Parameters of the Second Stage of High Power Novosibirsk FEL",
TUPP041,"J. Blau, O.E. Bowlin, W.B. Colson, R. Vigil, T. Voughs, B.W. Williams, NPS, Monterey, California","Simulations of the Jefferson Lab FEL Using the New Electromagnetic Wiggler",
TUPP042,"M.D. Shinn, C.P. Behre, S.V. Benson, C.W. Gould, J.G. Gubeli, D. Hardy, G. Neil, S. Zhang, Jefferson Lab, Newport News, Virginia","High Power CW Operation of a Hole-Outcoupled Free-Electron Laser",
TUPP043,"T.V. Shaftan, BNL, Upton, Long Island, New York","Vacuum Window Design for High-Power Lasers",
TUPP044,"L.-H. Yu, D.F.L. Liu, J.B. Murphy, J. Rose, T.V. Shaftan, X.J. Wang, T. Watanabe, BNL, Upton, Long Island, New York","Short Rayleigh Range Free Electron Laser Amplifiers",
TUPP046,"T. Watanabe, D.F.L. Liu, J.B. Murphy, I.P. Pinayev, BNL, Upton, Long Island, New York; S. Reiche, UCLA, Los Angeles, California; J. Rose, T.V. Shaftan, J. Skaritka, BNL, Upton, Long Island, New York; P. Sprangle, NRL, Washington, DC; T. Tanabe, T. Tsang, X.J. Wang, L.-H. Yu, BNL, Upton, Long Island, New York","Design Study of a Compact Megawatt Class FEL Amplifier Based on the VISA Undulator",
TUPP047,"A.O. Aganyants, YerPhI, Yerevan","Gamma Laser on the Base of Intense Relativistic Electron Beam and Oriented Single Crystal",
TUPP048,"J.-Y. Raguin, R.J. Bakker, K.S.B. Li, M. Pedrozzi, PSI, Villigen","A Two-Frequency RF Cavity for the PSI Low Emittance Gun",
TUPP049,"D. Kipnis, E. Dyunin, A. Gover, University of Tel-Aviv, Faculty of Engineering, Tel-Aviv","Smith-Purcell Distributed Feedback Laser",
TUPP050,"T. Kanai, K. Awazu, S. Yoshihashi-Suzuki, Osaka University, Suita","Free Electron Laser Pulse Control by Acousto Optic Modulators",
TUPP051,"D. Li, ILT, Suita, Osaka","Free-Electron Laser with Bessel Beam Cavity",
TUPP052,"O.J. Luiten, M.J. Van der Wiel, TUE, Eindhoven","Compact, Ultra-Bright Coherent Transition Radiation Terahertz Source",
TUPP053,"A.I. Al-Shamma'a, J. Lucas, A. Shaw, R.A. Stuart, C.C. Wright, University of Liverpool, Liverpool; P. van der Slot, University of Twente; J. Hamelin, University of Rennes ; M. houghton, University of Liverpool, Liverpool","Novel Techniques using FEM for Material Production and Processing",
TUPP054,"H. Ogasawara, SLAC, Menlo Park, California; A. Nilsson, New Affiliation Request Pending, Menlo Park, California; D. Nordlund, SLAC, Menlo Park, California","Ultrafast Coherent Control and Characterization of Surface Reactions using FELs",
TUPP055,"R. Tatchyn, SLAC, Menlo Park, California","Ultra-Fast Pump-Probe Detection using Plasmas",
TUPP056,"C.M.S. Sears, SLAC, Menlo Park, California; R.L. Byer, Stanford University, Stanford, Califormia; E.R. Colby, SLAC, Menlo Park, California; T. Plettner, Stanford University, Stanford, Califormia; R. Siemann, J.E. Spencer, SLAC, Menlo Park, California","Harmonic Inverse FEL Interaction at 800nm",
TUPP057,"W.B. Colson, R. Vigil, T. Voughs, NPS, Monterey, California","Free Electron Lasers in 2005",
TUPP058,"G.P. Williams, S.V. Benson, G.H. Biallas, Jefferson Lab, Newport News, Virginia; O.V. Chubar, SOLEIL, Gif-sur-Yvette; D. Douglas, Jefferson Lab, Newport News, Virginia; P. D. Dumas, SOLEIL, Gif-sur-Yvette; J.G. Gubeli, G. Neil, M.D. Shinn, S. Zhang, Jefferson Lab, Newport News, Virginia","Calculations and Mitigation of THz Mirror Heating at the Jefferson Lab FEL",
TUPP059,"S. Zhang, D. Hardy, G. Neil, M.D. Shinn, Jefferson Lab, Newport News, Virginia","Characterization and Performance of a High-Power Solid-State Laser for a High-Current Photocathode Injector",
TUPP060,"K. Jensen, NRL, Washington, DC; A. Balter, , ; D.W. Feldman, N.A. Moody, P.G. O'Shea, IREAP, College Park, Maryland","Photoemission from Coated Surfaces: A Comparison of Theory to Experiment",
TUPP061,"H.J. Cha, Y.U. Jeong, B.C. Lee, S.-H. Park, KAERI, Daejon; S.-H. Park, Yonsei University, Seoul","FTIR Spectroscopy on Basic Materials in THz Region for Compact FEL-Based Imaging",
TUPP062,"O. Williams, A. Doyuran, R.J. England, C. Joshi, J. Lim, J.B. Rosenzweig, S. Tochitsky, G. Travish, UCLA, Los Angeles, California","Investigation of X-Ray Harmonics in the Polarized Nonlinear Inverse Compton Scattering Experiment at UCLA",
TUPP063,"M.A. Mackanos, E.D. Jansen, VUFEL, Nashville, Tennessee; A. Schwettman, D. Simanovski, Stanford University, Stanford, Califormia","Comparison of a ZGP:OPO with a Mark-III FEL as a Potential Replacement for Mid-Infrared Soft Tissue Ablation Applications",
TUPP065,"M. Rusek, J. Krzywinski, IP PAS, Warsaw","Explosion of Small Xenon Clusters in a Shortwave Free-Electron Laser Pulse",
TUPP066,"R. Hajima, T. Tajima, JAEA/FEL, Ibaraki-ken","Beyond the International Linear Collider: Driven by FEL with Energy Recovery at 5-10TeV",
TUPP067,"R. Bonifacio, INFN-Milano, Milano; N. Piovella, Universita' degli Studi di Milano, MILANO","Quantum Theory of High-Gain Free-Electron Lasers",
TUPP068,"R. Bonifacio, INFN-Milano, Milano","Analytical Solution for FEL nd CARL Nonlinear Regime",
WEOA001,"S. Bielawski, C. Bruni, PhLAM/CERCLA, Villeneuve d'Ascq Cedex; M.-E. Couprie, CEA/DSM/DRECAM/SPAM, Gif-sur-Yvette; G. De Ninno, B. Diviacco, ELETTRA, Basovizza, Trieste; D. Fanelli, Universita di Firenze, Florence; D. Garzella, CEA/DSM/DRECAM/SPAM, Gif-sur-Yvette; M. Hosaka, M. Katoh, A. Mochihashi, UVSOR, Okazaki; G.L. Orlandi, ENEA C.R. Frascati, Frascati (Roma); C. Szwaj, PhLAM/CERCLA, Villeneuve d'Ascq Cedex; Y. Takashima, Nagoya University Graduate School of Engineering, Nagoya; M. Trovo, ELETTRA, Basovizza, Trieste","Feedback Control Of Dynamical Instabilities In Classical Lasers And Fels",
WEOA002,"M. Hosaka, UVSOR, Okazaki; M.-E. Couprie, CEA/Saclay, Gif-sur-Yvette; M. Katoh, UVSOR, Okazaki; M. LABAT, CEA/Saclay, Gif-sur-Yvette; A. Mochihashi, UVSOR, Okazaki; Y. Takashima, Nagoya University Graduate School of Engineering, Nagoya","Storage Ring Free-Electron Laser Saturation for Chromatic and Achromatic Optics",
WEOA003,"Y.K. Wu, DU/FEL, Durham, North Carolina; N. Gavrilov, G. Kulipanov, BINP SB RAS, Novosibirsk; J. Li, S. Mikhailov, V. Popov, DU/FEL, Durham, North Carolina; O.A. Shevchenko, N. Vinokurov, P. Vobly, BINP SB RAS, Novosibirsk","First Lasing and Initial Operation of a Circularly Polarized Optical Klystron OK-5 FEL and a Variably Polarized Distributed Optical Klystron DOK-1 FEL at Duke",
WEOA004,"K. Chalut, Duke University, Durham, North Carolina; V. Litvinenko, I.P. Pinayev, BNL, Upton, Long Island, New York; S. Roychowdhury, Duke University, Durham, North Carolina","Phase-Space Tomography of Giant Pulses in Storage Ring FEL: Theory and Experiment",
WEOB001,"K. Honkavaara, Uni HH, Hamburg","Electron Beam Characterization at PITZ and the VUV-FEL at DESY",
WEOB002,"C.K. Sinclair, Cornell University, Department of Physics, Ithaca, New York","High Brightness, High Average Current Injector Development at Cornell",
WEOB003,"O.J. Luiten, M.J. Van der Wiel, TUE, Eindhoven","Pancakes, Waterbags, and Cold Atoms: New Recipes for High-Brightness Electron Beams",
WEOB004,"C. Limborg-Deprey, SLAC, Menlo Park, California","Maximizing Brightness in PhotoInjectors",
