mopo036,"M. Sawamura, R. Hajima [JAEA, Ibaraki-ken, Japan] R. Nagai, N. Nishimori [JAEA/ERL, Ibaraki, Japan] ","Design Optimization of Spoke Cavity of Energy-Recovery Linac for Non-Destructive Assay Research",165 168,
mopo037,"F.D. Dziuba, M. Busch, H. Podlech, U. Ratzinger [IAP, Frankfurt am Main, Germany] M. Amberg [HIM, Mainz, Germany] K. Aulenbacher [IKP, Mainz, Germany] W.A. Barth, S. Mickat [GSI, Darmstadt, Germany] ","Development of Superconducting CH Cavities",169 171,
mopo038,"T. Konomi [Sokendai, Ibaraki, Japan] F. Furuta, K. Saito [KEK, Ibaraki, Japan] F. Yasuda [The University of Tokyo, Institute of Physics, Tokyo, Japan] ","Development of the Demountable Damped Cavity",172 176,
mopo039,"H. Gassot, S. Bousson, G. Olry, S. Rousselot [IPN, Orsay, France] ","Low- Triple Spoke Cavity Design Improvement for Proton Linac",177 179,
mopo041,"J. Plouin [CEA/IRFU, Gif-sur-Yvette, France] G. Devanz [CEA/DSM/IRFU, France] ","Conceptual Design of the  = 0.86 Cavities for the Superconducting Linac of ESS",180 183,
mopo042,"Y. Xie, M. Liepe [CLASSE, Ithaca, New York, USA] ","Coupler Design for a Sample Host TE Cavity",184 187,
mopo043,"H. Park, J.R. Delayen [JLAB, Newport News, Virginia, USA] S.U. De Silva, H. Park [ODU, Norfolk, Virginia, USA] ","Mechanical Study of Superconducting Parallel-Bar Deflecting/Crabbing Cavities",188 191,
mopo044,"B. Mustapha, Z.A. Conway, A. Kolomiets, P.N. Ostroumov [ANL, Argonne, USA] ","Electromagnetic Design Optimization of a Half-Wave Resonator",192 196,
mopo045,"J.P. Holzbauer [NSCL, East Lansing, Michigan, USA] J. Binkowski, M.J. Johnson, S.J. Miller, J. Popielarski, Y. Xu [FRIB, East Lansing, Michigan, USA] ","Coupled Electromagnetic and Mechanical Simulations for Half-Wave Resonator Design",197 199,
mopo046,"Y. Xu, A. Facco, M.J. Johnson, S.J. Miller, J. Popielarski [FRIB, East Lansing, Michigan, USA] ","Electromagnetic Optimization of the FRIB 322 MHz =0.29 Half Wave Resonator",200 202,
mopo047,"P. Kolb, Y.-C. Chao, R.E. Laxdal, D. Longuevergne, V. Zvyagintsev [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","HOM Cavity Design for the TRIUMF E-LINAC",203 205,
mopo049,"C. Zhang, Y. He, S.H. Zhang, H.W. Zhao [IMP, Lanzhou, People's Republic of China] ","Electro-Magnetic Optimization of a Quarter-Wave Resonator",206 209,
