MOPPH052,"K. Goldammer, A. Meseck, B. C. Kuske, BESSY GmbH, Berlin","Output Performance of the STARS HGHG Demonstrator at BESSY",130 133,
MOPPH054,"J. Bahrdt, V. Duerr, M. Scheer, G. Wuestefeld, A. Meseck, BESSY GmbH, Berlin","Small-Aperture Vacuum-Chamber Design for STARS",134 137,
MOPPH055,"G. Asova, INRNE, Sofia; J. W. Baehr, C. H. Boulware, DESY Zeuthen, Zeuthen; K. Boyanov, INRNE, Sofia; K. Floettmann, DESY, Hamburg; H.-J. Grabosch, L. H. Hakobyan, M. Hänel, S. Khodyachykh, S. A. Korepanov, M. Krasilnikov, S. Lederer, A. Oppelt, B. Petrosyan, DESY Zeuthen, Zeuthen; R. Richter, BESSY GmbH, Berlin; S. Riemann, S. Rimjaem, J. Roensch, A. Shapovalov, F. Stephan, DESY Zeuthen, Zeuthen; I. Tsakov, INRNE, Sofia; L. Staykov, DESY Zeuthen, Zeuthen","Measurements of the Projected Normalized Transverse Emittance at PITZ",138 141,
MOPPH058,"D. Filippetto, INFN/LNF, Frascati (Roma)","Status of the SPARX Project",142 145,
MOPPH060,"Y. C. Chen, W. Li, CAEP/IAE, Mianyang, Sichuan","The Drive Laser System for CFEL",146 148,
MOPPH061,"J. Choi, J. Y. Huang, H.-S. Kang, I. S. Ko, T.-Y. Lee, J.-S. Oh, S. J. Park, PAL, Pohang, Kyungbuk; C. M. Yim, POSTECH, Pohang, Kyungbuk; M. Kim, PAL, Pohang, Kyungbuk","Design of the PAL Test FEL Machine",149 151,
MOPPH062,"J. Choi, H.-S. Kang, T.-Y. Lee, PAL, Pohang, Kyungbuk","Features of the PAL-XFEL Design",152 155,
MOPPH063,"N. S. Ginzburg, IAP/RAS, Nizhny Novgorod; P. V. Kalinin, S. A. Kuznetsov, BINP SB RAS, Novosibirsk; N. Yu. Peskov, A. Sergeev, V. Yu. Zaslavsky, I. V. Zotova, IAP/RAS, Nizhny Novgorod; A. V. Arzhannikov, BINP SB RAS, Novosibirsk","Potentialities of ELMI Device for Submillimeter Generation by Stimulated Intercavity Scattering in Planar FEM",156 159,
MOPPH064,"Y. H. Han, Y. U. Jeong, B. C. Lee, KAERI, Daejon; S. V. Miginsky, BINP SB RAS, Novosibirsk; S. H. Park, KAERI, Daejon; A. V. Bondarenko, BINP SB RAS, Novosibirsk","A Project of SC ERL at KAERI",160 162,
MOPPH068,"K.-J. Boller, Mesa+, Enschede; J. Jalink, Radboud University Nijmegen, Institute of Molecules and Materials, Nijmegen; E. van Geijin, Mesa+, Enschede; W. J. van der Zande, Radboud University Nijmegen, Institute of Molecules and Materials, Nijmegen; P. J.M. van der Slot, Twente University, Laser Physics and Non-Linear Optics Group, Enschede","The NCAS-FEL: an FEL Oscillator with High Slippage",163 166,
MOPPH069,"J. A. Clarke, STFC/DL/ASTeC, Daresbury, Warrington, Cheshire; B. W.J. McNeil, USTRAT/SUPA, Glasgow; N. Thompson, D. J. Dunning, STFC/DL/ASTeC, Daresbury, Warrington, Cheshire","3D Modelling of the ERLP IR-FEL",167 170,
MOPPH072,"M. Justus, K.-W. Leege, D. Proehl, R. Schlenk, A. Winter, D. Wohlfarth, R. Wuensch, W. Seidel, FZD, Dresden","The IR-Beam Transport System from the ELBE-FELs to the User Labs",171 174,
MOPPH073,"E. J. Minehara, JAEA/FEL, Ibaraki-ken","Thermal and Non-thermal Laser Cutting Utilizing Advanced Industrial Lasers and ERL-FELs",175 178,
MOPPH074,"V. Kumar, S. Krishnagopal, RRCAT, Indore (M. P.)","Preliminary Design of the Proposed IR-FEL in India",179 181,
THAAU01,"M. D. Shinn, Jefferson Lab, Newport News, Virginia","Experience and Plans of the JLAB FEL Facility as a User Facility",491 495,
THAAU03,"V. G. Baryshevsky, N. A. Belous, V. A. Evdokimov, A. Gurinovich, A. S. Lobko, A. V. Oskin, P. F. Safronov, P. V. Molchanov, Belarussian State University, Scientific Research Institute of Nuclear Problems, Minsk","Experimental Study of Volume Free Electron Laser Using a "Grid" Photonic Crystal with Variable Period",496 498,
THBAU01,"J. Feldhaus, R. Treusch, DESY, Hamburg","Research Highlights from FLASH",499 500,
THBAU04,"M. Einat, CJS, Ariel; A. Gover, University of Tel-Aviv, Faculty of Engineering, Tel-Aviv; M. Kanter, B. Litvak, A. Yahalom, B. Yu. Kapilevich, CJS, Ariel","Millimeter Waves Sensing Behind Walls - Feasibility Study with FEL Radiation",501 504,
TUAAU02,"O. A. Shevchenko, V. G. Tcheskidov, N. Vinokurov, A. N. Matveenko, BINP SB RAS, Novosibirsk","Electron Outcoupling Scheme for the Novosibirsk FEL",204 206,
TUAAU05,"K.-J. Boller, J. G. Karssenberg, P. J.M. van der Slot, Mesa+, Enschede","Modelling Mirror Aberrations in FEL Oscillators Using OPC",207 210,
TUBAU01,"H. Schlarb, DESY, Hamburg","FLASH Upgraded - Preparing for the European XFEL",211 215,
