mo-15,"K. Egawa, T. Kubo, H. Nakayama, J. Urakawa, KEK, Ibaraki, Japan","RD Status of the Magnet System for the ATF Damping Ring",80 82,
mo-16,"S. Kuroda, T. Kawamoto, H. Nakayama, Y. Sakamoto, J. Urakawa, KEK, Ibaraki, Japan; M. Nakai, NKK, Mie-ken, Japan","ATF Beam Transport Line",83 85,
mo-17,"R. Bacher, H. Edwards, H. Weise, DESY, Hamburg, Germany","The TESLA Test Facility Status Report (Oral Poster)",86 88,
mo-18,"A.D. Yeremian, R.H. Miller, J.W. Wang, SLAC, Stanford, California, USA","Next Linear Collider Test Accelerator Injector Design and Status (Oral Poster)",89 91,
mo-19,"E.L. Saldin, E.A. Schneidmiller, Yu.N. Ulyanov, Automatic Systems Corporation, Samara, Russia; V.P. Sarantsev, M.V. Yurkov, JINR, Dubna, Moscow Region, Russia","Quasi-Optical RF Power Supply for TeV Linear Colliders",92 94,
mo-20,"J.G. Alessi, W. Buxton, A. Kponou, V. LoDestro, M. Mapes, A.J. McNerney, D. Raparia, BNL, Upton, New York, USA","Upgrade of the AGS H- Linac (Oral Poster)",95 97,
mo-22,"A.S. Bogomolov, BINP, Novosibirsk, Russia","To Design D-Linac for Fusion Materials Irradiation Facility",98 100,
mo-23,"K.C.D. Chan, J.H. Billen, N.K. Bultman, L. Eaton, R.W. Garnett, J.D. Gilpatrick, A.J. Kozubal, R.H. Kraus, F.L. Krawczyk, G. Lawrence, D. Liska, S. Nath, J.D. Schneider, D. Schrage, J. Sherman, P. Smith, R.R. Stevens, Jr., P.J. Tallerico, R.L. Wood, L.M. Young, C.D. Ziomek, LANL, Los Alamos, New Mexico, USA","Accelerator Performance Demonstration Facility in Los Alamos",101 103,
mo-24,"F.L. Krawczyk, N.K. Bultman, K.C.D. Chan, R.L. Martineau, LANL, Los Alamos, New Mexico, USA","Design of RF-Cavities for CW Operation",104 106,
mo-25,"R.W. Garnett, LANL, Los Alamos, New Mexico, USA; P. Smith, Grumman Aerospace Corporation, Bethpage, New York, USA","Design of a Current-Independent Matching Section for APDF",107 109,
mo-26,"G.H. Gillespie, B.W. Hill, G.H. Gillespie Associates Inc., Del Mar, California, USA; R.A. Jameson, LANL, Los Alamos, New Mexico, USA","A New Tool for Accelerator System Modeling and Analysis",110 112,
mo-27,"K. Hasegawa, N. Ito, J. Kusano, M. Mizumoto, H. Oguri, JAERI/Tokai, Ibaraki-ken, Japan; H. Murata, S. Tatsumi, Sumitomo Heavy Industries Ltd., Ehime-ken, Japan","First Beam Test of the JAERI 2 MeV RFQ for the BTA",113 115,
mo-28,"K. Ikeda, J. Hirota, T. Kan, H. Yokobori, Mitsubishi Atomic Power Industries, Yokohama-shi, Japan; M. Inoue, Y. Iwashita, A. Noda, Kyoto University, Kyoto, Japan","Optimum Combination of Low-beta; Cavities for a Proton Linac",116 118,
mo-29,"N. Ito, K. Hasegawa, J. Kusano, M. Mizumoto, H. Oguri, JAERI/Tokai, Ibaraki-ken, Japan; Z. Kabeya, K. Sakogawa, MHI, Nagoya-shi, Japan; H. Murata, Sumitomo Heavy Industries Ltd., Ehime-ken, Japan","Fabrication and Tests of the DTL Hot Model in the RD Works for the Basic Technology Accelerator (BTA) in JAERI",119 121,
mo-30,"M. Kando, H. Dewa, H. Fujita, M. Ikegami, M. Inoue, Y. Iwashita, S. Kakigi, A. Noda, T. Shirai, Kyoto University, Kyoto, Japan","Improvement of the Low Energy Beam Transport System at the ICR 7 MeV Proton Linac",122 124,
mo-31,"J.-M. Lagniel, CEN-Saclay, Gif-sur-Yvette, France","Tools for the Design of High-Current Linacs",125 127,
mo-32,"I.V. Chuvilo, A.A. Kolomiets, A.M. Kozodaev, N.V. Lazarev, Yu.G. Orlov, V.K. Plotnikov, A.M. Raskopin, O.V. Shvedov, V.S. Skachkov, V.V. Vasiliev, R.M. Vengrov, S.G. Yaramishev, ITEP, Moscow, Russia","Test Facility for Nuclear Waste Transmutation Studies (Oral Poster)",128 130,
mo-34,"G.E. McMichael, J. Carwardine, P. Den Hartog, L. Sagalovsky, T. Yule, ANL, Argonne, Illinois, USA; I. Clarkson, R. Papsco, Grumman Aerospace Corporation, Bethpage, New York, USA; G. Pile, Culham Laboratory, Oxfordshire, England","CWDD Accelerator at Argonne - Status and Future Opportunities",131 133,
mo-36,"F. Naito, T. Kato, E. Takasaki, Y. Yamazaki, KEK, Ibaraki, Japan; Y. Iino, T. Kawasumi, K. Suzuki, MHI, Nagoya-shi, Japan","New Engineering Techniques used in a High-Power Model of the 432 MHz DTL",134 136,
mo-37,"F. Naito, S. Anami, Z. Igarashi, T. Kato, M. Kawamura, T. Kubo, T. Kubota, K. Kudo, Y. Morozumi, K. Nanmo, M. Ono, E. Takasaki, T. Takenaka, Y. Yamazaki, K. Yoshino, KEK, Ibaraki, Japan","RF Characteristics of a High-Power Model of the 432 MHz DTL",137 139,
mo-38,"S. Nath, LANL, Los Alamos, New Mexico, USA","Funnel Section for the APDF under Various Error Conditions",140 142,
mo-39,"S. Okuda, Y. Honda, N. Kimura, J. Ohkuma, T. Okada, S. Suemine, T. Yamamoto, Osaka University, Osaka, Japan; S. Takeda, KEK, Ibaraki, Japan","Generation of High-Intensity Two-Bunch Electron Beams with the L-Band Linac at ISIR for FELs and the other Applications",143 145,
mo-40,"M. Promé, CEN-Saclay, Gif-sur-Yvette, France","Conceptual Studies for a High Power Proton Linac (Oral Poster)",146 148,
mo-42,"J.D. Schneider, G.O. Bolme, V. Brown, M. Milder, G. Neuschaefer, D. Rees, P. Schafstall, J. Sherman, R.R. Stevens, Jr., T. Zaugg, LANL, Los Alamos, New Mexico, USA; G.E. McMichael, ANL, Argonne, Illinois, USA; J. Sheikh, T. Taylor, Atomic Energy of Canada, Chalk River, Ontario, Canada","Installation of a CW Radiofrequency Quadrupole Accelerator at Los Alamos National Laboratory",149 151,
mo-43,"D. Schrage, W. Clark, R. DePaula, F. Martinez, P. Roybal, L.M. Young, LANL, Los Alamos, New Mexico, USA","A New RFQ Linac Fabrication Technique",152 154,
mo-44,"T. Shirai, H. Dewa, H. Fujita, M. Ikegami, M. Inoue, Y. Iwashita, S. Kakigi, M. Kando, A. Noda, Kyoto University, Kyoto, Japan","Design and Experiments of the RFQ Linac at Kyoto University",155 157,
mo-45,"V.A. Zenin, A.P. Maltsev, I.G. Maltsev, V.V. Nezhegorodsev, V.B. Stepanov, V.A. Teplyakov, Institute for High Energy Physics, Protvino, Moscow Region, Russia","30 MeV Proton Linear Accelerator with RFQ Focusing (Oral Poster)",158 162,
mo-46,"A.M.M. Todd, D. Berwald, D.L. Bruhwiler, S.L. Mendelsohn, C.C. Paulson, M.F. Reusch, P. Walstrom, Grumman Research and Development Center, Princeton, New Jersey, USA; A.J. Jason, R.H. Kraus, W.P. Lysenko, C.T. Mottershead, F. Neri, O.R. Sander, R.E. Shafer, E.A. Wadlinger, LANL, Los Alamos, New Mexico, USA","The Double Eagle Space Experiment (DESE) Beamline Design",163 165,
mo-47,"A. Ueno, S. Anami, Z. Igarashi, M. Kawamura, M. Kihara, C. Kubota, K. Kudo, Y. Mori, Y. Morozumi, M. Ono, A. Takagi, E. Takasaki, Y. Yamazaki, K. Yoshino, KEK, Ibaraki, Japan; S. Fujimura, Graduate University for Advanced Studies, Ibaraki, Japan","First Operation of a 432-MHz, 3-MeV RFQ Stabilized with PISLs (Oral Poster)",166 168,
mo-48,"A. Ueno, S. Anami, Z. Igarashi, M. Kawamura, M. Kihara, C. Kubota, K. Kudo, Y. Mori, Y. Morozumi, M. Ono, A. Takagi, E. Takasaki, Y. Yamazaki, K. Yoshino, KEK, Ibaraki, Japan","High-Power Test of a 432-MHz, 3-MeV RFQ Stabilized with PISLs",169 171,
mo-49,"A. Ueno, Y. Yamazaki, KEK, Ibaraki, Japan","Low-Power RF Characteristics of a 432-MHz, 3-MeV RFQ Stabilized with PISLs",172 174,
mo-50,"C.E. Hill, A.M. Lombardi, W. Pirkl, E. Tanke, M. Vretenar, CERN, Geneva, Switzerland","Performance of the CERN Linac 2 with a High Intensity Proton RFQ (Oral Poster)",175 177,
mo-52,"L.M. Young, LANL, Los Alamos, New Mexico, USA","An 8-Meter-Long Coupled Cavity RFQ Linac",178 180,
mo-53,"T. Emoto, K. Hirano, M. Nomura, H. Oshita, H. Takei, S. Tôyama, Y.L. Wang, Y. Yamazaki, PNC, Ibaraki, Japan; A. Enomoto, I. Sato, KEK, Ibaraki, Japan","PNC High Power CW Electron Linac Status (Oral Poster)",181 183,
mo-54,"A. Enomoto, H. Hanaki, K.W. Kakihara, T. Kamitani, Y. Ogawa, S. Ohsawa, T. Oogoe, I. Sato, S. Yamaguchi, M. Yokota, KEK, Ibaraki, Japan","Re-formation of the PF 2.5-GeV Linac to 8 GeV",184 186,
mo-55,"S. Joly, J.P. de Brion, D.H. Dowell, D.W. Feldman, G. Haouat, A. Loulergue, F. Schumann, CEA, Bruyères-le-Châtel, France","Brightness Measurements of the ELSA Electron Beam",187 189,
mo-56,"T. Kamitani, A. Enomoto, Y. Ogawa, S. Ohsawa, I. Sato, KEK, Ibaraki, Japan","Design of the Beam Transport System of the KEK B-Factory Injector",190 192,
mo-57,"S. Ohsawa, J.-Y. Choi, A. Enomoto, T. Kamitani, Y. Ogawa, I. Sato, T. Suwada, S. Yamaguchi, M. Yokota, KEK, Ibaraki, Japan","High-Intensity Single-Bunch Beam of the PF 2.5-GeV Linac",193 195,
mo-58,"Y.J. Pei, M. Bai, G.R. Huang, University of Science and Technology of China, Hefei, Anhui, China","Energy Stabilities of 200 MeV Electron Linac",196 198,
mo-59,"S. Tôyama, M. Nomura, Y.L. Wang, PNC, Ibaraki, Japan; A. Enomoto, I. Sato, KEK, Ibaraki, Japan","The Design of Injector for the PNC High Power CW Linac",199 201,
mo-60,"J. Wang, Q. Han, D. Ling, IHEP Beijing, Beijing, China","The Status of BEPC 1.3-GeV Linac (Oral Poster)",202 204,
mo-61,"Y.L. Wang, T. Emoto, M. Nomura, S. Tôyama, PNC, Ibaraki, Japan; I. Sato, KEK, Ibaraki, Japan","A Novel Chopper System for High Power CW Linac",205 207,
mo-62,"M. White, N. Arnold, W. Berg, A. Cours, R. Fuja, A. Grelick, K. Ko, Y.L. Qian, T. Russell, N. Sereno, W. Wesolowski, ANL, Argonne, Illinois, USA","Status of the Advanced Photon Source (APS) Linear Accelerator (Oral Poster)",208 210,
mo-63,"H. Anamkath, E. Gower, D. Palmer, K. Whitham, T. Zante, TITAN Beta, Dublin, California, USA","500 MW, 300 kW Modulator",211 212,
Mo-64,"H. Anamkath, J. Edighoffer, S. Lyons, R. Miller, D. Nett, P. Treas, K. Whitham, T. Zante, TITAN Beta, Dublin, California, USA; R.H. Miller, SLAC, Stanford, California, USA; R. Boni, H. Hsieh, F. Sannibale, M. Vescovi, G. Vignola, INFN/LNF, Frascati (Roma), Italy","Design and Factory Test of the e+/e- Frascati Linear Accelerator for DAPhi;NE",213 215,
mo-65,"H. Anamkath, F. Gower, R. Mendonsa, K. Whitham, T. Zante, TITAN Beta, Dublin, California, USA; T. Allen, G. Pageau, B. Williams, TITAN Scan, Denver, Colorado, USA","10 MeV, 10 kW E-Beam Processing Linac",216 218,
mo-66,"Y. Yamazaki, M. Nomura, PNC, Ibaraki, Japan","The Electron Gun for the PNC High Power CW Linac",219 221,
mo-67,"O.K. Belyaev, Institute for High Energy Physics, Protvino, Moscow Region, Russia","Distribution of the RF Losses on the Electrodes of Accelerating Structure with Spatial Periodic RFQ Focusing",222 224,
mo-68,"A.S. Bogomolov, BINP, Novosibirsk, Russia","Near Term Perspective  RMAPFBW",225 226,
mo-69,"K.R. Crandall, Consult Crandall, Sandia Park, New Mexico, USA","Ending RFQ Vanetips with Quadrupole Symmetry",227 229,
mo-70,"E.A. Begloyan, E.D. Gazazian, V.G. Kocharian, E.M. Laziev, Yerevan Physics Institute, Yerevan, Armenia","The Interaction of the Charged Particles Bunches and Waveguide-Cavity Structures",230 232,
mo-71,"T. Hattori, T. Ito, T. Nakamura, Y. Oguri, M. Okada, M. Okamura, Tokyo Institute of Technology, Tokyo, Japan; H. Schubert, H. Morinaga, TU München, München, Germany; D. Dudu, E. Ivanof, G. Pascovici, V. Zoran, Institute for Atomic Physics, St Magurele, Ilfov, Rumania; S. Yamaki, Nihon Seikousyo, Ltd., Hokkaido, Japan; Y. Shida, University of Tokyo, Tokyo, Japan; T. Fujisawa, Denkikougyou, Ltd., Ishikawa, Japan; S. Seki, Nihon Shinkuu, Ltd., Kanagawa, Japan; K. Furuno, University of Tsukuba, Tsukuba, Japan","Study of IH Type Linear Accelerator for Radio-Isotopes Production",233 235,
mo-72,"H. Hayano, H. Matsumoto, T. Naito, S. Takeda, KEK, Ibaraki, Japan; T. Asaka, Tohokugakuin University, Miyagi, Japan; M. Schmitz, DESY, Hamburg, Germany","An 80 MeV Injector for ATF Linac",236 238,
mo-73,"Y. Iwashita, Kyoto University, Kyoto, Japan","Pisces II: 2.5-D RF Cavity Code, An Extension of Superfish",239 241,
mo-74,"Y. Iwashita, Kyoto University, Kyoto, Japan","Biperiodic 4-T Support Daw for Electron Acceleration",242 244,
mo-75,"Y. Iwashita, Kyoto University, Kyoto, Japan; H. Fujisawa, Nissin Electric Co. Ltd., Kyoto, Japan","Frequency Tunable 4-rod RFQ",245 247,
mo-76,"T. Kageyama, Y. Morozumi, Y. Yamazaki, K. Yoshino, KEK, Ibaraki, Japan","Development of Annular Coupled Structure (Oral Poster)",248 250,
mo-77,"E. Kako, S. Noguchi, M. Ono, K. Saito, T. Shishido, KEK, Ibaraki, Japan; S. Kobayashi, Saitama University, Saitama, Japan; M. Matsuoka, MHI, Kobe-shi, Hyogo-ken, Japan; T. Higuchi, H. Miwa, T. Suzuki, Nomura Plating Co. Ltd., Tochigi, Japan","High Gradient Tests of 1.3 GHz Superconducting Cavities",251 253,
mo-78,"V. Kapin, M. Inoue, Y. Iwashita, A. Noda, Kyoto University, Kyoto, Japan","Normal Mode Analysis of the Four Rod RFQ as a System of TEM Transmission Lines",254 256,
mo-79,"I.V. Gonin, L.V. Kravchuk, G.V. Romanov, S. Tarasov, RAS/INR, Moscow, Russia; A. Gamp, DESY, Hamburg, Germany","Some Aspects of Non-Resonant Multipactor Discharges in RF Cavities (Oral Poster)",257 259,
mo-80,"N. Kroll, University of California, San Diego, California, USA; K. Bane, K. Ko, R.H. Miller, R.D. Ruth, K. Thompson, SLAC, Stanford, California, USA; R.L. Gluckstern, University of Maryland, College Park, Maryland, USA","Higher Order Mode Damping for a Detuned Structure (Oral Poster)",260 262,
mo-81,"A. Miura, H. Baba, T. Hiraoka, Y. Nimura, K. Shinohara, K. Suzuki, Nihon Koshuha Co. Ltd., Kanagawa, Japan","Fabrication of HOM-Free Linear Accelerating Structure Using Choke Mode Cavity for Japan Linear Collider",263 265,
mo-82,"T. Oogoe, A. Enomoto, I. Sato, KEK, Ibaraki, Japan","High-Gradient Acceleration Test Using a Resonant Ring",266 268,
mo-83,"M. Pabst, K. Bongardt, FZJ, Jülich, Germany","Design Considerations of the ESS Coupled Cavity Linac",269 271,
mo-84,"J.W. Rathke, Grumman Aerospace Corporation, Bethpage, New York, USA; L.M. Young, LANL, Los Alamos, New Mexico, USA","Engineering Design and Fabrication of a CW Deuterium RFQ",272 274,
mo-85,"U. Ratzinger, E. Malwitz, M. Rau, GSI, Darmstadt, Germany","Design Study of a Four Vane RFQ for High Duty Cycle Operation",275 277,
mo-86,"I.V. Gonin, L.V. Kravchuk, V.V. Paramonov, G.V. Romanov, RAS/INR, Moscow, Russia","The Measurement of Accelerating Cell Eigen Frequency",278 280,
mo-87,"S. Sakanaka, T. Higo, F. Hinode, K. Kubo, J. Urakawa, KEK, Ibaraki, Japan; T. Rizawa, Toshiba Corporation, Yokohama, Japan","Low-Power Measurement on a HOM Damped Cavity for the ATF Damping Ring",281 283,
mo-88,"J. Sekutowicz, DESY, Hamburg, Germany","2D FEM Code with Third Order Approximation for RF Cavity Computation",284 286,
mo-89,"K.W. Shepard, ANL, Argonne, Illinois, USA; P.N. Potukuchi, A. Roy, Nuclear Science Centre, New Delhi, India","Niobium Coaxial Quarter-Wave Cavities",287 289,
mo-90,"K.W. Shepard, ANL, Argonne, Illinois, USA; J. Givens, J.M. Potter, AccSys Technology Incorporated, Pleasanton, California, USA","Construction of a Superconducting RFQ Structure",290 292,
mo-91,"T. Shintake, H. Hayano, H. Matsumoto, KEK, Ibaraki, Japan","High Power Test of HOM-Free Choke-Mode Damped Accelerating Structure (Oral Poster)",293 295,
mo-92,"O.K. Belyaev, V.V. Klokov, V.S. Sevostyanov, V.B. Stepanov, Institute for High Energy Physics, Protvino, Moscow Region, Russia","Tuning Method for the Accelerating Structure with RFQ Focusing and Increasing Voltage",296 298,
mo-94,"M. Yamamoto, Graduate University for Advanced Studies, Tsukuba, Japan; T. Higo, K. Takata, KEK, Ibaraki, Japan","Analysis of Detuned Structure by Open Mode Expansion",299 301,
mo-95,"M. Yoshioka, H. Matsumoto, K. Saito, Y. Takeuchi, KEK, Ibaraki, Japan; H. Akiyama, Hitachi Ltd., Ibaraki, Japan; H. Miwa, T. Suzuki, Nomura Plating Co. Ltd., Tochigi, Japan; K. Nishitani, ATC Co. Ltd., Tokyo, Japan; E. Tanabe, AET Japan, Inc., Kawasaki, Japan","High Gradient Studies on UHV Room Temperature Cavities at S-Band for Linear Colliders",302 304,
mo-96,"J.W. Wang, H. Deruyter, J. Eichner, K.H. Fant, H.A. Hoag, R.F. Koontz, T. Lavine, G.A. Loew, R. Loewen, L. Menegat, R.H. Miller, C. Pearson, R.D. Ruth, S.G. Tantawi, A.E. Vlieks, P.B. Wilson, C. Yoneda, SLAC, Stanford, California, USA","High Gradient Tests of SLAC Linear Collider Accelerator Structures",305 307,
mo-97,"O.R. Sander, W.H. Atkins, G.O. Bolme, S. Brown, R. Cole, R.W. Garnett, J.D. Gilpatrick, F.W. Guy, W.B. Ingalls, K.F. Johnson, D. Kerstiens, C. Little, S. Lloyd, R.A. Lohsen, W.P. Lysenko, G. Neuschaefer, J. Power, D.P. Sandoval, R.R. Stevens, Jr., G. Vaughn, E.A. Wadlinger, V. Yuan, LANL, Los Alamos, New Mexico, USA; R. Connolly, BNL, Upton, New York, USA; K. Saadatmand, SSC, Dallas, Texas, USA; R. Weiss, Ray Rashkin Associates, Mesa, Arizona, USA","Performance Report on the Ground Test Accelerator Radio Frequency Quadrupole",308 310,
mo-98,"K. Kubo, T.O. Raubenheimer, SLAC, Stanford, California, USA","A Beam-Based Alignment Technique for Correction of Accelerator Structure Misalignments",311 313,
Mo1-01,"G.A. Krafft, CEBAF, Newport News, Virginia, USA","Status of the Continuous Electron Beam Accelerator Facility",9 13,
Mo1-02,"W. Namkung, POSTECH, Pohang, Korea","PLS 2-GeV Linac",14 18,
mo1-03,"P. Krejcik, SLAC, Stanford, California, USA","Status of the SLC - Developments in Linear Collider Physics",19 23,
mo1-04,"R.H. Siemann, SLAC, Stanford, California, USA","Linear Collider Research and Development",24 28,
mo2-01,"S.K. Esin, L.V. Kravchuk, V.A. Matveev, P.N. Ostroumov, V.L. Serov, RAS/INR, Moscow, Russia","Commissioning/Operation of the Moscow Meson Factory Linac",31 35,
mo2-02,"E.S. McCrory, FNAL, Batavia, Illinois, USA","The Commissioning and Initial Operation of the Fermilab 400 MeV Linac",36 40,
mo2-03,"L.W. Funk, SSC, Dallas, Texas, USA","The Scientific Legacy of the SSC Linac",41 44,
th-01,"S. Arai, A. Imanishi, K. Niki, Y. Takeda, E. Tojyo, N. Tokuda, University of Tokyo, Tokyo, Japan","Cavity Construction and Low Power Tests of the INS Split Coaxial RFQ for Radioactive Nuclei",689 691,
th-02,"P.G. Bricault, H.R. Schneider, TRIUMF, Vancouver, Canada","RFQ Structure for Low Frequency and CW Operation",692 694,
th-03,"H. Fujisawa, T. Matsumoto, K. Nakao, M. Tamada, Nissin Electric Co. Ltd., Kyoto, Japan; M. Inoue, Y. Iwashita, A. Noda, Kyoto University, Kyoto, Japan","Beam Tests of the ''Modified'' 34 MHz CW 4-Rod RFQ",695 697,
th-04,"M. Grieser, D. Habs, R. von Hahn, C.-M. Kleffner, V. Kößler, R. Repnow, D. Schwalm, Max-Planck Institut für Kernphysik, Heidelberg, Germany; H. Deitinghoff, A. Schempp, IAP, Frankfurt-am-Main, Germany; E. Jaeschke, BESSY GmbH, Berlin, Germany; S. Papureanu, FZJ, Jülich, Germany","Status of the Heidelberg High Current Injector",698 700,
th-05,"O. Kamigaito, T. Chiba, A. Goto, M. Hemmi, M. Kase, S. Kohara, Y. Miyazawa, Y. Yano, RIKEN, Saitama, Japan","Design of a New Type of Variable-Frequency RFQ Linac with a Folded-Coaxial Resonator (Oral Poster)",701 703,
th-06,"J. Klabunde, E. Malwitz, GSI, Darmstadt, Germany; J. Friedrich, A. Schempp, IAP, Frankfurt-am-Main, Germany","Upgrade of the HLI-RFQ Accelerator (Oral Poster)",704 706,
th-07,"N. Angert, L. Dahl, J. Glatz, J. Klabunde, H. Schulte, P. Spädtke, GSI, Darmstadt, Germany","Two-Ion Time Share Operation of the UNILAC",707 709,
th-08,"J. Klabunde, P. Spädtke, GSI, Darmstadt, Germany; A.A. Kolomiets, S.G. Yaramishev, ITEP, Moscow, Russia","Beam Dynamics Simulation in a Four-Rod RFQ",710 712,
th-09,"V.A. Andreev, A.A. Kolomiets, S.G. Yaramishev, ITEP, Moscow, Russia; J. Klabunde, GSI, Darmstadt, Germany","Low Frequency High Duty Cycle Heavy Ion RFQ",713 715,
th-10,"A. Kponou, J.G. Alessi, E. Beebe, J.M. Brennan, A. Herschcovitch, K. Prelec, D. Raparia, BNL, Upton, New York, USA","An EBIS-Based Ion Injection for the AGS (Oral Poster)",716 718,
th-11,"J.-L. Lemaire, P.-Y. Beauvais, P.-A. Chamouard, R. Ferdinand, CEN-Saclay, Gif-sur-Yvette, France","Recent Performance of the LNS Four-Rod RFQ2 Acceleration of Gold and Xenon Beams",719 721,
th-12,"G. Bezzon, A. Lombardi, G. Parisi, A. Pisent, M. Weiss, INFN/LNL, Legnaro (PD), Italy; P. Bourquin, A.M. Lombardi, M. Vretenar, CERN, Geneva, Switzerland","Construction and Commissioning of the RFQ for the CERN Lead-Ion Facility",722 724,
th-13,"K. Niki, S. Arai, Y. Hashimoto, H. Masuda, N. Tokuda, M. Tomizawa, K. Yoshida, University of Tokyo, Tokyo, Japan","Beam Transport Design for the Linac System in the INS Radioactive Beam Facility",725 727,
th-14,"M. Okamura, T. Hattori, T. Ito, M. Okada, K. Sasa, Tokyo Institute of Technology, Tokyo, Japan","Performance Test of an 80 MHz RFQ Linac at TIT",728 730,
th-15,"A. Facco, A. Lombardi, A. Pisent, M. Weiss, INFN/LNL, Legnaro (PD), Italy; A.M. Lombardi, W. Pirkl, M. Vretenar, CERN, Geneva, Switzerland","The Matching Line Between the RFQ and the IH Linac of the CERN Lead Ion Facility",731 733,
th-16,"A. Lombardi, A. Pisent, M. Weiss, INFN/LNL, Legnaro (PD), Italy; K. Langbein, A.M. Lombardi, E. Tanke, H.H. Umstätter, CERN, Geneva, Switzerland","Performances of the LEBT of the CERN Lead Ion Linac",734 736,
th-17,"M. Comunian, A. Pisent, INFN/LNL, Legnaro (PD), Italy","Input and Output Beam Matching for a RFQ where a Couple of Electrodes are at Ground Potential",737 739,
th-18,"I.B. Barsukov, I.V. Chuvilo, V.V. Kushin, S.V. Plotnikov, ITEP, Moscow, Russia","Project of the Industrial Heavy Ion Linac for Particle Track Membranes (PTM) Production (Oral Poster)",740 742,
th-19,"N. Angert, W. Bleuel, H. Gaiser, G. Hutter, E. Malwitz, R. Popescu, M. Rau, U. Ratzinger, GSI, Darmstadt, Germany; Y. Bylinsky, H.D. Haseroth, H. Kugler, R. Scrivens, E. Tanke, D.J. Warner, CERN, Geneva, Switzerland","The IH Linac of the CERN Lead Injector",743 745,
