mope40,"D. Meissner, M. Brachmanski, M. Hesse, U. Jastrow, M. Kuhlmann, H. Mahn, F. Marutzky, E. PlÃ¶njes-Palm, M. Roehling, H. Schulte-Schrepping, K.I. Tiedtke, R. Treusch [DESY, Hamburg, Germany] ","Designing the Flash II Photon Diagnostic Beamline and Components",96 98,
mope41,"A. Carballedo, C. Colldelram, J.R. GarcÃ­a, R. Monge, L. Nikitina [ALBA-CELLS Synchrotron, Cerdanyola del VallÃ¨s, Spain] J. Hernandez-Toro, L. Roso [CLPU, Villamayor, Spain] ","Design and Construction of a PW Experimental System of HV Chamber Adaptable, Modular and Stable",99 101,
mope42,"M. Ferrater [UPC, Barcelona, Spain] J.J. Casas, C. Colldelram, D. Lanaia, R. MuÃ±oz Horta, F. Perez (F. Pérez), M. Quispe [ALBA-CELLS Synchrotron, Cerdanyola del VallÃ¨s, Spain] ","Experimental and Numerical Study of the ALBA LINAC Cooling System",102 104,
mope43,"L. MaciÃ  [UPC, Barcelona, Spain] J.J. Casas, C. Colldelram, M. Quispe [ALBA-CELLS Synchrotron, Cerdanyola del VallÃ¨s, Spain] ","Hydraulic Failure Caused by Air in Pipelines of the Experimental Area Ring of ALBA Synchrotron Light Source: Research, Simulations and Solutions",105 107,
thaa02,"C.N. Regier, A.F.G. Leontowich, D.M. Taylor [CLS, Saskatoon, Saskatchewan, Canada] ","Mechanical Engineering of a Cryo STXM at CLS",381 386,
thaa03,"S. Xu, R. Fischetti, O. Makarov, S.A. Stepanov, N. Venugopalan [ANL, Argonne, Illinois, USA] ","Mechanical Design of New Dual Pinhole Mini-Beam Collimator With Motorized Pitch and Yaw Adjuster Provides Lower Background for X-Ray Crystallography at GMCA@APS",387 389,
thaa04,"A.R. Marshall [DLS, Oxfordshire, United Kingdom] ","Upgrading a Transmission SAX/WAX Beamline to Allow High Quality GISAX/GIWAX Experiments for Soft Matter Thin Films",390 395,
thba01,"G.A. Scharfstein, D. Arbelaez, J.-Y. Jung [LBNL, Berkeley, California, USA] ","An Endstation with Cryogenic Coils Contributing to a 0.5 Tesla Field and 30-400k Sample Thermal Control",396 397,
tuaa01,"D. Shu, J.W.J. Anton, S.P. Kearney [ANL, Argonne, Illinois, USA] J.W.J. Anton [University of Illinois at Chicago, Chicago, USA] A. Li, C. Mao, Y. Pan [SINAP, Shanghai, People's Republic of China] ","Precision Mechanical Design of a Miniature Dynamic Mirror Bender for the SSRF Beamline Upgrade Project",108 111,
tuaa02,"C.A. Preissner, J. Deng, C. Jacobsen, B. Lai, F.S. Marin, J. Maser, S.T. Mashrafi, C. Roehrig, S. Sullivan, S. Vogt [ANL, Argonne, Illinois, USA] ","Earth, Wind, and Fire: The New Fast Scanning Velociprobe",112 115,
tuba01,"S.P. Kearney, D. Shu, T.S. Toellner [ANL, Argonne, Illinois, USA] ","The Design of a Precision Mechanical Assembly for a Hard X-ray Polarizer",116 120,
tuba03,"T. Noll [BESSY GmbH, Berlin, Germany] H. Sinn, A. Trapp [XFEL.EU, Hamburg, Germany] ","The Generic Mirror Chamber for the European XFEL",121 123,
tuba04,"D. Shu, J.W.J. Anton, S.P. Kearney, B. Lai, W. Liu, J. Maser, C. Roehrig, J.Z. Tischler [ANL, Argonne, Illinois, USA] J.W.J. Anton [University of Illinois at Chicago, Chicago, USA] ","Mechanical Design and Development of Compact Linear Nanopositioning Flexure Stages with Centimeter-Level Travel Range and Nanometer-Level Resolution",124 127,
tuca02,"X. Wang, H. Joehri (H. Jöhri), F. Loehl (F. Löhl), M. Pedrozzi, T. Stapf [PSI, Villigen PSI, Switzerland] ","Structural Dynamic Modelling and Measurement of SwissFEL Bunch Compressor",128 132,
tuca03,"N. Jobert, F. Alves, S.K. Kubsky [SOLEIL, Gif-sur-Yvette, France] ","Estimation of the Temperature Fluctuations Harshness Regarding Stability of Structures in the Nanometer Range",133 140,
tuca05,"R.R. Geraldes, R.M. Caliari, G.B.Z.L. Moreno, L. Sanfelici, M. Saveri Silva, N.M. Souza Neto, H.C.N. Tolentino, H. Westfahl Jr. [LNLS, Campinas, Brazil] T.A.M. Ruijl, R.M. Schneider [MI-Partners, Eindhoven, The Netherlands] ","The New High Dynamics DCM for Sirius",141 146,
tuca06,"F. Cianciosi, T. Brochard, Y. Dabin, L. Goirand, M. Lesourd, P. Marion, L. Zhang [ESRF, Grenoble, France] ","The Girders System for the New ESRF Storage Ring",147 151,
tupe01,"J.H. Kelly [DLS, Oxfordshire, United Kingdom] ","DMM Thermal Mechanical Design",152 155,
tupe02,"J.-C. Chang, Y.C. Chang, F. Z. Hsiao, S.P. Kao, H.C. Li, W.R. Liao, C.Y. Liu [NSRRC, Hsinchu, Taiwan] ","Experimental Validated CFD Analysis on Helium Discharge",156 158,
tupe04,"H.C. Fernandes, P.L. Cappadoro, D.A. Harder, D.A. Hidas, C.A. Kitegi, M. Musardo, J. Rank, T. Tanabe [BNL, Upton, Long Island, New York, USA] ","Coherent Soft X-Ray EPU Vacuum Chamber Thermal Analysis for Synchrotron Radiation Protection",159 161,
tupe05,"X. Escaler [UPC, Barcelona, Spain] J.J. Casas, C. Colldelram, M. Prieto, M. Quispe [ALBA-CELLS Synchrotron, Cerdanyola del VallÃ¨s, Spain] ","Numerical Simulation of the ALBA Synchrotron Light Source Cooling System Response for Failure Prevention",162 164,
