thcpa01,"E. Blanco Vinuela (E. Blanco Viñuela), H.F. Braunmuller, B. Fernandez Adiego (B. Fernández Adiego), R. Speroni [CERN, Geneva, Switzerland] ","Safety Instrumented Systems and the AWAKE Plasma Control as a Use Case",1206 1212,
thcpa02,"D. Paulic, S.L. Birch, M. Mansouri, A. Nordt, Y.K. Sin, A. Toral Diez [ESS, Lund, Sweden] ","ESS Accelerator Safety Interlock System",1213 1216,
thcpa03,"F. Tao, J.M. Murphy [SLAC, Menlo Park, California, USA] ","Applying Layer of Protection Analysis (LOPA) to Accelerator Safety Systems Design",1217 1220,
thcpa04,"C.H. Haquin, P. Anger, D.J.C. Deroy, G. Normand, F. Pillon, A. Savalle [GANIL, Caen, France] ","Development of a Safety Classified System with LabView and EPICS",1221 1223,
thcpa06,"G. Klimpki, C. Bula, M. Eichin, A.L. Lomax, D. Meer, S. Psoroulas, U. Rechsteiner, D.C. Weber [PSI, Villigen PSI, Switzerland] D.C. Weber [University of Zurich, University Hospital, Zurich, Switzerland] ","A Real-Time Beam Monitoring System for Highly Dynamic Irradiations in Scanned Proton Therapy",1224 1228,
thcpa07,"K. Nakayoshi, Y. Fujii, T. Nakadaira, K. Sakashita [KEK, Tsukuba, Japan] ","Development of an Expert System for the High Intensity Neutrino Beam Facility at J-PARC",1229 1232,
thcpl01,"K.S. White [ORNL, Oak Ridge, Tennessee, USA] ","Speaking of Diversity",1168 1174,
thcpl02,"M. Pecchioli [ESA/ESOC, Darmstadt, Germany] J.M. Carranza [ESA-ESTEC, Noordwijk, The Netherlands] ","Highlights of the European Ground System - Common Core Initiative",1175 1181,
thcpl03,"Y. Gao, T.G. Robertazzi [Stony Brook University, Stony Brook, New York, USA] K.A. Brown [BNL, Upton, Long Island, New York, USA] J. Chen [Stony Brook University, Computer Science Department, Stony Brook, New York, USA] ","A Success-History Based Learning Procedure to Optimize Server Throughput in Large Distributed Control Systems",1182 1189,
thcpl04,"R. Warange [National Centre for Radio Astrophysics, Tata Institute of Fundamental Research, Pune, India] R.E. Braddock [University of Manchester, Manchester, United Kingdom] ","SKA Synchronization and Timing Local Monitor Control - Software Design Approach",1190 1194,
thcpl05,"A. Gotz (A. Götz), R. Bourtembourg, J.M. Chaize, T.M. Coutinho, V. Michel, J.L. Pons, P.V. Verdier [ESRF, Grenoble, France] S. Gara [NEXEYA Systems, La Couronne, France] P.P. Goryl [3controls, Krakow, Poland] I.A. Khokhriakov [HZG, Geesthacht, Germany] G.R. Mant [STFC/DL, Daresbury, Warrington, Cheshire, United Kingdom] A. Stanik [Prevac, Rogow, Poland] S. ViÃ©not [JYSE, Grenoble, France] ","TANGO Heads for Industry",1195 1200,
thcpl06,"B.T. Fishler, Y.W. Abed, A.I. Barnes, G.K. Brunton, C.M. Estes, M.A. Fedorov, M.S. Flegel, A.P. Ludwigsen, V.J. Miller Kamm, M. Paul, R.K. Reed, E.A. Stout, E.F. Wilson [LLNL, Livermore, California, USA] ","Sustaining the National Ignition Facility (NIF) Integrated Computer Control System (ICCS) over its Thirty Year Lifespan",1201 1205,
thdpl01,"C. Gaspar, R. Aaij, F. Alessio, J. Barbosa, L.G. Cardoso, M. Frank, B. Jost, N. Neufeld, R. Schwemmer [CERN, Geneva, Switzerland] ","Configuring and Automating an LHC Experiment for Faster and Better Physics Output",1233 1239,
thdpl02,"T. Celcer [PSI, Villigen PSI, Switzerland] ","GigaFRoST (Gigabyte Fast Read-Out System for Tomography): Control and DAQ System Design",1240 1244,
thdpl03,"M.L. Rivers [CARS, Argonne, Illinois, USA] ","areaDetector: EPICS Software for 2-D Detectors",1245 1251,
thmpa01,"Z. Huang, G. Liu, Y. Song [USTC/NSRL, Hefei, Anhui, People's Republic of China] ","The Interlock System of FELiChEM",1298 1300,
thmpa02,"S.H. Mirza, P. Forck, H. Klingbeil, R. Singh [GSI, Darmstadt, Germany] H. Klingbeil [TEMF, TU Darmstadt, Darmstadt, Germany] ","Investigations of Spatial Process Model for the Closed Orbit Feedback System at the Sis18 Synchrotron at GSI",1301 1306,
thmpa03,"C. Reis, R. Borghes, G. Kourousias, R. Pugliese [Elettra-Sincrotrone Trieste S.C.p.A., Basovizza, Italy] ","A Simulation System for the European Spallation Source (ESS) Distributed Data Streaming",1307 1311,
thmpa04,"O. Hensler [DESY, Hamburg, Germany] ","RF-Energy Management for the European XFEL",1312 1314,
thmpa05,"L. Seabra [LIP, Lisboa, Portugal] E. Banas (E. Banaś), S. Czekierda, Z. Hajduk, J. Olszowska, B. Zabinski [IFJ-PAN, KrakÃ³w, Poland] D. Caforio [Institute of Experimental and Applied Physicis, Czech Technical University in Prague, Praha, Czech Republic] P. Sicho [Czech Republic Academy of Sciences, Institute of Physics, Prague, Czech Republic] ","The AFP Detector Control System",1315 1319,
thmpa06,"T. D'Ottavio, K.A. Brown, A. Fernando, S. Nemesure [BNL, Upton, Long Island, New York, USA] ","Building Controls Applications Using HTTP Services",1320 1322,
thmpa07,"I. Satake, M. Satoh, T. Suwada, Y. Yano [KEK, Ibaraki, Japan] T. Kudou, S. Kusano, Y. Mizukawa [Mitsubishi Electric System  Service Co., Ltd, Tsukuba, Japan] ","Improvement of Temperature and Humidity Measurement System for KEK Injector Linac",1323 1326,
thmpa08,"A. Sukhanov, K.A. Brown, C.W. Dawson, J.P. Jamilkowski, A. Marusic, J. Morris [BNL, Upton, Long Island, New York, USA] ","Processing of the Schottky Signals at RHIC",1327 1329,
thmpa09,"G. Renaud, Y.-M. Abiven, F. Ta, Q.H. Tran, S. Zhang [SOLEIL, Gif-sur-Yvette, France] ","MACUP (Material for data ACquisition - UPgrade): Project Focusing on DAQ Hardware Architecture Upgrades for SOLEIL",1330 1334,
thmpl01,"M.A. Schaffner [Sandia National Laboratories, Albuquerque, New Mexico, USA] ","A Simple Temporal Network for Coordination of Emergent Knowledge Processes in a Collaborative System-of-Systems",1252 1256,
thmpl02,"K. Furukawa, Y. Enomoto, H. Kaji, H. Katagiri, M. Kurashina, K. Mikawa, T. Miura, F. Miyahara, T. Natsui, I. Satake, M. Satoh, Y. Seimiya, H. Sugimura, T. Suwada [KEK, Ibaraki, Japan] ","Upgrade of KEK Electron/positron Linac Control System for the Both SuperKEKB and Light Sources",1257 1260,
thmpl03,"Y. Gao, T.G. Robertazzi [Stony Brook University, Stony Brook, New York, USA] K.A. Brown, J. Morris, R.H. Olsen [BNL, Upton, Long Island, New York, USA] ","A New Simulation Architecture for Improving Software Reliability in Collider-Accelerator Control Systems",1261 1265,
thmpl04,"E. Antolini, G. Tosti [UniversitÃ  degli di Perugia, Perugia, Italy] L.A. Antonelli, S. Gallozzi, S. Lombardi, F. Lucarelli, M. Mastropietro, V. Testa [INAF O.A. Roma, Roma, Italy] P. Bruno, G. Leto, S. Scuderi [INAF-OACT, Catania, Italy] A. Busatta, C. Manfrin, G. Marchiori, E. Marcuzzi [EIE Group s.r.l., Venezia, Italy] R. Canestrari, G. Pareschi, J. Schwarz, S. Scuderi, G. Sironi, G. Tosti [INAF-Osservatorio Astronomico di Brera, Merate, Italy] E. Cascone [INAF - Osservatorio Astronomico di Capodimonte, Napoli, Italy] V. Conforti, F. Gianotti, M. Trifoglio [INAF, Bologna, Italy] D. Di Michele, C. Grigolon, P. Guarise [Beckhoff Automation Srl, Limbiate, Italy] E. Giro [INAF- Osservatorio Astronomico di Padova, Padova, Italy] N. La Palombara [INAF - Istituto di Astrofisica Spaziale e Fisica Cosmica di Milano, Milano, Italy] F. Russo [INAF O.A. Torino, Pino Torinese, Italy] ","Telescope Control System of the ASTRI SST-2M prototype for the Cherenkov Telescope Array",1266 1270,
thmpl05,"M.A. Ilina, P.B. Cheblakov [BINP SB RAS, Novosibirsk, Russia] ","Applying Ontological Approach to Storing Configuration Data",1271 1275,
thmpl06,"B. PlÃ¶tzeneder, V. Gaman, O. Janda, P. Pivonka [ELI-BEAMS, Prague, Czech Republic] P. Bastl [Institute of Physics of the ASCR, Prague, Czech Republic] ","Cameras in ELI Beamlines: A Standardized Approach",1276 1280,
thmpl07,"T. Matsumoto, T. Abe, H. Masunaga [JASRI/SPring-8, Hyogo-ken, Japan] Y. Furukawa, T. Matsushita, K. Nakada [JASRI, Hyogo, Japan] ","DARUMA: Data Collection and Control Framework For X-Ray Experimental Stations Using MADOCA",1281 1285,
thmpl08,"T. Straumann, R. Claus, J.M. D'Ewart, J.C. Frisch, G. Haller, R.T. Herbst, B. Hong, U. Legat, L. Ma, J.J. Olsen, B.A. Reese, R. Ruckman, L. Sapozhnikov, S.R. Smith, D. Van Winkle, J.A. Vasquez (J.A. Vásquez), M. Weaver, E. Williams, C. Xu, A. Young [SLAC, Menlo Park, California, USA] ","The SLAC Common-Platform Firmware for High-Performance Systems",1286 1290,
thmpl09,"E.S. Kotov, A.M. Batrakov, G.A. Fatkin, A.V. Pavlenko, K.S. Shtro, M.Yu. Vasilyev [BINP SB RAS, Novosibirsk, Russia] G.A. Fatkin, E.S. Kotov, A.V. Pavlenko, M.Yu. Vasilyev [NSU, Novosibirsk, Russia] ","VME Based Digitizers for Waveform Monitoring System of Linear Induction Accelerator (LIA-20)",1291 1293,
thmpl10,"G.A. Fatkin, A.O. Baluev, A.M. Batrakov, E.S. Kotov, Ya.M. Macheret, V.R. Mamkin, A. Panov, A.V. Pavlenko, A.N. Selivanov, M.Yu. Vasilyev [BINP SB RAS, Novosibirsk, Russia] G.A. Fatkin, E.S. Kotov, A.V. Pavlenko, M.Yu. Vasilyev [NSU, Novosibirsk, Russia] ","New VME-Based Hardware for Automation in BINP",1294 1297,
thpha001,"F. Gougnaud, Y. Lussignol [CEA/DSM/IRFU, France] J.F. Denis, F. Gohier, T.J. Joannem [CEA/IRFU, Gif-sur-Yvette, France] ","CEA Irfu EPICS Environment for the SARAF-LINAC Project",1335 1339,
thpha002,"D. Rogind, M. Boyes, H. Shoaee [SLAC, Menlo Park, California, USA] ","SLAC LCLS-II Injector Source Controls and Early Injector Commissioning",1340 1343,
thpha003,"M. Yakopov, S. Abeghyan, S. Karabekyan, J. Pflueger (J. Pflüger) [XFEL.EU, Schenefeld, Germany] ","Installation and the Hardware Commissioning of the European XFEL Undulator Systems",1344 1347,
thpha006,"K.D. Davidson, C. Dudley, L. Hodges, S. Stanley [FRIB, East Lansing, USA] ","Integration Challenges and Solutions for Low Level Controls Systems at the FRIB",1348 1351,
