fra01,"P. Mandrillon, M. Conjat [AIMA, Nice, France] ","Single Stage Cyclotron for an ADS Demonstrator",387 393,
thd03,"A. Laxdal, R.A. Baartman, I.V. Bylinskii, F.W. Jones, T. Planche, A. Sen [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] G. Ganesh [UW/Physics, Waterloo, Ontario, Canada] ","Recirculating Electron Beam Photo-converter for Rare Isotope Production",383 386,
thp01,"V. Nuttens, E. Forton, T. Lamon, Y. Paradis [IBA, Louvain-la-Neuve, Belgium] A. Zhukovsky [M.I.T. Plasma Science and Fusion Center, Cambridge, USA] ","Development and Validation of a Fast Cryocooler Maintenance System",301 302,
thp02,"A.N. Alwani [CNSC, Ottawa, Canada] ","Planning Considerations for Radioisotope Production Cyclotron Projects - Regulatory Feedback",303 306,
thp03,"N.V. Avreline, T. Au, C.D. Bartlett, I.V. Bylinskii, B. Jakovljevic, V. Zvyagintsev [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] C.D. Bartlett [University of Victoria, Victoria BC, Canada] ","Operation and Maintenance of RF System of 520 MeV TRIUMF Cyclotron",307 309,
thp04,"H.P. May, M. Bai, O. Felden, R. Gebel [FZJ, JÃ¼lich, Germany] ","Status of the COSY/Jülich Injector Cyclotron JULIC",310 312,
thp05,"S. Busold, H. RÃ¶cken [VMS-PT, Troisdorf, Germany] ","Beam Intensity Modulation Capabilities for Varian's ProBeamreg; Isochronous Cyclotron",313 315,
thp06,"S. Busold, H. RÃ¶cken [VMS-PT, Troisdorf, Germany] A.S. Partowidjojo, J.M. Schippers [PSI, Villigen PSI, Switzerland] ","Recent Ion Source Developments for VARIAN's ProBeamreg; Cyclotron",316 318,
thp07,"M. Hassani, H. Afarideh, Y. Ghorashinejad [AUT, Tehran, Iran] ","Development of Control System for 10 MeV Cyclotron",319 321,
thp09,"G. Gallo, L. Allegra, G. Costa, E. Messina, E. ZappalÃ  [INFN/LNS, Catania, Italy] ","Mechanical Aspects of the LNS Superconducting Cyclotron Upgrade",322 324,
thp10,"F. Noto, M. Cafici, A. Carbonaro, A. Di Stefano, A. Pagano, F. Speziale [INFN/LNS, Catania, Italy] ","Status and Upgrade of the Cryogenic Plant of the LNS Superconducting Cyclotron After 25 Years of Operation",325 327,
thp11,"S. Hojo, K. Katagiri, M. Nakao, A. Noda, K. Noda, A. Sugiura, T. Wakui [NIRS, Chiba-shi, Japan] ","Improvement of the NIRS-930 Cyclotron for Targeted Radionuclide Therapy",328 331,
thp13,"J. Ohnishi, A. Goto, M. Kase [RIKEN Nishina Center, Wako, Japan] Y. Kotaka [CNS, Saitama, Japan] ","Study on Energy Upgrade and Beam Transmission Efficiencies for RIKEN K-70 AVF Cyclotron",332 335,
thp14,"D.H. Ha, J.-S. Chai, M. Ghergherehchi, H.S. Kim, J.C. Lee, S.C. Mun, H. Namgoong, S. Shin [SKKU, Suwon, Republic of Korea] ","Design of RF Pick-up for the Cyclotron",336 338,
thp15,"W.J. Jun, J.-S. Chai, M. Ghergherehchi, D.H. Ha, H.S. Kim, J.C. Lee, S.C. Mun, H. Namgoong, Y.H. Yeon [SKKU, Suwon, Republic of Korea] ","Analysis of the Plasma Characteristics for Beam Current Optimization for TR-13 Cyclotron",339 341,
thp16,"C. Baumgarten [PSI, Villigen PSI, Switzerland] ","Beam Based Calibration Measurements at the PSI Cyclotron Facility",342 344,
thp17,"R. DÃ¶lling [PSI, Villigen PSI, Switzerland] ","Automated Documentation of Tunes in the Beam Lines of the COMET Cyclotron",345 347,
thp18,"M. Schneider, A. Adelmann, N. Pogue, L. Stingelin [PSI, Villigen PSI, Switzerland] ","Suppression of RF Radiation Originating from the Flattop Cavity in the PSI Ring Cyclotron",348 350,
thp19,"R.C. Emery, E.F. Dorman [University of Washington Medical Center, Seattle, Washington, USA] ","Operational Status of the University of Washington Medical Cyclotron Facility",351 352,
thp20,"N.A. Morozov, O. Karamyshev, G.A. Karamysheva, E.V. Samsonov, G. Shirkov [JINR, Dubna, Moscow Region, Russia] Y.F. Bi, G. Chen, Y. Chen, K.Z. Ding, Sh. Du, H. Feng, J. Ge, J. Li, Y. Song, J. Zheng, J. Zhou [ASIPP, Hefei, People's Republic of China] ","Magnetic System for SC200 Superconducting Cyclotron for Proton Therapy",353 355,
thp22,"J. Kang, H.M. Jang, B. Kang, J.-W. Kim, J.H. Lee [IBS, Daejeon, Republic of Korea] ","Status of the ISOL Cyclotron System in RISP",356 358,
thp24,"E. Bouquerel, T. Adams, G. Heitz, C. Maazouzi, C. Matthieu, F.R. Osswald, M. Pellicioli, M. Rousseau, C. Ruescas, J. Schuler, E.K. Traykov [IPHC, Strasbourg Cedex 2, France] ","Design of a Beamline from CYRCé for Radiobiological Experiments",359 362,
thp25,"I.V. Kalagin, S.L. Bogomolov, S.N. Dmitriev, B. Gikal, G.G. Gulbekyan, I.A. Ivanenko, G.N. Ivanov, N.Yu. Kazarinov, Y.T. Oganessian, N.F. Osipov [JINR, Dubna, Moscow Region, Russia] ","Status of the DC-280 Cyclotron Project",363 365,
tua01,"S. Schwarz, K.R. Lund, D.J. Morrissey, J. Ottarson, C. Sumithrarachchi [NSCL, East Lansing, Michigan, USA] G. Bollen, S. Chouhan, J. DeKamp, M.A. Green, C. Magsig, A.C.C. Villari, A.F. Zeller [FRIB, East Lansing, Michigan, USA] G. Bollen [MSU, East Lansing, Michigan, USA] ","Offline Tests with the NSCL Cyclotron Gas Stopper",121 125,
tua02,"S. Psoroulas, C. Bula, P. Fernandez Carmona, G. Klimpki, D. Meer, D.C. Weber [PSI, Villigen PSI, Switzerland] D.C. Weber [University of Zurich, University Hospital, Zurich, Switzerland] ","Challenges in Fast Beam Current Control Inside the Cyclotron for Fast Beam Delivery in Proton Therapy",126 129,
tua03,"A. Denker, J. Bundesmann, T. Damerow, T. Fanselow, D. Hildebrand, U. Hiller, C. Rethfeldt, J. Roehrich (J. Röhrich) [HZB, Berlin, Germany] ","New Time Structures Available at the HZB Cyclotron",130 132,
tua04,"I.V. Bylinskii, R.A. Baartman, K. Jayamanna, T. Planche, Y.-N. Rao [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","Recent Improvements in Beam Delivery with the TRIUMF's 500 MeV Cyclotron",133 136,
tub02,"D. Winklehner [MIT, Cambridge, Massachusetts, USA] ","Updated Physics Design of the DAEALUS and IsoDAR Coupled Cyclotrons for High Intensity H2+ Beam Production",137 139,
