fra1co03,"A. D'Audney, S. Biedron, S.V. Milton [CSU, Fort Collins, Colorado, USA] ","An Ultra-High Resolution Pulsed-Wire Magnet Measurement System",1268 1270,
mopob16,"M.H. Awida, J.E. Dey, T.N. Khabiboulline, V.A. Lebedev, R.L. Madrak [Fermilab, Batavia, Illinois, USA] ","Higher Order Modes Analysis of Fermilab's Recycler Cavity",106 108,
mopob17,"A.L. Edelen, S. Biedron, S.V. Milton [CSU, Fort Collins, Colorado, USA] D.L. Bowring, B.E. Chase, J.P. Edelen, D.J. Nicklaus, J. Steimel [Fermilab, Batavia, Illinois, USA] ","Resonant Frequency Control for the PIP-II Injector Test RFQ: Control Framework and Initial Results",109 112,
mopob20,"M. Checchin, A. Grassellino, M. Martinello, S. Posen, A. Romanenko [Fermilab, Batavia, Illinois, USA] M. Martinello [Illinois Institute of Technology, Chicago, Illlinois, USA] J. Zasadzinski [IIT, Chicago, Illinois, USA] ","Enhancement of the Accelerating Gradient in Superconducting Microwave Resonators",113 116,
mopob23,"P. Hurh [Fermilab, Batavia, Illinois, USA] ","The Radiation Damage In Accelerator Target Environments (RaDIATE) Collaboration R&D Program - Status and Future Activities",117 120,
mopob24,"O.V. Pronitchev, S. Kazakov [Fermilab, Batavia, Illinois, USA] ","Design of Main Coupler for 650 MHz SC Cavities of PIP-II Project",121 123,
mopob25,"K.R. Kendziora, J.J. Angelo, C.M. Baffes, D. Franck, R.J. Kellett [Fermilab, Batavia, Illinois, USA] ","The Use of KF Style Flanges in Low Particlulate Applications",124 126,
mopob27,"J.M. Nogiec, S. Kotelnikov, A. Makulski, K. Trombly-Freytag, D.G.C. Walbridge [Fermilab, Batavia, Illinois, USA] ","Superconducting Coil Winding Machine Control System",127 129,
mopob28,"R.L. Madrak, J.E. Dey, K.L. Duel, J. Kuharik, W. Pellico, J. Reid, G.V. Romanov, M. Slabaugh, D. Sun, C.-Y. Tan, I. Terechkine [Fermilab, Batavia, Illinois, USA] ","Progress on the Design of a Perpendicularly Biased 2nd Harmonic Cavity for the Fermilab Booster",130 133,
mopob29,"R.L. Madrak, W. Pellico, G.V. Romanov, C.-Y. Tan, I. Terechkine [Fermilab, Batavia, Illinois, USA] ","Measurements of the Properties of Garnet Material for Tuning a 2nd Harmonic Cavity for the Fermilab Booster",134 136,
mopob30,"A.V. Zlobin, I. Novitski [Fermilab, Batavia, Illinois, USA] ","Development and Comparison of Mechanical Structures for FNAL 15 T Nb3Sn Dipole Demonstrator",137 139,
