fra1co03,"A. D'Audney, S. Biedron, S.V. Milton [CSU, Fort Collins, Colorado, USA] ","An Ultra-High Resolution Pulsed-Wire Magnet Measurement System",1268 1270,
tupoa61,"D.J. Gibson, G.G. Anderson, C.P.J. Barty, R.A. Marsh [LLNL, Livermore, California, USA] ","Integrated Control System for an X-Band-Based Laser-Compton X-Ray Source",408 410,
tupoa63,"A. Scheinker, S.A. Baily, J.T. Bradley III, L.J. Castellano, J.O. Hill, D.J. Knapp, S. Kwon, J.T.M. Lyles, M.S. Prokop, D. Rees, P.A. Torrez [LANL, Los Alamos, New Mexico, USA] ","Preliminary Study of Advanced LLRF Controls at LANSCE for Beam Loading Compensation in the MaRIE X-FEL",411 413,
tupoa64,"P.K. Roy, Y.K. Batygin [LANL, Los Alamos, New Mexico, USA] ","Effects of Low Frequency Buncher Field (LFB) Variation on an H- Beam Phase-Energy",414 417,
tupoa67,"E.C. Bonnema, E.K. Cunningham [Meyer Tool  MFG, Oak Lawn, Illinois, USA] ","Helium Pressure Vessel Jacketing of the Fermilab SSR1 Single Spoke SC Cavities",418 420,
tupoa68,"S.V. Kutsaev, R.B. Agustsson, A. Arodzero, R.D.B. Berry, S. Boucher, Y.C. Chen, J.J. Hartzell, B.T. Jacobson, A. Laurich, A.Y. Murokh, E.A. Savin, A.Yu. Smirnov, A. Verma [RadiaBeam, Santa Monica, California, USA] ","Design, Simulations and Experimental Demonstration of an Intra-Pulse Ramped-Energy Travelling Wave Linac for Cargo Inspection",421 424,
tupoa71,"W.X. Cheng, B. Bacha, Y. Li, O. Singh, Y. Tian [BNL, Upton, Long Island, New York, USA] ","Beam Stability During Top Off Operation at NSLS-II Storage Ring",425 427,
tupoa73,"J. Hyun [Sokendai, Ibaraki, Japan] D.R. Broemmelsiek, D.R. Edstrom, A.L. Romanov, J. Ruan, T. Sen, V.D. Shiltsev [Fermilab, Batavia, Illinois, USA] A. Halavanau, D. Mihalcea [Northern Illinois University, DeKalb, Illinois, USA] P. Kobak [BYU-I, Rexburg, USA] W.D. Rush [KU, Lawrence, Kansas, USA] ","Commissioning and First Results From a Channeling-Radiation Experiment at FAST",428 431,
tupoa74,"G.M. Bruhaug [ISU, Pocatello, Idaho, USA] K. Carlson [Fermilab, Batavia, Illinois, USA] ","The Design and Construction of a Resonance Control System for the IOTA RF Cavity",432 434,
tupob02,"R.A. Kostin [LETI, Saint-Petersburg, Russia] P.V. Avrakhov, A. Kanareykin [Euclid TechLabs, LLC, Solon, Ohio, USA] N. Solyak, V.P. Yakovlev [Fermilab, Batavia, Illinois, USA] ","Development of the Method for Evaluation of a Super-Conducting Traveling Wave Cavity With a Feedback Waveguide",480 482,
tupob04,"B. Mustapha, P.N. Ostroumov [ANL, Argonne, USA] B. Erdelyi [Northern Illinois University, DeKalb, Illinois, USA] ","A More Compact Design for the JLEIC Ion Pre-Booster Ring",483 485,
tupob05,"B. Mustapha, Z.A. Conway, P.N. Ostroumov, A.S. Plastun [ANL, Argonne, USA] Y.S. Derbenev, F. Lin, V.S. Morozov, Y. Zhang [JLab, Newport News, Virginia, USA] ","An Alternative Approach for the JLEIC Ion Accelerator Complex",486 488,
tupob06,"D.V. Neuffer, D. Stratakis [Fermilab, Batavia, Illinois, USA] M.A. Cummings [Muons, Inc, Illinois, USA] J.-P. Delahaye [SLAC, Menlo Park, California, USA] M.A. Palmer [BNL, Upton, Long Island, New York, USA] R.D. Ryne [LBNL, Berkeley, California, USA] D.J. Summers [UMiss, University, Mississippi, USA] ","Accomplishments of the Heavy Electron Particle Accelerator Program",489 492,
tupob07,"V.D. Shiltsev [Fermilab, Batavia, Illinois, USA] ","Considerations on Energy Frontier Colliders After LHC",493 496,
tupob08,"M. Xiao [Fermilab, Batavia, Illinois, USA] ","Beam Extraction from the Recycler Ring to P1 Line at Fermilab",497 499,
tupob09,"N. Butler, M.P.J. Gaudreau, M.K. Kempkes, M.G. Munderville, F.M. Niell, R.E. Simpson [Diversified Technologies, Inc., Bedford, Massachusetts, USA] ","Solid-State Pulsed Power System for a Stripline Kicker",500 502,
tupob11,"H. Baumgartner, B. Beaudoin, S. Bernal, I. Haber, T.W. Koeth, D.B. Matthew, K.J. Ruisard, M.R. Teperman [UMD, College Park, Maryland, USA] ","Quantification of Octupole Magnets at the University of Maryland Electron Ring",503 506,
tupob12,"K.J. Ruisard, H. Baumgartner, B. Beaudoin, I. Haber, T.W. Koeth, M.R. Teperman [UMD, College Park, Maryland, USA] ","Experimental Plans for Single-Channel Strong Octupole Fields at the University of Maryland Electron Ring",507 510,
tupob13,"J. Gerity, P.M. McIntyre [Texas Aamp;M University, College Station, USA] D.L. Bruhwiler, C.C. Hall [RadiaSoft LLC, Boulder, Colorado, USA] V. Moens [EPFL, Lausanne, Switzerland] C.S. Park, G. Stancari [Fermilab, Batavia, Illinois, USA] ","Simulations of Space Charge Neutralization in a Magnetized Electron Cooler",511 513,
tupob14,"A.A. Al Marzouk, B. Erdelyi [Northern Illinois University, DeKalb, Illinois, USA] ","An Accurate and Efficient Numerical Integrator for Pair-Wise Interaction",514 517,
tupob15,"A.J. Gee, B. Erdelyi [Northern Illinois University, DeKalb, Illinois, USA] ","Implementing the Fast Multipole Boundary Element Method With High-Order Elements",518 520,
tupob16,"A. Halavanau, P. Piot [Northern Illinois University, DeKalb, Illinois, USA] G. Ha [POSTECH, Pohang, Kyungbuk, Republic of Korea] P. Piot [Fermilab, Batavia, Illinois, USA] J.G. Power, E.E. Wisniewski [ANL, Argonne, Illinois, USA] G. Qiang [TUB, Beijing, People's Republic of China] ","A Simple Method for Measuring the Electron-Beam Magnetization",521 524,
tupob17,"A.S. Patapenka [Northern Illinois University, DeKalb, Illinois, USA] R. De Maria, Y. Papaphilippou [CERN, Geneva, Switzerland] A. Valishev [Fermilab, Batavia, Illinois, USA] ","Simulations in Support of Wire Beam-Beam Compensation Experiment at the LHC",525 527,
tupob18,"Y.-M. Shin [Northern Illinois University, DeKalb, Illinois, USA] D.R. Broemmelsiek, D.J. Crawford, D.R. Edstrom, A.H. Lumpkin, J. Ruan, J.K. Santucci, J.C.T. Thangaraj, R.M. Thurman-Keup [Fermilab, Batavia, Illinois, USA] A.T. Green [Northern Illinois Univerity, DeKalb, Illinois, USA] ","Beam Test of Masked-Chicane Micro-Buncher",528 531,
tupob19,"B. Li, H. Hao, Y.K. Wu [FEL/Duke University, Durham, North Carolina, USA] J.Y. Li [USTC/NSRL, Hefei, Anhui, People's Republic of China] ","FEL Wiggler Bussbar Field Compensation",532 534,
tupob21,"T.J. Roberts, Y. Bao [Muons, Inc, Illinois, USA] Y. Bao [UCR, Riverside, California, USA] ","MuSim, A Graphical User Interface for Multiple Simulation Codes",535 537,
tupob22,"M.G. Billing, L.Y. Bartnik, M.J. Forster, N.T. Rider, J.P. Shanks, M.B. Spiegel, S. Wang [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] R. Holtzapple [CalPoly, San Luis Obispo, California, USA] E.C. Runburg [University of Notre Dame, Indiana, USA] ","Dependence of the Coupling of Dipole Motion From Bunch to Bunch Caused by Electron Clouds at CesrTA Due to Variations in Bunch Length and Chromaticity",538 541,
tupob23,"J.A. Crittenden, Y. Li, S. Poprocki, J.E. San Soucie [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Electron Cloud Simulations for the Low-Emittance Upgrade at the Cornell Electron Storage Ring",542 545,
tupob24,"Y.H. Wu, Y.J. Chen [LLNL, Livermore, California, USA] ","Optimization of Linear Induction Radiography Accelerator with Electron Beam with Energy Variation",546 548,
tupob25,"Y.H. Wu, Y.J. Chen, J. Ellsworth [LLNL, Livermore, California, USA] ","Unfolding Electron Beam Parameters Using Spot Size Measurement From Magnet Scan",549 551,
tupob26,"Y.K. Batygin, T.T. Fronk [LANL, Los Alamos, New Mexico, USA] ","Dynamics of Intense Beam in Quadrupole-Duodecapole Lattice Near Sixth Order Resonance",552 554,
tupob29,"F. Lin, Y.S. Derbenev, V.S. Morozov, F.C. Pilat, G.H. Wei, Y. Zhang [JLab, Newport News, Virginia, USA] Y. Cai, Y.M. Nosochkov, M.K. Sullivan [SLAC, Menlo Park, California, USA] M.-H. Wang [Self Employment, Private address, USA] ","Simulations of Nonlinear Beam Dynamics in the JLEIC Electron Collider Ring",555 557,
tupob30,"V.S. Morozov, Y.S. Derbenev, F. Lin, Y. Zhang [JLab, Newport News, Virginia, USA] Y. Filatov [MIPT, Dolgoprudniy, Moscow Region, Russia] A.M. Kondratenko, M.A. Kondratenko [Science and Technique Laboratory Zaryad, Novosibirsk, Russia] ","Spin Flipping System in the JLEIC Collider Ring",558 560,
tupob31,"Y.M. Nosochkov, Y. Cai, M.K. Sullivan [SLAC, Menlo Park, California, USA] Y.S. Derbenev, F. Lin, V.S. Morozov, F.C. Pilat, G.H. Wei, Y. Zhang [JLab, Newport News, Virginia, USA] M.-H. Wang [Self Employment, Private address, USA] ","Compensation of Chromaticity in the JLEIC Electron Collider Ring",561 564,
tupob35,"A.V. Sy, Y.S. Derbenev, V.S. Morozov [JLab, Newport News, Virginia, USA] A. Afanasev [GWU, Washington, USA] Y. Bao [UCR, Riverside, California, USA] R.P. Johnson [Muons, Inc, Illinois, USA] ","Progress on Skew Parametric Resonance Ionization Cooling Channel Design and Simulation",565 567,
tupob36,"H. Zhang, S.V. Benson, J. Chen, Y.S. Derbenev, R. Li, Y. Roblin, Y. Zhang [JLab, Newport News, Virginia, USA] H. Huang, L. Luo [ODU, Norfolk, Virginia, USA] ","Simulation Study on JLEIC High Energy Bunched Electron Cooling",568 571,
tupob37,"Y.S. Li [Carleton College, Northfield, Minnesota, USA] ","Diffusion Measurement From Transverse Echoes",572 574,
tupob38,"Y. Bao [UCR, Riverside, California, USA] T.J. Roberts [Muons, Inc, Illinois, USA] ","Implementation of MAD-X into MuSim",575 577,
tupob39,"J.D. McNevin [RadiaBeam Systems, Santa Monica, California, USA] R.B. Agustsson, F.H. O'Shea [RadiaBeam, Santa Monica, California, USA] ","Mechanical Design and Manufacturing of a Two Meter Precision Non-Linear Magnet System",578 581,
tupob40,"A.V. Smirnov [RadiaBeam Systems, Santa Monica, California, USA] E.A. Savin [MEPhI, Moscow, Russia] ","Fundamental Properties of a Novel, Metal-Dielectric, Tubular Structure with Magnetic RF Compensation",582 584,
tupob41,"A.V. Smirnov [RadiaBeam, Santa Monica, California, USA] ","Bi-Complex Toolbox Applied to Gyromagnetic Beam Break-Up",585 587,
tupob43,"K.G. Capobianco-Hogan, A.A. Adhyatman, G. Arrowsmith-Kron, G. Bello Portmann, D.B. Bhatti, R. Cervantes, B.D. Coe, A. Deshpande, N. Feege, S.P. Jeffas, T.C. Krahulik, J.J. LaBounty, T.M. LaByer, A. Oliveira, H.A. Powers, R.S. Sekelsky, V.D. Shethna, N. Ward, H.J. van Nieuwenhuizen [Stony Brook University, Stony Brook, USA] R. Cervantes [University of Washington, CENPA, Seattle, USA] B.D. Coe [BNL, Upton, Long Island, New York, USA] ","Magnetic Cloaking of Charged Particle Beams",588 591,
tupob44,"T.L. Hart, J.G. Acosta, L.M. Cremaldi, S.J. Oliveros, D.J. Summers [UMiss, University, Mississippi, USA] D.V. Neuffer [Fermilab, Batavia, Illinois, USA] ","Final 6d Muon Ionization Cooling Using Strong Focusing Quadrupoles",592 595,
tupob45,"G. Bassi, A. Blednykh, V.V. Smaluk [BNL, Upton, Long Island, New York, USA] Z. Yang [Auburn University, Auburn, USA] ","A Model to Simulate the Effect of a Transverse Feedback System on Single Bunch Instability Thresholds",596 598,
tupob50,"A. Blednykh, B. Bacha, G. Bassi, G. Ganetis, C. Hetzel, H.-C. Hseuh, T.V. Shaftan, V.V. Smaluk, G.M. Wang [BNL, Upton, Long Island, New York, USA] ","Beam-Induced Heating of the Kicker Ceramics Chambers at NSLS-II",599 601,
tupob51,"A. Blednykh, G. Bassi, V.V. Smaluk [BNL, Upton, Long Island, New York, USA] R.R. Lindberg [ANL, Argonne, Illinois, USA] ","A NUMERICAL STUDY OF THE MICROWAVE INSTABILITY AT APS",602 604,
tupob52,"Y. Hidaka, B. Podobedov [BNL, Upton, Long Island, New York, USA] J. Bengtsson [J B Optima, LLC, Rocky Point, USA] ","Linear Optics Characterization and Correction Method Using Turn-By-Turn BPM Data Based on Resonance Driving Terms with Simultaneous BPM Calibration Capability",605 608,
tupob54,"Y. Li, L. Yu [BNL, Upton, Long Island, New York, USA] ","Using Square Matrix to Realize Phase Space Manipulation and Dynamic Aperture Optimization",609 611,
tupob55,"C. Liu, R.L. Hulsart, K. Mernick, R.J. Michnoff, M.G. Minty [BNL, Upton, Long Island, New York, USA] ","Optimize the Algorithm for the Global Orbit Feedback at Fixed Energies and During Acceleration in RHIC",612 615,
tupob56,"C. Montag, G. Bassi, J. Beebe-Wang, J.S. Berg, M. Blaskiewicz, A.V. Fedotov, W. Fischer, Y. Hao, A. Hershcovitch, Y. Luo, R.B. Palmer, B. Parker, S. Peggs, V. Ptitsyn, V.H. Ranjbar, S. Seletskiy, T.V. Shaftan, V.V. Smaluk, S. Tepikian, F.J. Willeke, H. Witte, Q. Wu [BNL, Upton, Long Island, New York, USA] ","The eRHIC Ring-Ring Design",616 618,
tupob57,"V.H. Ranjbar [BNL, Upton, Long Island, New York, USA] ","The Role of Adami Information in Beam Cooling",619 621,
tupob60,"N. Tsoupas, S.J. Brooks, A.K. Jain, F. Meot (F. Méot), V. Ptitsyn, D. Trbojevic [BNL, Upton, Long Island, New York, USA] ","Permanent Magnets for High Energy Nuclear Physics Accelerators",622 624,
tupob61,"M. Borland [Private Address, Westmont, USA] ","Recent Improvements to TAPAs, the Android Application for Accelerator Physics and Engineering Calculations",625 627,
tupob62,"J. Qiang, R.D. Ryne [LBNL, Berkeley, California, USA] Y. Hao [BNL, Upton, Long Island, New York, USA] ","Benchmark of Strong-Strong Beam-Beam Simulation of the Kink Instability in an Electron Ion Collider Design",628 631,
tupob63,"Y. Ji [IIT, Chicago, Illinois, USA] L.K. Spentzouris [Illinois Institute of Technology, Chicago, Illinois, USA] R.M. Zwaska [Fermilab, Batavia, Illinois, USA] ","POSINST Simulation on Fermilab Main Injector and Recycler Ring",632 635,
tupob64,"J.-P. Carneiro, B.M. Hanna, L.R. Prost, V.E. Scarpine, A.V. Shemyakin [Fermilab, Batavia, Illinois, USA] ","Beam Measurements at the PIP-II Injector Test LEBT",636 638,
tupob66,"J.-P. Carneiro, L.R. Prost, J. Steimel [Fermilab, Batavia, Illinois, USA] ","Procedure for the Alignment of the Beam in the Electrical Axes of the Pi-Test RFQ",639 641,
wea1co03,"J.R. Calvey, M. Borland, K.C. Harkay, R.R. Lindberg, C. Yao [ANL, Argonne, Illinois, USA] ","Simulations of Booster Injection Efficiency for the APS-Upgrade",647 650,
wea1co04,"M. Fitterer, G. Stancari, A. Valishev [Fermilab, Batavia, Illinois, USA] R. Bruce, S. Papadopoulou, G. Papotti, D. Pellegrini, S. Redaelli, D. Valuch, J.F. Wagner [CERN, Geneva, Switzerland] ","Hollow Electron Beam Collimation for HL-LHC - Effect on the Beam Core",651 654,
wea1co05,"A. Blednykh, B. Bacha, G. Bassi, Y. Chen-Wiegart, W.X. Cheng, O.V. Chubar, V.V. Smaluk [BNL, Upton, Long Island, New York, USA] ","Microwave Instability Studies in NSLS-II",655 658,
wea1io02,"I. Zagorodnov [DESY, Hamburg, Germany] ","Computation of Electromagnetic Fields Generated by Relativistic Beams in Complicated Structures",642 646,
wea2co03,"S. Poprocki, J.A. Crittenden, S.N. Hearth, J.D. Perrin, D. L. Rubin, S. Wang [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Incoherent Vertical Emittance Growth from Electron Cloud at CesrTA",672 674,
wea2co04,"C.-Y. Tsai [Virginia Polytechnic Institute and State University, Blacksburg, Virginia, USA] Y.S. Derbenev, D. Douglas, R. Li, C. Tennant [JLab, Newport News, Virginia, USA] ","Vlasov Analysis of Microbunching Gain for Magnetized Beams",675 678,
wea2io01,"V.H. Ranjbar [BNL, Upton, Long Island, New York, USA] ","Calculating Spin Lifetime",667 671,
wea3co04,"G. Skripka, Å. Andersson, P.F. Tavares [MAX IV Laboratory, Lund University, Lund, Sweden] F.J. Cullinan, R. Nagaoka [SOLEIL, Gif-sur-Yvette, France] ","Impedance Characterization and Collective Effects in the MAX IV 3 GeV Ring",843 846,
wea3io01,"M. Blaskiewicz [BNL, Upton, Long Island, New York, USA] ","Emittance Growth from Modulated Focusing in Bunched Beam Cooling",833 837,
wea3io02,"J. Qiang [LBNL, Berkeley, California, USA] ","Start-to-End Beam Dynamics Optimization of X-Ray FEL Light Source Accelerators",838 842,
wea4co03,"A. Macridin, J.F. Amundson, A.V. Burov, P. Spentzouris, E.G. Stern [Fermilab, Batavia, Illinois, USA] ","Intrinsic Landau Damping of Space Charge Modes at Coupling Resonance",863 866,
wea4co05,"A.V. Fedotov, M. Blaskiewicz, W. Fischer, D. Kayran, J. Kewisch, S. Seletskiy, J.E. Tuozzolo [BNL, Upton, Long Island, New York, USA] ","Accelerator Physics Design Requirements and Challenges of RF Based Electron Cooler LEReC",867 869,
web1co02,"U. Pudasaini, M.J. Kelley [The College of William and Mary, Williamsburg, Virginia, USA] G.V. Eremeev, M.J. Kelley, C.E. Reece [JLab, Newport News, Virginia, USA] M.J. Kelley, J. Tuggle [Virginia Polytechnic Institute and State University, Blacksburg, USA] ","Investigation of Structural Development in the Two-Step Diffusion Coating of Nb3Sn on Niobium",659 662,
web1co03,"M. Martinello, M. Checchin, A. Grassellino, O.S. Melnychuk, S. Posen, A. Romanenko, D.A. Sergatskov [Fermilab, Batavia, Illinois, USA] M. Checchin [Illinois Institute of Technology, Chicago, Illlinois, USA] J. Zasadzinski [IIT, Chicago, Illinois, USA] ","Surface Impurity Content Optimization to Maximize Q-factors of Superconducting Resonators",663 666,
web2io02,"S.U. De Silva [ODU, Norfolk, Virginia, USA] ","Compact Crabbing Cavity Systems for Particle Colliders",679 683,
web3co03,"V. Jain, E. Borissov, I.V. Gonin, C.J. Grimm, S. Kazakov, T.N. Khabiboulline, V.A. Lebedev, C.S. Mishra, D.V. Mitchell, T.H. Nicol, Y.M. Pischalnikov, A.M. Rowe, N.K. Sharma, V.P. Yakovlev [Fermilab, Batavia, Illinois, USA] ","650 MHz Elliptical Superconducting RF Cavities for PIP-II Project",859 862,
web3io01,"T. Xu, H. Ao, B. Bird, N.K. Bultman, E.E. Burkhardt, F. Casagrande, C. Compton, J.L. Crisp, K.D. Davidson, K. Elliott, A. Facco, V. Ganni, A. Ganshyn, P.E. Gibson, W. Hartung, M. Ikegami, P. Knudsen, S.M. Lidia, I.M. Malloch, S.J. Miller, D.G. Morris, P.N. Ostroumov, J.T. Popielarski, L. Popielarski, M.A. Reaume, K. Saito, G. Shen, M. Shuptar, S. Stark, J. Wei, J.D. Wenstrom, M. Xu, T. Xu, Y. Xu, Y. Yamazaki, Z. Zheng [FRIB, East Lansing, Michigan, USA] A. Facco [INFN/LNL, Legnaro (PD), Italy] K. Hosoyama [KEK, Ibaraki, Japan] M.P. Kelly [ANL, Argonne, Illinois, USA] R.E. Laxdal [TRIUMF, Vancouver, Canada] M. Wiseman [JLab, Newport News, Virginia, USA] ","SRF Devlopment and Cryomodule Production for the FRIB Linac",847 852,
web3io02,"G. Ambrosio, G. Chlachidze [Fermilab, Batavia, Illinois, USA] P. Ferracin [CERN, Geneva, Switzerland] G.L. Sabbi [LBNL, Berkeley, California, USA] P. Wanderer [BNL, Upton, Long Island, New York, USA] ","First Test Results of the 150 mm Aperture IR Quadrupole Models for the High Luminosity LHC",853 858,
web4co03,"A. Carpenter, J. F. Benesch, C.J. Slominski [JLab, Newport News, Virginia, USA] ","RF Calibration of CEBAF Linac Cavities Through Phase Shifts",870 872,
web4co04,"G.B. Sharkov, A.A. Krasnov, S.A. Polikhov [NIITFA, Moscow, Russia] R. Cisneros, R.J. Patrick [TMD Technologies, Middlesex, United Kingdom] ","100 kW Very Compact Pulsed Solid-State RF Amplifier. Development and Tests",873 876,
wepoa01,"N. Savard [University of Victoria, Victoria BC, Canada] P. Muggli [MPI, Muenchen, Germany] J. Vieira [IPFN, Lisbon, Portugal] ","Effect of Proton Bunch Parameter Variation on AWAKE",684 686,
wepoa02,"P. Muggli [MPI, Muenchen, Germany] ","Progress Toward an Experiment at AWAKE*",687 689,
wepoa03,"K. Jimbo [Kyoto University, Kyoto, Japan] H. Souda [Gunma University, Heavy-Ion Medical Research Center, Maebashi-Gunma, Japan] ","Synchrotron Oscillation Derived From Three Components Hamiltonian",690 692,
wepoa04,"Y. Fuwa, Y. Iwashita [Kyoto ICR, Uji, Kyoto, Japan] ","Design of Front End for RF Synchronized Short Pulse Laser Ion Source",693 695,
wepoa05,"S.A. Kondrashev, J.-W. Kim, Y.K. Kwon, Y.H. Park, H.J. Son [IBS, Daejeon, Republic of Korea] ","EBIS Charge Breeder for RAON Facility",696 699,
wepoa06,"V.V. Parkhomchuk [BINP SB RAS, Novosibirsk, Russia] ","New Coolers for Ion Ion Colliders",700 702,
wepoa07,"L. Lari, R. Bevilacqua, R. Miyamoto, C. Pierre, L. Tchelidze [ESS, Lund, Sweden] F. Cerutti, L.S. Esposito, L. Lari, A. Mereghetti [CERN, Geneva, Switzerland] L.S. Esposito [ADAM SA, Geneva, Switzerland] ","Neutrons and Photons Fluences in the DTL Section of the ESS Linac",703 706,
wepoa09,"M. Turner, E. Gschwendtner, A.V. Petrenko [CERN, Geneva, Switzerland] K.V. Lotov, A. Sosedkin [Budker INP  NSU, Novosibirsk, Russia] ","Proton Beam Defocusing as a Result of Self-Modulation in Plasma",707 709,
wepoa11,"Z.A. Conway, R.L. Fischer, C.S. Hopper, M. Kedzie, M.P. Kelly, S.H. Kim, P.N. Ostroumov, T. Reid [ANL, Argonne, Illinois, USA] V.A. Lebedev, A. Lunin [Fermilab, Batavia, Illinois, USA] ","Frequency Manipulation of Half-Wave Resonators During Fabrication and Processing",710 712,
wepoa12,"S. Shin, Y. Sun, A. Zholents [ANL, Argonne, Illinois, USA] ","Interleaving Lattice Design for APS Linac",713 715,
wepoa13,"N. Zhou, A. Nassiri [ANL, Argonne, Illinois, USA] ","RF Design and Simulation of a Non-Periodic Lattice Photonic Band Gap (PBG) Accelerating Structure",716 718,
wepoa14,"R. Ainsworth, P. Adamson, A.V. Burov, I. Kourbanis [Fermilab, Batavia, Illinois, USA] ","Resistive Wall Growth Rate Measurements in the Fermilab Recycler",719 721,
wepoa15,"C.M. Baffes, M.L. Alvarez, R. Andrews, A.Z. Chen, J. Czajkowski, P. Derwent, J.P. Edelen, B.M. Hanna, B.D. Hartsell, K.R. Kendziora, D.V. Mitchell, L.R. Prost, V.E. Scarpine, A.V. Shemyakin, J. Steimel, T.J. Zuchnik [Fermilab, Batavia, Illinois, USA] A.L. Edelen [CSU, Fort Collins, Colorado, USA] ","Installation Progress at the PIP-II Injector Test at Fermilab",722 725,
wepoa16,"B.C. Brown, P. Adamson, R. Ainsworth, D. Capista, K.J. Hazelwood, I. Kourbanis, N.V. Mokhov, D.K. Morris, M.J. Murphy, V.I. Sidorov, E.G. Stern, I.S. Tropin, M.-J. Yang [Fermilab, Batavia, Illinois, USA] ","Fermilab Recycler Collimation System Design",726 728,
wepoa17,"E. Gianfelice-Wendt, Y.I. Alexahin, V.A. Lebedev, A. Valishev [Fermilab, Batavia, Illinois, USA] ","On the Possibility of Using Nonlinear Elements for Landau Damping in High-Intensity Beams",729 731,
wepoa18,"V.V. Kapin, S. Chaurize, N.V. Mokhov, W. Pellico, M. Slabaugh, T. Sullivan, R. Tesarek, A.K. Triplett [Fermilab, Batavia, Illinois, USA] ","Experimental Studies of Beam Collimation System in the Fermilab Booster",732 734,
wepoa20,"V.V. Kapin, V.A. Lebedev, N.V. Mokhov, S.I. Striganov, I.S. Tropin [Fermilab, Batavia, Illinois, USA] ","Numerical Simulations of Collimation Efficiency for Beam Collimation System in the Fermilab Booster",735 738,
wepoa22,"A. Liu, A.D. Bross [Fermilab, Batavia, Illinois, USA] J.-B. Lagrange [Imperial College of Science and Technology, Department of Physics, London, United Kingdom] ","nuPIL - Neutrinos from a PIon Beam Line",739 741,
wepoa24,"M.A. Palmer, M. Babzien, M.G. Fedurin, C. Folz, M. Fulkerson, K. Kusche, J.J. Li, R. Malone, T.V. Shaftan, J. Skaritka, L. Snydstrup, C. Swinson, F.J. Willeke [BNL, Upton, Long Island, New York, USA] ","Installation and Commissioning of an Ultrafast Electron Diffraction Facility as Part of the ATF-II Upgrade",742 744,
wepoa25,"V.D. Shiltsev [Fermilab, Batavia, Illinois, USA] ","Fermilab Accelerator R&D Program Towards Intensity Frontier Accelerators: Status and Progress",745 748,
wepoa26,"D. Stratakis, Z. Pavlovic [Fermilab, Batavia, Illinois, USA] J.M. Grange [ANL, Argonne, Illinois, USA] S-C. Kim [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] R. Miceli [Stony Brook University, Stony Brook, USA] J.A. Zennamo [Enrico Fermi Institute, University of Chicago, Chicago, Illinois, USA] ","Fermilab Muon Campus as a Potential Probe to Study Neutrino Physics",749 751,
wepoa28,"K. Hwang, J. Qiang [LBNL, Berkeley, California, USA] ","A Recirculating Proton Linac Design",752 754,
wepoa29,"P.A. Seidl, E. Feinberg, Q. Ji, B.A. Ludewigt, A. Persaud, T. Schenkel, M. Silverman, A.A. Sulyman, W.L. Waldron [LBNL, Berkeley, California, USA] J.J. Barnard, A. Friedman, D.P. Grote [LLNL, Livermore, California, USA] E.P. Gilson, I. Kaganovich, A.D. Stepanov [PPPL, Princeton, New Jersey, USA] F. Treffert, M. Zimmer [TU Darmstadt, Darmstadt, Germany] ","Recent Experiments at NDCX-II: Irradiation of Materials Using Short, Intense Ion Beams",755 757,
wepoa30,"J.-L. Vay, G. Blaclard, R. Lehe (R. Lehé), M. Lobet, H. Vincenti [LBNL, Berkeley, California, USA] B.B. Godfrey [UMD, College Park, Maryland, USA] M. Kirchen [University of Hamburg, Hamburg, Germany] P. Lee [CNRS LPGP Univ Paris Sud, Orsay, France] ","High-Performance Modeling of Plasma-Based Acceleration and Laser-Plasma Interactions.",758 761,
wepoa33,"X.Y. Lu, M.A. Shapiro, R.J. Temkin [MIT/PSFC, Cambridge, Massachusetts, USA] ","Novel Metallic Structures for Wakefield Acceleration",762 764,
wepoa34,"J.S. Ellison [IIT, Chicago, Illinois, USA] P. Snopok [Fermilab, Batavia, Illinois, USA] P. Snopok [Illinois Institute of Technology, Chicago, Illlinois, USA] ","Progress on Beam-Plasma Effect Simulations in Muon Ionization Cooling Lattices",765 767,
wepoa35,"D.V. Neuffer [Fermilab, Batavia, Illinois, USA] J.G. Acosta, D.J. Summers [UMiss, University, Mississippi, USA] T.A. Mohayai [IIT, Chicago, Illinois, USA] P. Snopok [Illinois Institute of Technology, Chicago, Illinois, USA] ","Wedge Absorbers for Muon Cooling with a Test Beam at MICE",768 770,
wepoa36,"T.A. Mohayai [IIT, Chicago, Illinois, USA] D.V. Neuffer, D.V. Neuffer, P. Snopok [Fermilab, Batavia, Illinois, USA] C.T. Rogers [STFC/RAL/ASTeC, Chilton, Didcot, Oxon, United Kingdom] P. Snopok [Illinois Institute of Technology, Chicago, Illinois, USA] ","Simulated Measurements of Beam Cooling in Muon Ionization Cooling Experiment",771 774,
