mocoak01,"H.W. Zhao, Y. Cao, Y.C. Feng, X.H. Guo, J.Y. Li, W. Lu, L.T. Sun, D. Xie, X.Z. Zhang, H. Zhao [IMP, Lanzhou, People's Republic of China] ","SECRAL Status and First Beam Test at 24GHz",1 3,
tupot013,"I. Izotov, V. Sidorov, V. Skalyga, V. Zorin [IAP/RAS, Nizhny Novgorod, Russia] H. A. Koivisto, O.A. Tarvainen, V.A. Toivanen [JYFL, Jyvaskyla, Finland] ","Influence of Initial Plasma Density and Mean Electron Energy on the Preglow Effect",146 146,
tupot014,"L. Schachter (L. Schächter), S. Dobrescu [IFIN, Magurele- Bucuresti, Romania] K.E. Stiebing [IKF, Frankfurt-am-Main, Germany] ","Optimized Extraction Conditions From High Power ECRIS by Dedicated Dielectric Structures",147 149,
tupot015,"K.W. Leo, T. Adachi [Sokendai, Ibaraki, Japan] T. Arai, K. Koyama, M. Wake [KEK, Ibaraki, Japan] K. Okazaki [Nippon Advanced Technology Co. Ltd., Ibaraki-prefecture, Japan] K. Takayama [TIT, Yokohama, Japan] ","Permanent Magnet ECRIS for the KEK Digital Accelerator",150 152,
tupot016,"T. Winkelmann, R. Cee, Th. Haberer, B. Naas, A. Peters [HIT, Heidelberg, Germany] ","Long-Term Operation Experience With Two ECR Ion Sources and Planned Extensions at HIT",153 155,
tupot017,"R. Gobin, C.M. Mateo, S. Nyckees [CEA/IRFU, Gif-sur-Yvette, France] G. Adroit, G. Bourdelle, N. Chauvin, O. Delferriere (Delferrière), Y. Gauthier, P. Girardot, F. Harrault, C. Marolles, B. Pottin, Y. Sauce, F. Senee (Senée), O. Tuske, T.V. Vacher, C. Van Hille [CEA/DSM/IRFU, France] ","CEA/Saclay Light Ion Sources Status and Developments",156 158,
tupot018,"H.J. You [NFRI, Daejon, Republic of Korea] ","Sheath Formation of a Plasma Containing Multiply Charged Ions, Cold and Hot Electrons, and Emitted Electrons",159 161,
vendors,"thuillier",N/A,99 98,
wecoak01,"C.M. Lyneis, J.Y. Benitez, D. Leitner, J.D. Noland, M.M. Strohmeier [LBNL, Berkeley, California, USA] H. A. Koivisto, O.A. Tarvainen [JYFL, Jyvaskyla, Finland] ","Characterization of the Microwave Coupling to the Plasma Chamber of the LBL ECR Ion Source.",162 164,
wecoak02,"D. Mascali, G. Castro, L. Celona, G. Ciavola, N. Gambino, S. Gammino, R. Miracoli, L. Neri [INFN/LNS, Catania, Italy] F. Maimone [GSI, Darmstadt, Germany] ","Some Considerations About Frequency Tuning Effect in ECRIS Plasmas",165 167,
wecoak03,"S. Biri, R. Rácz [ATOMKI, Debrecen, Hungary] J. Palinkas (J. Pálinkás) [DU, Debrecen, Hungary] ","Studies of the ECR Plasma in the Visible Light Range",168 170,
wecoak04,"T. Ropponen, D.G. Cole, G. Machicoane, A. Stolz, L.T. Sun, L. Tobos [NSCL, East Lansing, Michigan, USA] ","Bremsstrahlung and Ion Beam Current Measurements With SuSI ECR Ion Source",171 174,
wecoak05,"H. A. Koivisto, V.P. Aho, P. Jones, P. Peura, J.H. Sarén, O.A. Tarvainen, V.A. Toivanen [JYFL, Jyvaskyla, Finland] ","Maximum Bremsstrahlung Energy Versus Different Heating Limits",175 177,
wecobk01,"F. Ames, R.A. Baartman, P.G. Bricault, K. Jayamanna [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] T. Lamy [LPSC, Grenoble, France] ","Commissioning of the ECRIS Charge State Breeder at TRIUMF",178 180,
wecobk02,"R.C. Vondrasek, A. Kolomiets, R.C. Pardo, R.H. Scott [ANL, Argonne, USA] ","Recent Performance of the ANL ECR Charge Breeder",181 183,
wecobk03,"T. Lamy, J. Angot, M. Marie-Jeanne, J. Medard (Médard), P. Sortais, T. Thuillier [LPSC, Grenoble Cedex, France] A. Galatà [INFN/LNL, Legnaro (PD), Italy] H. A. Koivisto, O.A. Tarvainen [JYFL, Jyvaskyla, Finland] ","Fine Frequency Tuning of the PHOENIX Charge Breeder Used as a Probe for ECRIS Plasmas",184 187,
wecobk04,"L. Panitzsch, M. Stalder, R.F. Wimmer-Schweingruber [IEAP, Kiel, Germany] ","Preliminary Results of Spatially Resolved ECR Ion Beam Profile Investigations",188 190,
