FRXBCH01,"K.J. Peach, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon","Novel Ideas and Ramp;D for High Intensity Neutrino Beams",
MOPKF035,"C. Bruni, LURE, Orsay; E. Allaria, INOA, Firenze; S. Bielawski, PhLAM/CERCLA, Villeneuve d'Ascq Cedex; M.-E. Couprie, CEA/DSM, Gif-sur-Yvette; M. Danailov, G. De Ninno, B. Diviacco, ELETTRA, Basovizza, Trieste; D. Fanelli, KTH/NADA, Stockholm; D. Garzella, LURE, Orsay; L. Giannessi, ENEA C.R. Frascati, Frascati (Roma); G. Lambert, LURE, Orsay; R. Meucci, INOA, Firenze; G.L. Orlandi, LURE, Orsay; M. Trovò, ELETTRA, Basovizza, Trieste","Stabilization of the Pulsed Regimes on Storage Ring Free Electron Laser: The Cases of Super-ACO and Elettra",
MOPKF036,"J.-M. Ortega, F. Glotin, R. Prazeres, LURE, Orsay","Wideband Infrared FEL",
MOPKF037,"R.J. Bakker, C. Bocchetta, P. Craievich, G. D'Auria, M. Danailov, G. De Ninno, S. Di Mitri, B. Diviacco, G. Pangon, L. Rumiz, L. Tosi, V. Verzilov, D. Zangrando, ELETTRA, Basovizza, Trieste","FERMI@ELETTRA: 100 nm - 10 nm Single Pass FEL User Facility",
MOPKF039,"L. Tosi, C. Knapic, D. Zangrando, ELETTRA, Basovizza, Trieste","The ELETTRA Superconducting Wiggler",
MOPKF040,"M. Trovò, D. Bulfone, M. Danailov, G. De Ninno, B. Diviacco, V. Forchi', ELETTRA, Basovizza, Trieste; L. Giannessi, ENEA C.R. Frascati, Frascati (Roma); M. Lonza, ELETTRA, Basovizza, Trieste","Effect of Electron-beam Feedbacks on the ELETTRA Storage-ring Free-electron Laser",
MOPKF041,"M. Ferrario, M.E. Biagini, M. Boscolo, V. Fusco, INFN/LNF, Frascati (Roma); L. Giannessi, ENEA C.R. Frascati, Frascati (Roma); S. Guiducci, INFN/LNF, Frascati (Roma); L. Mezi, ENEA C.R. Frascati, Frascati (Roma); M. Migliorati, INFN/LNF, Frascati (Roma); M. Quattromini, C. Ronsivalle, ENEA C.R. Frascati, Frascati (Roma); J. Rosenzweig, UCLA, Los Angeles, California; C. Sanelli, INFN/LNF, Frascati (Roma); L. Serafini, INFN-Milano, Milano; F. Tazzioli, C. Vaccarezza, INFN/LNF, Frascati (Roma)","SPARC Photoinjector Working Point Optimization, Tolerances and Sensitivity to Errors",
MOPKF042,"M. Ferrario, D. Alesini, INFN/LNF, Frascati (Roma); F. Alessandria, A. Bacci, INFN/LASA, Segrate (MI); M. Bellaveglia, S. Bertolucci, M.E. Biagini, R. Boni, INFN/LNF, Frascati (Roma); I. Boscolo, INFN-Milano, Milano; M. Boscolo, INFN/LNF, Frascati (Roma); F. Brogli, INFN-Milano, Milano; M. Castellano, INFN/LNF, Frascati (Roma); L. Catani, E.C. Chiadroni, Università di Roma II Tor Vergata, Roma; S. Cialdi, INFN-Milano, Milano; A. Cianchi, Università di Roma II Tor Vergata, Roma; F. Ciocci, ENEA C.R. Frascati, Frascati (Roma); A. Clozza, INFN/LNF, Frascati (Roma); G. Dattoli, ENEA C.R. Frascati, Frascati (Roma); C. De Martinis, INFN-Milano, Milano; G. Di Pirro, INFN/LNF, Frascati (Roma); A. Doria, ENEA C.R. Frascati, Frascati (Roma); D. Dowell, SLAC, Menlo Park, California; A. Drago, INFN/LNF, Frascati (Roma); P. Emma, SLAC, Menlo Park, California; A. Esposito, D. Filippetto, INFN/LNF, Frascati (Roma); F. Flora, ENEA C.R. Frascati, Frascati (Roma); V. Fusco, INFN/LNF, Frascati (Roma); G.P. Gallerano, ENEA C.R. Frascati, Frascati (Roma); A. Gallo, A. Ghigo, INFN/LNF, Frascati (Roma); L. Giannessi, ENEA C.R. Frascati, Frascati (Roma); D. Giove, INFN-Milano, Milano; E. Giovenale, ENEA C.R. Frascati, Frascati (Roma); S. Guiducci, M. Incurvati, INFN/LNF, Frascati (Roma); D. Levi, Università di Roma I La Sapienza, Roma; C. Ligi, INFN/LNF, Frascati (Roma); C. Limborg-Deprey, SLAC, Menlo Park, California; F. Marcellini, INFN/LNF, Frascati (Roma); C. Maroli, INFN-Milano, Milano; M. Mattioli, Università di Roma I La Sapienza, Roma; M. Mauri, INFN/LASA, Segrate (MI); G. Medici, Università di Roma I La Sapienza, Roma; G. Messina, L. Mezi, ENEA C.R. Frascati, Frascati (Roma); M. Migliorati, A. Mostacci, Rome University La Sapienza, Roma; P. Musumeci, UCLA, Los Angeles, California; M. Nisoli, Politecnico/Milano, Milano; P.L. Ottaviani, ENEA C.R. Frascati, Frascati (Roma); D. Palmer, SLAC, Menlo Park, California; L. Palumbo, Rome University La Sapienza, Roma; L. Pellegrino, INFN/LNF, Frascati (Roma); V. Petrillo, INFN-Milano, Milano; L. Picardi, ENEA C.R. Frascati, Frascati (Roma); M.A. Preger, INFN/LNF, Frascati (Roma); M. Quattromini, A. Renieri, ENEA C.R. Frascati, Frascati (Roma); R. Ricci, INFN/LNF, Frascati (Roma); M. Romé, INFN-Milano, Milano; C. Ronsivalle, ENEA C.R. Frascati, Frascati (Roma); J. Rosenzweig, UCLA, Los Angeles, California; C. Sanelli, INFN/LNF, Frascati (Roma); L. Serafini, INFN-Milano, Milano; M. Serio, F. Sgamma, B. Spataro, INFN/LNF, Frascati (Roma); S. Stagira, Politecnico/Milano, Milano; A. Stecchi, A. Stella, INFN/LNF, Frascati (Roma); S. Tazzari, Università di Roma II Tor Vergata, Roma; F. Tazzioli, C. Vaccarezza, M. Vescovi, C. Vicario, INFN/LNF, Frascati (Roma); S. de Silvestri, Politecnico/Milano, Milano","Status of the SPARC Project",
MOPKF043,"M. Ferrario, INFN/LNF, Frascati (Roma); J. Rosenzweig, UCLA, Los Angeles, California; J. Sekutowicz, DESY, Hamburg","An Ultra-high Brightness, High Duty Factor, Superconducting RF Photoinjector",
MOPKF044,"V. Fusco, M. Ferrario, INFN/LNF, Frascati (Roma); M. Migliorati, L. Palumbo, Rome University La Sapienza, Roma; B. Spataro, INFN/LNF, Frascati (Roma)","Wake Fields Effects in the Photoinjector of the SPARC Project",
MOPKF045,"D. Sertore, D. Favia, P. Michelato, L. Monaco, P. Pierini, INFN/LASA, Segrate (MI)","Cesium Telluride and Metals Photoelectron Thermal Emittance Measurements Using a Time-of-flight Spectrometer",
MOPKF046,"H. Dewa, T. Asaka, H. Hanaki, T. Kobayashi, A. Mizuno, JASRI/SPring-8, Hyogo; J. Sasabe, Hamamatsu Photonics K.K., Hamakita, Shizuoka; S. Suzuki, T. Taniuchi, H. Tomizawa, JASRI/SPring-8, Hyogo; M. Uesaka, UTNL, Ibaraki; K. Yanagida, JASRI/SPring-8, Hyogo","Photoelectron RF Gun Designed as a Single Cell Cavity",
MOPKF047,"T. Ohshima, N. Kumagai, M. Masaki, S. Matsui, H. Ohkuma, K. Soutome, M. Takao, H. Tanaka, JASRI/SPring-8, Hyogo","Suppression of Stored Beam Oscillation Excited by Beam Injection",
MOPKF048,"M. Takao, T. Ohshima, S. Sasaki, J. Schimizu, K. Soutome, H. Tanaka, JASRI/SPring-8, Hyogo","Injection Beam Loss at the SPring-8 Storage Ring",
MOPKF049,"E.-S. Kim, PAL, Pohang; K. Yokoya, KEK, Ibaraki","Design Study for a 205 MeV Energy Recovery Linac Test Facility at the KEK",
MOPKF050,"V.I.R. Niculescu, G.R. Anda, INFLPR, Bucharest - Magurele; V. Babin, INOE, Bucharest; F. Scarlat, INFLPR, Bucharest - Magurele; C. Stancu, A. Tudorache, Bucharest University, Faculty of Physics, Bucharest-Magurele","Current Heart-like Wiggler",
MOPKF052,"C.-H. Chang, H.-H. Chen, T.-C. Fan, G.-Y. Hsiung, M.-H. Huang, C.-S. Hwang, F.-Y. Lin, NSRRC, Hsinchu","Design of an In Archromatic Superconducting Wiggler at NSRRC",
MOPKF053,"T.-C. Fan, C.-S. Hwang, F.-Y. Lin, NSRRC, Hsinchu","Pulsed-wire Method of Field Measurement on Short Elliptically Polarized Undulator",
MOPKF054,"S. Rimjaem, FNRF, Chiang Mai; S. Chumphongphan, Mae Fah Luang University, Chiang Rai; V. Jinamoon, K. Kusoljariyakul, FNRF, Chiang Mai; M.W. Rhodes, IST, Chiang Mai; J. Saisut, C. Thongbai, T. Vilaithong, FNRF, Chiang Mai; P. Wichaisirimongkol, IST, Chiang Mai; H. Wiedemann, SLAC/SSRL, Menlo Park, California","Generation of Femtosecond Electron Pulses",
MOPKF055,"M.A. Bowler, H.L. Owen, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire","A Study of CSR Induced Microbunching Using Numerical Simulations",
MOPKF056,"C. Gerth, F.E. Hannon, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire","Injector Design for the 4GLS Energy Recovery Linac Prototype",
MOPKF058,"F.E. Hannon, J.A. Clarke, C. Hill, A.A. Muir, D.J. Scott, B.J.A. Shepherd, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire","Construction of an APPLE-II Type Undulator at Daresbury Laboratory for the SRS",
MOPKF059,"N. Thompson, N. Marks, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire","Magnet Specification for the Daresbury Laboratory Energy Recovery Linac Prototype",
MOPKF060,"B.D. Muratori, C. Gerth, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; N. Vinokurov, BINP SB RAS, Novosibirsk","Space Charge Effects for the ERL Prototype at Daresbury Laboratory",
MOPKF061,"B.D. Muratori, H.L. Owen, J.A. Varley, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire","Optics Layout for the ERL Prototype at Daresbury Laboratory",
MOPKF062,"H.L. Owen, B.D. Muratori, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire","Choice of Arc Design for the ERL Prototype at Daresbury Laboratory",
MOPKF063,"M.W. Poole, E.A. Seddon, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire","4GLS and the Prototype Energy Recovery Linac Project at Daresbury",
