mooa02,"H. Loos [SLAC, Menlo Park, California, USA] ","Beam Instrumentation for X-ray FELs",99 98,
mopd45,"S.X. Peng, J.E. Chen, Z.Y. Guo, P.N. Lu, Z.X. Yuan, J. Zhao [PKU/IHIP, Beijing, People's Republic of China] H.T. Ren [Graduate University, Chinese Academy of Sciences, Beijing, People's Republic of China] ","Single-Shot Beam Characterization Device Based on the Pepper-Pot Principle",155 157,
mopd48,"T. Weilbach [HIM, Mainz, Germany] K. Aulenbacher [IKP, Mainz, Germany] J. Dietrich [FZJ, Jülich, Germany] ","Optical Electron Beam Diagnostics for Relativistic Electron Cooling Devices",158 160,
mopd49,"P.I. Reinhardt-Nickoulin, S. Bragin, A. Feschenko, S.A. Gavrilov, I.V. Vasilyev, O. Volodkevich [RAS/INR, Moscow, Russia] ","Beam Parameters Measurements by Ionization Cross Section Monitor on Proton LINAC of INR RAS",161 163,
mopd51,"V. Kamerdzhiev, J. Dietrich, F. Klehr, K. Reimers [FZJ, Jülich, Germany] ","Progress with the Scintillation Profile Monitor at COSY",164 166,
mopd52,"B. Cheymol, J.-B. Lallement, A.E. Lokhovitskiy, O. Midttun, U. Raich, F. Roncarolo, R. Scrivens, E. Zorin [CERN, Geneva, Switzerland] B. Cheymol [Université Blaise Pascal, Clermont-Ferrand, France] ","First Results from Beam Measurements at the 3 MeV Test Stand for CERN Linac4",167 169,
mopd53,"P. Forck, C.A. Andre, F. Becker, R. Haseitl, A. Reiter, B. Walasek-Hoehne (B. Walasek-Höhne) [GSI, Darmstadt, Germany] W. Ensinger, K. Renuka [TU Darmstadt, Darmstadt, Germany] ","Scintillation Screen Investigations for High Energy Heavy Ion Beams at GSI",170 172,
mopd54,"J. Boedewadt (J. Bödewadt), E. Hass, J. Rossbach (J. Roßbach) [Uni HH, Hamburg, Germany] ","Commissioning Results of the Photon-Electron Diagnostic Unit at sFLASH",173 175,
mopd55,"M. Witthaus, J. Adamczewski-Musch, H. Flemming, J. Fruehauf (J. Frühauf), S. Loechner (S. Löchner), H. Reeg, P. Skott [GSI, Darmstadt, Germany] ","SEM-GRID Prototype Electronics using Charge-Frequency-Converters",176 178,
mopd57,"E. Guetlich (E. Gütlich), P. Forck, B. Walasek-Hoehne (B. Walasek-Höhne) [GSI, Darmstadt, Germany] W. Ensinger [TU Darmstadt, Darmstadt, Germany] ","Quantitative Scintillation Screen Studies at GSI-LINAC and Related Model Calculations",179 181,
mopd59,"S. Burger, A. Boccardi, E. Bravin, A. Rabiller, R.S. Sautier [CERN, Geneva, Switzerland] ","A New Fast Acquisition Profile for the LHC and the SPS",182 184,
mopd60,"C.A. Andre, F. Becker, H. Bräuning, P. Forck, R. Haseitl, R. Lonsing, B. Walasek-Hoehne (B. Walasek-Höhne) [GSI, Darmstadt, Germany] ","Beam Induced Fluorescence (BIF) Monitors as a Standard Operating Tool",185 187,
mopd61,"F. Ewald, P. Elleaume, L. Farvacque, A. Franchi, D. Robinson, K.B. Scheidt, A. Snigirev, I. Snigireva [ESRF, Grenoble, France] ","Vertical Emittance Measurement at the ESRF",188 190,
mopd62,"A.F.D. Morgan, C.A. Thomas [Diamond, Oxfordshire, United Kingdom] R. Bartolini [JAI, Oxford, United Kingdom] ","Storage Ring Injector Diagnostics using Synchrotron Radiation",191 193,
mopd64,"K.B. Scheidt, F. Ewald, B. Joly [ESRF, Grenoble, France] ","High Quality Measurements of Beam Lifetime, Instant-Partial-Beam Losses and Charge-Accumulation with the New ESRF BPM System",194 196,
mopd65,"M. Werner, J. Lund-Nielsen, Re. Neumann, N. Wentowski [DESY, Hamburg, Germany] ","Sensitivity Optimization of the Standard Beam Current Monitors for XFEL and FLASH II",197 199,
mopd66,"A. Monera Martinez, M. Andersen, D. Belohrad, L.K. Jensen, L. Soby (L. Søby) [CERN, Geneva, Switzerland] G. Kasprowicz [CREOTECH Ltd., Warsaw, Poland] ","Upgrade of the CERN PSB/CPS Fast Intensity Measurements",200 202,
mopd68,"Yu. A. Rogovsky, E.A. Bekhtenev [BINP SB RAS, Novosibirsk, Russia] ","Pickup Beam Measurement System at the VEPP-2000 Collider",203 205,
mopd69,"R. Singh, P. Forck, W. Kaufmann, P. Kowina [GSI, Darmstadt, Germany] R. Singh [TEMF, TU Darmstadt, Darmstadt, Germany] ","Tune Measurements with High Intensity Beams at SIS-18",206 208,
mopd71,"N. Eddy, O. Lysenko [Fermilab, Batavia, USA] ","Using the Transverse Digital Damper as a Real-time Tune Monitor for the Booster Synchrotron at Fermilab",209 211,
mopd73,"M. Tobiyama, K. Ohmi [KEK, Ibaraki, Japan] ","Study of Beam Size Blowup due to Transverse Bunch Feedback Noise on e+e- Collider",212 214,
mopd74,"E. Plouviez, F. Epaud, J.M. Koch, K.B. Scheidt [ESRF, Grenoble, France] ","The New Fast Orbit Correction System of the ESRF Storage Ring",215 217,
mopd75,"P.-A. Duperrex [PSI, Villigen, Switzerland] ","Compact Reconfigurable FPGA Based Beam Current Safety System for UCN",218 220,
mopd76,"J. Klute, K. Balewski, H.T. Duhme, H. Tiessen, F. Wierzcholek [DESY, Hamburg, Germany] ","The Petra III Fast Orbit Feedback System",221 223,
mopd77,"V.V. Oreshonok, V.V. Smaluk [BINP SB RAS, Novosibirsk, Russia] V.P. Cherepanov, V.V. Oreshonok, D.P. Sukhanov [NSU, Novosibirsk, Russia] ","Broadband Digital Feedback System for the VEPP-4M Electron-Positron Collider",224 226,
mopd78,"G. Rehm, M.G. Abbott, C. Bloomer, I. Uzun [Diamond, Oxfordshire, United Kingdom] ","Synchronous Measurement of Stability of Electron Beam, X-ray Beam, Ground and Cavity Voltage",227 229,
mopd79,"G.B. Christian, D.R. Bett, B. Constance, M.R. Davis [JAI, Oxford, United Kingdom] R. Apsimon, P. Burrows, A. Gerbershagen, C. Perry [Oxford University, Physics Department, Oxford, Oxon, United Kingdom] J. Resta-López [IFIC, Valencia, Spain] ","An FPGA-based Turn-by-Turn Beam Position Monitoring System for Studying Multiple Bunch Beams in the ATF Damping Ring",230 232,
mopd80,"G.B. Christian, R. Apsimon, D.R. Bett, B. Constance, M.R. Davis [JAI, Oxford, United Kingdom] P. Burrows, C. Perry [Oxford University, Physics Department, Oxford, Oxon, United Kingdom] A. Gerbershagen [CERN, Geneva, Switzerland] J. Resta-López [IFIC, Valencia, Spain] ","An FPGA-based Bunch-by-Bunch Position and Angle Feedback System at ATF2",233 235,
mopd82,"A.A. Krasnov, V.V. Anashin, V.K. Ovchar, V.V. Smaluk, D.P. Sukhanov [BINP SB RAS, Novosibirsk, Russia] ","Installation for Measurements of Secondary Emission Yield and Electron Cloud Lifetime in Magnetic Field",236 238,
mopd83,"M.E. Castro Carballo [DESY Zeuthen, Zeuthen, Germany] ","Performance of the Fast Beam Conditions Monitor BCM1F in the CMS Experiment at the LHC",239 241,
mopd84,"M.A. Nozdrin, N. Balalykin, A.A. Feshchenko, V. Minashkin, G. Shirkov, G.V. Trubnikov [JINR, Dubna, Moscow Region, Russia] S. Gazi, J. Huran [Slovak Academy of Sciences, Institute of Electrical Engineering, Bratislava, Slovak Republic] ","Hollow Photocathode Prototype for e-Gun",242 244,
mopd85,"P. Gerhard, W.A. Barth, L.A. Dahl, L. Groening, H. Vormann [GSI, Darmstadt, Germany] ","Beam Emittance Studies at the Heavy Ion Linac UNILAC",245 247,
mopd86,"R. Haseitl, H. Bräuning, T. Hoffmann, K. Lang, R. Singh [GSI, Darmstadt, Germany] ","Development of FESA-based Data Acquisition and Control for FAIR",248 250,
mopd87,"M. Gasior, T.B. Bogey [CERN, Geneva, Switzerland] ","The LHC Beam Presence Flag System",251 253,
mopd88,"F. Ullmann, V.P. Ovsyannikov, M. Schmidt [DREEBIT GmbH, Dresden, Germany] G. Zschornack [Technische Universität Dresden, Institut für Angewandte Physik, Dresden, Germany] ","Electron Beam Ion Sources, Ion Optical Elements and Beam Diagnostics for Particle Accelerators",254 256,
mopd90,"T. Lensch, M. Werner [DESY, Hamburg, Germany] ","Cause Identification of Beam Losses in PETRA III by Time Correlation of Alarms",257 259,
mopd91,"H. Aoyagi, S. Takahashi [JASRI/SPring-8, Hyogo-ken, Japan] H. Kitamura [RIKEN/SPring-8, Hyogo, Japan] ","Pulse-By-Pulse X-ray Beam Monitor Equipped with Microstripline Structure",260 262,
mopd92,"B. Joly, P. Arnoux, D. Robinson, K.B. Scheidt [ESRF, Grenoble, France] ","Review of Recent Upgrades & Modernizations on Diagnostics in the ESRF Storage Ring and Injector",263 265,
mopd93,"K. Schulte, M. Droba, O. Meusel, U. Ratzinger [IAP, Frankfurt am Main, Germany] ","Investigation of Diagnostic Techniques on a Nonneutral Plasma",266 268,
mopd96,"F. Perlick, A. Donat, R. Heller, J. Nagler, M. Sachwitz, L.V. Vu [DESY Zeuthen, Zeuthen, Germany] ","The Mirror Mounting of a Fast Switching Mirror Unit at FLASH",269 271,
mopd97,"J. Tan, L. Soby (L. Søby), M. Sordet [CERN, Geneva, Switzerland] ","Beam Position Monitor System for the CERN Linac4",272 274,
tuoa01,"T. Toyama [J-PARC, KEK  JAEA, Ibaraki-ken, Japan] ","Beam Instrumentation in J-PARC",275 279,
tuoa02,"U. Iriso, M. Alvarez, F.F.B. Fernandez, A. Olmos, F. Perez (F. Pérez) [CELLS-ALBA Synchrotron, Cerdanyola del Vallès, Spain] ","Diagnostics during the ALBA Storage Ring Commissioning",280 282,
tuoa03,"V.E. Scarpine, S. Chaurize, B.M. Hanna, S. Hays, J. Steimel, R.C. Webber, D. Wildman [Fermilab, Batavia, USA] ","The Fermilab HINS Test Facility and Beam Measurements of the Ion Source and 325 MHz RFQ",283 285,
tuoa04,"L. Froehlich (L. Fröhlich), A.I. Bogani, K. Casarin, G. Cautero, G. Gaio, D. Giuressi, A. Gubertini, R.H. Menk, E. Quai, G. Scalamera, A. Vascotto [ELETTRA, Basovizza, Italy] L. Catani, D. Di Giovenale [INFN-Roma II, Roma, Italy] ","Instrumentation for Machine Protection at FERMI@Elettra",286 288,
tuob01,"A. Boccardi [CERN, Geneva, Switzerland] ","Options for Next Generation Digital Acquisition Systems",289 293,
tuob03,"P. Gessler, M.K. Bock, M. Bousonville, M. Felber, M. Hoffmann, T. Jezynski, T. Lamb, F. Ludwig, G. Petrosyan, L.M. Petrosyan, K. Rehlich, S. Schulz, P. Vetrov, M. Zimmer [DESY, Hamburg, Germany] C. Bohm, A. Hidvegi (A. Hidvégi) [Stockholm University, Stockholm, Sweden] K. Czuba [Warsaw University of Technology, Institute of Electronic Systems, Warsaw, Poland] D.R. Makowski [TUL-DMCS, Lodz, Poland] ","Next Generation Electronics based on TCA for Beam-Diagnostics at FLASH and XFEL",294 296,
tuoc01,"J.D. Gilpatrick [LANL, Los Alamos, New Mexico, USA] ","Highlights from the 2010 Beam Instrumentation Workshop",297 301,
tupd02,"A. Jansson, L. Tchelidze [ESS, Lund, Sweden] ","Beam Diagnostics for the ESS",302 304,
tupd03,"R. Takai, K. Harada, T. Honda, Y. Kobayashi, S. Nagahashi, N. Nakamura, T. Obina, A. Ueda [KEK, Ibaraki, Japan] H. Takaki [ISSP/SRL, Chiba, Japan] ","Beam Profile Measurement during Top-up Injection with a Pulsed Sextupole Magnet",305 307,
