fraauio05,"L. Hatton [Kingston University, Kingston on Thames, United Kingdom] ","High-Integrity Software, Computation and the Scientific Method",1297 1301,
momau003,"T. Kracht, M. Alfaro, M. Flemming, J. Grabitz, T. Nunez (T. Núñez), A. Rothkirch, F. Schluenzen (F. Schlünzen), E. Wintersberger, P. van der Reest [DESY, Hamburg, Germany] ","The Computing Model of the Experiments at PETRA III",44 47,
momau004,"Z. Zaharieva, M. Martin Marquez, M. Peryt [CERN, Geneva, Switzerland] ","Database Foundation for the Configuration Management of the CERN Accelerator Controls Systems",48 51,
momau005,"D. Stepanov, L. Abadie [ITER Organization, St. Paul lez Durance, France] J. Bertin, G. Bourguignon, G. Darcourt [Sopra Group, Aix-en-Provence, France] O. Liotard [TCS France, Puteaux, France] ","Integrated Approach to the Development of the ITER Control System Configuration Data",52 55,
momau007,"R.A. Krempaska, A.G. Bertrand, C.E. Higgs, R. Kapeller, H. Lutz, M. Provenzano [Paul Scherrer Institut, 5232 Villigen PSI, Switzerland] ","How to Maintain Hundreds of Computers Offering Different Functionalities with Only Two System Administrators",56 58,
momau008,"D. Rogind, W. Allen, W.S. Colocho, G. DeContreras, J.B. Gordon, P. Pandey, H. Shoaee [SLAC, Menlo Park, California, USA] ","Integrated Management Tool for Controls Software Problems, Requests and Project Tasking at SLAC",59 62,
mommu001,"S. Rubio-Manrique, F. Becheri, D.F.C. Fernandez-Carreiras (D.F.C. Fernández-Carreiras), J. Klora, L. Krause, A. Milán Otero, Z. Reszela, P. Skorek [CELLS-ALBA Synchrotron, Cerdanyola del Vallès, Spain] ","Extending Alarm Handling in Tango",63 65,
mommu002,"I. Badillo, M. Eguiraun [ESS-Bilbao, Zamudio, Spain] J. Jugo [University of the Basque Country, Faculty of Science and Technology, Bilbao, Spain] ","NFC Like Wireless Technology for Monitoring Purposes in Scientific/Industrial Facilities",66 69,
mommu003,"G.J. Müller, K. Fuchsberger, S. Redaelli [CERN, Geneva, Switzerland] ","Aperture Meter for the Large Hadron Collider",70 73,
mommu005,"S.M. Janssens, K. Artoos, C.G.R.L. Collette, M. Esposito, P. Fernandez Carmona, M. Guinchard, C. Hauviller, A.M. Kuzmin, R. Leuxe, R. Morón Ballester [CERN, Geneva, Switzerland] ","Stabilization and Positioning of CLIC Quadrupole Magnets with sub-Nanometre Resolution",74 77,
mommu009,"J.M. Mosthaf, Th. Haberer, S. Hanke, K. Höppner, A. Peters, S. Stumpf [HIT, Heidelberg, Germany] ","Upgrade of the Server Architecture for the Accelerator Control System at the Heidelberg Ion Therapy Center",78 81,
