fraauio05,"L. Hatton [Kingston University, Kingston on Thames, United Kingdom] ","High-Integrity Software, Computation and the Scientific Method",1297 1301,
tubault04,"E. Van der Bij, P. Alvarez, M. Ayass, A. Boccardi, M. Cattin, C. Gil Soriano, E. Gousiou, S. Iglesias Gonsálvez, G. Penacoba Fernandez, J. Serrano, N. Voumard, T. Wlostowski (T. Włostowski) [CERN, Geneva, Switzerland] ","Open Hardware for CERN's Accelerator Control Systems",554 557,
tubaust01,"B.K. Huang, R.M. Myers, R.M. Sharples [Durham University, Durham, United Kingdom] N. Ben Ayed, G. Cunningham, A. Field, S. Khilar, G.A. Naylor [CCFE, Abingdon, Oxon, United Kingdom] R.G.L. Vann [York University, Heslington, York, United Kingdom] ","FPGA-based Hardware Instrumentation Development on MAST",544 546,
tubaust02,"L.R. Doolittle, C. Serrano [LBNL, Berkeley, California, USA] ","FPGA Communications Based on Gigabit Ethernet",547 549,
tucaust01,"CA. King, R. Neswold [Fermilab, Batavia, USA] ","Upgrading the Fermilab Fire and Security Reporting System",563 566,
tucaust02,"E. Reinfeld, I. Eliyahu, I.G. Gertz, I. Mardor [Soreq NRC, Yavne, Israel] ","SARAF Control System Rebuild",567 569,
tucaust03,"J.M. Meyer, J.M. Chaize, F. Epaud, F. Poncet, J.L. Pons, B. Regad, E.T. Taurel, B. Vedder, P.V. Verdier [ESRF, Grenoble, France] ","The Upgrade Programme for the ESRF Accelerator Control System",570 573,
tucaust04,"S. L. Hoobler, R.P. Chestnut, S. Chevtsov, T.M. Himel, K.D. Kotturi, K. Luchini, J.J. Olsen, S. Peng, J. Rock, R.C. Sass, T. Straumann, R. Traller, G.R. White, S. Zelazny, J. Zhou [SLAC, Menlo Park, California, USA] ","Changing Horses Mid-stream: Upgrading the LCLS Control System During Production Operations",574 576,
tucaust05,"T.G. Lee, Y.U. Nam, M.K. Park [NFRI, Daejon, Republic of Korea] ","New Development of EPICS-based Data Acquisition System for Millimeter-wave Interferometer in KSTAR Tokamak",577 580,
tucaust06,"M. Yamaga, A. Amselem, T. Hirono, Y. Joti, A. Kiyomichi, T. Ohata, T. Sugimoto, R. Tanaka [JASRI/SPring-8, Hyogo-ken, Japan] T. Hatsui [RIKEN/SPring-8, Hyogo, Japan] ","Event-Synchronized Data Acquisition System of 5 Giga-bps Data Rate for User Experiment at the XFEL Facility, SACLA",581 584,
tudaust01,"R. Tanaka, Y. Furukawa, T. Hirono, M. Ishii, M. Kago, A. Kiyomichi, T. Masuda, T. Matsumoto, T. Matsushita, T. Ohata, C. Saji, T. Sugimoto, M. Yamaga, A. Yamashita [JASRI/SPring-8, Hyogo-ken, Japan] T. Fukui, T. Hatsui, N. Hosoda, H. Maesaka, T. Ohshima, T. Otake, Y. Otake, H. Takebe [RIKEN/SPring-8, Hyogo, Japan] ","Inauguration of the XFEL Facility, SACLA, in SPring-8",585 588,
tudaust02,"M. Lonza, A. Abrami, F. Asnicar, L. Battistello, A.I. Bogani, R. Borghes, V. Chenda, S. Cleva, A. Curri, M. De Marco, M.F. Dos Santos, G. Gaio, F. Giacuzzo, G. Kourousias, G. Passos, R. Passuello, L. Pivetta, M. Prica, M. Pugliese, C. Scafuri, G. Scalamera, G. Strangolino, D. Vittor, L. Zambon [ELETTRA, Basovizza, Italy] ","Status Report of the FERMI@Elettra Control System",589 592,
tudaust03,"M. Dach, D. Anicic, D.A. Armstrong, K. Bitterli, H. Brands, P. Chevtsov, F. Haemmerli, M. Heiniger, C.E. Higgs, W. Hugentobler, G. Janser, G. Jud, B. Kalantari, R. Kapeller, T. Korhonen, R.A. Krempaska, M.P. Laznovsky, T. Pal, W. Portmann, D. Vermeulen, E. Zimoch [Paul Scherrer Institut, 5232 Villigen PSI, Switzerland] ","Control System in SwissFEL Injector Test Facility",593 596,
tudaust04,"K. Rehlich [DESY, Hamburg, Germany] ","Status of the Control System for the European XFEL",597 599,
tudaust05,"J.I. Nicoloso [CEA/DAM/DIF, Arpajon, France] J.P.A. Arnoul [CEA, Le Barp, France] ","The Laser MegaJoule Facility: Control System Status Report",600 602,
turault01,"S. Lueders [CERN, Geneva, Switzerland] ","SUMMARY OF THE 3RD CONTROL SYSTEM CYBER-SECURITY (CS)2/HEP WORKSHOP",603 606,
weaault02,"B. Copy, R. Barillere (R. Barillère), E. Blanco Vinuela, R.N. Fernandes, B. Fernandez Adiego, I. Prieto Barreiro [CERN, Geneva, Switzerland] ","Model Oriented Application Generation for Industrial Control Systems",610 613,
weaault03,"L. Andolfato, G. Chiozzi [ESO, Garching bei Muenchen, Germany] N. Migliorini [ENDIF, Ferrara, Italy] C. Morales [UTFSM, Valparaíso, Chile] ","A Platform Independent Framework for Statecharts Code Generation",614 617,
weaaust01,"T.M. Coutinho, G. Cuni (G. Cuní), D.F.C. Fernandez-Carreiras (D.F.C. Fernández-Carreiras), J. Klora, C. Pascual-Izarra, Z. Reszela, R. Suñé [CELLS-ALBA Synchrotron, Cerdanyola del Vallès, Spain] A. Homs, E.T. Taurel [ESRF, Grenoble, France] ","Sardana: The Software for Building SCADAS in Scientific Environments",607 609,
webhaust01,"L.G. Cardoso, C. Gaspar, C. Haen, N. Neufeld, F. Varela [CERN, Geneva, Switzerland] D. Galli [INFN-Bologna, Bologna, Italy] ","LHCb Online Infrastructure Monitoring Tools",618 621,
webhaust02,"O. Khalid, B. Copy, A A. Shaikh [CERN, Geneva, Switzerland] ","Optimizing Infrastructure for Software Testing Using Virtualization",622 625,
webhaust03,"T. Sugimoto, Y. Joti, T. Ohata, R. Tanaka, M. Yamaga [JASRI/SPring-8, Hyogo-ken, Japan] T. Hatsui [RIKEN/SPring-8, Hyogo, Japan] ","Large-bandwidth Data Acquisition Network for XFEL Facility, SACLA",626 629,
webhaust06,"A. Zaytsev, S. Belov, V.I. Kaplin, A. Sukharev [BINP SB RAS, Novosibirsk, Russia] A.S. Adakin, D. Chubarov, V. Nikultsev [ICT SB RAS, Novosibirsk, Russia] V. Kalyuzhny [NSU, Novosibirsk, Russia] N. Kuchin, S. Lomakin [ICMamp;MG SB RAS, Novosibirsk, Russia] ","Virtualized High Performance Computing Infrastructure of Novosibirsk Scientific Center",630 633,
webhmult03,"M. Kreider, W.W. Terpstra [GSI, Darmstadt, Germany] J.H. Lewis, J. Serrano, T. Wlostowski (T. Włostowski) [CERN, Geneva, Switzerland] ","EtherBone - A Network Layer for the Wishbone SoC Bus",642 645,
webhmult04,"G.H. Gong, S. Chen, Q. Du, J.M. Li, Y. Liu [Tsinghua University, Beijing, People's Republic of China] H. He [IHEP Beijing, Beijing, People's Republic of China] ","Sub-nanosecond Timing System Design and Development for LHAASO Project",646 649,
webhmust01,"A.O. Borga, R. De Monte, M. Ferianis, G. Gaio, L. Pavlovic (L. Pavlovič), M. Predonzani, F. Rossi [ELETTRA, Basovizza, Italy] ","The MicroTCA Acquisition and Processing Back-end for FERMI@Elettra Diagnostics",634 637,
webhmust02,"T. Kluge, M. Back, U. Hagen, O. Heid, M. Hergt, T.J.S. Hughes, R. Irsigler, J. Sirtl [Siemens AG, Erlangen, Germany] R. Fleck [Siemens AG, Corporate Technology, CT T DE HW 4, Erlangen, Germany] H. Schroeder (H.-C. Schröder) [ASTRUM IT GmbH, Erlangen, Germany] ","Solid State Direct Drive RF Linac: Control System",638 641,
wemau001,"F. Ehm, A. Dworak [CERN, Geneva, Switzerland] ","A Remote Tracing Facility for Distributed Systems",650 653,
wemau002,"S.B. Wampler, B.D. Goodrich, E.M. Johansson [Advanced Technology Solar Telescope, National Solar Observatory, Tucson, USA] ","Coordinating Simultaneous Instruments at the Advanced Technology Solar Telescope",654 657,
wemau003,"O.O. Andreassen, D. Kudryavtsev, A. Raimondo, A. Rijllart [CERN, Geneva, Switzerland] S. Shaipov, R. Sorokoletov [JINR, Dubna, Moscow Region, Russia] ","The LabVIEW RADE Framework Distributed Architecture",658 661,
wemau004,"R. Mercado, I.J. Gillingham, J. Rowland, K.G. Wilkinson [Diamond, Oxfordshire, United Kingdom] ","Integrating EtherCAT Based IO into EPICS at Diamond",662 665,
wemau005,"J. Olszowska, E. Banas (E. Banaś), Z. Hajduk [IFJ-PAN, Kraków, Poland] M. Hance, D. Olivito, P. Wagner [University of Pennsylvania, Philadelphia, Pennsylvania, USA] T. Kowalski, B. Mindur [AGH University of Science and Technology, Krakow, Poland] R. Mashinistov, K. Zhukov [LPI, Moscow, Russia] A. Romaniouk [MEPhI, Moscow, Russia] ","The ATLAS Transition Radiation Tracker (TRT) Detector Control System",666 669,
wemau007,"O.O. Andreassen, P. Bestmann, C. Charrondière, T. Feniet, J. Kuczerowski, M. Nybo (M. Nybø), A. Rijllart [CERN, Geneva, Switzerland] ","Turn-key Applications for Accelerators with LabVIEW-RADE",670 672,
wemau010,"Y. Furukawa [JASRI/SPring-8, Hyogo-ken, Japan] ","Web-based Control Application using WebSocket",673 675,
wemau011,"A. Homs, L. Claustre, A. Kirov, E. Papillon, S. Petitdemange [ESRF, Grenoble, France] ","LIMA: A Generic Library for High Throughput Image Acquisition",676 679,
wemau012,"G. Viguier, Y. Huriez, M. Ounsy, K.S. Saintin [SOLEIL, Gif-sur-Yvette, France] R. Girardot [EXTIA, Boulogne Billancourt, France] ","COMETE: A Multi Data Source Oriented Graphical Framework",680 682,
wemmu001,"F.A. Samman [Technische Universität Darmstadt, Darmstadt, Germany] M. Glesner, C. Spies, S. Surapong [TUD, Darmstadt, Germany] ","Floating-point-based Hardware Accelerator of a Beam Phase-Magnitude Detector and Filter for a Beam Phase Control System in a Heavy-Ion Synchrotron Application",683 686,
wemmu004,"Y.-M. Abiven, P. Betinelli-Deck, J. Bisou, F. Blache, F. Briquez, A. Chattou, J. Coquet, P. Gourhant, N. Leclercq, P. Monteiro, G. Renaud, J.P. Ricaud, L. Roussier [SOLEIL, Gif-sur-Yvette, France] ","SPI Boards Package, a New Set of Electronic Boards at Synchrotron SOLEIL",687 690,
wemmu005,"P. Schweitzer, E. Bonaccorsi, L. Brarda, N. Neufeld [CERN, Geneva, Switzerland] ","Fabric Management with Diskless Servers and Quattor on LHCb",691 693,
wemmu006,"S. Lee, J.S. Hong, J.S. Park, M.K. Park, S.W. Yun [NFRI, Daejon, Republic of Korea] ","Management Tools for Distributed Control System in KSTAR",694 697,
wemmu007,"M.M. Lipinski (M. Lipiński), J. Serrano, T. Wlostowski (T. Włostowski) [CERN, Geneva, Switzerland] C. Prados [GSI, Darmstadt, Germany] ","Reliability in a White Rabbit Network",698 701,
wemmu009,"W. Sliwinski, P. Charrue, I. Yastrebov [CERN, Geneva, Switzerland] ","Status of the RBAC Infrastructure and Lessons Learnt from its Deployment in LHC",702 705,
wemmu010,"M. Kwiatkowski, B. Todd [CERN, Geneva, Switzerland] ","Dependable Design Flow for Protection Systems using Programmable Logic Devices",706 709,
wemmu011,"M. Kago, T. Matsushita, N. Nariyama, C. Saji, R. Tanaka, A. Yamashita [JASRI/SPring-8, Hyogo-ken, Japan] Y. Asano, T. Hara, T. Itoga, Y. Otake, H. Takebe [RIKEN/SPring-8, Hyogo, Japan] H. Tanaka [RIKEN SPring-8 Center, Sayo-cho, Sayo-gun, Hyogo, Japan] ","Radiation Safety Interlock System for SACLA (XFEL/SPring-8)",710 712,
wepkn002,"P.V. Verdier, F. Poncet, J.L. Pons [ESRF, Grenoble, France] N. Leclercq [SOLEIL, Gif-sur-Yvette, France] ","Tango Control System Management Tool",713 716,
wepkn003,"F. Langlois, A. Buteau, X. Elattaoui, C.M. Kewish, S. Le, P. Martinez, K. Medjoubi, S. Poirier, A. Somogyi [SOLEIL, Gif-sur-Yvette, France] A. Noureddine [MEDIANE SYSTEM, Le Pecq, France] C. Rodriguez [ALTEN, Boulogne-Billancourt, France] ","Distributed Fast Acquisitions System for Multi Detector Experiments",717 719,
wepkn005,"N. Wang, J.L. Matykiewicz, R. Pundaleeka, S.G. Shasharina [Tech-X, Boulder, Colorado, USA] ","Experiences in Messaging Middleware for High-Level Control Applications",720 723,
wepkn006,"F. Ehm [CERN, Geneva, Switzerland] ","Running a Reliable Messaging Infrastructure for CERN's Control System",724 727,
wepkn007,"S.N. Andrianov, A.N. Ivanov, E.A. Podzyvalov [St. Petersburg State University, St. Petersburg, Russia] ","A LEGO Paradigm for Virtual Accelerator Concept",728 730,
wepkn010,"E. Molina Marinas, J.M. Cela-Ruiz, A. Guirao, L.M. Martinez Fresno, I. Moya, A.L. Pardillo, S. Sanz, C. Vazquez, J.G.S. de la Gama [CIEMAT, Madrid, Spain] ","European XFEL Phase Shifter: PC-based Control System",731 734,
wepkn014,"Y. Hu, L.R. Dalesio, K. Ha, I. Pinayev [BNL, Upton, Long Island, New York, USA] ","NSLS-II Filling Pattern Measurement",735 737,
wepkn015,"J.Z. Xu, I. Vasserman [ANL, Argonne, USA] ","A New Helmholtz Coil Permanent Magnet Measurement System*",738 741,
wepkn018,"H. Xu, L.R. Dalesio, M.J. Ferreira, H.-C. Hseuh, D. Zigrosser [BNL, Upton, Long Island, New York, USA] ","NSLS-II Vacuum Control for Chamber Acceptance",742 744,
wepkn019,"I. Sgura, G. De Cataldo, A. Franco, C. Pastore, G. Volpe [INFN-Bari, Bari, Italy] ","A Programmable Logic Controller-Based System for the Recirculation of Liquid C6F14 in the ALICE High Momentum Particle Identification Detector at the Large Hadron Collider",745 748,
wepkn020,"T. Spangenberg, K. Cerff, W. Mexner [Karlsruhe Institute of Technology (KIT), Karlsruhe, Germany] V. Kaiser [Softwareschneiderei GmbH, Karlsruhe, Germany] ","TANGO Integration of a SIMATIC WinCC Open Architecture SCADA System at ANKA",749 751,
wepkn024,"D. Willeman, E. Blanco Vinuela, B. Bradu, J.O. Ortola Vidal [CERN, Geneva, Switzerland] ","UNICOS CPC New Domains of Application: Vacuum and Cooling & Ventilation",752 755,
wepkn025,"H. Milcent, X. Genillon, M. Gonzalez-Berges, A. Voitier [CERN, Geneva, Switzerland] ","Supervision Application for the New Power Supply of the CERN PS (POPS)",756 758,
wepkn026,"M. Justus, F. Herbrand, R. Jainsch, N. Kretzschmar, K.-W. Leege, P. Michel, A. Schamlott [HZDR, Dresden, Germany] ","The ELBE Control System – 10 Years of Experience with Commercial Control, SCADA and DAQ Environments",759 762,
wepkn027,"J. Zhuang, Y.P. Chu, D.P. Jin, J.J. Li [IHEP Beijing, Beijing, People's Republic of China] ","The Performance Test of F3RP61 and Its Applications in CSNS Experimental Control System",763 766,
wepks001,"B. Copy, M. Mettaelae (M. Mettälä) [CERN, Geneva, Switzerland] ","Agile Development and Dependency Management for Industrial Control Systems",767 770,
wepks002,"R.J. Woolliscroft, C. Coles, M. Gerring, M.R. Pearson [Diamond, Oxfordshire, United Kingdom] ","Quick EXAFS Experiments Using a New GDA Eclipse RCP GUI with EPICS Hardware Control",771 774,
wepks003,"Z. Geng [SLAC, Menlo Park, California, USA] ","An Object Oriented Framework of EPICS for MicroTCA Based Control System",775 777,
wepks004,"J.E. Richards, R.B. Nussbaumer, S. Rapaz, G. Waters [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","ISAC EPICS on Linux: The March of the Penguins",778 781,
wepks005,"M. Misiowiec, V. Baggiolini, M. Solfaroli Camillocci [CERN, Geneva, Switzerland] ","State Machine Framework and its Use for Driving LHC Operational States",782 785,
wepks006,"E. Blanco Vinuela, J.M. Beckers, B. Bradu, Ph. Durand, B. Fernandez Adiego, S. Izquierdo Rosas, A. Merezhin, J.O. Ortola Vidal, J. Rochez, D. Willeman [CERN, Geneva, Switzerland] ","UNICOS Evolution: CPC Version 6",786 789,
wepks008,"E. De Ley, D. Jacobs [iSencia Belgium, Gent, Belgium] ","Rules-based Analysis with JBoss Drools : Adding Intelligence to Automation",790 793,
wepks009,"T.M. Cobb [Diamond, Oxfordshire, United Kingdom] ","Integrating Gigabit Ethernet Cameras into EPICS at Diamond Light Source",794 797,
wepks010,"Z. Geng [SLAC, Menlo Park, California, USA] V. Ayvazyan [DESY, Hamburg, Germany] S. Simrock [ITER Organization, St. Paul lez Durance, France] ","Architecture Design of the Application Software for the Low-Level RF Control System of the Free-Electron Laser at Hamburg",798 800,
wepks011,"C. Taliercio, A. Barbalace, M. Breda, R. Capobianco, A. Luchetta, G. Manduchi, F. Molon, M. Moressa, P. Simionato [Consorzio RFX, Associazione Euratom-ENEA sulla Fusione, Padova, Italy] ","Use of ITER CODAC Core System in SPIDER Ion Source",801 804,
wepks012,"I.D. Valova [ICER, Sofia, Bulgaria] ","Intuitionistic Fuzzy (IF) Evaluations of Multidimensional Model",805 807,
wepks014,"P. Mutti, F. Cecillon, A. Elaazzouzi, Y. Le Goc, J. Locatelli, H. Ortiz, J. Ratel [ILL, Grenoble, France] ","NOMAD – More Than a Simple Sequencer",808 811,
wepks015,"T. Kluge [Siemens AG, Erlangen, Germany] H. Schroeder (H.-C. Schröder) [ASTRUM IT GmbH, Erlangen, Germany] ","Automatic Creation of LabVIEW Network Shared Variables",812 815,
wepks016,"N.V. Kulabukhova, A.N. Ivanov, V.V. Korkhov, A. Lazarev [St. Petersburg State University, St. Petersburg, Russia] ","Software for Virtual Accelerator Designing",816 818,
wepks018,"W. Schütte, K. Hinsch [DESY, Hamburg, Germany] ","MstApp, a Rich Client Control Applications Framework at DESY",819 822,
wepks019,"A. Gotz (A. Götz), M.W. Gerring, O. Svensson [ESRF, Grenoble, France] S. Brockhauser [EMBL, Heidelberg, Germany] ","Data Analysis Workbench",823 826,
wepks020,"R. Lange [HZB, Berlin, Germany] L.R. Dalesio [BNL, Upton, Long Island, New York, USA] A.N. Johnson [ANL, Argonne, USA] ","Adding Flexible Subscription Options to EPICS",827 829,
wepks021,"G. Shen, M.A. Davidsaver, M.R. Kraimer [BNL, Upton, Long Island, New York, USA] ","EPICS V4 in Python",830 832,
wepks022,"G. Strangolino, C. Scafuri [ELETTRA, Basovizza, Italy] ","Mango: an Online GUI Development Tool for the Tango Control System",833 835,
wepks023,"R. Neswold, CA. King [Fermilab, Batavia, USA] ","Further Developments in Generating Type-Safe Messaging",836 839,
wepks024,"J.T.M. Chrin, M.C. Sloan [Paul Scherrer Institut, 5232 Villigen PSI, Switzerland] ","CAFE, A Modern C++ Interface to the EPICS Channel Access Library",840 843,
wepks025,"P. Di Marcantonio, R. Cirami, I. Coretti [INAF-OAT, Trieste, Italy] G. Chiozzi, M. Kiekebusch [ESO, Garching bei Muenchen, Germany] ","Evaluation of Software and Electronics Technologies for the Control of the E-ELT Instruments: a Case Study",844 847,
wepks026,"J. Nguyen Xuan, B. Copy, M. Donszelmann (M. Dönszelmann) [CERN, Geneva, Switzerland] ","A C/C++ Build System Based on Maven for the LHC Controls System",848 851,
wepks027,"S. Bart Pedersen, S. Bozyigit, S. Jackson [CERN, Geneva, Switzerland] ","Java Expert GUI Framework for CERN's Beam Instrumentation Systems",852 855,
wepks028,"L. Catani, R. Ammendola, F. Zani [INFN-Roma II, Roma, Italy] C. Bisegni, S. Calabrò, P. Ciuffetti, G. Di Pirro, G. Mazzitelli, A. Stecchi [INFN/LNF, Frascati (Roma), Italy] L.G. Foggetta [LAL, Orsay, France] ","Exploring a New Paradigm for Accelerators and Large Experimental Apparatus Control Systems",856 859,
wepks029,"M. Ounsy, G. Abeille, S. Pierre-Joseph Zephir, K.S. Saintin [SOLEIL, Gif-sur-Yvette, France] E. De Ley [iSencia Belgium, Gent, Belgium] ","Integrating a Workflow Engine within a Commercial SCADA to Build End User Applications in a Scientific Environment",860 862,
wepks030,"M.S. Mohan [EGO, Pisa, Italy] ","A General Device Driver Simulator to Help Compare Real Time Control Systems",863 866,
wepks032,"G. Chiozzi, L. Andolfato, R. Karban [ESO, Garching bei Muenchen, Germany] A. Tejeda [UCM, Antofagasta, Chile] ","A UML Profile for Code Generation of Component Based Distributed Systems",867 870,
wepks033,"B. Fernandez Adiego, E. Blanco Vinuela, I. Prieto Barreiro [CERN, Geneva, Switzerland] ","UNICOS CPC6: Automated Code Generation for Process Control Applications",871 874,
wepmn001,"M. Montis, M.G. Giacchini [INFN/LNL, Legnaro (PD), Italy] ","Experience in Using Linux Based Embedded Controllers with EPICS Environment for the Beam Transport in SPES Off–Line Target Prototype",875 878,
wepmn005,"C.H. Haquin, P. Gillette, E. Lemaitre (E. Lemaître), L. Philippe, D.T. Touchard [GANIL, Caen, France] F. Gougnaud, Y. Lussignol [CEA/DSM/IRFU, France] ","Spiral2 Control Command: a Standardized Interface between High Level Applications and EPICS IOCs",879 881,
wepmn006,"I. Arredondo, D. Belver, P. Echevarria, M. Eguiraun, H. Hassanzadegan, M. del Campo [ESS-Bilbao, Zamudio, Spain] V. Etxebarria, J. Jugo [University of the Basque Country, Faculty of Science and Technology, Bilbao, Spain] N. Garmendia, L. Muguira [ESS Bilbao, Bilbao, Spain] ","Commercial FPGA Based Multipurpose Controller: Implementation Perspective",882 885,
wepmn008,"Q. King, S.T. Page, H. Thiesen [CERN, Geneva, Switzerland] M. Veenstra [EBG MedAustron, Wr. Neustadt, Austria] ","Function Generation and Regulation Libraries and their Application to the Control of the New Main Power Converter (POPS) at the CERN CPS",886 889,
wepmn009,"M. Kenda, T. Beltram, T. Juretic (T. Juretič), B. Repic (B. Repič), D. Skvarc (D. Škvarč), C. Valentincic (Č. Valentinčič) [I-Tech, Solkan, Slovenia] ","Simplified Instrument/Application Development and System Integration Using Libera Base Software Framework",890 893,
wepmn011,"J.A. Thompson, I. Horswell, J. Marchal, U.K. Pedersen [Diamond, Oxfordshire, United Kingdom] S.R. Burge, J.D. Lipp, T.C. Nicholls [STFC/RAL, Chilton, Didcot, Oxon, United Kingdom] ","Controlling the EXCALIBUR Detector",894 897,
wepmn012,"J. Yan, T.L. Allison, S.D. Witherspoon [JLAB, Newport News, Virginia, USA] ","PC/104 Asyn Drivers at Jefferson Lab",898 900,
wepmn013,"B.J. Nutter, T.M. Cobb, M.R. Pearson, N.P. Rees, F. Yuan [Diamond, Oxfordshire, United Kingdom] ","Recent Developments in Synchronised Motion Control at Diamond Light Source",901 904,
wepmn014,"D. Alves, A. Neto, D.F. Valcárcel [IPFN, Lisbon, Portugal] G. Arnoux, P. Card, S. Devaux, R.C. Felton, A. Goodyear, D. Kinna, P.J. Lomas, P. McCullen, A.V. Stephen, K-D. Zastrow [CCFE, Abingdon, Oxon, United Kingdom] S. Jachmich [RMA, Brussels, Belgium] ","The Software and Hardware Architectural Design of the Vessel Thermal Map Real-Time System in JET",905 908,
wepmn015,"R. Stefanic (R. Štefanič), J. Dedic (J. Dedič), R. Tavcar (R. Tavčar) [Cosylab, Ljubljana, Slovenia] J. Gutleber [CERN, Geneva, Switzerland] R. Moser [EBG MedAustron, Wr. Neustadt, Austria] ","Timing-system Solution for MedAustron; Real-time Event and Data Distribution Network",909 911,
wepmn016,"L. Sepetavc (L. Šepetavc), J. Dedic (J. Dedič), R. Tavcar (R. Tavčar) [Cosylab, Ljubljana, Slovenia] J. Gutleber [CERN, Geneva, Switzerland] R. Moser [EBG MedAustron, Wr. Neustadt, Austria] ","Synchronously Driven Power Converter Controller Solution for MedAustron",912 915,
wepmn017,"D. Bolkhovityanov, P.B. Cheblakov [BINP SB RAS, Novosibirsk, Russia] ","PCI Hardware Support in LIA-2 Control System",916 918,
wepmn018,"S. Rauch, R. Baer (R. Bär), W. Panschow, M. Thieme [GSI, Darmstadt, Germany] ","Performance Tests of the Standard FAIR Equipment Controller Prototype",919 921,
wepmn020,"F. Leroux, G. Caulier, L. Ducobu, M. Goniche [Association EURATOM-CEA, St Paul Lez Durance, France] G. Antar [American University of Beirut, Beirut, Lebanon] ","New Developments on Tore Supra Data Acquisition Units",922 925,
wepmn022,"A. Panov, P.A. Bak, D. Bolkhovityanov [BINP SB RAS, Novosibirsk, Russia] ","LIA-2 Power Supply Control System",926 928,
wepmn023,"G. Ribeiro [LIP, Lisboa, Portugal] G. Arabidze [MSU, East Lansing, Michigan, USA] P. Lafarguette [Université Blaise Pascal, Clermont-Ferrand, France] S. Nemecek [Czech Republic Academy of Sciences, Institute of Physics, Prague, Czech Republic] ","The ATLAS Tile Calorimeter Detector Control System",929 931,
wepmn024,"K. Ha, L.R. Dalesio, J.H. De Long, J. Mead, Y. Tian, K. Vetter [BNL, Upton, New York, USA] ","NSLS-II Beam Position Monitor Embedded Processor and Control System*",932 934,
wepmn025,"P. Mutti, M. Jentschel, J. Ratel, F. Rey, E. Ruiz-Martinez, W. Urban [ILL, Grenoble, France] ","A New Fast Triggerless Acquisition System For Large Detector Arrays",935 938,
wepmn026,"D.O. Calcoen, Q. King, P.F. Semanaz [CERN, Geneva, Switzerland] ","Evolution of the CERN Power Converter Function Generator/Controller for Operation in Fast Cycling Accelerators",939 942,
wepmn027,"A. Homs [ESRF, Grenoble, France] ","Fast Scalar Data Buffering Interface in Linux 2.6 Kernel",943 946,
wepmn028,"A. Kiyomichi, A. Amselem, T. Hirono, T. Ohata, R. Tanaka, M. Yamaga [JASRI/SPring-8, Hyogo-ken, Japan] T. Hatsui [RIKEN/SPring-8, Hyogo, Japan] ","Development of Image Data Acquisition System for 2D Detector at SACLA (SPring-8 XFEL)",947 949,
wepmn030,"C.Y. Wu, J. Chen, Y.-S. Cheng, P.C. Chiu, K.T. Hsu, K.H. Hu, C.H. Kuo, D. Lee, C.Y. Liao, K.-B. Liu [NSRRC, Hsinchu, Taiwan] ","Power Supply Control Interface for the Taiwan Photon Source",950 953,
wepmn032,"K.H. Kim, S. Allison, D. Fairley, T.M. Himel, P. Krejcik, D. Rogind, E. Williams [SLAC, Menlo Park, California, USA] ","Development of Pattern Awareness Unit (PAU) for the LCLS Beam Based Fast Feedback System",954 957,
wepmn034,"A. Abrami, M. De Marco, M. Lonza, D. Vittor [ELETTRA, Basovizza, Italy] ","YAMS: a Stepper Motor Controller for the FERMI@Elettra Free Electron Laser",958 960,
wepmn036,"A. Barbalace, A. Luchetta, G. Manduchi, C. Taliercio [Consorzio RFX, Associazione Euratom-ENEA sulla Fusione, Padova, Italy] B. Carvalho, D.F. Valcárcel [IPFN, Lisbon, Portugal] ","Comparative Analysis of EPICS IOC and MARTe for the Development of a Hard Real-Time Control Application",961 964,
wepmn037,"M.A. Davis [NSCL, East Lansing, Michigan, USA] ","DEBROS: Design and Use of a Linux-like RTOS on an Inexpensive 8-bit Single Board Computer",965 968,
wepmn038,"A. Bitadze, R.L. Bates [University of Glasgow, Glasgow, United Kingdom] M. Battistin, S. Berry, P. Bonneau, J. Botelho-Direito, B. Di Girolamo, J. Godlewski, E. Perez-Rodriguez, L. Zwalinski [CERN, Geneva, Switzerland] N. Bousson, G.D. Hallewell, M. Mathieu, A. Rozanov [CNRS/CPT, Marseille, France] R. Boyd [University of Oklahoma, Norman, Oklahoma, USA] M. Doubek, V. Vacek, M. Vitek [Czech Technical University in Prague, Faculty of Mechanical Engineering, Prague, Czech Republic] K. Egorov [Indiana University, Bloomington, Indiana, USA] S. Katunin [PNPI, Gatchina, Leningrad District, Russia] S. McMahon [STFC/RAL/ASTeC, Chilton, Didcot, Oxon, United Kingdom] K. Nagai [University of Tsukuba, Graduate School of Pure and Applied Sciences,, Tsukuba, Ibaraki, Japan] ","A Combined On-line Acoustic Flowmeter and Fluorocarbon Coolant Mixture Analyzer for the ATLAS Silicon Tracker",969 972,
wepms001,"J. Hammer [CERN, Geneva, Switzerland] M. Magrans de Abril [UW-Madison/PD, Madison, Wisconsin, USA] C.-E. Wulz [HEPHY, Wien, Austria] ","Interconnection Test Framework for the CMS Level-1 Trigger System",973 976,
wepms003,"J. Nguyen Xuan, V. Baggiolini [CERN, Geneva, Switzerland] ","A Testbed for Validating the LHC Controls System Core Before Deployment",977 980,
