FR1001,"E. Esarey, LBNL, Berkeley, California","High-Quality GeV-Level Electron Beams from Laser Plasma Accelerators",,""
MOP028,"A. Noda, Kyoto ICR, Uji, Kyoto; S. Bulanov, JAEA, Ibaraki-ken; H. Daido, JAEA/Kansai, Kizu-machi Souraku-gun Kyoto-fu; A. Fukumi, NIRS, Chiba-shi; Y. Hayashi, JAEA/Kansai, Kizu-machi Souraku-gun Kyoto-fu; H. Itoh, Y. Iwashita, Kyoto ICR, Uji, Kyoto; M. Kado, JAEA/Kansai, Kizu-machi Souraku-gun Kyoto-fu; T. Kimura, JAEA, Ibaraki-ken; Z. Li, NIRS, Chiba-shi; M. Mori, JAEA/Kansai, Kizu-machi Souraku-gun Kyoto-fu; A. Nagashima, JAEA, Ibaraki-ken; S. Nakamura, Kyoto ICR, Uji, Kyoto; M. Nishiuchi, K. Ogura, S. Orimo, A. Sagisaka, JAEA/Kansai, Kizu-machi Souraku-gun Kyoto-fu; T. Shirai, H. Souda, Kyoto ICR, Uji, Kyoto; T. Tajima, JAEA/FEL, Ibaraki-ken; M. Tanabe, H. Tongu, Kyoto ICR, Uji, Kyoto; S. Yamada, NIRS, Chiba-shi; A. Yamazaki, Kyoto ICR, Uji, Kyoto; A. Yogo, JAEA/Kansai, Kizu-machi Souraku-gun Kyoto-fu","Creation of Peaks in the Energy Spectrum of Laser-Produced Ions by Phase Rotation",,"laser, proton, target, ion, acceleration"
MOP029,"S. Tochitsky, C. Joshi, C. Pellegrini, S. Reiche, J. B. Rosenzweig, C. Sung, UCLA, Los Angeles, California","Laser Beat-Wave Microbunching of Relativistic Electron Beam in the THz Range",,"electron, laser, undulator, plasma, radiation"
MOP030,"R. C. York, M. Doleans, D. Gorelov, T. L. Grimm, W. Hartung, F. Marti, S. O. Schriber, X. Wu, Q. Zhao, NSCL, East Lansing, Michigan","An Upgrade to NSCL to Produce Intense Beams of Exotic Nuclei",,"cyclotron, linac, ion, acceleration, injection"
MOP031,"M. Doleans, V. Andreev, X. Wu, R. C. York, NSCL, East Lansing, Michigan","Beam Distribution System for the MSU-RIA Driver Linac",,"kicker, emittance, linac, target, simulation"
MOP033,"I. Mardor, D. Berkovits, Y. Grof, Soreq NRC, Yavne; O. Heber, Weizmann Institute of Science, Physics, Rehovot; H. Hirshfeld, A. Nagler, Soreq NRC, Yavne; C. Piel, ACCEL, Bergisch Gladbach","The Operation Concept of SARAF",,"controls, cryogenics, instrumentation, target, radiation"
MOP034,"J. Choi, H.-S. Kang, C. Kim, I. S. Ko, J. H. Park, S. J. Park, C. M. Yim, PAL, Pohang, Kyungbuk","Status of FS-FIR Project of the PAL",,"radiation, electron, gun, linac, undulator"
MOP035,"S. V. Benson, D. Douglas, P. Evtushenko, K. Jordan, G. Neil, T. Powers, Jefferson Lab, Newport News, Virginia","Operational Aspects of High-Power Energy-Recovery Linacs",,"wiggler, linac, quadrupole, vacuum, lattice"
MOP036,"I. S. Ko, PAL, Pohang, Kyungbuk","Status of the PAL-XFEL Project",,"electron, laser, undulator, linac, radiation"
MOP037,"M. Kollewe, K. Floettmann, DESY, Hamburg","Applications of Time-of-Flight Measurements at FLASH",,"electron, linac, vacuum, laser, undulator"
MOP038,"D. A. Swenson, J. W. Starling, Linac Systems, Albuquerque, New Mexico","200-MHz, 1.5-MeV Deuteron RFQ Linac",,"rfq, linac, ion, ion-source, controls"
MOP039,"F. Gerigk, CERN, Geneva; M. A. Baylac, LPSC, Grenoble; G. Bellodi, E. Benedico Mora, Y. Body, F. Caspers, CERN, Geneva; S. Chel, CEA, Gif-sur-Yvette; J.-M. De Conto, LPSC, Grenoble; R. Duperrier, CEA, Gif-sur-Yvette; E. Froidefond, LPSC, Grenoble; R. Garoby, K. Hanke, C. E. Hill, H. Hori, J. Inigo-Golfin, K. Kahle, T. Kroyer, D. Kuchler, J.-B. Lallement, M. Lindroos, A. M. Lombardi, L. A. Lopez Hernandez, M. Magistris, T. Meinschad, A. Millich, E. Noah, CERN, Geneva; C. Pagani, INFN/LASA, Segrate (MI); V. Palladino, INFN-Napoli, Napoli; M. M. Paoluzzi, M. Pasini, CERN, Geneva; P. Pierini, INFN/LASA, Segrate (MI); C. Rossi, J.-P. Royer, M. Sanmarti, E. Zh. Sargsyan, R. Scrivens, M. Silari, T. Steiner, J. Tuckmantel, CERN, Geneva; D. Uriot, CEA, Gif-sur-Yvette; M. Vretenar, CERN, Geneva","The SPL (II) at CERN, a Superconducting 3.5-GeV H- Linac",,"linac, proton, injection, target, simulation"
MOP040,"J.-H. Jang, Y.-S. Cho, K. Y. Kim, Y.-H. Kim, H.-J. Kwon, KAERI, Daejon","Design of the PEFP 100-MeV Linac",,"proton, linac, rfq, quadrupole, klystron"
MOP041,"H.-J. Kwon, Y.-S. Cho, H. M. Choi, I.-S. Hong, J.-H. Jang, H. S. Kim, Y.-H. Kim, K. T. Seol, Y.-G. Song, KAERI, Daejon","Test Results of the PEFP 20-MeV Proton Accelerator",,"rfq, proton, klystron, power-supply, site"
