FR1001,"E. Esarey, LBNL, Berkeley, California","High-Quality GeV-Level Electron Beams from Laser Plasma Accelerators",,""
TUP009,"L. Fröhlich, L. Fröhlich, Uni HH, Hamburg; M. Görler, P. Göttlicher, DESY, Hamburg; A. Hamdi, M. Luong, CEA, Gif-sur-Yvette; D. Noelle, DESY, Hamburg; J. Novo, CEA, Gif-sur-Yvette; D. Pugachov, H. Schlarb, S. Schreiber, M. Staack, M. Werner, DESY, Hamburg","First Operation of the FLASH Machine Protection System with Long Bunch Trains",,"undulator, beam-losses, linac, radiation, laser"
TUP010,"I. Mardor, D. Berkovits, Y. Eisen, G. Haquin, Soreq NRC, Yavne; M. Hass, O. Heber, Weizmann Institute of Science, Physics, Rehovot; D. Hirschmann, E. Meroz, Soreq NRC, Yavne; Y. Shachar, Weizmann Institute of Science, Physics, Rehovot","The Beam Halo Monitor of SARAF",,"proton, target, background, vacuum, scattering"
TUP011,"S. Sato, JAEA/LINAC, Ibaraki-ken; H. Akikawa, Z. Igarashi, M. Ikegami, KEK, Ibaraki; Y. Kondo, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; C. Kubota, S. Lee, KEK, Ibaraki; T. Tomisawa, A. Ueno, JAEA/LINAC, Ibaraki-ken","Upgrade of Beam Diagnostics in LEBT and MEBT of J-PARC LINAC",,"monitoring, linac, diagnostics, vacuum, rfq"
TUP013,"N. Baboi, DESY, Hamburg; N. E. Eddy, Fermilab, Batavia, Illinois; J. C. Frisch, SLAC, Menlo Park, California; O. Hensler, DESY, Hamburg; S. Molloy, SLAC, Menlo Park, California; S. Nagaitsev, Fermilab, Batavia, Illinois; O. Napoly, R. Paparella, CEA, Gif-sur-Yvette; M. C. Ross, SLAC, Menlo Park, California","Using Higher Order Modes in Superconducting Accelerating Cavities for Beam Monitoring",,"monitoring, controls, dipole, single-bunch, electron"
TUP014,"J. Wu, P. Emma, SLAC, Menlo Park, California","Electron Signal Detection for the Beam-Finder Wire of the Linac Coherent Light Source Undulator",,"electron, undulator, scattering, simulation, photon"
TUP015,"J. Wu, P. Emma, SLAC, Menlo Park, California","Linac Coherent Light Source (LCLS) Bunch-Length Monitor Using Coherent Radiation",,"radiation, electron, synchrotron, synchrotron-radiation, storage-ring"
TUP016,"M. Satoh, K. Furukawa, T. Suwada, KEK, Ibaraki","BPM DAQ System Using Fast Digital Oscilloscope",,"linac, controls, feedback, injection, factory"
TUP017,"P. Varghese, B. Chase, P. W. Joireman, Fermilab, Batavia, Illinois","A Damper System for the Electron Cooling Beam in the Recycler",,"electron, damping, antiproton, feedback, controls"
TUP018,"S. Okuda, T. Kojima, Y. Tanaka, R. Taniguchi, Osaka Prefecture University, Sakai","Low-Intensity Electron Beam Monitoring and Beam Applications at OPU Linac",,"electron, linac, monitoring, radiation, gun"
TUP019,"R. M. Jones, UMAN, Manchester; J. A. Clarke, D. J. Scott, Cockcroft Institute, Warrington, Cheshire","Resistive Wall Wake Fields in the High-Frequency AC Conductivity Regime",,""
TUP020,"S. Lee, KEK, Ibaraki; H. Akikawa, JAEA, Ibaraki-ken; N. Hayashi, S. H. Hiroki, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; Z. Igarashi, M. Ikegami, KEK, Ibaraki; T. Ohkawa, JAEA, Ibaraki-ken; S. Sato, T. Tomisawa, JAEA/LINAC, Ibaraki-ken; T. Toyama, KEK, Ibaraki; A. Ueno, JAEA/LINAC, Ibaraki-ken","The J-PARC L3BT Monitor System for RCS Injection",,"injection, linac, electron, beam-losses, pick-up"
TUP021,"H. Akikawa, Z. Igarashi, M. Ikegami, KEK, Ibaraki; Y. Kondo, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; S. Lee, KEK, Ibaraki; S. Sato, T. Tomisawa, A. Ueno, JAEA/LINAC, Ibaraki-ken","Wire Profile Monitors in J-PARC Linac",,"electron, linac, proton, simulation, rfq"
TUP023,"J. C. Dooling, F. R. Brumwell, L. Donley, G. E. McMichael, V. F. Stipp, ANL, Argonne, Illinois","Beam-Size Measurements in the IPNS 50-MeV Transport Line Using Stripline BPMs",,"linac, quadrupole, diagnostics, controls, monitoring"
TUP025,"F. Furuta, Y. Higashi, T. Higo, I. H. Inoue, S. Kazakov, H. Matsumoto, Y. Morozumi, R. S. Orr, T. Saeki, K. Saito, M. Satoh, K. Ueno, H. Yamaoka, KEK, Ibaraki","Optimization of Surface Treatment of High-Gradient Single-Cell Superconducting Cavities at KEK",,"superconductivity, vacuum, pick-up, cryogenics, electron"
TUP026,"D. Reschke, A. Brinkmann, J. Iversen, W. Singer, DESY, Hamburg","Status of the XFEL Testcavity Program",,"vacuum, electron, gun, superconducting-RF, superconductivity"
TUP027,"C. D. Nantista, SLAC, Menlo Park, California; I. E. Campisi, ORNL, Oak Ridge, Tennessee; A. Canabal, NMSU, Las Cruces, New Mexico; V. A. Dolgashev, SLAC, Menlo Park, California; Y. Iwashita, Kyoto ICR, Uji, Kyoto; P. Kneisel, Jefferson Lab, Newport News, Virginia; T. Tajima, LANL, Los Alamos, New Mexico; S. G. Tantawi, SLAC, Menlo Park, California","Tests of Superconducting Materials in a High-Q RF Cavity",,""
TUP029,"R. E. Laxdal, W. Andersson, I. Sekachev, G. Stanford, TRIUMF, Vancouver","Performance and Early Operating Experience with the ISAC-II Cryogenic System",,"linac, cryogenics, vacuum, ion, controls"
TUP030,"R. E. Laxdal, I. Bylinskii, K. Fong, M. P. Laverty, A. K. Mitra, T. C. Ries, Q. Zheng, V. Zviagintsev, TRIUMF, Vancouver","RF Cavity Performance and RF Infrastructure for the ISAC-II Superconducting Linac",,"linac, controls, coupling, power-supply, acceleration"
TUP031,"M. Marchetto, A. Bylinskii, R. E. Laxdal, TRIUMF, Vancouver","Beam Dynamics Studies on the ISAC-II Superconducting Linac",,"linac, emittance, acceleration, bunching, diagnostics"
TUP032,"Y. Zhang, I. E. Campisi, P. Chu, J. Galambos, S. Henderson, D.-O. Jeon, K.-U. Kasemir, A. P. Shishlo, ORNL, Oak Ridge, Tennessee","Comparison of SNS Superconducting Cavity Calibration Methods",,"SNS, acceleration, beam-loading, controls, pick-up"
TUP033,"P. Kneisel, S. Chattopadhyay, G. Ciovati, G. Myneni, Jefferson Lab, Newport News, Virginia","Performances of High-Purity Niobium Cavities with Different Grain Sizes",,"vacuum, pick-up, superconductivity, linear-collider, collider"
TUP034,"M. Pekeler, K. Dunkel, C. Piel, P. vom Stein, ACCEL, Bergisch Gladbach","Development of a Superconducting RF Module for Acceleration of Protons and Deuterons at Very Low Energy",,"vacuum, proton, alignment, linac, acceleration"
TUP035,"G. Ciovati, P. Kneisel, Jefferson Lab, Newport News, Virginia","Investigation of Hot Spots as a Function of Material Removal in a Large-grain Niobium Cavity",,"vacuum, electron, pick-up"
TUP036,"W. Singer, A. Brinkmann, J. Iversen, G. Kreps, A. Matheisen, D. Reschke, X. Singer, DESY, Hamburg","Large Grain Superconducting RF Cavities at DESY",,"superconductivity, superconducting-RF, scattering, free-electron-laser, RF-structure"
TUP037,"L. Rybarcyk, LANL, Los Alamos, New Mexico","Possible Upgrade Paths for the LANSCE H- Injector",,"rfq, ion, ion-source, linac, target"
TUP038,"R. Boni, D. Alesini, INFN/LNF, Frascati (Roma); F. Alessandria, A. Bacci, INFN-Milano, Milano; M. Bellaveglia, S. Bertolucci, INFN/LNF, Frascati (Roma); I. Boscolo, INFN-Milano, Milano; M. Boscolo, INFN/LNF, Frascati (Roma); F. Broggi, INFN-Milano, Milano; M. Castellano, INFN/LNF, Frascati (Roma); L. Catani, E. Chiadroni, INFN-Roma II, Roma; S. Cialdi, INFN-Milano, Milano; A. Cianchi, INFN-Roma II, Roma; A. Clozza, L. Cultrera, INFN/LNF, Frascati (Roma); C. De Martinis, INFN-Milano, Milano; G. Di Pirro, A. Drago, A. Esposito, M. Ferrario, L. Ficcadenti, D. Filippetto, V. Fusco, INFN/LNF, Frascati (Roma); E. Gabrielli, INFN-Roma II, Roma; A. Gallo, G. Gatti, A. Ghigo, INFN/LNF, Frascati (Roma); L. Giannessi, ENEA C. R. Frascati, Frascati (Roma); D. Giove, INFN-Milano, Milano; M. Incurvati, INFN/LNF, Frascati (Roma); D. Levi, INFN-Roma, Roma; C. Ligi, F. Marcellini, INFN/LNF, Frascati (Roma); C. Maroli, INFN-Milano, Milano; M. Mattioli, INFN-Roma, Roma; M. Mauri, INFN-Milano, Milano; G. Medici, INFN-Roma, Roma; M. Migliorati, A. Mostacci, INFN/LNF, Frascati (Roma); P. Musumeci, INFN-Roma, Roma; L. Palumbo, L. Pellegrino, INFN/LNF, Frascati (Roma); D. Pelliccia, INFN-Roma, Roma; A. Perrone, INFN-Lecce, Lecce; M. Petrarca, INFN-Roma, Roma; V. Petrillo, INFN-Milano, Milano; L. Picardi, ENEA C. R. Frascati, Frascati (Roma); M. A. Preger, INFN/LNF, Frascati (Roma); M. Quattromini, ENEA C. R. Frascati, Frascati (Roma); S. Reiche, UCLA, Los Angeles, California; R. Ricci, INFN/LNF, Frascati (Roma); M. Rome, INFN-Milano, Milano; C. Ronsivalle, ENEA C. R. Frascati, Frascati (Roma); J. B. Rosenzweig, UCLA, Los Angeles, California; A. R. Rossi, INFN-Milano, Milano; C. Sanelli, INFN/LNF, Frascati (Roma); L. Serafini, INFN-Milano, Milano; M. Serio, F. Sgamma, B. Spataro, A. Stecchi, A. Stella, INFN/LNF, Frascati (Roma); S. Tazzari, INFN-Roma II, Roma; F. Tazzioli, INFN/LNF, Frascati (Roma); G. Travish, UCLA, Los Angeles, California; C. Vaccarezza, M. Vescovi, C. Vicario, INFN/LNF, Frascati (Roma)","Status of the Sparc Photoinjector",,"laser, emittance, gun, electron, cathode"
TUP039,"N. Vinogradov, Northern Illinois University, DeKalb, Illinois; V. N. Aseev, ANL, Argonne, Illinois; T. Kulevoy, ITEP, Moscow; P. N. Ostroumov, R. H. Scott, M. Sengupta, ANL, Argonne, Illinois","Two-Charge-State Injector for a High Power Heavy-Ion Linac*",,"ion, emittance, linac, heavy-ion, rfq"
TUP040,"R. P. Fliller, H. Edwards, Fermilab, Batavia, Illinois","Progress on a Cryogenically Cooled RF Gun Polarized Electron Source",,"gun, cathode, vacuum, electron, ion"
TUP041,"R. Scrivens, J. Broere, L. D. Dumas, C. E. Hill, CERN, Geneva; D. Hitz, CEA, Grenoble; D. Kuchler, F. Roncarolo, M. Vretenar, CERN, Geneva","Characteristics of the Beam from the GTS-ECR Source in CERN's Ion Linac",,""
TUP042,"R. Scrivens, M. B. Jensen, D. Kuchler, T. Meinschad, F. J.C. Wenander, CERN, Geneva","A Proposal for Post Acceleration, Matching and Measuring the H- Ion Beam at CERN's Linac 4 Test Stand",,"emittance, linac, simulation, ion, rfq"
TUP044,"Y.-E. S. Sun, J. W. Lewellen, ANL, Argonne, Illinois","Shunt Impedance Measurement of the APS BBC Gun",,"impedance, cathode, gun, electron, photon"
TUP045,"Y.-E. S. Sun, ANL, Argonne, Illinois; D. W. Feldman, IREAP, College Park, Maryland; J. W. Lewellen, ANL, Argonne, Illinois","Photothermal Cathode Measurements at the Advanced Photon Source",,"cathode, laser, gun, klystron, electron"
TUP046,"J. W. Stetson, G. Machicoane, P. Miller, M. Steiner, P. A. Zavodszky, NSCL, East Lansing, Michigan","Experimental Studies of Electrostatic and Solenoidal Focusing of Low-Energy, Heavy-Ion ECRIS Beams at the NSCL/MSU",,"emittance, dipole, focusing, ion, injection"
TUP048,"V. V. Paramonov, RAS/INR, Moscow; K. Floettmann, DESY, Hamburg","Beam-Loading Effect in the Normal-Conducting ILC Positron Source Pre-Accelerator",,"positron, beam-loading, focusing, linac, linear-collider"
TUP049,"L. Cultrera, INFN/LNF, Frascati (Roma); A. Fiori, Università di Roma II Tor Vergata, Roma; G. Gatti, INFN/LNF, Frascati (Roma); J. Langner, The Andrzej Soltan Institute for Nuclear Studies, Centre Swierk, Swierk/Otwock; S. Orlanducci, Università di Roma II Tor Vergata, Roma; A. Perrone, INFN-Lecce, Lecce; C. Ristoscu, INFLPR, Bucharest - Magurele; P. Strzyzewski, The Andrzej Soltan Institute for Nuclear Studies, Centre Swierk, Swierk/Otwock; F. Tazzioli, INFN/LNF, Frascati (Roma)","Metal-Based Photocathodes For High-Brightness RF Photoinjectors",,"laser, cathode, gun, vacuum, target"
TUP050,"A. Smirnov, D. Yu, DULY Research Inc., Rancho Palos Verdes, California","Microwave Helical Undulator-Based Production of Polarized Photons and Positrons",,"undulator, positron, radiation, polarization, linear-collider"
TUP053,"R. F. Welton, ORNL, Oak Ridge, Tennessee; D. Moehs, Fermilab, Batavia, Illinois; S. N. Murray, M. P. Stockli, ORNL, Oak Ridge, Tennessee","Initial Tests of an Elemental Cs-System for the SNS Ion Source",,"ion, SNS, ion-source, plasma, injection"
TUP054,"R. F. Welton, R. H. Goulding, S. N. Murray, M. P. Stockli, ORNL, Oak Ridge, Tennessee","A Proposed Helicon Driver for the SNS Ion Source",,"plasma, SNS, ion, ion-source, extraction"
TUP055,"R. F. Welton, J. Carr, S. N. Murray, M. P. Stockli, ORNL, Oak Ridge, Tennessee","A Plasma Gun Driver for the SNS Ion Source",,"plasma, ion, gun, ion-source, SNS"
TUP056,"R. F. Welton, S. N. Murray, ORNL, Oak Ridge, Tennessee; J. Peters, DESY, Hamburg; M. P. Stockli, ORNL, Oak Ridge, Tennessee","The Development of a High-Power, H- Ion Source for the SNS-Based on an External Antenna",,"plasma, SNS, ion, ion-source, gun"
TUP057,"D. Yu, DULY Research Inc., Rancho Palos Verdes, California; I. V. Bazarov, Cornell University, Ithaca, New York; R. P. Fliller, Fermilab, Batavia, Illinois; Y. Luo, DULY Research Inc., Rancho Palos Verdes, California; P. Piot, Northern Illinois University, DeKalb, Illinois; A. Smirnov, DULY Research Inc., Rancho Palos Verdes, California","A Compact, Normal-conducting, Polarized Electron, L-band PWT Photoinjector for the ILC",,"emittance, electron, cathode, vacuum, gun"
TUP058,"J. W. Wang, J. E. Clendenin, E. R. Colby, SLAC, Menlo Park, California; J. W. Lewellen, ANL, Argonne, Illinois; R. H. Miller, SLAC, Menlo Park, California","The RF Design of a HOM Polarized RF Gun for the ILC",,"gun, cathode, emittance, electron, vacuum"
TUP059,"P. Piot, Fermilab, Batavia, Illinois; K.-J. Kim, Y.-E. S. Sun, ANL, Argonne, Illinois","Photoinjector Production of a Flat Beam with Transverse Emittance Ratio of 100",,"emittance, quadrupole, simulation, laser, electron"
TUP060,"J. G. Alessi, D. S. Barton, E. N. Beebe, S. Bellavia, O. Gould, A. Kponou, R. F. Lambiase, E. T. Lessard, V. LoDestro, R. Lockey, M. Mapes, D. R. McCafferty, T. C.N. Nehring, A. Pendzick, A. I. Pikin, D. Raparia, J. Ritter, J. Scaduto, L. Snydstrup, C. Theisen, M. Wilinski, A. Zaltsman, BNL, Upton, Long Island, New York","Status of the EBIS Project at Brookhaven",,"ion, rfq, electron, linac, injection"
TUP061,"J. Peters, DESY, Hamburg","The HERA RF-Driven Multicusp H- Ion Source",,"plasma, electron, vacuum, coupling, SNS"
TUP062,"Y. Kim, FEL/Duke University, Durham, North Carolina; K. Floettmann, F. Loehl, S. Schreiber, DESY, Hamburg","Experimental Optimization of TTF2 RF Photoinjector for Emittance Damping",,"emittance, booster, gun, laser, damping"
TUP063,"Y. Kim, G. Edwards, M. Emamian, J. Gustavsson, S. M. Hartman, G. Swift, P. W. Wallace, P. Wang, FEL/Duke University, Durham, North Carolina","Commissioning of a New S-Band RF Gun for the Mark III FEL Facility at Duke University",,"gun, cathode, linac, electron, emittance"
TUP064,"C. K. Allen, LANL, Los Alamos, New Mexico; K. Furukawa, M. Ikegami, K. Oide, KEK, Ibaraki","Adaptive Three-Dimensional RMS Envelope Simulation in the SAD Accelerator Modeling Environment",,"space-charge, simulation, optics, controls, background"
TUP065,"B. Steiner, TEMF, Darmstadt; R. Eichhorn, J. Enders, C. Heßler, TU Darmstadt, Darmstadt; W. F.O. Müller, TEMF, Darmstadt; A. Richter, M. Roth, TU Darmstadt, Darmstadt; N. Somjit, T. Weiland, TEMF, Darmstadt","Longitudinal Beam Dynamic Simulation of S-DALINAC Polarized Injector",,"electron, gun, simulation, emittance, polarization"
TUP066,"J. K. Pozimski, Imperial College of Science and Technology, Department of Physics, London; J. J. Back, University of Warwick, Coventry; D. C. Faircloth, CCLRC/RAL/ISIS, Chilton, Didcot, Oxon; S. Jolly, Imperial College of Science and Technology, Department of Physics, London; A. P. Letchford, CCLRC/RAL/ISIS, Chilton, Didcot, Oxon","Particle Dynamics Calculations and Emittance Measurements at the FETS",,"simulation, rfq, emittance, ion, ion-source"
TUP067,"M. Ikegami, H. Akikawa, Z. Igarashi, KEK, Ibaraki; Y. Kondo, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; S. Lee, KEK, Ibaraki; T. Morishita, JAEA/LINAC, Ibaraki-ken; T. Ohkawa, JAEA, Ibaraki-ken; S. Sato, T. Tomisawa, A. Ueno, JAEA/LINAC, Ibaraki-ken","Tune-up Scenario for Debuncher System in J-PARC L3BT",,"injection, simulation, monitoring, linac, target"
TUP068,"M. Ikegami, H. Akikawa, KEK, Ibaraki; H. Ao, JAEA/LINAC, Ibaraki-ken; Y. Kondo, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; S. Lee, KEK, Ibaraki; T. Morishita, JAEA/LINAC, Ibaraki-ken; T. Ohkawa, JAEA, Ibaraki-ken; S. Sato, A. Ueno, JAEA/LINAC, Ibaraki-ken","Tuning Strategy for Transverse Collimator in J-PARC L3BT",,"collimation, beam-losses, monitoring, linac, injection"
TUP069,"J. Peng, S. Fu, Z. Sun, IHEP Beijing, Beijing","Design of 132MeV DTL for CSNS",,"SNS, focusing, simulation, linac, vacuum"
TUP070,"D.-O. Jeon, ORNL, Oak Ridge, Tennessee","Comparison of Phase Scan vs Acceptance Scan for the SNS DTL",,"linac, simulation, SNS, Spallation-Neutron-Source, target"
TUP071,"D.-O. Jeon, S. Henderson, S.-H. Kim, Y. Zhang, ORNL, Oak Ridge, Tennessee","Beam-Loading Effects on Phase Scan for the Superconducting Cavities",,"linac, simulation, beam-loading, SNS, impedance"
TUP072,"P. N. Ostroumov, V. N. Aseev, B. Mustapha, ANL, Argonne, Illinois","Beam Dynamics Studies of the 8-GeV Superconducting H- Linac",,"linac, simulation, beam-losses, focusing, rfq"
TUP073,"Y. Zhang, S. Henderson, ORNL, Oak Ridge, Tennessee","Simulations of RF Errors in the SNS Superconducting Linac",,"linac, simulation, emittance, SNS, beam-losses"
TUP074,"J. Rodnizki, D. Berkovits, Soreq NRC, Yavne; K. Dunkel, ACCEL, Bergisch Gladbach; A. Facco, INFN/LNL, Legnaro, Padova; K. Lavie, I. Mardor, Soreq NRC, Yavne; C. Piel, ACCEL, Bergisch Gladbach; A. Shor, Y. Yanai, Soreq NRC, Yavne; V. Zviagintsev, TRIUMF, Vancouver","Beam Dynamics Simulations of SARAF Accelerator including Error Propagation and Implications for the EURISOL Driver",,"linac, simulation, proton, lattice, rfq"
TUP075,"B. Mustapha, P. N. Ostroumov, ANL, Argonne, Illinois","Automatic Transverse and Longitudinal Tuning of Single and Multiple Charge State Ion Beams",,"linac, beam-losses, focusing, emittance, simulation"
TUP076,"B. Mustapha, V. N. Aseev, ANL, Argonne, Illinois; S. Henderson, D.-O. Jeon, ORNL, Oak Ridge, Tennessee; P. N. Ostroumov, J. Xu, ANL, Argonne, Illinois","First TRACK Simulations of the SNS Linac",,"linac, simulation, SNS, lattice, focusing"
TUP077,"S. Bragin, A. Feschenko, O. V. Grekhov, N. F. Lebedeva, V. N. Mikhailov, A. N. Mirzojan, V. A. Moiseev, O. Volodkevich, RAS/INR, Moscow","Transverse Beam Matching and Correction Procedures in INR Linac",,"linac, quadrupole, controls, simulation, focusing"
TUP078,"W. Barth, W. B. Bayer, L. A. Dahl, L. Groening, S. Yaramyshev, GSI, Darmstadt","Status of the End-to-End Beam Dynamics Simulations for the GSI UNILAC",,"rfq, simulation, emittance, ion, synchrotron"
TUP079,"T. P. Wangler, LANL, Los Alamos, New Mexico; V. N. Aseev, ANL, Argonne, Illinois; J. A. Billen, LANL, Los Alamos, New Mexico; K. R. Crandall, TechSource, Santa Fe, New Mexico; M. Doleans, NSCL, East Lansing, Michigan; R. W. Garnett, LANL, Los Alamos, New Mexico; D. Gorelov, NSCL, East Lansing, Michigan; B. Mustapha, P. N. Ostroumov, ANL, Argonne, Illinois; J. Qiang, R. D. Ryne, LBNL, Berkeley, California; X. Wu, R. C. York, Q. Zhao, NSCL, East Lansing, Michigan","RIAPMTQ/IMPACT: Beam-Dynamics Simulation Tool for RIA",,"linac, simulation, emittance, beam-losses, rfq"
TUP080,"T. L. Houck, C. G. Brown, M. M. Ong, A. Paul, LLNL, Livermore, California; P. E. Wargo, Bechtel Nevada, Los Alamos, New Mexico; J. M. Zentler, LLNL, Livermore, California","Tuning the Magnetic Transport of an Induction Linac Using Emittance",,"emittance, simulation, background, diagnostics, optics"
TUP081,"R. Duperrier, N. Pichoff, D. Uriot, CEA, Gif-sur-Yvette","Impact of a RF Frequency Change on the Longitudinal Beam Dynamics",,"linac, emittance, focusing, acceleration, ion"
TUP082,"A. E. Candel, A. C. Kabel, K. Ko, Z. Li, C. Limborg-Deprey, C.-K. Ng, G. L. Schussman, R. Uplenchwar, SLAC, Menlo Park, California","Development of a Parallel Finite Element Particle-In-Cell Code",,""
TUP083,"Y. W. Kang, M. S. Champion, S.-H. Kim, M. P. McCarthy, A. V. Vassioutchenko, J. L. Wilson, ORNL, Oak Ridge, Tennessee","Development of High-Power RF Vector Modulator Employing TEM Ferrite Phase Shifters",,"controls, SNS, impedance, linac, vacuum"
TUP084,"P. Chu, Y. Zhang, ORNL, Oak Ridge, Tennessee","Drifting Beam Application for SNS Superconducting Cavity Setting",,"SNS, controls, linac, beam-loading, Spallation-Neutron-Source"
TUP085,"Q. Zhao, M. Doleans, D. Gorelov, F. Marti, NSCL, East Lansing, Michigan; J. Qiang, LBNL, Berkeley, California; X. Wu, R. C. York, NSCL, East Lansing, Michigan","Beam Simulations for the MSU-RIA Driver Linac Using IMPACT Code",,"linac, simulation, beam-losses, emittance, ion"
TUP086,"F. Franchi, W. B. Bayer, GSI, Darmstadt; G. Bellodi, CERN, Geneva; G. Clemente, IAP, Frankfurt-am-Main; R. Duperrier, CEA, Gif-sur-Yvette; G. Franchetti, GSI, Darmstadt; F. Gerigk, CERN, Geneva; L. Groening, I. Hofmann, GSI, Darmstadt; A. M. Lombardi, T. Mütze, CERN, Geneva; A. Orzhekhovskaya, GSI, Darmstadt; A. C. Sauer, R. Tiede, IAP, Frankfurt-am-Main; D. Uriot, CEA, Gif-sur-Yvette; S. Yaramyshev, X. Yin, GSI, Darmstadt","Linac Code Benchmarking for the UNILAC Experiment",,"emittance, space-charge, simulation, linac, lattice"
TUP087,"D. Gorelov, F. Marti, NSCL, East Lansing, Michigan","Ion Charge Stripping Foil Model for Beam Dynamics Simulation",,"simulation, ion, linac, scattering, heavy-ion"
TUP088,"J.-P. Carneiro, Fermilab, Batavia, Illinois","Benchmarking of Simulation Codes TRACK and ASTRA for the FNAL High-Intensity Proton Source",,"simulation, space-charge, emittance, rfq, proton"
TUP089,"M. Galonska, M. Galonska, IAP, Frankfurt-am-Main; R. Gobin, CEA, Gif-sur-Yvette; R. Hollinger, GSI, Darmstadt","Computer Simulations of a High-Current Proton Beam at the SILHI-LEBT",,"ion, emittance, proton, simulation, space-charge"
TUP090,"Y. A. Svistunov, A. M. Fialkovsky, Y. N. Gavrish, A. V. Sidorov, M. F. Vorogushin, NIIEFA, St. Petersburg","Advances of NPK LUTS Contraband Detection System",,"rfq, proton, linac, acceleration, radiation"
TUP091,"Y. A. Svistunov, NIIEFA, St. Petersburg; D. S. Semenov, B. D. Vodennikov, Scientific Research Institute of Pulse Technique, Moscow; M. F. Vorogushin, NIIEFA, St. Petersburg","Choice of Ion Linac as Neutron Generator for Contraband-Detection System",,"proton, linac, target, rfq, background"
TUP092,"T. W. Koeth, Rutgers University, The State University of New Jersey, Piscataway, New Jersey; R. Andrews, D. A. Edwards, H. Edwards, R. P. Fliller, Fermilab, Batavia, Illinois; P. Piot, Northern Illinois University, DeKalb, Illinois; M. J. Syphers, Fermilab, Batavia, Illinois","Emittance Exchange at FNPL",,"emittance, coupling, klystron, electron, pick-up"
WE1002,"H. L. Owen, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire","The 4GLS at Daresbury",,"linac, electron, radiation, simulation, undulator"
WE1003,"H. Weise, DESY, Hamburg","The TTF/VUV-FEL (FLASH) as the Prototype for the European XFEL Project",,"linac, laser, electron, free-electron-laser, radiation"
WE1004,"M. Liepe, CLASSE, Ithaca, New York","Cryomodules for Energy-Recovery Linacs",,""
WE2001,"P. K. Roy, A. Anders, D. Baca, LBNL, Berkeley, California; J. J. Barnard, LLNL, Livermore, California; F. M. Bieniosek, LBNL, Berkeley, California; R. J. Briggs, SAIC, Alamo, California; C. M. Celata, J. E. Coleman, LBNL, Berkeley, California; R. C. Davidson, P. Efthimion, PPPL, Princeton, New Jersey; S. Eylon, LBNL, Berkeley, California; A. Friedman, LLNL, Livermore, California; E. P. Gilson, PPPL, Princeton, New Jersey; W. G. Greenway, LBNL, Berkeley, California; D. P. Grote, LLNL, Livermore, California; E. Henestroza, LBNL, Berkeley, California; I. Kaganovich, PPPL, Princeton, New Jersey; M. Leitner, B. G. Logan, LBNL, Berkeley, California; H. Qin, PPPL, Princeton, New Jersey; L. R. Reginato, LBNL, Berkeley, California; A. B. Sefkow, PPPL, Princeton, New Jersey; P. A. Seidl, LBNL, Berkeley, California; W. M. Sharp, LLNL, Livermore, California; C. H. Thoma, Voss Scientific, Albuquerque, New Mexico; W. Waldron, LBNL, Berkeley, California; D. R. Welch, Voss Scientific, Albuquerque, New Mexico; S. Yu, LBNL, Berkeley, California","Neutralized Drift Compression Experiments (NDCX)",,"plasma, ion, simulation, vacuum, acceleration"
WE2002,"S. Assadi, ORNL, Oak Ridge, Tennessee","SNS Transverse and Longitudinal Laser Profile Monitor Design, Implementation, Results, and Improvement Plans",,""
WE2003,"A. Brandt, DESY, Hamburg","LLRF Systems for Modern Linacs: Design and Performance",,"controls, feedback, linac, resonance, coupling"
WE2004,"Y.-S. Cho, H. M. Choi, I.-S. Hong, J.-H. Jang, H. S. Kim, K. Y. Kim, Y.-H. Kim, H.-J. Kwon, K. T. Seol, Y.-G. Song, KAERI, Daejon","100 MeV High-Duty-Factor Proton Linac Development at KAERI",,"proton, klystron, rfq, linac, power-supply"
WE2005,"J. S. Sekutowicz, DESY, Hamburg","HOM Damping and Power Extraction from Superconducting Cavities",,"damping, linac, coupling, impedance, electron"
