a-01,"R. Bimbot, IPN, Orsay, France","From the Discovery of Radioactivity to the Production of Radioactive Beams",5 12,
b-08,"S. Brandenburg, L.P. Roobol, H.W. Schreuder, L. de Vries, KVI, Groningen, The Netherlands; B. Launé, IPN, Orsay, France","Beam Phase Measurement in the AGOR-Cyclotron",183 185,
b-09,"V.S. Pandit, R.K. Bhandari, Variable Energy Cyclotron Centre, Calcutta, India; P. Sen, Saha Institute of Nuclear Physics, Calcutta, India","A Technique to Improve the Quality of Experimental Data Using an Unanalysed Cyclotron Beam",186 188,
b-10,"V.S. Pandit, R.K. Bhandari, P.R. Sarma, Variable Energy Cyclotron Centre, Calcutta, India","Measurement of Cyclotron Beam Phase Space",189 192,
b-11,"S. Brandenburg, L. de Vries, KVI, Groningen, The Netherlands","A Subharmonic Buncher for the AGOR-Cyclotron",193 195,
b-12,"H. Okuno, S. Fujishima, A. Goto, T. Tominaka, Y. Yano, RIKEN, Saitama, Japan","Design Study of the Injection and Extraction Systems for the RIKEN Superconducting Ring Cyclotron",196 199,
b-13,"E.M. Conard, Particle Accelerator Consultants, Dion-Valmont, Belgium; D.W. Arnott, S.K. Parcell, National Medical Cyclotron, Camperdown, Australia","Design, Construction and Commissioning of a Simple, Low Cost Permanent Magnet Quadrupole Doublet",200 202,
b-14,"T. Kawaguchi, A. Goto, K. Ikegami, J.-W. Kim, T. Kubo, T. Mitsumoto, H. Okuno, T. Tominaka, Y. Yano, RIKEN, Saitama, Japan","Design of the Sector Magnets for the RIKEN Superconducting Ring Cyclotron",203 206,
b-15,"J.-W. Kim, S. Fujishima, A. Goto, K. Ikegami, T. Kawaguchi, T. Kubo, T. Mitsumoto, T. Morikawa, H. Okuno, J. Onishi, N. Sakamoto, K. Sugii, T. Tominaka, T. Wada, Y. Yano, S. Yokouchi, RIKEN, Saitama, Japan","Trim Coil Design for RIKEN Superconducting Ring Cyclotron",207 210,
b-16,"L.P. Roobol, S. Brandenburg, H.W. Schreuder, KVI, Groningen, The Netherlands","Temperature Dependence of the AGOR Magnetic Field",211 214,
b-17,"J.L. Conradie, A.H. Botha, J.G. de Villiers, National Accelerator Centre, Faure, Republic of South Africa","A Flat-Topping System for the NAC Separated-Sector Cyclotron",215 218,
b-18,"S. Kohara, T. Chiba, A. Goto, E. Ikezawa, O. Kamigaito, M. Kase, Y. Miyazawa, RIKEN, Saitama, Japan","Model Study of a Resonator for a Flat-Top Acceleration System in the RIKEN AVF Cyclotron",219 222,
b-19,"N. Sakamoto, A. Goto, O. Kamigaito, T. Mitsumoto, H. Okuno, Y. Yano, RIKEN, Saitama, Japan","Design of the RF Resonators for the New Booster Ring Cyclotrons in the RIKEN RI Beam Factory",223 226,
b-20,"T. Waites, The Svedberg Laboratory, Uppsala, Sweden","Sliding Contacts in RF Cavities",227 228,
b-21,"D. Poe, T.L. Grimm, F. Marti, P.S. Miller, G. Stork, NSCL, East Lansing, Michigan, USA","Status of Electrostatic Deflector at NSCL K1200 Cyclotron",229 231,
b-22,"T. Agematsu, K. Arakawa, JAERI, Gunma, Japan; T. Okamura, Sumitomo Heavy Industries, Ltd., Kanagawa, Japan","Development of Visual Beam Adjustment Method for the Beam Transport",232 235,
b-23,"M.P. Dehnel, K.L. Erdman, EBCO Technologoes Inc., Richmond, B.C., Canada; T. Kuo, TRIUMF, Vancouver, Canada","Measurements of Beam Emittance, Accelerated RF Phase Band, and Centring in a 1 MeV Test Cyclotron",236 238,
b-24,"M.P. Dehnel, K.L. Erdman, EBCO Technologoes Inc.,, Richmond, Canada; T. Kuo, L. Root, TRIUMF, Vancouver, Canada","Measurements of Injected Beam Deflections at the Exit of a Cyclotron Inflector as a Function of Applied Field or Beam Energy Perturbations",239 242,
b-25,"E.M. Ivanov, G.A. Riabov, St Petersburg Nuclear Physics Institute, Gatchina, Russia","Experimental Determination of the External Beam Matrix on 1 GeV Synchrocyclotron",243 245,
b-26,"S. Takács, F. Szelecsényi, F. Tárkányi, Institute of Nuclear Research of the Hungarian Academy of Sciences, Debrecen, Hungary; A. Hermanne, M. Sonck, J. van Hoyweghen, Vrije Universiteit Brussel, Brussels, Belgium","The Use of Cross Section Data for Monitoring Charged Particle Beam Parameters",246 249,
b-27,"Y. Nakamura, K. Arakawa, I. Ishibori, T. Nara, JAERI, Gunma, Japan","Estimation of Charge Exchange Cross Section for Heavy Ions Accelerated in the JAERI AVF Cyclotron",250 253,
b-28,"M.N. El-Shazly, J. Franko, G.G. Gulbekian, M.V. Khabarov, O. Szollos, A.V. Tikhomirov, JINR, Dubna, Russia","Modelling of the Pressure Distribution in the Cyclotron Central Region",254 256,
b-29,"L.P. Roobol, S. Brandenburg, H.W. Schreuder, S. van der Veen, KVI, Groningen, The Netherlands","Operation of the HE-Liquefier of the AGOR Cyclotron",257 260,
b-30,"S.B. Fedorenko, V.V. Kalinichenko, JINR, Dubna, Russia","Highly Stable DC Power Supplies",261 263,
b-31,"B. Mukherjee, ANSTO, Menai, Australia","Research Applications of the Health Physics Surveillance System at the Australian National Medical Cyclotron",264 267,
b-32,"F. Marti, P. Johnson, NSCL, East Lansing, Michigan, USA","A LabVIEW Based Cyclotron Magnetic Field Mapping System",268 271,
b-33,"F.M. Nortier, National Accelerator Centre, Faure, Republic of South Africa","Circular Sweeping of a Highly-Focused 66 MeV Proton Beam for Radioisotope Production",272 274,
