FRXGB001,"O. Boine-Frankenheim, GSI, Darmstadt","Accelerator Challenges of Proposed Radioactive Beam Facilities",
MOPLE013,"R. Saban, A. Ballarino, E. Blanco-Vinuela, F. Bordry, L. Bottura, D. Bozzini, C. Calzas-Rodriguez, O. Capatina, K. Dahlerup-Petersen, R. Denz, Q. King, B. Puccio, C. Rathjen, F. Rodríguez-Mateos, R. Schmidt, L. Serio, F. Tegenfeldt, H. Thiesen, R. van Weelderen, CERN, Geneva","First Results and Status of the LHC Test String 2",
MOPLE014,"W. Scandale, L. Bottura, S. Redaelli, V. Remondino, S. Sanfilippo, F. Savary, E. Todesco, CERN, Geneva","Optimization of the Even Normal Multipole Components in the Main Dipole of the Large Hadron Collider",
MOPLE015,"A. Schiappapietra, P. Fessia, V. Remondino, E. Todesco, CERN, Geneva","Field Quality in the Ends of the Large Hadron Collider Main Dipole:  Measurements and Correlation to Industrial Assembly Procedures",
MOPLE016,"E. Todesco, L. Bottura, S. Pauletta, V. Remondino, S. Sanfilippo, W. Scandale, CERN, Geneva","Status Report on Field Quality in the Main LHC Dipoles",
MOPLE017,"A.V. Zlobin, E. Barzi, D. Chichili, Yu. Huang, V. Kashikhin, M. Lamm, P.J. Limon, N. Mokhov, I. Novitski, T. Peterson, J. Strait, S. Yadav, FNAL, Batavia","Large Aperture Nb3Sn Quadrupoles for 2nd Generation LHC IRs",
MOPLE019,"M. Lamm, R. Bossert, R. Carcagno, J. Carson, D. Chichili, J. DiMarco, S. Feher, V. Kashikhin, J. Kerby, T. Nicol, A. Nobrega, J. Nogiec, I. Novitski, D. Orris, T. Page, T. Peterson, R. Rabehl, W. Robotham, P. Schlabach, J. Strait, C. Sylvester, M. Tartaglia, J.C. Tompkins, G. Velev, S. Yadav, A.V. Zlobin, FNAL, Batavia; A. Ghosh, BNL, Upton, Long Island, New York; R. Scanlan, LBNL, Berkeley","Production and Test of the First LQXB Inner Triplet Quadrupole at  Fermilab",
MOPLE020,"V. Kashikhin, E. Barzi, R. Carcagno, D. Chichili, J. DiMarco, H.G. Glass, M. Lamm, J. Nogiec, D. Orris, T. Peterson, R. Rabehl, P. Schlabach, C. Sylvester, M. Tartaglia, J.C. Tompkins, G. Velev, A.V. Zlobin, FNAL, Batavia","Field Quality of the Fermilab Nb3Sn Cos-theta Dipole Models",
MOPLE022,"A.D. Kovalenko, N. Agapov, S. Averichev, A. Doniagin, I. Eliseeva, I. Karpunina, H.G. Khodzhibagiyan, V. Kuzichev, G.I. Kuznetsov, A. Nesterov, P. Nikitaev, A. Starikov, L. Zaitsev, JINR, Dubna, Moscow Region; E. Fischer, G. Hess, J. Kaugerts, M. Kauschke, G. Moritz, C. Muehle, GSI, Darmstadt","Superconducting Fast-Cycling Dipole Magnets for the GSI Future Accelerator Facility",
MOPLE023,"J.F. Muratore, M. Anerella, J. Cozzolino, G. Ganetis, A. Ghosh, R. Gupta, M. Harrison, A. Jain, A. Marone, S. Plate, J. Schmalzle, R. Thomas, P. Wanderer, E. Willen, K.C. Wu, BNL, Upton, Long Island, New York","Test Results for Initial Production of LHC Insertion Region Dipole Magnets",
MOPLE024,"L. Nielsen, N. Bourcey, V. Parma, P. Rohmig, CERN, Geneva; J.-B. Bergot, E. Roy, IPN, Orsay","Thermal Performance of the LHC Short Straight Section Cryostat ",
