mo4-69,"W.J. Starling, T. Cain, SSCL, Dallas, Texas, USA","Superconducting Super Collider Laboratory Coupled-Cavity Linac Mechanical Design",241 243,
mo4-70,"R. Kazimi, J. Fugitt, A. Krycuk, C.K. Sinclair, L. Turlington, CEBAF, Newport News, Virginia, USA","Test of a New RF Separator Structure for CEBAF",244 246,
mo4-71,"D.P. Sandoval, R.C. Garcia, J.D. Gilpatrick, K.F. Johnson, M.A. Shinas, R. Wright, V. Yuan, M.E. Zander, LANL, Los Alamos, New Mexico, USA","Video Profile Monitor Diagnostic System for GTA",247 249,
th1-01,"R.J. Noble, Fermilab, Batavia, Illinois, USA","The 400 MeV Linac Upgrade at Fermilab",565 569,
th1-02,"J. Klabunde, GSI, Darmstadt, Germany","The High Charge State Injector for GSI",570 574,
th1-03,"Y. Saito, KEK, Ibaraki, Japan","Breakdown Phenomena in Vacuum",575 579,
th1-04,"Y. Yamazaki, KEK, Ibaraki, Japan","Recent Technological Developments in Accelerating Structures",580 584,
th2-01,"A. Favale, Grumman Aerospace Corporation, Bethpage, New York, USA","The Transfer of Accelerator Technology to Industry",587 590,
th2-02,"E.P. Lee, LBL, Berkeley, California, USA","Beam Dynamics and Longitudinal Instabilities in Heavy-Ion-Fusion Induction Linacs",591 594,
th2-03,"H.C. Kirbie, G.J. Caporaso, M.A. Newton, S.S. Yu, LLNL, Livermore, California, USA","Evolution of High-Repetition-Rate Induction Accelerators Through Advancements in Switching",595 599,
th4-01,"D.W. Feldman, S.C. Bender, D.A. Byrd, B.E. Carlsten, J.W. Early, R.B. Feldman, J.C. Goldstein, R.L. Martineau, P.G. O'Shea, E.J. Pitcher, M.J. Schmitt, W.E. Stein, M.D. Wilke, T.J. Zaugg, LANL, Los Alamos, New Mexico, USA","Operation of the APEX Photoinjector Accelerator at 40 MeV",603 605,
th4-02,"H. Iwata, O. Hara, N. Kaneko, T. Nakashizu, T. Takahashi, Ishikawajima-Harima Industries, Tokyo, Japan","A 100 MeV Linac for the SR Light Source",606 608,
th4-03,"J. Friedrich, U. Bessler, H. Deitinghoff, H. Klein, A. Schempp, R. Veith, IAP, Frankfurt am Main, Germany; N. Angert, J. Klabunde, GSI, Darmstadt, Germany","Performance of the GSI HLI-RFQ",609 611,
th4-04,"Y.J. Pei, Hefei National Synchrotron Radiation Laboratory, Hefei, Anhui, China","Recent Status of 200 MeV Electron Linac of HESYRL",612 614,
th4-05,"K. Whitham, H. Anamkath, S. Lyons, J. Manca, R. Miller, P. Treas, T. Zante, Titan Beta, Dublin, California, USA; R.H. Miller, SLAC, Stanford, California, USA","200 MeV RF Linac for Synchrotron Injection",615 617,
th4-06,"K. Whitham, H. Anamkath, K. Evans, S. Lyons, D. Palmer, R. Miller, P. Treas, T. Zante, Titan Beta, Dublin, California, USA","Crane RF Accelerator for High Current Radiation Damage Studies",618 620,
th4-07,"V.G. Andreev, G.I. Batskikh, B.I. Bondarev, A.P. Durkin, A.P. Fedotov, B.P. Murin, O.Yu. Shlygin, I.V. Shumakov, Radiotechnical Institute of the Russian Academy of Sciences, Moscow, Russia","Design Problems of High Energy CW Ion Linac",621 623,
th4-08,"Y. Iwashita, T. Shirai, H. Dewa, H. Okamoto, A. Noda, H. Fujita, S. Kakigi, M. Inoue, Kyoto University, Uji, Kyoto, Japan","Operating Characteristics of the ICR Proton Linac",624 626,
th4-09,"T.P. Wangler, A. Cimabue, J. Merson, R.S. Mills, R. Wood, L.M. Young, LANL, Los Alamos, New Mexico, USA","Superconducting RFQ Development at Los Alamos",627 629,
th4-10,"T.O. Raubenheimer, P. Chen, SLAC, Stanford, California, USA","Ions in the Linacs of Future Linear Colliders",630 632,
th4-11,"J. Frisch, M.B. Woods, M. Zolotorev, SLAC, Stanford, California, USA","A Ti:Sapphire Laser for the New Polarized Electron Source",633 635,
th4-12,"R. McAdams, A.J.T. Holmes, G. Proudfoot, R.F. King, S. Cox, Culham Laboratory, Abingdon, Oxfordshire, UK","Development of Bright Negative Ion Sources at Culham Laboratory",636 638,
th4-13,"Y. Mori, T. Okuyama, A. Takagi, KEK, Ibaraki, Japan","Development of the KEK Volume H- Ion Source",639 641,
th4-14,"Y. Mori, A. Takagi, KEK, Ibaraki, Japan; T. Okuyama, M. Kinsho, The Graduate University for Advanced Studies, Ibaraki, Japan; H. Yamamoto, University of Tsukuba, Ibaraki, Japan; T. Ishida, Y. Sato, Japan Steel Works, Muroran Factory, Hokkaido, Japan","Helical Electro-Static Quadrupole for Intense Negative Heavy Ion Beams",642 644,
th4-15,"Y. Okumura, T. Inoue, H. Oguri, H. Tanaka, JAERI, Ibaraki, Japan","Development of a High Brightness Ion Source for the Proton Linear Accelerator (BTA) at JAERI",645 647,
th4-16,"J.L. Orthel, G.H. Gillespie Associates, Inc., Del Mar, California, USA","Effects of Surface and Volume Production on Emittance in a Volume-Type Negative Ion Source",648 650,
th4-17,"T. Taylor, B.G. Chidley, G.E. McMichael, Atomic Energy of Canada, Chalk River, Ontario, Canada","Design Recommendations for Low-Energy Components of ESNIT and OMEGA",651 653,
th4-18,"G.M. Arbique, B.G. Chidley, W.L. Michel, B.H. Smith, Atomic Energy of Canada, Chalk River, Ontario, Canada","Optical Beam Sensors for RFQ1-1250",654 656,
th4-19,"R. Connolly, K.F. Johnson, V. Yuan, LANL, Los Alamos, New Mexico, USA","A Correction for Emittance-Measurement Errors Caused by Finite Slit and Collector Widths",657 659,
th4-20,"F.D. Wells, J.D. Gilpatrick, R.E. Shafer, LANL, Los Alamos, New Mexico, USA","Log-Ratio Beam Position Monitoring at 425 MHz",660 661,
th4-21,"E.S. McCrory, C.W. Schmidt, Fermilab, Batavia, Illinois, USA; A.V. Feschenko, INR, Moscow, Russia","Use of INR-Style Bunch-Length Detector in the Fermilab Linac",662 664,
th4-22,"K. Yanagida, T. Hori, Y. Itoh, A. Mizuno, S. Suzuki, H. Yokomizo, H. Yoshikawa, JAERI-RIKEN Spring-8 Project, Ibaraki, Japan","Development of Beam Diagnostics for SPring-8 Linac",665 667,
th4-23,"S.T. Craig, S.B. Alexander, R.J. West, Atomic Energy of Canada, Chalk River, Ontario, Canada; M.P. Simpson, AECL Accelerators, Kanata, Ontario, Canada","Pulsed-Linac Synchronization Using an Embedded Micro-Controller",668 670,
th4-24,"R.A. DeHaven, J. Davis, R. Johnson, C.L. Morris, J.M. O'Donnell, LANL, Los Alamos, New Mexico, USA","Scruncher Phase  Amplitude Control",671 673,
th4-25,"R. Wright, S. Brown, H. Gibson, J.D. Gilpatrick, D.P. Sandoval, M.E. Zander, LANL, Los Alamos, New Mexico, USA","Image Processing and Computer Controls for Video Profile Diagnostic System in the Ground Test Accelerator (GTA)",674 676,
th4-26,"M.V. Fazio, B.E. Carlsten, R.J. Faehl, W.B. Haynes, T.J.T. Kwan, D.G. Rickel, R.M. Stringfield, R.F. Wasierski, LANL, Los Alamos, New Mexico, USA","Progress on a One Gigawatt, One Microsecond Pulse Length, High Current Relativistic Klystron",677 679,
th4-27,"A.H. Regan, D. Brittain, D.E. Rees, C.D. Ziomek, LANL, Los Alamos, New Mexico, USA","RF System Description for the Ground Test Accelerator Radio-Frequency Quadrupole",680 682,
th4-28,"C.D. Ziomek, LANL, Los Alamos, New Mexico, USA","Adaptive Feedforward in the LANL RF Control System",683 685,
th4-29,"T.L. Buller, A.M. Vetter, Boeing Defense and Space Group, Seattle, Washington, USA","Experimental Study of APLE TM110-like Higher Order Modes and Damping Technique",686 688,
th4-30,"T.L. Buller, T.D. Hayward, D.R. Smith, V.S. Starkovich, A.M. Vetter, Boeing Defense and Space Group, Seattle, Washington, USA","Design of the APLE Accelerator Cavity",689 691,
th4-31,"J.R. Delayen, W.L. Kennedy, ANL, Argonne, Illinois, USA","Design and Modeling of Superconducting RFQ Structures",692 694,
th4-32,"J.R. Delayen, W.L. Kennedy, C.T. Roche, ANL, Argonne, Illinois, USA","Design and Test of a Superconducting Structure for High-Velocity Ions",695 697,
th4-33,"Y. Iwashita, Kyoto University, Uji, Kyoto, Japan; H. Fujisawa, Nissin Electric Co., Ltd., Kyoto, Japan","Half End-Cell Geometry of RFQ",698 700,
th4-34,"Y. Iwashita, Kyoto University, Uji, Kyoto, Japan","Disk-and-Washer Linac Structure with T Supports",701 703,
th4-35,"A. Marziali, H.A. Schwettman, Stanford University, Stanford, California, USA","Microphonic Measurements on Superconducting Linac Structures",704 706,
th4-36,"A. Marziali, H.A. Schwettman, Stanford University, Stanford, California, USA","Structure Tuning and its Effect on Higher Order Modes",707 709,
th4-37,"J.Y. Sheikh, R.J. Burton, Atomic Energy of Canada, Chalk River, Ontario, Canada","Tuning and Conditioning of RFQ1-1250 Cavity",710 712,
th4-38,"A. Ueno, Y. Yamazaki, KEK, Ibaraki, Japan","RF Field Measurement of a Four-Vane Type RFQ with PISLs",713 715,
th4-39,"G.A. Loew, J.W. Wang, R.A. Curry, H. Deruyter, H.A. Hoag, R.F. Koontz, A. Menegat, R.H. Miller, R.D. Ruth, A.E. Vlieks, C. Yoneda, SLAC, Stanford, California, USA","High-Gradient Studies on 11.4 GHz Copper Accelerator Structures",716 718,
th4-40,"S.J. Black, G. Spalek, LANL, Los Alamos, New Mexico, USA","Calculation of Mechanical Vibration Frequencies of Stiffened Superconducting Cavities",719 721,
th4-41,"W. Diete, University of Wuppertal, Wuppertal, Germany; B. Rusnak, B.L. Bennett, W.L. Clark, R.G. Maggs, A.H. Shapiro, P.V. Wright, LANL, Los Alamos, New Mexico, USA","High Temperature Heat Treatment of 3 GHz Niobium Cavities",722 724,
th4-42,"W.E. Fox, N.K. Bultman, LANL, Los Alamos, New Mexico, USA","Transition Fittings Between Aluminium and Stainless Steel Components of Cryogenic Accelerators",725 727,
th4-43,"B. Rusnak, J.N. DiMarco, R.G. Maggs, A.H. Shapiro, P.V. Wright, LANL, Los Alamos, New Mexico, USA; P. Resnick, Sandia National Laboratories, Albuquerque, New Mexico, USA; W. Diete, University of Wuppertal, Wuppertal, Germany","Evaluation of Surface Contamination and Cleaning Techniques on Superconducting RF Cavities",728 730,
th4-44,"B.P. Murin, B.B. Bondarev, A.P. Durkin, Radiotechnical Institute of the Russian Academy of Sciences, Moscow, Russia","An Approach to Design of a Robust Focusing Channel",731 733,
th4-45,"B.P. Murin, B.B. Bondarev, A.P. Durkin, G.T. Nikolaishvilli, T.N. Tsygankova, O.Yu. Shlygin, Radiotechnical Institute of the Russian Academy of Sciences, Moscow, Russia","A Computing Optimization System for Ion Linac Accelerating/Focusing Channels",734 736,
th4-46,"H.W. Harris, R.A. DeHaven, V.E. Hart, W.M. Parsons, J.C. Sturrock, LANL, Los Alamos, New Mexico, USA","Engineering, Maintenance, and New Initiatives to Improve LAMPF Beam Availability and System Reliability",737 739,
th4-47,"R.F. Koontz, T.G. Lee, C. Pearson, A.E. Vlieks, SLAC, Stanford, California, USA","Recent Performance, Lifetime, and Failure Modes of the 5045 Klystron Population at SLAC",740 742,
th4-48,"Y. Ogawa, K. Furukawa, N. Kamikubota, Y. Saito, T. Shidara, I. Sato, KEK, Ibaraki, Japan; A. Asami, Naruto University of Education, Naruto, Tokushima, Japan; A. Araya, K. Tsubono, University of Tokyo, Tokyo, Japan","Vibration Issues Regarding Linac Beam Characteristics",743 745,
th4-49,"D. Douglas, J.J. Bisognano, D.V. Neuffer, CEBAF, Newport News, Virginia, USA","Beam Optics for the CEBAF FEL Proposal",746 748,
th4-50,"M. Mizumoto, K. Hasegawa, H. Mino, H. Murata, T. Nishida, H. Oguri, Y. Okumura, K. Sakogawa, H. Takada, T. Takizuka, H. Yokobori, JAERI, Ibaraki, Japan","High Intensity Proton Accelerator for Nuclear Waste Transmutation",749 751,
th4-51,"R. Li, J.J. Bisognano, G.A. Krafft, CEBAF, Newport News, Virginia, USA","Analysis of Coherent Beam-Beam Kink Instability in a Linac-on-Ring B Factory",752 754,
