wgd06,"D. Raparia, BNL, Upton, Long Island, New York","High Intensity Protons in AGS Accelerator complex",353 353,
wgd07,"I. Kourbanis, Fermilab, Batavia, Illinois","MI High Power Operation and Future Plans",354 358,
wgd08,"Th. Weiler, R.W. Assmann, C. Bracco, V. Previtali, S. Redaelli, CERN, Geneva","Beam Cleaning and Beam Loss Control",359 362,
wgd09,"D.C. Kiselev, D. Schumann, S. Teichmann, M. Wohlmuther, PSI, Villigen","Activation of Targets and Accelerator Components at PSI -- A Comparison of Simulation and Measurement",363 370,
wgd10,"I.I. Popova, P.D. Ferguson, J. Galambos, F. X. Gallmeier, ORNL, Oak Ridge, Tennessee","Residual Dose Rate Analyses for the SNS Accelerator Facility",371 374,
wgd11,"T. Koseki, KEK, Ibaraki","Beam Commissioning of J-PARC MR",376 378,
wgd12,"S.C. Childress, Fermilab, Batavia, Illinois","The NumI Proton Beam at Fermilab: Successes and Challenges",379 381,
wgd13,"A.P. Shishlo, J. Galambos, ORNL, Oak Ridge, Tennessee","SNS Beam Commissioning Tools and Experience",382 384,
wgd17,"I. Bustinduy, University of the Basque Country, Faculty of Science and Technology, Bilbao; F.J. Bermejo, Bilbao, Faculty of Science and Technology, Bilbao; R. Enparantza, Fundación TEKNIKER, Eibar (Gipuzkoa); V. Etxebarria, University of the Basque Country, Faculty of Science and Technology, Bilbao; J. Lucas, Elytt Energy, Madrid; L. Uriarte, Fundación TEKNIKER, Eibar (Gipuzkoa)","A Superconducting Proton Linac for the ESS-Bilbao Accelerator",385 387,
wge01,"V. Ptitsyn, J. Beebe-Wang, I. Ben-Zvi, A.V. Fedotov, W. Fischer, Y. Hao, A. Kayran, V. Litvinenko, W.W. MacKay, C. Montag, E. Pozdeyev, T. Roser, D. Trbojevic, BNL, Upton, Long Island, New York; E. Tsentalovich, MIT, Middleton, Massachusetts; N. Tsoupas, BNL, Upton, Long Island, New York","ERHIC Conceptual Design",388 391,
wge02,"Y. Zhang, S.A. Bogacz, P. Chevtsov, J.R. Delayen, Y.S. Derbenev, M. Hutton, G.A. Krafft, R. Li, Jefferson Lab, Newport News, Virginia; L. Merminga, TRIUMF, Vancouver; B.C. Yunn, Jefferson Lab, Newport News, Virginia","Conceptual Design of High Luminosity Ring-Ring Electron-Ion Collider at CEBAF",392 392,
wge04,"P.J. Spiller, GSI, Darmstadt","The Superconducting SIS100 Synchrotron for High Intensity Proton and Heavy Ion Beams",393 396,
wge05,"V.A. Lebedev, Fermilab, Batavia, Illinois","Project X Beam Physics Issues",397 401,
wge06,"Y. Papaphilippou, J. Barranco, W. Bartmann, M. Benedikt, CERN, Geneva; D. Trbojevic, R. de Maria, BNL, Upton, Long Island, New York","Lattice Options for PS2",402 402,
