mobh1,"K.X. Liu, J.E. Chen, L.W. Feng, J.K. Hao, S. Huang, L. Lin, S.W. Quan, F. Wang, H.M. Xie, L. Yang, F. Zhu [PKU, Beijing, People's Republic of China] ","Experimental Study on the Electron Superconducting Linac and its Application",99 98,
tubh4,"Z.J. Zeng, K. Fan [HUST, Wuhan, People's Republic of China] ","Central Region Design of the HUST SCC250 Superconducting Cyclotron",127 130,
tuch3,"C.C. Du, J.Q. Wang [IHEP, Beijing, People's Republic of China] ","Incoherent Transverse Tune Shift Caused by Space-charge Effects in HEPS Storage Ring and Booster",131 133,
tudh2,"Z. Zhou, Y.-C. Du, W.-H. Huang, C.-X. Tang, L.X. Yan [TUB, Beijing, People's Republic of China] ","Mega-electron-volt Ultrafast Electron Diffraction and Microscope at Tsinghua University",134 137,
tudh3,"D.N. Yue, M. Chen, X.H. Yuan [LLP, Shanghai, People's Republic of China] ","Electrons Oscillation in the Intense Laser Produced Three-dimensional Post-soliton Electromagnetic Field",138 140,
tuph01,"D. Dong [IHEP, Beijing, People's Republic of China] ","2 Sigma Beam Signals for the Electro-gravitational Induction based on the Beam Instability in Charged Particle Storage Rings",141 142,
tuph08,"X. He, S.Q. Liao, J. Long, J. Shi, W. Wang, L. Yang [CAEP/IFP, Mainyang, Sichuan, People's Republic of China] ","A Proposal of using Improved Rhodotron as a High Dose Rate Micro-focused X-ray Source",143 145,
tuph09,"T. Wei [CAEP/IFP, Mainyang, Sichuan, People's Republic of China] P. Li [CAEP/IAE, Mianyang, Sichuan, People's Republic of China] Y. Li, J. Pflueger (J. Pflüger) [XFEL.EU, Hamburg, Germany] ","Spontaneous Radiation of High-order Magnetic Field Undulator",146 149,
tuph10,"L.J. Mao, J. Li, X.M. Ma, M.T. Tang, J.C. Yang, X.D. Yang, H. Zhao [IMP/CAS, Lanzhou, People's Republic of China] ","Electron Cooling of Bunched Ion Beam in Storage Ring",150 152,
tuph11,"J. Li, J.C. Yang [IMP/CAS, Lanzhou, People's Republic of China] ","Resonance Stop-bands Compensation for the Booster Ring at HIAF",153 155,
tuph21,"L.G. Yan, D.R. Deng, M. Li, P. Li, J. Wang, X. Yang, H. Zhang [CAEP/IAE, Mianyang, Sichuan, People's Republic of China] ","Magnetic Measurement of the Undulator U38 for THz-FEL",156 158,
tuph23,"P. Li, J.J. Chang, M. Li, W.L. Li, X.J. Liu, C.L. Luo, R.S. Mao, J. Meng, W.J. Xie, J.C. Yang, Y.J. Yuan, W.H. Zheng [IMP/CAS, Lanzhou, People's Republic of China] ","Beam Loss Simulation and Gas Desorption Measurement for HIAF",159 161,
tuph26,"Y. Xu, C.D. Hu, L.Z. Liang, Y.H. Xie, Y.L. Xie, Yu, L. Yu [ASIPP, Hefei, People's Republic of China] ","Numerical Assessment of Beam Diagnostic Calorimeter for East Neutral Beam Injector",162 164,
tuph27,"L. Yang, X. He, H. Li [CAEP/IFP, Mianyang, People's Republic of China] ","Electromagnetic, Thermal, Structural Analysis for the RF-cavity of a Rhodotron Accelerator",165 168,
tuph30,"P.H. Gao, W.L. Chen, W.P. Dou, C. Feng, Y. He, H. Jia, Y.Z. Jia, P. Jiang, S.H. Liu, Y.S. Qin, C. Wang, W.S. Wang, Z.J. Wang [IMP/CAS, Lanzhou, People's Republic of China] ","Redundancy Analysis of Solid-state Ampliifers for CiADS Accelerator",169 171,
weah4,"O. Xiao [Institute of High Energy Physics (IHEP), People's Republic of China] X.P. Li, D.R. Sun, X. Wang, J.R. Zhang [IHEP, Beijing, People's Republic of China] ","Bunch Length Measurement System for 500 kV Photocathode DC Gun at IHEP",172 175,
webh3,"H. Zhang [Tsinghua University, Beijing, People's Republic of China] ","Experimental Polarization Control of Thomson Scattering X-ray Source",176 178,
webh4,"D. Wu, C.L. Lao, M. Li, P. Li, S.F. Lin, X. Luo, Q. Pan, L.J. Shan, H. Wang, J. Wang, D.X. Xiao, X. Yang, K. Zhou [CAEP/IAE, Mianyang, Sichuan, People's Republic of China] X. Li [TUB, Beijing, People's Republic of China] ","Beam Optimization and Measurment of CAEP FEL-THz Injector",179 182,
wech2,"S.X. Zheng, C.B. Bi, H.B. Chen, C. Cheng, C.T. Du, T.B. Du, X. Guan, Q.K. Guo, W.-H. Huang, G.R. Li, P.F. Ma, K.D. Man, C.-X. Tang, R. Tang, D. Wang, W. Wang, X.W. Wang, Q.Z. Xing, Y. Yang, H.J. Yao, H.J. Zeng, H.Y. Zhang, Q. Zhang [TUB, Beijing, People's Republic of China] W. Chen [NINT, Xi'an, People's Republic of China] Y.M. Fu, M.T. Qiu, E.Y. Qu, B.C. Wang, D. Wang, M.C. Wang, Y.P. Wang, Z.M. Wang, C.Y. Wei, Y.H. Yan, H.Z. Zhang, C. Zhao, W.L. Liu [State Key Laboratory of Intense Pulsed Radiation Simulation and Effect, Northwest Institute of Nuclear Technology, Shannxi, People's Republic of China] W.Q. Guan, Y. He, J. Li [NUCTECH, Beijing, People's Republic of China] ","Overall Design and Progress of XiPAF Project",183 185,
