FRJI06,"Yu.I. Golubenko, N.K. Kuksanov, P.I. Nemytov, R.A. Salimov, S.N. Fadeev, M.E. Veis, V.V. Prudnikov","DC HIGH POWER ELV ACCELERATORS FOR INDUSTRIAL AND RESEARCH APPLICATION",
TUAO04,"Yu.M. Arkatov, A.V. Glamazdin, A.N. Dovbnya, I.S. Guk, S.G. Kononenko, F.A. Peev, A.S. Tarasenko, M. van der Wiel, J.I. Botman"," THE “SALO” PROJECT",
TUCI01,"R.Garoby, K.Hanke, A.Lombardi, C.Rossi, M.Vretenar,  F. Gerigk","LINAC4, A NEW H- LINEAR INJECTOR AT CERN ",
TUCO02,"N.N. Alexeev, G.N. Akimov, P.N. Alekseev, V.N.Balanutsa, A.M.Bertjaev, S.V. Gaponenko, Ju.M. Gorjachev, A.S. Juravlev, V.P. Zavodov, P.R. Zenkevich, A.V. Kirillov, D.G. Koshkarev, A.D. Milijachenko, G.A. Nikitin, V.I. Nikolaev, B.S.Okorokov, V.G. Samsono","EXPERIMENTS WITH CARBON IONS ACCUMULATION IN THE ITEP-TWAC STORAGE RING",
TUCO03,"Yu.S. Fedotov, A.G. Afonin, Yu.G. Karshev, V.V. Lapin, A.V. Maximov, A.V. Minchenko, I.I. Sulygin, V.I. Terekhov, E.F. Trojanov","SLOW EXTRACTION SYSTEM FROM IHEP ACCELERATOR U-70 STATUS AND DEVELOPMENT",
TUCO04,"V.G.Kurakin, V.M.Alekseev, V.P.Busygin, A.V.Koltsov, P.V.Kurakin"," LEBEDEV PHYSICAL INSTITUTE RACETRACK MICROTRON UPGRADE",
TUDP01,"V. Leonov, V. Ushkov","MEASUREMENT OF SIBERIA-1 BEAM LIFETIME BY THE DECAY RATE PLOT METHOD",
TUDP02,"A.N. Matveenko, O.A. Shevchenko, N.A. Vinokurov"," ISOCHRONOUS BEND FOR HIGH GAIN RING FEL",
TUDP03,"A. Opanasenko","WAKEFIELD UNDULATOR FOR GENERATING X-RAYS",
TUDP04,"E.I. Zagorodnikov, V.N. Korchuganov, E.N. Kokin, Yu.G. Matveev, N.V. Matyash, A.S. Medvedko,V.V. Repkov, G.N. Ostreiko, S.I. Ruvinsky, G.V. Serdobintsev, S.V. Sinyatkin, A.G. Steshov, S.V. Tararyshkin, V.A. Ushakov, A.V. Filiptchenko, K.N. Chernov, I.N. ","COMISSIONING OF THE LINEAR ACCELERATOR-INJECTOR OF TNK FACILITY",
TUDP05,"K.N. Chernov, I.G. Makarov, N.V. Matyash, R.I. Melekhova, G.N. Ostreiko, B.Z. Persov, S.I. Ruvinsky, G.V. Serdobintsev","WAVEGUIDE CHANNEL FOR TNK LINEAR ACCELERATOR – INJECTOR",
TUDP06,"O.A. Shevchenko, A.V. Kuzmin, N.A. Vinokurov"," NUMERICAL MODELING OF THE NOVOSIBIRSK TERAHERTZ FEL AND COMPARISON WITH EXPERIMENTAL RESULTS",
TUDP07,"A. Valentinov, I. Krylov, I. Yupinov","COD MEASURING AND CORRECTION AT SIBERIA-2",
TUDP08,"A. Valentinov, L. Ioudin, I. Krylov, V. Rezvov, I. Yupinov","LOCAL FEEDBACK SYSTEM TO CORRECT SYNCHROTRON RADIATION BEAM POSITION AT SIBERIA-2 STORAGE RING",
TUGO02,"E.Goryunov, A.Dolgov, S.Zhytomirsky, E.Isserlin, O. Kildisheva, V.Levashov, М.Lyutov, V.Maslov, А.Petrov, E.Petrov, V.Rautian,","HIGH-FREQUENCY POWER GENERATORS FOR ACCELERATORS",
TUGO03,"B. Yu. Bogdanovich, V.I. Kaminsky, M.V. Lalayan, N.P. Sobenin, D.A. Zavadtsev, M. Ebert","MICROWAVE FEEDING SYSTEM DEVICES OF LINEAR COLLIDER",
