fra3o01,"M. Marquarding [CASS, Epping, Australia] ","Past, Present and Future of the ASKAP Monitoring and Control System",1162 1164,
wepgf070,"C.H. Wang, L.F. Li [IHEP, Beijing, People's Republic of China] ","A New Data Acquiring and Query System with Oracle and EPICS in the BEPCII",865 868,
wepgf071,"N. Xiong, N. Hauser, D. Mannicke [ANSTO, Menai, New South Wales, Australia] ","Python Scripting for Instrument Control and Online Data Treatment",869 872,
wepgf072,"Y.B. Yan, Z.C. Chen, L.W. Lai, Y.B. Leng [SINAP, Shanghai, People's Republic of China] ","Parameters Tracking and Fault Diagnosis base on NoSQL Database at SSRF",873 875,
wepgf074,"L. Butkowski (Ł. Butkowski), T. Kozak, B.Y. Yang [DESY, Hamburg, Germany] P. Predki (P. Prędki) [TUL-DMCS, Lodz, Poland] R. Rybaniec [Warsaw University of Technology, Institute of Electronic Systems, Warsaw, Poland] ","FPGA Firmware Framework for MTCA.4 AMC Modules",876 880,
wepgf080,"R.A. Kadyrov, J.H. De Long, K. Ha, S. So, E. Stavitski [BNL, Upton, Long Island, New York, USA] ","Encoder Interface for NSLS-II Beam Line Motion Scanning Applications",881 884,
wepgf081,"O. Matilla, J.A. Avila-Abellan, M. Broseta, G. Cuni (G. Cuní), D. Fernandez-Carreiras (D. Fernández-Carreiras), A. Ruz, J. Salabert, X. Serra-Gallifa [ALBA-CELLS Synchrotron, Cerdanyola del Vallès, Spain] ","Em# Platform: Towards a Hardware Interface Standardization Scheme",885 888,
wepgf083,"P. Mutti, M. Plaz, E. Ruiz-Martinez, P. Van Esch [ILL, Grenoble, France] M. Crisanti [Università degli di Perugia, Perugia, Italy] ","Single Neutron Counting Using CCD and CMOS Cameras",889 892,
wepgf084,"P. Mutti, M. Plaz, E. Ruiz-Martinez, P. Van Esch [ILL, Grenoble, France] ","New Digitisers for Position Sensitive 3He Proportional Counters",893 896,
wepgf085,"T.T. Nakamura, A. Akiyama, M. Iwasaki, H. Kaji, J.-I. Odagiri, S. Sasaki [KEK, Ibaraki, Japan] T. Aoyama, T. Nakamura, K. Yoshii [Mitsubishi Electric System  Service Co., Ltd, Tsukuba, Japan] N. Yoshifuji [EJIT, Hitachi, Ibaraki, Japan] ","The Construction of the SuperKEKB Magnet Control System",897 900,
wepgf089,"I.S. Uzun, M.G. Abbott [DLS, Oxfordshire, United Kingdom] ","CERN Open Hardware Experience: Upgrading the Diamond Fast Archiver",901 904,
wepgf090,"T. Xue, G.H. Gong, H. Li, J.M. Li [Tsinghua University, Beijing, People's Republic of China] ","Design of EPICS IOC Based on RAIN1000Z1 ZYNQ Module",905 906,
wepgf091,"D. Darvas, E. Blanco Vinuela [CERN, Geneva, Switzerland] I. Majzik [BUTE, Budapest, Hungary] ","A Formal Specification Method for PLC-based Applications",907 910,
wepgf092,"D. Darvas, E. Blanco Vinuela, B. Fernandez Adiego (B. Fernández Adiego) [CERN, Geneva, Switzerland] ","PLCverif: A Tool to Verify PLC Programs Based on Model Checking Techniques",911 914,
wepgf093,"D. Bolkhovityanov, P.B. Cheblakov, F.A. Emanov [BINP SB RAS, Novosibirsk, Russia] ","CXv4, a Modular Control System",915 918,
wepgf094,"W. Booth, R. Barillere (R. Barillère), M. Bes, E. Blanco Vinuela, B. Bradu, M. Quilichini, M.Z. Zimny [CERN, Geneva, Switzerland] ","A Modular Approach to Develop Standardized HVAC Control Systems with UNICOS CPC Framework",919 922,
wepgf095,"P.B. Cheblakov, S.E. Karnaev, O.A. Khudayberdieva [BINP SB RAS, Novosibirsk, Russia] ","Application of PyCDB for K-500 Beam Transfer Line",923 925,
wepgf096,"J.S. Diamond, K.S. Martin [Fermilab, Batavia, Illinois, USA] ","Managing a Real-time Embedded Linux Platform with Buildroot",926 929,
wepgf097,"M. Di Carlo, M. Dolci [INAF - OA Teramo, Teramo, Italy] R. Smareglia [INAF-OAT, Trieste, Italy] P.S. Swart, G.M. le Roux [SKA South Africa, National Research Foundation of South Africa, Cape Town, South Africa] ","Local Monitoring and Control System for the SKA Telescope Manager: A Knowledge-Based System Approach for Issues Identification Within a Logging Service",930 933,
wepgf100,"T.J. Farrell, K. Shortridge [AAO, North Ryde, Australia] ","DRAMA 2 - An Evolutionary Leap for the DRAMA Environment for Instrumentation Software Development",934 937,
wepgf101,"M. Hager, M. Regodic [EBG MedAustron, Wr. Neustadt, Austria] ","A Modular Software Architecture for Applications that Support Accelerator Commissioning at MedAustron",938 941,
wepgf102,"F. Hoguin, S. Deghaye [CERN, Geneva, Switzerland] ","Solving the Synchronization Problem in Multi-Core Embedded Real-Time Systems",942 946,
wepgf105,"K.-U. Kasemir, G.S. Guyotte, M.R. Pearson [ORNL, Oak Ridge, Tennessee, USA] ","EPICS V4 Evaluation for SNS Neutron Data",947 949,
wepgf106,"Q. King, K.T. Lebioda, M. Magrans de Abril, M. Martino, R. Murillo-Garcia [CERN, Geneva, Switzerland] A. Nicoletti [EPFL, Lausanne, Switzerland] ","CCLIBS: The CERN Power Converter Control Libraries",950 953,
wepgf107,"T. Matsumoto, Y. Furukawa, K. Okada [JASRI/SPring-8, Hyogo-ken, Japan] ","Multi-Host Message Routing in MADOCA II",954 957,
wepgf112,"L. Pivetta, A.I. Bogani, R. Passuello [Elettra-Sincrotrone Trieste S.C.p.A., Basovizza, Italy] ","Flop: Customizing Yocto Project for MVMExxxx PowerPC and BeagleBone ARM",958 961,
wepgf113,"G. Shen, Z.Q. He, M. Ikegami, D. Liu, D.G. Maxwell, V. Vuppala [FRIB, East Lansing, Michigan, USA] E.T. Berryman [NSCL, East Lansing, Michigan, USA] ","Physics Application Infrastructure Design for FRIB Driver Linac",962 965,
wepgf115,"H. J. Choi, K.H. Gil, H.-S. Kang, S.H. Kim, K.W. Seo, Y.J. Suh [PAL, Pohang, Kyungbuk, Republic of Korea] ","LabVIEW EPICS Program for Measuring BINP HLS of PAL-XFEL",966 969,
wepgf116,"S. Veseli [ANL, Argonne, Ilinois, USA] ","PvaPy: Python API for EPICS PV Access",970 973,
wepgf117,"K. Xuan, C. Li, J.Y. Li, W. Li, G. Liu, J.G. Wang, L. Wang [USTC/NSRL, Hefei, Anhui, People's Republic of China] ","High Level Applications for HLS-II",974 976,
wepgf118,"C.C.A. de Villiers, B. Xaia [SKA South Africa, National Research Foundation of South Africa, Cape Town, South Africa] ","Use of Tornado in KAT-­7 and MeerKAT Framework",977 979,
wepgf119,"J.N. Bai [IAP, Frankfurt am Main, Germany] R. Baer (R. Bär), D. Beck, O.K. Kester, D. Ondreka, C. Prados, W.W. Terpstra [GSI, Darmstadt, Germany] T. Ferrand [TEMF, TU Darmstadt, Darmstadt, Germany] ","Bunch to Bucket Transfer System for FAIR",980 983,
wepgf120,"J.J. Jamroz (J.J. Jamróz), J. Forsberg, V.H. Hardion, V. Martos, D.P. Spruce [MAX-lab, Lund, Sweden] ","Timing System at MAX IV - Status and Development",984 987,
wepgf121,"N. Kamikubota, N. Yamamoto [J-PARC, KEK  JAEA, Ibaraki-ken, Japan] N. Kikuzawa, F. Tamura [JAEA/J-PARC, Tokai-mura, Japan] ","Operation Status of J-PARC Timing System and Future Plan",988 991,
wepgf122,"K.H. Kim, S. Allison, T. Straumann, E. Williams [SLAC, Menlo Park, California, USA] ","Real-Time Performance Improvements and Consideration of Parallel Processing for Beam Synchronous Acquisition (BSA)",992 994,
wepgf124,"S. Lee, H. Jang, C.W. Son [IBS, Daejeon, Republic of Korea] ","Application Using Timing System of RAON Accelerator",995 998,
wepgf126,"H. Li, G.H. Gong [Tsinghua University, Beijing, People's Republic of China] Q. Du [LBNL, Berkeley, California, USA] ","Prototype of White Rabbit Network in LHAASO",999 1002,
wepgf127,"C. Chanavat, M. Arruat, E. Carlier, N. Magnin [CERN, Geneva, Switzerland] ","A Generic Timing Software for Fast Pulsed Magnet Systems at CERN",1003 1006,
wepgf128,"J.L.N. Brito, S.R. Marques, L.A. Martins, D.O. Tavares [LNLS, Campinas, Brazil] ","Development Status of the Sirius Timing System",1007 1010,
wepgf129,"A. Rijllart, O.O. Andreassen (O.Ø. Andreassen), J. Blanco Alonso [CERN, Geneva, Switzerland] ","CERN timing on PXI and cRIO platforms",1011 1012,
wepgf132,"J.T.M. Chrin [PSI, Villigen PSI, Switzerland] ","An Update on CAFE, a C++ Channel Access Client Library, and its Scripting Language Extensions",1013 1016,
wepgf133,"P. Duval, M. Lomperski [DESY, Hamburg, Germany] J. Bobnar [Cosylab, Ljubljana, Slovenia] ","TINE Studio, Making Life Easy for Administrators, Operators and Developers",1017 1020,
wepgf134,"K.A. Brown, P. Chitnis, T. D'Ottavio, J. Morris, S. Nemesure, S. Perez, D.J. Thomas [BNL, Upton, Long Island, New York, USA] ","Applying Sophisticated Analytics to Accelerator Data at BNLs Collider-Accelerator Complex: Bridging to Repositories, Tools of Choice, and Applications",1021 1024,
wepgf135,"K.A. Brown, T. D'Ottavio, W. Fu, S. Nemesure [BNL, Upton, Long Island, New York, USA] ","Using the Vaadin Web Framework for Developing Rich Accelerator Controls User Interfaces",1025 1028,
wepgf136,"J. Fujita, M.G. Cherney [Creighton University, Omaha, NE, USA] ","Development of iBeacon Based Equipment Inventory System at STAR Experiment",1029 1031,
wepgf137,"M.J. Furseman, N.W. Battam, T.M. Cobb, I.J. Gillingham, M.T. Heron, G. Knap, W.A.H. Rogers [DLS, Oxfordshire, United Kingdom] ","Adopting and Adapting Control System Studio at Diamond Light Source",1032 1035,
wepgf141,"R. Martini, M. Bräger, J.L. Salmon, A. Suwalska [CERN, Geneva, Switzerland] ","Tools and Procedures for High Quality Technical Infrastructure Monitoring Reference Data at CERN",1036 1039,
wepgf142,"S.M. Meykopff [DESY, Hamburg, Germany] ","Advanced Matlab GUI Development with the DataGUI Library",1040 1043,
wepgf145,"V. Juvan, I. Dolin¿ek, T. Humar, M. Pavleski [Cosylab, Ljubljana, Slovenia] P.P. Goryl [Solaris, Krakow, Poland] ","A Structured Approach to Control System GUI Design for the Solaris Light Source",1044 1046,
wepgf146,"F. Amand, M. Pavleski, M. Plesko (M. Pleško) [Cosylab, Ljubljana, Slovenia] L. Fernandez [ESS, Lund, Sweden] ","GUI Style Guide for Control System Applications at ESS",1047 1048,
wepgf147,"O. Pinazza [INFN-Bologna, Bologna, Italy] A. Augustinus, P.M. Bond, P.Ch. Chochula, M. Lechman, J. Niedziela [CERN, Geneva, Switzerland] A.N. Kurepin [RAS/INR, Moscow, Russia] ","ALICE Monitoring in 3-D",1049 1051,
wepgf148,"S. Rubio-Manrique, G. Cuni (G. Cuní), D. Fernandez-Carreiras (D. Fernández-Carreiras), C. Pascual-Izarra, D. Roldan (D. Roldán) [ALBA-CELLS Synchrotron, Cerdanyola del Vallès, Spain] E. Al-Dmour [MAX-lab, Lund, Sweden] ","Unifying All TANGO Control Services in a Customizable Graphical User Interface",1052 1055,
wepgf150,"E. Sombrowski, R. Kammering, K.R. Rehlich [DESY, Hamburg, Germany] ","A HTML5 Web Interface for JAVA DOOCS Data Display",1056 1058,
wepgf152,"G. Strangolino, M. Lonza, L. Pivetta [Elettra-Sincrotrone Trieste S.C.p.A., Basovizza, Italy] ","Time Travel Made Possible at FERMI by the Time-Machine Application",1059 1062,
wepgf153,"M. Teichmann, B.C. Heisen, K. Weger, J. Wiggins [XFEL.EU, Hamburg, Germany] ","Karabo-GUI: A Multi-Purpose Graphical Front-End for the Karabo Framework",1063 1065,
wepgf154,"E. Tikhomolov [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","Visualization of Interlocks with EPICS Database and EDM Embedded Windows",1066 1069,
wepgf155,"P. Charrue, M. Buttner, F. Ehm, P. Jurcso [CERN, Geneva, Switzerland] ","Improving Software Services Through Diagnostic and Monitoring Capabilities",1070 1072,
