fra3o01,"M. Marquarding [CASS, Epping, Australia] ","Past, Present and Future of the ASKAP Monitoring and Control System",1162 1164,
mopgf155,"J.P. Jamilkowski, Z. Altinbas, M.R. Costanzo, T. D'Ottavio, X. Gu, M. Harvey, P. K. Kankiya, R.J. Michnoff, T.A. Miller, S. Nemesure, T.C. Shrey [BNL, Upton, Long Island, New York, USA] ","Design and Status for the Electron Lens Project at the Relativistic Heavy Ion Collider",453 455,
mopgf158,"J.P.S. Martins, M. Bacchetti, E.P. Coelho, R.F. Curcio, J.G.R.S. Franco, R.P. Lisboa, P.H. Nallin, A.R.D. Rodrigues, L.D.S. Sachinelli, M. E. Silva [LNLS, Campinas, Brazil] ","Sirius Control System: Design, Implementation Strategy and Measured Performance",456 459,
mopgf160,"R.B. Nussbaumer, D. Dale, K. Ezawa, K. Fong, H. Hui, R. Iranmanesh, J. Kavarskas, D.B. Morris, J.J. Pon, S. Rapaz, J.E. Richards, M. Rowe, T.M. Tateyama, E. Tikhomolov, G. Waters, P.J. Yogendran [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","ARIEL Control System at TRIUMF - Status Update",460 463,
mopgf161,"M. Pieck, D. Baros, E. Bjorklund (E. Björklund), J.A. Faucett, J.G. Gioia, J.O. Hill, P.S. Marroquin, J.D. Paul, J.D. Sedillo, F.E. Shelley, H.A. Watkins [LANL, Los Alamos, New Mexico, USA] ","LANSCE Control System Upgrade Status and Challenges",464 467,
mopgf162,"M. Pieck, R.W. Garnett, F.E. Shelley, B.G. Smith [LANL, Los Alamos, New Mexico, USA] ","MaRIE - Instrumentation & Control System Design Status and Options",468 471,
mopgf163,"S. Riggi, U. Becciani, A. Costa, A. Ingallinera, F. Schillirò, C. Trigilio [INAF-OACT, Catania, Italy] V. Baldini, R. Cirami, A. Marassi [INAF-OAT, Trieste, Italy] G. Nicotra, C. Nocita [INAF IRA, Bologna, Italy] ","Status of the Local Monitor and Control System of SKA Dishes",472 475,
mopgf164,"M. Ritzert [Heidelberg University, Heidelberg, Germany] ","Status of the EPICS-Based Control and Interlock System of the Belle II PXD",476 479,
mopgf171,"M. Pezzetti [CERN, Geneva, Switzerland] P. Arpaia [Naples University Federico II, Science and Technology Pole, Napoli, Italy] M. Girone [U. Sannio, Benevento, Italy] M. Hubatka [MECOS AG, Winterthur, Switzerland] ","Active Magnetic Bearings System Upgrade for LHC Cryogenic Cold Compressor, Radiations Mitigation Project (R2E)",480 484,
mopgf172,"Z. Reszela, G. Cuni (G. Cuní), C.M. Falcón Torres, D. Fernandez-Carreiras (D. Fernández-Carreiras), G. Jover-Mañas, C. Pascual-Izarra, R. Pastor Ortiz, M. Rosanes Siscart, S. Rubio-Manrique [ALBA-CELLS Synchrotron, Cerdanyola del Vallès, Spain] ","Bringing Quality in the Controls Software Delivery Process",485 489,
mopgf174,"F. Scarlat, A.M. Scarisoreanu [INFLPR, Bucharest - Magurele, Romania] Fl. Scarlat [Bit Solutions, Bucharest, Romania] N. Verga [Univerity of Medicine and Pharmacy ¿Carol Davila¿, Bucharest, Romania] ","Laser-driven Hadron Therapy Project",490 493,
mopgf175,"S. Gayadeen, M.T. Heron, G. Rehm [DLS, Oxfordshire, United Kingdom] ","A Unified Approach to the Design of Orbit Feedback with Fast and Slow Correctors",494 497,
mopgf176,"M.T. Heron, A.J. Rose [DLS, Oxfordshire, United Kingdom] ","Control System Challenges from an Upgrade to the Diamond Light Source Storage Ring",498 501,
mopgf177,"S. Gayadeen, M.T. Heron, G. Rehm [DLS, Oxfordshire, United Kingdom] ","Robust Stability Analysis of Orbit Feedback Controllers",502 505,
mopgf178,"S. Gayadeen, M.T. Heron, G. Rehm [DLS, Oxfordshire, United Kingdom] ","Uncertainty Modelling of Response Matrix",506 509,
mopgf179,"P.P. Goryl, C.J. Bocchetta, P. Bulira, A.I. Wawrzyniak, K. Wawrzyniak, L. Zytniak (Ł. Żytniak) [Solaris, Krakow, Poland] V.H. Hardion, J.J. Jamroz (J.J. Jamróz), J. Lidon-Simon (J. Lidón-Simon), M. Lindberg, A.G. Persson, D.P. Spruce [MAX-lab, Lund, Sweden] M.J. Stankiewicz [Solaris National Synchrotron Radiation Centre, Jagiellonian University, Krakow, Poland] T. Szymocha [Cyfronet, Kraków, Poland] ","Status of the Solaris Control System - Collaborations and Technology",510 512,
thha2i01,"T. Wlostowski (T. Włostowski), J. Serrano [CERN, Geneva, Switzerland] F. Vaga [University of Pavia, Pavia, Italy] ","Developing Distributed Hard-Real Time Software Systems Using FPGAs and Soft Cores",1073 1078,
thha2o02,"J.O. Hill [LANL, Los Alamos, New Mexico, USA] ","The LASNCE FPGA Embedded Signal Processing Framework",1079 1082,
thha2o03,"W.W. Terpstra, M. Kreider [GSI, Darmstadt, Germany] ","Message Signalled Interrupts in Mixed-Master Control",1083 1086,
thha3o01,"P.Ch. Chochula, A. Augustinus, P.M. Bond, A.N. Kurepin, M. Lechman, O. Pinazza [CERN, Geneva, Switzerland] A.N. Kurepin [RAS/INR, Moscow, Russia] O. Pinazza [INFN-Bologna, Bologna, Italy] ","The Evolution of the ALICE Detector Control System",1087 1090,
thha3o02,"A.F. Balzer, E. Schierle, E. Suljoti, M. Witt [HZB, Berlin, Germany] R. Follath [Elettra-Sincrotrone Trieste S.C.p.A., Basovizza, Italy] ","Status of the Continuous Mode Scan for Undulator Beamlines at BESSY II",1091 1095,
thha3o03,"M.R. Vigder, M.L. Cusick, D. Dean [CNL, Ontario, Canada] ","Managing Neutron Beam Scans at the Canadian Neutron Beam Centre",1096 1098,
thhb2o01,"R.J. Michnoff, P. Cerniglia, M.R. Costanzo, R.L. Hulsart, J.P. Jamilkowski, W.E. Pekrul, Z. Sorrell, C. Theisen [BNL, Upton, Long Island, New York, USA] ","Preliminary Design of a Real-Time Hardware Architecture for eRHIC",1099 1102,
thhb2o02,"A. Boccardi, M. Barros Marin, T.E. Levens, B. Szuk, W. Vigano (W. Viganò), C. Zamantzas [CERN, Geneva, Switzerland] ","A Modular Approach to Acquisition Systems for Future CERN Beam Instrumentation Developments",1103 1106,
thhb2o03,"G.H. Gong, H. Li, T. Xue [Tsinghua University, Beijing, People's Republic of China] H. Gong [TUB, Beijing, People's Republic of China] ","The Global Trigger with Online Vertex Fitting for Low Energy Neutrino Research",1107 1110,
thhb3o01,"R.D. Walton, A. Ashton, M. Basham, P. C. Y. Chang, T.M. Cobb, A.J. Dent, J. Filik, M.W. Gerring, C. Mita, C.M. Palmer, U.K. Pedersen, P.D. Quinn, N.P. Rees, S. da Graca [DLS, Oxfordshire, United Kingdom] ","Mapping Developments at Diamond",1111 1114,
thhb3o02,"P. Mutti, F. Cecillon, C. Cocho, A. Elaazzouzi, Y. Le Goc, J. Locatelli, H. Ortiz [ILL, Grenoble, France] ","Real-Time Data Reduction Integrated into Instrument Control Software",1115 1118,
thhb3o03,"G.B.Z.L. Moreno, R. Bongers, M.B. Cardoso, F.P. O'Dowd, H.H. Slepicka [LNLS, Campinas, Brazil] ","On-the-Fly Scans for Fast Tomography at LNLS Imaging Beamline",1119 1122,
thhc2o01,"K. Furukawa, N. Iida, T. Kamitani, S. Kazama, T. Miura, F. Miyahara, Y. Ohnishi, M. Satoh, T. Suwada, K. Yokoyama [KEK, Ibaraki, Japan] ","Beam Property Management at KEK Electron/Positron 7-GeV Injector Linac",1123 1126,
thhc2o02,"S. Veseli, N.D. Arnold, J. Carwardine, G. Decker, D.P. Jarosz, N. Schwarz [ANL, Argonne, Ilinois, USA] ","Component Database for APS Upgrade",1127 1130,
thhc2o03,"E. Bjorklund (E. Björklund) [LANL, Los Alamos, New Mexico, USA] ","Replacing the Engine in Your Car While You Are Still Driving It",1131 1133,
thhc3o01,"M. Alberts, F. Joubert [SKA South Africa, National Research Foundation of South Africa, Cape Town, South Africa] ","The MeerKAT Graphical User Interface Technology Stack",1134 1137,
thhc3o03,"C. Pascual-Izarra, G. Cuni (G. Cuní), C.M. Falcón Torres, D. Fernandez-Carreiras (D. Fernández-Carreiras), Z. Reszela, M. Rosanes Siscart [ALBA-CELLS Synchrotron, Cerdanyola del Vallès, Spain] T.M. Coutinho [ESRF, Grenoble, France] ","Effortless Creation of Control & Data Acquisition Graphical User Interfaces with Taurus",1138 1142,
thhc3o05,"A.D. Casey, E.J. Bond, B.A. Conrad, M.S. Hutton, P.D. Reisdorf, S.M. Reisdorf [LLNL, Livermore, California, USA] ","National Ignition Facility (NIF) Experiment Interface Consolidation and Simplification to Support Operational User Facility",1143 1146,
thhd3o01,"Z. He, W. Cui, Y. Luo, X. Ting, H.S. Xu, L. Yang, X. Zhang, Q. Zhao [IMP/CAS, Lanzhou, People's Republic of China] ","Control Systems for Spallation Target in China Initiative Accelerator Driven System",1147 1150,
thhd3o05,"B. Copy, H. Milcent, M.Z. Zimny [CERN, Geneva, Switzerland] ","Standards-Based Open-Source PLC Diagnostics Monitoring",1151 1154,
thhd3o06,"M.J. Slabber [SKA South Africa, National Research Foundation of South Africa, Cape Town, South Africa] ","Overview of the Monitoring Data Archive used on MeerKAT",1155 1157,
thhd3o08,"A. Bland, S.T. Page [CERN, Geneva, Switzerland] ","Upgrades to the Infrastructure and Management of the Operator Workstations and Servers for Run 2 of the CERN Accelerator Complex",1158 1161,
tua3o01,"F. Glege, A. Andronidis, O. Chaze, C. Deldicque, M. Dobson, A.D. Dupont, D. Gigi, J. Hegeman, O. Holme, M. Janulis, R.J. Jiménez Estupiñán, L. Masetti, F. Meijers, E. Meschi, S. Morovic, C. Nunez-Barranco-Fernandez, L. Orsini, A. Petrucci, A. Racz, P. Roberts, H. Sakulin, C. Schwick, B. Stieger, S. Zaza, P. Zejdl [CERN, Geneva, Switzerland] J.M. Andre, R.K. Mommsen, V. O'Dell [Fermilab, Batavia, Illinois, USA] U. Behrens [DESY, Hamburg, Germany] J. Branson, S. Cittolin, A. Holzner, M. Pieri [UCSD, La Jolla, California, USA] G.L. Darlea, G. Gomez-Ceballos, C. Paus, J. Veverka [MIT, Cambridge, Massachusetts, USA] S. Erhan [UCLA, Los Angeles, California, USA] ","Detector Controls Meets JEE on the Web",513 516,
tua3o04,"K.-U. Kasemir, M.R. Pearson [ORNL, Oak Ridge, Tennessee, USA] ","CS-Studio Scan System Parallelization",517 520,
tub3o01,"D. Mannicke, N. Hauser, N. Xiong [ANSTO, Menai, New South Wales, Australia] ","Advanced Workflow for Experimental Control",521 523,
tub3o02,"Z. Reszela, G. Cuni (G. Cuní), C.M. Falcón Torres, D. Fernandez-Carreiras (D. Fernández-Carreiras), C. Pascual-Izarra, M. Rosanes Siscart [ALBA-CELLS Synchrotron, Cerdanyola del Vallès, Spain] ","Iterative Development of the Generic Continuous Scans in Sardana",524 528,
tub3o03,"T. Gahl, R.J. Hall-Wilton, O. Kirstein, T. Korhonen, T.S. Richter, A. Sandström, I. Sutton, J.W. Taylor [ESS, Lund, Sweden] ","The Modular Control Concept of the Neutron Scattering Experiments at the European Spallation Source ESS",529 532,
tub3o04,"Y. Tranquille-Marques, J. Fleury, H. Graillot, J. Nicoloso [CEA, LE BARP cedex, France] S. Bailleux, N. Chapron [AREVA TA Site LMJ CEA /CESTA, LE BARP cedex, France] J. Gende [ALTEN CEA /CESTA, Merignac, France] ","The LMJ System Sequences Adaptability (French MegaJoule Laser)",533 536,
tuc3i01,"R. Schmidt [CERN, Geneva, Switzerland] ","Machine Protection and Interlock System for Large Research Instruments",537 542,
tuc3o02,"D.P. Jin, Y.L. Zhang, P. Zhu [IHEP, Beijing, People's Republic of China] ","Design, Implementation and Setup of the Fast Protection System for CSNS",543 544,
tuc3o03,"A. Nordt, R. Andersson, T. Korhonen, A. Monera Martinez, M. Zaera-Sanz [ESS, Lund, Sweden] A. Apollonio, R. Schmidt [CERN, Geneva, Switzerland] C. Hilbes [ZHAW, Winterthur, Switzerland] ","Development and Realisation of the ESS Machine Protection Concept",545 548,
tuc3o04,"P. Fernandez Carmona, M. Eichin, M. Grossmann, E. Johansen, A. Mayor, H.A. Regele [PSI, Villigen PSI, Switzerland] ","Reusable Patient Safety System Framework for the Proton Therapy Centre at PSI",549 553,
tuc3o05,"K. Ha, W.X. Cheng, L.R. Dalesio, J.H. De Long, Y. Hu, P. Ilinski, J. Mead, D. Padrazo, S. Seletskiy, O. Singh, R.M. Smith, Y. Tian [BNL, Upton, Long Island, New York, USA] G. Shen [FRIB, East Lansing, Michigan, USA] ","NSLS-II Active Interlock System for Fast Machine Protection",554 557,
tuc3o06,"Y.G. Song, Y.-S. Cho, D.I. Kim, H.S. Kim, H.-J. Kwon, K.T. Seol, S.P. Yun [KAERI, Daejon, Republic of Korea] ","Machine Protection System for the KOMAC 100-MeV Proton Linac",558 560,
tuc3o07,"F. Tao, E. Carrone, J.M. Murphy, K.T. Turner [SLAC, Menlo Park, California, USA] ","Safety Integrity Level (SIL) Verification for SLAC Radiation Safety Systems",561 564,
tud3i01,"S. Perez, T. Caillaud [CEA, Arpajon, France] ","The LMJ Target Diagnostics Control System Architecture",565 569,
tud3o02,"J. Naylon, P. Bakule, M.A. Drouin, B. Himmel, J. Horacek (J. Horáček), M. Horacek (M. Horáček), K. Kasl, T. Mazanec, P. Skoda (P. Škoda) [ELI-BEAMS, Prague, Czech Republic] A. Greer, C. Mayer [OSL, Cambridge, United Kingdom] B. Rus [Czech Republic Academy of Sciences, Institute of Physics, Prague, Czech Republic] ","Extreme Light Infrastructure, Beamlines - Control System Architecture for the L1 Laser",570 573,
tud3o03,"A. Ledeul, G. Segura, R.P.I. Silvola, B. Styczen, D. Vasques Ribeira [CERN, Geneva, Switzerland] ","REMUS: The new CERN Radiation and Environment Monitoring Unified Supervision",574 577,
tud3o04,"R. Kammering, W. Decking, L. Froehlich (L. Fröhlich), O. Hensler, T. Limberg, S.M. Meykopff, K.R. Rehlich, V. Rybnikov, J. Wilgen, T. Wilksen [DESY, Hamburg, Germany] ","The Virtual European XFEL Accelerator",578 580,
tud3o05,"M. Killenberg, M. Hierholzer, Ch. Schmidt [DESY, Hamburg, Germany] S. Marsching [Aquenos GmbH, Baden-Baden, Germany] J. Wychowaniak [TUL-DMCS, Lodz, Poland] ","Integrating Control Applications into Different Control Systems",581 584,
wea3o01,"A. Gotz (A. Götz), J.M. Chaize, T.M. Coutinho, J.L. Pons, E.T. Taurel, P.V. Verdier [ESRF, Grenoble, France] G. Abeille (G. Abeillé) [SOLEIL, Gif-sur-Yvette, France] S. Brockhauser, L.J. Fulop (L.J. Fülöp) [ELI-ALPS, Szeged, Hungary] M.O. Cernaianu [IFIN-HH, Bucharest - Magurele, Romania] I.A. Khokhriakov [HZG, Geesthacht, Germany] R. Smareglia [INAF-OAT, Trieste, Italy] A. Vazquez-Ortero (A. Vázquez-Otero) [ELI-BEAMS, Prague, Czech Republic] ","The TANGO Controls Collaboration in 2015",585 588,
wea3o02,"G.R. White, M.V. Shankar [SLAC, Menlo Park, California, USA] A. Arkilic, L.R. Dalesio, M.A. Davidsaver, M.R. Kraimer, N. Malitsky, B.S. Martins [BNL, Upton, Long Island, New York, USA] S.M. Hartman, K.-U. Kasemir [ORNL, Oak Ridge, Tennessee, USA] D.G. Hickin [DLS, Oxfordshire, United Kingdom] A.N. Johnson, S. Veseli [ANL, Argonne, Ilinois, USA] T. Korhonen [ESS, Lund, Sweden] R. Lange [ITER Organization, St. Paul lez Durance, France] M. Sekoranja [Cosylab, Ljubljana, Slovenia] G. Shen [FRIB, East Lansing, Michigan, USA] ","Recent Advancements and Deployments of EPICS Version 4",589 592,
wea3o03,"P. Patwari, A.S. Banerjee, G. Muralikrishna, S. Roy Chaudhuri [Tata Research Development and Design Centre, Pune, India] ","Towards Building Reusability in Control Systems - a Journey",593 597,
web3o01,"M.W. Gerring, A. Ashton, R.D. Walton [DLS, Oxfordshire, United Kingdom] ","Open Source Contributions and Using OSGi Bundles at Diamond Light Source",598 601,
web3o02,"S. Schlenker, B. Farnham, P.P. Nikiel, C.-V. Soare [CERN, Geneva, Switzerland] D. Abalo Miron [University of Oviedo, Oviedo, Spain] V. Filimonov [PNPI, Gatchina, Leningrad District, Russia] ","quasar - A Generic Framework for Rapid Development of OPC UA Servers",602 605,
web3o03,"M. Gabriel, R. Gorbonosov [CERN, Geneva, Switzerland] ","Disruptor - Using High Performance, Low Latency Technology in the CERN Control System",606 609,
web3o04,"J.T.M. Chrin, M. Aiba, A. Rawat, Z. Wang [PSI, Villigen PSI, Switzerland] ","Accelerator Modelling and Message Logging with ZeroMQ",610 614,
web3o05,"W. Pessemier, G. Deconinck, G. Raskin, P. Saey, H. Van Winckel [KU Leuven, Leuven, Belgium] ","Why Semantics Matter: a Demonstration on Knowledge-Based Control System Design",615 618,
wec3o01,"T. Wlostowski (T. Włostowski), G. Daniluk, M.M. Lipinski, J. Serrano [CERN, Geneva, Switzerland] F. Vaga [University of Pavia, Pavia, Italy] ","Trigger and RF Distribution Using White Rabbit",619 623,
wec3o02,"M. Magrans de Abril, Q. King, R. Murillo-Garcia [CERN, Geneva, Switzerland] ","The Phase-Locked Loop Algorithm of the Function Generation/Controller",624 628,
wec3o04,"H. Kaji, K. Furukawa, M. Iwasaki, T. Kobayashi, F. Miyahara, T.T. Nakamura, M. Satoh, M. Suetake, M. Tobiyama [KEK, Ibaraki, Japan] Y. Iitsuka [EJIT, Hitachi, Ibaraki, Japan] T. Kudou, S. Kusano [Mitsubishi Electric System  Service Co., Ltd, Tsukuba, Japan] M. Liu, C.X. Yin [SINAP, Shanghai, People's Republic of China] ","New Event Timing System for Damping Ring at SuperKEKB",629 632,
wec3o05,"P. Camino, D. Monnier-Bourdin [Greenfield Technology, Massy, France] M.A. Drouin, J. Naylon [ELI-BEAMS, Prague, Czech Republic] C. Haefner, G.W. Johnson, S.J. Telford [LLNL, Livermore, California, USA] B. Rus [Czech Republic Academy of Sciences, Institute of Physics, Prague, Czech Republic] ","Timing System for the HAPLS/L3 ELI Project",633 635,
wec3o06,"P. K. Kankiya, T.A. Miller, B. Sheehy [BNL, Upton, Long Island, New York, USA] ","ERL Time Management System",636 639,
wed3o01,"W.J. Goscinski [Monash University, Faculty of Science, Clayton, Victoria, Australia] K. Bambery, C.J. Hall, A. Maksimenko, S. Panjikar, D. Paterson, C.G. Ryan, M. Tobin [ASCo, Clayton, Victoria, Australia] C.U. Felzmann [SLSA, Clayton, Australia] C. Hines, P. McIntosh [Monash University, Clayton, Australia] D.A. Thompson [CSIRO ATNF, Epping, Australia] ","MASSIVE: an HPC Collaboration to Underpin Synchrotron Science",640 644,
wed3o02,"A. Arkilic, D.B. Allan, D. Chabot, L.R. Dalesio, W.K. Lewis [BNL, Upton, Long Island, New York, USA] ","Databroker: An Interface for NSLS-II Data Management System",645 647,
wed3o03,"A. Yamashita, M. Kago [JASRI/SPring-8, Hyogo-ken, Japan] ","MADOCA II Data Logging System Using NoSQL Database for SPRING-8",648 651,
wed3o04,"L. Pivetta, C. Scafuri, G. Scalamera, G. Strangolino, L. Zambon [Elettra-Sincrotrone Trieste S.C.p.A., Basovizza, Italy] R. Bourtembourg, J.L. Pons, P.V. Verdier [ESRF, Grenoble, France] ","HDB++: A New Archiving System for TANGO",652 655,
wed3o05,"D.S. Willingham [ASCo, Clayton, Victoria, Australia] ","Big Data Analysis and Analytics with MATLAB",656 659,
wem301,"S.A. Hoyle [CASS, Epping, Australia] P.L. Mirtschin [CSIRO ATNF, Epping, Australia] ","Timing Systems for ATNF Telescopes",660 663,
wem303,"C.U. Felzmann, N. Hobbs, A. C. Starritt [SLSA, Clayton, Australia] ","Virtualisation within the Control System Environment at the Australian Synchrotron",664 666,
wem304,"G. Wright, M. Bree [CLS, Saskatoon, Saskatchewan, Canada] ","Status Monitoring of the EPICS Control System at the Canadian Light Source",667 668,
wem305,"T. Matsumoto, Y. Furukawa, Y. Hamada, T. Matsushita [JASRI/SPring-8, Hyogo-ken, Japan] ","LabVIEW Interface for MADOCA II with Key-Value Stores in Messages",669 672,
wem307,"D. Pedretti, D. Bortolato, F. Gelain, M.G. Giacchini, D. Marcato, M. Montis, S. Pavinato, J.A. Vasquez (J.A. Vásquez) [INFN/LNL, Legnaro (PD), Italy] M.A. Bellato, R. Isocrate [INFN- Sez. di Padova, Padova, Italy] ","Custom Hardware Platform Based on Intel Edison Module",673 676,
wem308,"R. Bacher [DESY, Hamburg, Germany] ","A Multi-Modal Human-Machine-Interface for Accelerator Operation and Maintenance Applications",677 680,
wem309,"J. Forsberg, V.H. Hardion, D.P. Spruce [MAX-lab, Lund, Sweden] ","A Graphical Tool for Viewing and Interacting with a Control System",681 684,
wem310,"R. Bourtembourg, J.L. Pons, P.V. Verdier [ESRF, Grenoble, France] ","How Cassandra Improves Performances and Availability of HDB++ Tango Archiving System",685 688,
wepgf001,"V. Baldini, G. Calderone, R. Cirami, I. Coretti, S. Cristiani, P. Di Marcantonio, P. Santin [INAF-OAT, Trieste, Italy] D. Mégevand [Université de Genève, Observatoire Astronomique, Versoix, Switzerland] F. Zerbi [INAF-Osservatorio Astronomico di Brera, Merate, Italy] ","The Instrument Control Electronics of the ESPRESSO Spectrograph @VLT",689 692,
wepgf002,"C.I. Briegel, R. Neswold, M.Z. Sliczniak [Fermilab, Batavia, Illinois, USA] ","A Protocol for Streaming Large Messages with UDP",693 696,
wepgf005,"M. Di Cosmo, B. Todd [CERN, Geneva, Switzerland] ","The New Modular Control System for Power Converters at CERN",697 700,
wepgf006,"L. Froehlich (L. Fröhlich), P.K. Bartkiewicz, M. Walla [DESY, Hamburg, Germany] ","Magnet Server and Control System Database Infrastructure for the European XFEL",701 704,
wepgf010,"P. Golonka [CERN, Geneva, Switzerland] H.T.T. Kamarainen [JAMK, Jyväskylä, Finland] ","Securing Access to Controls Applications with Apache httpd Proxy",705 708,
wepgf011,"Y.H. Guo, Z. He, H.T. Liu, T. Liu, J.B. Luo, J. Wang, Y.P. Wang [IMP/CAS, Lanzhou, People's Republic of China] ","Progress of the Control Systems for the ADS injector II",709 712,
wepgf012,"T. Hakulinen, X.B. Costa Lopez, P. Ninin, P. Oser [CERN, Geneva, Switzerland] ","Information Security Assessment of CERN Access and Safety Systems",713 716,
wepgf013,"L. Masetti, A. Andronidis, O. Chaze, C. Deldicque, M. Dobson, A.D. Dupont, D. Gigi, F. Glege, J. Hegeman, M. Janulis, R.J. Jiménez Estupiñán, F. Meijers, E. Meschi, S. Morovic, C. Nunez-Barranco-Fernandez, L. Orsini, A. Petrucci, A. Racz, P. Roberts, H. Sakulin, C. Schwick, B. Stieger, S. Zaza, P. Zejdl [CERN, Geneva, Switzerland] J.M. Andre, R.K. Mommsen, V. O'Dell, P. Zejdl [Fermilab, Batavia, Illinois, USA] U. Behrens [DESY, Hamburg, Germany] J. Branson, S. Cittolin, A. Holzner, M. Pieri [UCSD, La Jolla, California, USA] G.L. Darlea, G. Gomez-Ceballos, C. Paus, K. Sumorok, J. Veverka [MIT, Cambridge, Massachusetts, USA] S. Erhan [UCLA, Los Angeles, California, USA] O. Holme [ETH, Zurich, Switzerland] ","Increasing Availability by Implementing Software Redundancy in the CMS Detector Control System",717 720,
wepgf014,"M. Ishii, M. Kago [JASRI/SPring-8, Hyogo-ken, Japan] T. Fukui [RIKEN SPring-8 Center, Innovative Light Sources Division, Hyogo, Japan] T. Hasegawa, M. Yoshioka [SES, Hyogo-pref., Japan] T. Inagaki, H. Maesaka, T. Ohshima, Y. Otake [RIKEN SPring-8 Center, Sayo-cho, Sayo-gun, Hyogo, Japan] T. Maruyama [RIKEN/SPring-8, Hyogo, Japan] ","A Data Acquisition System for Abnormal RF Waveform at SACLA",721 724,
wepgf015,"M. Killenberg, M. Heuer, M. Hierholzer, L.P. Petrosyan, Ch. Schmidt, N. Shehzad, G. Varghese, M. Viti [DESY, Hamburg, Germany] T. Kozak, P. Predki (P. Prędki), J. Wychowaniak [TUL-DMCS, Lodz, Poland] S. Marsching [Aquenos GmbH, Baden-Baden, Germany] M. Mehle, T. Susnik (T. Sušnik), K. Zagar (K. Žagar) [Cosylab, Ljubljana, Slovenia] A. Piotrowski [FastLogic Sp. z o.o., Lodz, Poland] ","Drivers and Software for MicroTCA.4",725 728,
wepgf018,"M. Lechman, A. Augustinus, P.M. Bond, P.Ch. Chochula, A.N. Kurepin, O. Pinazza [CERN, Geneva, Switzerland] A.N. Kurepin [RAS/INR, Moscow, Russia] M. Lechman [IP SAS, Bratislava, Slovak Republic] O. Pinazza [INFN-Bologna, Bologna, Italy] ","Service Asset and Configuration Management in ALICE Detector Control System",729 731,
