mopo034,"L. Shi, S. Bettoni, M.M. Dehler, E. Ferrari, B. Hermann, R. Ischebeck, F. Marcellini, S. Reiche, V.G. Thominet [PSI, Villigen PSI, Switzerland] A.K. Mittelbach [Friedrich-Alexander Universitaet Erlangen-Nuernberg, University Erlangen-Nuernberg LFTE, Erlangen, Germany] ","Dielectric Waveguide-Based THz Radiator Study for SwissFEL",94 97,
mopo035,"D. Angal-Kalinin, A.D. Brynes, S.R. Buckley, P.A. Corlett, L.S. Cowie, K.D. Dumbell, D.J. Dunning, P.C. Hornickel, F. Jackson, J.K. Jones, J.W. McKenzie, B.L. Militsyn, A.J. Moss, T.C.Q. Noakes, M.D. Roper, D.J. Scott, B.J.A. Shepherd, E.W. Snedden, N. Thompson, C. Tollervey, D.A. Walsh, T.M. Weston, A.E. Wheelhouse [STFC/DL/ASTeC, Daresbury, Warrington, Cheshire, United Kingdom] R.J. Cash, R.F. Clarke, G. Cox, C. Hodgkinson, R.J. Smith, J.T.G. Wilson [STFC/DL, Daresbury, Warrington, Cheshire, United Kingdom] K.D. Dumbell, B.J.A. Shepherd [Cockcroft Institute, Warrington, Cheshire, United Kingdom] ","Status of CLARA Front End Commissioning",98 101,
mopo036,"V. Vogel (Fogel), L. Butkowski (Ł. Butkowski), A. Cherepenko, S. Choroba, J. Hartung [DESY, Hamburg, Germany] ","Status of the 10 MW MBKs during Commissioning of the European XFEL in DESY",102 104,
mopo037,"E. Vogel, S. Barbanotti, I. Hartl, K. Jensch, D. Klinke, D. Kostin, W.-D. Moeller (W.-D. Möller), M. Schmoekel (M. Schmökel), J.K. Sekutowicz, S. Sievers, N. Steinhau-Kuehl (N. Steinhau-Kühl), A.A. Sulimov, J.H. Thie, H. Weise, L. Winkelmann, B. van der Horst [DESY, Hamburg, Germany] J.A. Lorkiewicz, R. Nietubyc (R. Nietubyć) [NCBJ, Swierk/Otwock, Poland] J. Smedley [BNL, Upton, Long Island, New York, USA] J. Teichert [HZDR, Dresden, Germany] M. Wiencek [IFJ-PAN, Kraków, Poland] ","SRF Gun Development at DESY",105 108,
mopo038,"J. Branlard, V. Ayvazyan, L. Butkowski (Ł. Butkowski), M.K. Grecki, M. Hierholzer, M.G. Hoffmann, M. Hoffmann, M. Killenberg, D. Kostin, T. Lamb, L. Lilje, U. Mavric (U. Mavrič), M. Omet, S. Pfeiffer, R. Rybaniec, H. Schlarb, Ch. Schmidt, N. Shehzad, V. Vogel, N. Walker [DESY, Hamburg, Germany] ","RF Operation Experience at the European XFEL",109 111,
mopo039,"S. Pfeiffer, J. Branlard, L. Butkowski (Ł. Butkowski), M. Hierholzer, M. Hoffmann, K. Honkavaara, H. Schlarb, Ch. Schmidt, S. Schreiber, M. Vogt, J. Zemella [DESY, Hamburg, Germany] M. Fakhari [CFEL, Hamburg, Germany] ","Status Update of the Fast Energy Corrector Cavity at FLASH",112 114,
mopo040,"J.H. Ko, I.S. Ko [POSTECH, Pohang, Kyungbuk, Republic of Korea] H.-S. Kang, C. Kim, G. Kim [PAL, Pohang, Kyungbuk, Republic of Korea] ","Coherent Synchrotron Radiation Monitor for Microbunching Instability in XFEL",115 117,
mopo041,"K.-H. Park, J.H. Han, S.-H. Jeong, Y.G. Jung, D.E. Kim, M.J. Kim, H.-G. Lee, S.B. Lee, B.G. Oh, H.S. Suh [PAL, Pohang, Kyungbuk, Republic of Korea] ","Performance Test Results of Magnet Power Supply",118 120,
mopo042,"J.W. Yan, H.X. Deng [SINAP, Shanghai, People's Republic of China] ","Evolutionary Many-objective Optimization Algorithm for Large-bandwidth Free-Electron-Laser Generation",121 123,
mopo058,"J.H. Yang, Y. Yang, G. Yu, Z.Q. Zeng [CIAE, Beijing, People's Republic of China] Zhu,Z.B. Zhu [China Institute of Atomic Energy, Beijing, People's Republic of China] ","Industrial Electron Linear Accelerator R&D in CIAE",124 125,
mopo059,"L. Ovchinnikova, V.I. Shvedunov [SINP MSU, Moscow, Russia] L. Ovchinnikova, V.I. Shvedunov [LEA MSU, Moscow, Russia] A. Ryabov [IHEP, Moscow Region, Russia] ","Choke-Type Resonator for a Compact Storage Ring",126 129,
mopo060,"A.N. Ermakov, A.S. Alimov, A.N. Kamanin, V.V. Khankin, L. Ovchinnikova, N.I. Pakhomov, N.V. Shvedunov, V.I. Shvedunov, D.S. Yurov [SINP MSU, Moscow, Russia] A.S. Alimov, A.N. Ermakov, V.V. Khankin, L. Ovchinnikova, N.I. Pakhomov, N.V. Shvedunov, V.I. Shvedunov, A.S. Simonov [LEA MSU, Moscow, Russia] I.V. Shvedunov [Federal State Unitary Enterprise, Laboratory of Electron Accelerators MSU, Ltd, Moscow, Russia] ","Linacs for Industry, Cargo Inspection and Medicine Designed by Moscow University",130 132,
mopo061,"D.S. Yurov, A.S. Alimov, A.N. Ermakov, V.V. Khankin, N.V. Shvedunov, V.I. Shvedunov [SINP MSU, Moscow, Russia] L. Ovchinnikova [Laboratory of Electron Accelerators MSU, Ltd, Physics Department, Lomonosov Moscow State University, Moscow, Russia] A.S. Simonov [LEA MSU, Moscow, Russia] ","Beam Parameters Measurement of C-band 6 MeV Linear Electron Accelerator",133 135,
mopo062,"V.V. Khankin, A.S. Alimov, A.N. Ermakov, A.N. Kamanin, A. Kurilik, N.I. Pakhomov, N.V. Shvedunov, V.I. Shvedunov, D.S. Yurov [SINP MSU, Moscow, Russia] A. Kurilik [LEA MSU, Moscow, Russia] I.V. Shvedunov, A.S. Simonov [Federal State Unitary Enterprise, Laboratory of Electron Accelerators MSU, Ltd, Moscow, Russia] ","Linear Electron Accelerator for Radiation Technologies with Beam Parameters Varied in a Wide Range",136 138,
mopo063,"Y.S. Lee, Y.W. Choi, G.J. Kim, I.S. Kim, J.I. Kim, S. Kim, J.H. Lee [KERI, Changwon, Republic of Korea] J.H. Hwang, Y.N. Kang, A.R. Kim, J.N. Kim, T.G. Oh, Y.A. Oh, Y. J. Seol, J.S. Shin [The Catholic University of Korea, Seoul, Republic of Korea] ","Development of Side-coupled X-band Medical Linear Accelerator for Radiotherapy",139 141,
mopo064,"S. Kim, Y.W. Choi, G.J. Kim, I.S. Kim, J.I. Kim, J.H. Lee, Y.S. Lee [KERI, Changwon, Republic of Korea] J.H. Hwang, Y.N. Kang, A.R. Kim, J.N. Kim, T.G. Oh, Y.A. Oh, Y. J. Seol, J.S. Shin [The Catholic University of Korea, Seoul, Republic of Korea] ","O-Arm Mounted X-Band Linear Accelerator System for Radiotherapy",142 144,
mopo066,"S.V. Matsievskiy, V.I. Kaminskiy, Ya.V. Shashkov [MEPhI, Moscow, Russia] ","Simulation of the Transitional Process in Accelerating Sections by Equivalent Circuit Method",145 147,
mopo069,"A. Taghibi Khotbeh-Sara, F. Rahmani [KNTU, Tehran, Iran] F. Ghasemi [NSTRI, Tehran, Iran] H. Khalafi [AEOI, Tehran, Iran] M. Mohseni Kejani [Shahid Beheshti University, Tehran, Iran] ","Nuclear and Mechanical Basic Design of Target for Mo-99 Production Using High Power Electron Linac",148 150,
mopo070,"S. Zarei [Nuclear Science and Technology Research, InstituteRadiation Application School, Tehran, Iran] F. Abbasi [Shahid Beheshti University, Tehran, Iran] M. Bahrami, M. Lamehi [IPM, Tehran, Iran] F. Ghasemi [NSTRI, Tehran, Iran] ","Construction of the Side-coupled Standing-wave e-Linac",151 153,
mopo073,"N. Sei, H. Ogawa [AIST, Tsukuba, Ibaraki, Japan] K. Hayakawa, Y. Hayakawa, K. Nogami, T. Sakai, Y. Sumitomo, T. Tanaka [LEBRA, Funabashi, Japan] H. Ohgaki, H. Zen [Kyoto University, Kyoto, Japan] ","Coherent Edge Radiation Sources in Linac-Based Infrared Free-Electron Laser Facilities",154 156,
mopo076,"H. Saito, H. Hama, F. Hinode, K. Kanomata, S. Kashiwagi, S. Miura, T. Muto, I. Nagasawa, K. Nanbu, S. Ninomiya, K. Takahashi [Tohoku University, Research Center for Electron Photon Science, Sendai, Japan] ","Study on Generation of Variable Polarized Coherent THz Radiation Using a Crossed Undulator",157 159,
mopo077,"S.V. Kutsaev, R.B. Agustsson, A.Yu. Smirnov, A. Verma [RadiaBeam, Santa Monica, California, USA] A. Barcikowski, R.L. Fischer, B. Mustapha [ANL, Argonne, Illinois, USA] ","Design of the High Gradient Negative Harmonic Structure for Compact Ion Therapy Linac",160 162,
mopo079,"X. Li [University of Chinese Academy of Sciences, Beijing, People's Republic of China] X. Li, Y.H. Pu, X.C. Xie, M.H. Zhao [SINAP, Shanghai, People's Republic of China] F. Yang [Shanghai APACTRON Particle Equipment Company Limited, Shanghai, People's Republic of China] ","Cavity Design of a 7 MeV 325 MHz Proton APF IH-DTL for a Compact Injector",163 166,
mopo080,"X.L. Wu, T. Luo [CSNS, Guangdong Province, People's Republic of China] L. Dong, K.Y. Gong, H.C. Liu, H. Song [IHEP, Beijing, People's Republic of China] S.M. Liu [DNSC, Dongguan, People's Republic of China] ","The Manufacturing of the CSNS DTL Tank",167 170,
mopo081,"B.B. Baricevic, A. Bardorfer, R. Cerne [I-Tech, Solkan, Slovenia] G. De Michele, Ye. Ivanisenko [AVO-ADAM, Meyrin, Switzerland] ","Light Proton Therapy Linac LLRF System Development",171 173,
mopo082,"M. Sato, Z. Fang, M.K. Fukuda, Y. Fukui, K. Futatsukawa, Y. Honda, K. Ikegami, H. Kobayashi, C. Kubota, T. Kurihara, T. Miura, T. Miyajima, F. Naito, K. Nanmo, T. Obina, T. Shibata, T. Sugimura, A. Takagi, E. Takasaki [KEK, Ibaraki, Japan] K. Hasegawa [JAEA, Ibaraki-ken, Japan] H. Kumada, Y. Matsumoto, Su. Tanaka [Tsukuba University, Graduate School of Comprehensive Human Sciences, Ibaraki, Japan] N. Nagura, T. Ohba [Nippon Advanced Technology Co., Ltd., Tokai, Japan] T. Onishi [Tsukuba University, Ibaraki, Japan] T. Ouchi, H. Sakurayama [ATOX, Ibaraki, Japan] ","Commissioning Status of the Linac for the iBNCT Project",174 176,
mopo084,"J.H. Li, G. Han [China Institute of Atomic Energy, Beijing, People's Republic of China] C.G. Li [CIAE, Beijing, People's Republic of China] Z. Li [SCU, Chengdu, People's Republic of China] ","The Simulation and Manufacture of the Room Temperature CH-DTL",177 179,
mopo085,"Y. Nakazawa, H. Iinuma [Ibaraki University, Ibaraki, Japan] K. Hasegawa, Y. Kondo, T. Morishita [JAEA/J-PARC, Tokai-mura, Japan] N. Hayashizaki [RLNR, Tokyo, Japan] Y. Iwashita [Kyoto ICR, Uji, Kyoto, Japan] Y. Iwata [NIRS, Chiba-shi, Japan] N. Kawamura, T. Mibe, M. Otani, T. Yamazaki, M. Yoshida [KEK, Ibaraki, Japan] R. Kitamura, H.Y. Yasuda [University of Tokyo, Tokyo, Japan] N. Saito [J-PARC, KEK  JAEA, Ibaraki-ken, Japan] Y. Sue [Nagoya University, Graduate School of Science, Chikusa-ku, Nagoya, Japan] ","Prototype of an Inter-digital H-mode Drift-tube Linac for Muon Linac",180 183,
mopo087,"P.Y. Yu, Y. He, C.X. Li, F.F. Wang, Z.J. Wang, B. Zhang [IMP/CAS, Lanzhou, People's Republic of China] ","Cold Test of Hybrid RFQ Prototype",184 186,
mopo088,"L. Lu, T. He, W. Ma, C.C. Xing, L. Yang [IMP/CAS, Lanzhou, People's Republic of China] ","Study on a 325 MHz HOM Drift Tube Linac",187 189,
mopo089,"P. Mereu, M. Mezzano, C. Mingioni, M. Nenni [INFN-Torino, Torino, Italy] G. Cibinetto [INFN-Ferrara, Ferrara, Italy] F. Grespan, A. Pisent [INFN/LNL, Legnaro (PD), Italy] ","Design Details of the European Spallation Source Drift Tube LINAC",190 192,
mopo090,"K. Kümpel, S. Lamprecht, P. Mueller (P. Müller), N.F. Petry, H. Podlech, S. Zimmermann [IAP, Frankfurt am Main, Germany] ","Measurements of the First Room Temperature CH Cavity for MYRRHA at IAP Frankfurt",193 195,
mopo092,"R.E. Laxdal, Z.T. Ang, T. Au, S. Kiy, S.D. Rädel, O. Shelbaya, V. Zvyagintsev [TRIUMF, Vancouver, Canada] ","A 3-gap Booster Cavity to Match Ion Source Potential to RFQ Acceptance",196 199,
mopo093,"O. Mazor, M. Bukai, D. Nusbaum, J. Rodnizki [Soreq NRC, Yavne, Israel] E. Dyunin [Ariel University, Ariel, Israel] G. Ziskind [Ben-Gurion University in the Negev, Beer Sheva, Israel] ","A Study of a Cooling Configuration for an OFHC Copper Rebuncher",200 203,
mopo094,"D.Y. Lee, B.H. Choi, C.O. Choi, H. Jang, H.C. Jung, K.T. Son [IBS, Daejeon, Republic of Korea] ","RF Stability Test of RFQ Cavity with Prototype Low-level Radio Frequency in RAON",204 206,
mopo095,"W.C. Barkley, M.J. Borden, R.W. Garnett, M.S. Gulley, E.L. Kerstiens, M. Pieck, D. Rees, F.E. Shelley, B.G. Smith [LANL, Los Alamos, New Mexico, USA] ","A Risk Based Approach to Improving Beam Availability at an Accelerator Facility",207 210,
mopo096,"S.S. Kurennoy [LANL, Los Alamos, New Mexico, USA] ","Realistic Modeling of MEBT for the New LANSCE RFQ Injector",211 213,
mopo100,"D. Raparia, G. Atoian, T. Lehn, V. LoDestro, M. Mapes, A. McNerney, J. Ritter, A. Zelenski [BNL, Upton, Long Island, New York, USA] ","Doubly Stripped Proton Causing Vacuum Leak at Brookhaven 200 MeV H- linac Complex",214 216,
mopo101,"M. Schwarz, D. Bade, J. Corbet, H. Podlech [IAP, Frankfurt am Main, Germany] ","LINAC-multitool - an Open Source Java-toolkit",217 219,
mopo102,"C. Gumus, M. Hierholzer, H. Schlarb, Ch. Schmidt [DESY, Hamburg, Germany] A.A. Aksoy, A. Aydin, C. Kaya (Ç. Kaya) [Ankara University, Accelerator Technologies Institute, Golbasi / Ankara, Turkey] O.F. Elcim [Ankara University Institute of Accelerator Technologies, Golbasi, Turkey] ","Progress of MicroTCA.4 based LLRF System of TARLA",220 222,
mopo104,"A. Bellandi, V. Ayvazyan, J. Branlard, C. Gumus, S. Pfeiffer, K.P. Przygoda, R. Rybaniec, H. Schlarb, Ch. Schmidt, J.K. Sekutowicz [DESY, Hamburg, Germany] W. Cichalewski [TUL-DMCS, Lodz, Poland] ","LLRF R&D Towards CW Operation of the European XFEL",223 226,
mopo106,"E. Feldmeier, Th. Haberer, A. Peters [HIT, Heidelberg, Germany] ","New Digital LLRF System for HIT",227 229,
mopo107,"N. Liu, B. Du [Sokendai - Hayama, Hayama, Japan] D.A. Arakawa, H. Katagiri, T. Matsumoto, S. Michizono, T. Miura, F. Qiu, Y. Yano [KEK, Ibaraki, Japan] T. Matsumoto, T. Miura, F. Qiu [Sokendai, Ibaraki, Japan] ","Performance Evaluation of the RF Reference Phase Stabilization System on Fiber-optical Link for KEK e-/e+ Injector LINAC",230 232,
mopo111,"K. Futatsukawa, Z. Fang, Y. Fukui [KEK, Ibaraki, Japan] Y. Sato [Nippon Advanced Technology Co., Ltd., Tokai, Japan] S. Shinozaki [JAEA/J-PARC, Tokai-mura, Japan] ","Development of New LLRF System at the J-PARC Linac",233 235,
mopo115,"T. E. Plawski, R. Bachimanchi, M. Diaz, H. Higgins, C. Hovater, C.I. Mounts, D.J. Seidman [JLab, Newport News, Virgina, USA] ","CEBAF Photo Gun RF System",236 238,
mopo116,"X. Wang, F. Long [IHEP, Beijing, People's Republic of China] ","Study on the Control Technology of Large-load Time Constant Accelerator Magnet Power Supply",239 241,
mopo118,"J. Jiang, G. Feng, T. Hu, Y. Lu, X.D. Tu, Y.Q. Xiong [HUST, Wuhan, People's Republic of China] Y.J. Pei [USTC/NSRL, Hefei, Anhui, People's Republic of China] ","Optimized Design for a Compact Linac with Collinear Absorbing Loads at the Hust FEL-THz",242 245,
mopo119,"Y. Lu, G. Feng, T. Hu, J. Jiang, X.D. Tu, Y.Q. Xiong [HUST, Wuhan, People's Republic of China] ","Design of a Fully Automated Test Bench for Measuring the Field Distribution in Standing Wave Cavity",246 249,
mopo120,"L. Zhang, Z. Gao, L.B. Liu, F.F. Wang, B. Zhang [IMP/CAS, Lanzhou, People's Republic of China] ","Improvement of the Linear Part in the Tuner System of ADS 25 MeV Linac",250 252,
mopo121,"J.M. Mueller (J.M. Müller), M. Felber, T. Kozak, T. Lamb, H. Schlarb, S. Schulz, C. Sydlo, M. Titberidze, F. Zummack [DESY, Hamburg, Germany] ","Large-Scale Optical Synchronization System of the European XFEL",253 256,
mopo122,"J.-P. Jensen [DESY, Hamburg, Germany] ","European XFEL Cooling and Ventilation Systems",257 259,
mopo124,"P. Mereu, F. Borotto Dalla Vecchia, C. Mingioni, M. Nenni, R. Panero [INFN-Torino, Torino, Italy] A. Battistello, P. Bottin, D. Conventi, L. Ferrari, F. Grespan, A. Pisent [INFN/LNL, Legnaro (PD), Italy] A.G. Colombo [INFN- Sez. di Padova, Padova, Italy] ","Details of the Manufacturing Processes of the ESS-DTL Components",260 263,
mopo125,"Y. Iwashita, M. Abe, T. Yako [Kyoto ICR, Uji, Kyoto, Japan] Y. Fuwa [Kyoto University, Research Reactor Institute, Osaka, Japan] N. Terunuma [KEK, Ibaraki, Japan] ","Steering Magnets with Permanent Magnets",264 266,
mopo127,"J.Y. Tang [IHEP, Beijing, People's Republic of China] J.C. Nugent [University of Glasgow, Glasgow, United Kingdom] ","Recent Results from MICE on Multiple Coulomb Scattering and Energy Loss",267 269,
mopo129,"W.B. Liu [IHEP, Beijing, People's Republic of China] V. Blackmore, C. Hunt [Imperial College of Science and Technology, Department of Physics, London, United Kingdom] ","Recent Results from the Study of Emittance Evolution at MICE",270 272,
mopo130,"R.L. Geng [JLab, Newport News, Virginia, USA] S.C. Huang [IMP/CAS, Lanzhou, People's Republic of China] ","Magnetic Flux Generated by Thermal Current in CEBAF 5-Cell Cavity System",273 276,
